Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
N-Isobutyrylglycine,ENSMUSG00000034584,False,False,False,0.0,,,
"Octadecanamide, N-(2-methylpropyl)-N-nitroso-",ENSMUSG00000034584,False,False,False,0.0,,,
"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",ENSMUSG00000105382,False,False,False,0.0,,,
"Arabinonic acid, 2,3,5-tris-O-(trimethylsilyl)-, gamma-lactone",ENSMUSG00000105382,False,False,False,0.0,,,
"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",ENSMUSG00000105382,False,False,False,0.0,,,
N-Isobutyrylglycine,ENSMUSG00000105382,False,False,False,0.0,,,
"Octadecanamide, N-(2-methylpropyl)-N-nitroso-",ENSMUSG00000105382,False,False,False,0.0,,,
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl",ENSMUSG00000102840,False,False,False,0.0,,,
Cadaverine,ENSMUSG00000102840,False,False,False,0.0,,,
Carfentrazone-ethyl,ENSMUSG00000106032,False,False,False,0.0,,,
N-Isobutyrylglycine,ENSMUSG00000086610,False,False,False,0.0,,,
"Octadecanamide, N-(2-methylpropyl)-N-nitroso-",ENSMUSG00000086610,False,False,False,0.0,,,
2-Isopropyl-5-methyl-1-heptanol,ENSMUSG00000024235,False,False,False,0.0,,,
"Aziridine, 1-(2-buten-2-yl)-",ENSMUSG00000024235,False,False,False,0.0,,,
"2-Heptanone, 4,6-dimethyl-",ENSMUSG00000041134,False,False,False,0.0,,,
2-Pentenoic acid,ENSMUSG00000041134,False,False,False,0.0,,,
"2,5-Dimethoxybenzonitrile",ENSMUSG00000041134,False,False,False,0.0,,,
3'-(Trimethylsilyl)oxy-beta-naphthoflavone,ENSMUSG00000041134,False,False,False,0.0,,,
Carfentrazone-ethyl,ENSMUSG00000041134,False,False,False,0.0,,,
Metanephrine,ENSMUSG00000041134,False,False,False,0.0,,,
N-Isobutyrylglycine,ENSMUSG00000041134,False,False,False,0.0,,,
"Octadecanamide, N-(2-methylpropyl)-N-nitroso-",ENSMUSG00000041134,False,False,False,0.0,,,
(pm)-N-Propylamphetamine,ENSMUSG00000102142,False,False,False,0.0,,,
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",ENSMUSG00000102142,False,False,False,0.0,,,
1-Hexanol,ENSMUSG00000102142,False,False,False,0.0,,,
"1-Octene, 2-methyl-",ENSMUSG00000102142,False,False,False,0.0,,,
1-Phenethylamine,ENSMUSG00000102142,False,False,False,0.0,,,
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",ENSMUSG00000102142,False,False,False,0.0,,,
"1,3-Cyclohexanebis(methylamine)",ENSMUSG00000102142,False,False,False,0.0,,,
"1,3,5-Trimethyl-1H-pyrazol-4-amine",ENSMUSG00000102142,False,False,False,0.0,,,
"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl-",ENSMUSG00000102142,False,False,False,0.0,,,
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,ENSMUSG00000102142,False,False,False,0.0,,,
2-Furoic acid,ENSMUSG00000102142,False,False,False,0.0,,,
"2-Heptanone, 4,6-dimethyl-",ENSMUSG00000102142,False,False,False,0.0,,,
2-Isopropyl-5-methyl-1-heptanol,ENSMUSG00000102142,False,False,False,0.0,,,
2-Pentenoic acid,ENSMUSG00000102142,False,False,False,0.0,,,
"2,2-Diallylpyrrolidine",ENSMUSG00000102142,False,False,False,0.0,,,
"2,5-Dimethoxybenzonitrile",ENSMUSG00000102142,False,False,False,0.0,,,
"2,6-Dimethoxybenzylamine",ENSMUSG00000102142,False,False,False,0.0,,,
3-Methylvaleric acid,ENSMUSG00000102142,False,False,False,0.0,,,
"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",ENSMUSG00000102142,False,False,False,0.0,,,
3'-(Trimethylsilyl)oxy-beta-naphthoflavone,ENSMUSG00000102142,False,False,False,0.0,,,
"5-Androsten-17alpha-methyl-3beta,17beta-diol",ENSMUSG00000102142,False,False,False,0.0,,,
"5,6-Dimethyl-4-phenyl-3-cyanopyridine-2(1H)-thione",ENSMUSG00000102142,False,False,False,0.0,,,
"6,7,4'-Trihydroxyisoflavone",ENSMUSG00000102142,False,False,False,0.0,,,
"9,12-Octadecadienoic acid",ENSMUSG00000102142,False,False,False,0.0,,,
"Acetamide, 2,2,2-trifluoro-",ENSMUSG00000102142,False,False,False,0.0,,,
Aceturic acid,ENSMUSG00000102142,False,False,False,0.0,,,
Adipoyl-L-carnitine,ENSMUSG00000102142,False,False,False,0.0,,,
"Arabinonic acid, 2,3,5-tris-O-(trimethylsilyl)-, gamma-lactone",ENSMUSG00000102142,False,False,False,0.0,,,
Arsenous acid,ENSMUSG00000102142,False,False,False,0.0,,,
"Azetidine, 1-acetyl-2-methyl-",ENSMUSG00000102142,False,False,False,0.0,,,
"Aziridine, 1-(2-buten-2-yl)-",ENSMUSG00000102142,False,False,False,0.0,,,
"Benzaldehyde, 2,5-dimethyl-",ENSMUSG00000102142,False,False,False,0.0,,,
"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-",ENSMUSG00000102142,False,False,False,0.0,,,
beta-D-Glucopyranose,ENSMUSG00000102142,False,False,False,0.0,,,
beta-Lyxopyranose,ENSMUSG00000102142,False,False,False,0.0,,,
Butylmethylamine,ENSMUSG00000102142,False,False,False,0.0,,,
Butyrovanillone,ENSMUSG00000102142,False,False,False,0.0,,,
Carfentrazone-ethyl,ENSMUSG00000102142,False,False,False,0.0,,,
"Cholesta-3,5-dien-7-one",ENSMUSG00000102142,False,False,False,0.0,,,
Cyclo-(l-leucyl-l-phenylalanyl),ENSMUSG00000102142,False,False,False,0.0,,,
cyclobutanecarboxylic acid,ENSMUSG00000102142,False,False,False,0.0,,,
Cyclobutanol,ENSMUSG00000102142,False,False,False,0.0,,,
"DL-Proline, 5-oxo-",ENSMUSG00000102142,False,False,False,0.0,,,
"Dodecanoic acid, 1-methylethyl ester",ENSMUSG00000102142,False,False,False,0.0,,,
Dopamine,ENSMUSG00000102142,False,False,False,0.0,,,
"Ethanol, 2-(9-octadecenyloxy)-",ENSMUSG00000102142,False,False,False,0.0,,,
"Furan, 2-pentyl-",ENSMUSG00000102142,False,False,False,0.0,,,
Itaconic acid,ENSMUSG00000102142,False,False,False,0.0,,,
"L-Lysine, ethyl ester",ENSMUSG00000102142,False,False,False,0.0,,,
Latanoprost lactone diol,ENSMUSG00000102142,False,False,False,0.0,,,
Metanephrine,ENSMUSG00000102142,False,False,False,0.0,,,
"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",ENSMUSG00000102142,False,False,False,0.0,,,
"N-isobutyl-2-(trimethylsilyloxy]-4,5-dihydro-1H-imidazole-1-carboxamide",ENSMUSG00000102142,False,False,False,0.0,,,
N-Isobutyl-sec-butylamine,ENSMUSG00000102142,False,False,False,0.0,,,
N-Isobutyrylglycine,ENSMUSG00000102142,False,False,False,0.0,,,
N-Isovaleroylglycine,ENSMUSG00000102142,False,False,False,0.0,,,
"N,O-Bis(trimethylsilyl)carbamate",ENSMUSG00000102142,False,False,False,0.0,,,
Nitrosothymol,ENSMUSG00000102142,False,False,False,0.0,,,
"Octadecanamide, N-(2-methylpropyl)-N-nitroso-",ENSMUSG00000102142,False,False,False,0.0,,,
Octocrylene,ENSMUSG00000102142,False,False,False,0.0,,,
"Oxalic acid, allyl octyl ester",ENSMUSG00000102142,False,False,False,0.0,,,
p-Toluic acid,ENSMUSG00000102142,False,False,False,0.0,,,
"Phenol, 3,5-bis(1,1-dimethylethyl)-",ENSMUSG00000102142,False,False,False,0.0,,,
Phenylpropanolamine,ENSMUSG00000102142,False,False,False,0.0,,,
Pipecolic acid,ENSMUSG00000102142,False,False,False,0.0,,,
"Pyrazine, 3,6-dimethyl-2,5-bis(trimethylsilyloxy)-",ENSMUSG00000102142,False,False,False,0.0,,,
Pyroglutamic acid,ENSMUSG00000102142,False,False,False,0.0,,,
Quazodine,ENSMUSG00000102142,False,False,False,0.0,,,
S-Methyl-L-cysteine,ENSMUSG00000102142,False,False,False,0.0,,,
Sertraline carbamoyl glucuronide,ENSMUSG00000102142,False,False,False,0.0,,,
