Individual P-value,FDR Threshold,Unique Nodes,Edges,Positive Edges,Negative Edges,Positive:Negative Ratio,Density,Mean Correlation Coefficient
1.0,1.0,519,44991,30229,11606,2.6046010684128897,0.33470216707210926,0.21998678501357646
1.0,0.3,519,38498,26650,9342,2.8527081995290087,0.28639870258367367,0.24726205408776114
1.0,0.25,519,36782,25609,8793,2.912430342317753,0.27363284010682853,0.25438096398233717
1.0,0.2,519,34434,24153,8070,2.992936802973978,0.25616533130984,0.2645740754968334
1.0,0.15,519,31424,22206,7197,3.0854522717799084,0.23377299677877714,0.2778059655697846
1.0,0.1,519,27046,19336,5964,3.2421193829644532,0.2012036809724671,0.29896243917033494
1.0,0.05,519,20864,15071,4503,3.3468798578725294,0.15521384307511474,0.3271780407683205
1.0,0.01,519,11960,8612,2553,3.373286329808069,0.0889741930204358,0.36477840272786083
0.3,1.0,519,7124,5502,1084,5.075645756457565,0.05299767149478132,0.4565032426939408
0.3,0.3,519,7124,5502,1084,5.075645756457565,0.05299767149478132,0.4565032426939408
0.3,0.25,519,7124,5502,1084,5.075645756457565,0.05299767149478132,0.4565032426939408
0.3,0.2,519,7120,5500,1082,5.0831792975970425,0.05296791423959054,0.4567174880266611
0.3,0.15,519,7089,5484,1068,5.134831460674158,0.05273729551186199,0.45821719861069976
0.3,0.1,519,6954,5401,1028,5.253891050583658,0.05173298814917312,0.4627258536551958
0.3,0.05,519,6573,5148,952,5.407563025210084,0.04889860959225121,0.4738622155162651
0.3,0.01,519,5014,3918,736,5.323369565217392,0.03730071938164424,0.502772495281377
0.25,1.0,519,5477,4252,776,5.479381443298969,0.04074512166997716,0.48550612943967864
0.25,0.3,519,5477,4252,776,5.479381443298969,0.04074512166997716,0.48550612943967864
0.25,0.25,519,5477,4252,776,5.479381443298969,0.04074512166997716,0.48550612943967864
0.25,0.2,519,5477,4252,776,5.479381443298969,0.04074512166997716,0.48550612943967864
0.25,0.15,519,5471,4250,772,5.505181347150259,0.04070048578719099,0.4860981379990121
0.25,0.1,519,5412,4211,755,5.577483443708609,0.040261566273126964,0.48858958623777593
0.25,0.05,519,5186,4064,708,5.740112994350283,0.038580281354847826,0.4968303542304971
0.25,0.01,519,4183,3258,598,5.448160535117057,0.03111864961575944,0.5156696552215169
0.2,1.0,518,4375,3392,601,5.643926788685524,0.03267290501333055,0.506749114434849
0.2,0.3,518,4375,3392,601,5.643926788685524,0.03267290501333055,0.506749114434849
0.2,0.25,518,4375,3392,601,5.643926788685524,0.03267290501333055,0.506749114434849
0.2,0.2,518,4375,3392,601,5.643926788685524,0.03267290501333055,0.506749114434849
0.2,0.15,518,4375,3392,601,5.643926788685524,0.03267290501333055,0.506749114434849
0.2,0.1,518,4361,3382,598,5.655518394648829,0.032568351717287884,0.5073472763297486
0.2,0.05,518,4233,3301,565,5.842477876106194,0.031612435867755015,0.5140515100477107
0.2,0.01,517,3599,2803,502,5.583665338645418,0.026981842172341924,0.5282224455236717
0.15,1.0,510,2694,2181,314,6.945859872611465,0.02075580723448515,0.5618514272124474
0.15,0.3,510,2694,2181,314,6.945859872611465,0.02075580723448515,0.5618514272124474
0.15,0.25,510,2694,2181,314,6.945859872611465,0.02075580723448515,0.5618514272124474
0.15,0.2,510,2694,2181,314,6.945859872611465,0.02075580723448515,0.5618514272124474
0.15,0.15,510,2694,2181,314,6.945859872611465,0.02075580723448515,0.5618514272124474
0.15,0.1,510,2692,2180,313,6.964856230031949,0.020740398320428368,0.5622003372301972
0.15,0.05,510,2637,2141,297,7.2087542087542085,0.020316653183866867,0.5677263731666212
0.15,0.01,507,2313,1865,264,7.0643939393939394,0.018032135088991277,0.582628706356109
0.1,1.0,491,1790,1439,187,7.695187165775401,0.014880086454133589,0.602321902958702
0.1,0.3,491,1790,1439,187,7.695187165775401,0.014880086454133589,0.602321902958702
0.1,0.25,491,1790,1439,187,7.695187165775401,0.014880086454133589,0.602321902958702
0.1,0.2,491,1790,1439,187,7.695187165775401,0.014880086454133589,0.602321902958702
0.1,0.15,491,1790,1439,187,7.695187165775401,0.014880086454133589,0.602321902958702
0.1,0.1,491,1790,1439,187,7.695187165775401,0.014880086454133589,0.602321902958702
0.1,0.05,491,1775,1428,183,7.80327868852459,0.014755392992227442,0.6046021716887471
0.1,0.01,485,1641,1320,166,7.951807228915663,0.013981426258839568,0.6159113320417154
0.05,1.0,450,1022,795,111,7.162162162162162,0.010116307844592923,0.6305758415206383
0.05,0.3,450,1022,795,111,7.162162162162162,0.010116307844592923,0.6305758415206383
0.05,0.25,450,1022,795,111,7.162162162162162,0.010116307844592923,0.6305758415206383
0.05,0.2,450,1022,795,111,7.162162162162162,0.010116307844592923,0.6305758415206383
0.05,0.15,450,1022,795,111,7.162162162162162,0.010116307844592923,0.6305758415206383
0.05,0.1,450,1022,795,111,7.162162162162162,0.010116307844592923,0.6305758415206383
0.05,0.05,450,1022,795,111,7.162162162162162,0.010116307844592923,0.6305758415206383
0.05,0.01,448,986,772,103,7.495145631067961,0.009847395333972515,0.6400575732267503
0.01,1.0,290,343,251,42,5.976190476190476,0.008185180766018376,0.6481238369650423
0.01,0.3,290,343,251,42,5.976190476190476,0.008185180766018376,0.6481238369650423
0.01,0.25,290,343,251,42,5.976190476190476,0.008185180766018376,0.6481238369650423
0.01,0.2,290,343,251,42,5.976190476190476,0.008185180766018376,0.6481238369650423
0.01,0.15,290,343,251,42,5.976190476190476,0.008185180766018376,0.6481238369650423
0.01,0.1,290,343,251,42,5.976190476190476,0.008185180766018376,0.6481238369650423
0.01,0.05,290,343,251,42,5.976190476190476,0.008185180766018376,0.6481238369650423
0.01,0.01,290,343,251,42,5.976190476190476,0.008185180766018376,0.6481238369650423
