,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,pls_116_12012022,pls_118_a_12012022,pls_119_13012022,pls_89_14012022,pls_120_13012022,pls_88_13012022,pls_129_12012022,pls_127_a_12012022,pls_70_a_12012022,pls_97_13012022,pls_123_13012022,pls_96a_14012022,pls_128_rep_14012022,pls_126_14012022,pls_124_14012022,pls_125_13012022,LPS934_150124,LPS935_150124,LPS936_150124,LPS939_150124,LPS940_150124,LPS941_150124,LPS942_150124,LPS944_160124,LPS945_160124,LPS946_160124,LPS947_160124,LPS948_160124,LPS949_160124,LPS950_160124,LPS951_160124,LPS952_160124,LPS953_160124,LPS955_160124,LPS956_160124,LPS957_160124,LPS958_160124,LPS959_160124,LPS960_160124,LPS961_160124,LPS962_160124,LPS963_160124,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124,VECPAC_3352_290124,VECPAC_3355_290124,VECPAC_3664_290124,VECPAC_3665_290124,VECPAC_3689_290124,VECPAC3296_300124,VECPAC3303_300124,VECPAC3304_300124,VECPAC3306_300124,VECPAC3318_300124,VECPAC3328_300124,VECPAC3330_300124,VECPAC3334_300124,VECPAC3356_300124,VECPAC3370_300124,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124,DSS107_190124,DSS901_190124,DSS902_190124,DSST1.5_190124,DSST1.6_190124,DSST1.7_190124,DSST1.8_190124,DSS85_230124,DSS87_230124,DSS90_230124,DSS117_REP_310124,DSS122_230124,DSS906_230124,DSS907_230124,DSST3.6_230124,DSST3.7_230124,DSST3.8_230124,DSS91_REP_310124,DSS94_250124,DSS95_250124,DSS125_250124,DSS126_250124,DSS127_250124,DSS129_250124,DSS912_REP_250124,DSST5.5_REP_250124,DSST5.6_REP_250124,DSST5.8_250124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_24h,LPS_24h,LPS_24h,LPS_24h,LPS_24h,LPS_24h,LPS_24h,LPS_24h,LPS_24h,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T1,DSS_T1,DSS_T1,DSS_T1,DSS_T1,DSS_T1,DSS_T1,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T6
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",58683.78858,97327.66424,722905.8594,0,167499.9073,172229.6347,172719.0418,344317.7713,31140.93872,159439.3135,0,0,0,23631.42004,44272.59979,0,0,94198.60526,0,179184.1451,0,0,0,105170.1288,0,1082.907284,0,0,3537.293677,1884.479778,25.96931238,0,0,0,0,0,3137.163992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469489.968,1648875.081,1027519.296,0,0,0,0,0,0,0,0,211793.4481,918200.7652,1741497.15,3155624.473,0,0,0,0,0,0,823987.3077,670017.4078,653475.4081,535121.4426,642731.1756,241548.2346,113852.0404,0,0,0,0
(6S)-5-Methyltetrahydrofolic acid,0,0,0,0,0,1626.406177,0,0,0,0,0,0,0,0,1363.873002,0,0,0,0,0,1908.689745,0,0,0,0,0,3923.507273,0,4223.403821,0,0,0,0,4058.491666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2559.185703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728.2768874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.38910357,0,0,0,0,0,0,0,17.89732934,0,49.09750321,0,0,0,0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",11053.59645,17693.90947,42480.18472,26509.54072,19025.51736,38261.05915,15757.83515,20337.89271,18707.02679,11811.63899,20893.39804,14904.31977,29546.33428,17571.74985,32473.06081,35533.20879,0,19101.95456,19935.29443,35158.33705,31169.94154,22270.60136,24134.29354,18899.34583,41227.99661,0,0,0,29210.31431,0,24047.95247,0,0,29597.1538,0,0,0,0,0,0,53.25867182,36953.95126,33886.56251,20242.52266,41513.3677,31598.23791,57157.13394,65568.03669,32026.87051,36449.81889,33669.42097,55716.32802,68927.24701,36403.74621,70552.24067,37062.39853,44126.22029,46603.94766,52860.38808,26629.53369,80411.1328,29930.24744,47349.69077,29606.72901,42866.91699,40948.95444,0,61853.24664,25748.06454,60962.88974,31788.7457,27019.32469,67688.97913,46731.41836,71583.94698,44191.30369,40742.37489,29262.14436,47658.25562,46174.47943,62877.87342,22987.74809,61697.36649,0,28122.25911,56690.00638,23434.14968,0,0,23065.04811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40510.71781,0,0,30193.52895,0,32069.91397,22537.45335,0,0,0,0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",82373506.07,86163889.26,86970797.82,85164423.58,84383059.94,76765308,86235990.95,89362741.55,,89122713.32,88250804.38,86739688.37,81619471.42,84672418.41,84050794.78,86815602.52,86326065.21,85187026.13,91591514.32,80411707.56,88120806.94,84563222.21,86075764.28,83352532.97,89237178.37,53368159.42,54462562.92,55155264.09,56904866.61,61742350.87,59785942.63,60099174.4,53737620.96,11377760.49,64310887.52,58402675.71,60709362.83,60826856.23,69045895.44,61834879.07,61613021.63,64727621.71,59736093.41,65927950.42,115861948.7,111334016.3,126103946.5,107843204.2,110863317.5,101608536.9,100951780.9,69403521.44,70361376.57,80998652.86,67804279.72,75463605.38,104847946,117817850.9,94855403.92,87198586.53,101250200.7,95741476.12,102778674.2,124534969.3,107600475.7,94827634.91,123138022.5,96539223.36,95611327.56,112955667.8,96550241.67,96878327.74,107558474.9,102198697.6,97218278.08,110103866.6,77108076.13,68098668.65,111073109.6,76201693.71,106158960.1,93341124.05,75923477.3,86661732.54,93874392.95,89632951.95,105778242,0,68372583.95,83577410.2,80710810.95,76781422.16,76512165.58,78867543.74,87284817.59,76881272.02,100609023.7,74227810.64,78227246.46,79857633.3,102666109,112271420.8,100818259.9,87660076.67,86604878.99,72582482.79,80177242.29,114493451.6,92606772.72,127076666.9,87388154.21,118673691.4,104437321.4,104782493.8,92719517.25,131266477.6,94347476.89
(CH3)2C=NC2H558,226711.3569,277354.2213,301841.6615,352983.9861,272398.4082,312747.7562,291721.7253,329702.4956,310598.9158,0,266768.3004,299207.9009,242923.7378,268175.5254,315070.9428,268638.3163,278148.7681,283829.2338,338323.6324,295995.6013,296042.6403,263843.5975,281710.4809,299143.3524,387259.1513,251987.5728,296633.9341,295150.064,294001.4109,298791.0707,312279.476,306359.3844,297333.5853,314295.993,320153.6599,308441.7303,317615.7239,344073.9547,310628.2178,349222.3449,335424.5697,316087.8593,336478.1449,347601.4283,328921.2522,336034.3031,334232.6784,358250.421,329102.0347,315383.7936,324114.8196,342747.2355,364039.4793,301617.3615,365474.4453,368420.5156,302211.1836,334682.633,299481.5048,328777.4487,319490.433,325348.9959,320927.8852,327161.2423,328242.0833,324828.6844,342676.1179,331655.962,331486.128,358144.55,334392.3552,344300.0223,318805.503,314632.479,340106.872,333693.0029,377715.4622,362138.0616,337622.1503,372765.7936,337009.9525,321615.452,408686.1518,308300.3711,322774.1506,212864.6318,195462.1485,202188.2884,186270.2724,220873.617,192099.7663,202122.3528,187086.7444,186600.1167,190859.7718,192613.4342,199941.1587,214242.1845,198340.5067,218203.8337,211843.0875,204121.3218,233854.5055,175791.9173,177243.7712,187804.256,208456.5651,244273.8025,245901.07,235676.1922,216261.8838,243558.1447,235440.5697,204969.4315,195680.8542,250265.1145,216382.1289
(pm)-alpha-Tocopherol acetate,7305.48687,17856.35852,18633.34465,13407.64638,6152.531211,21869.40626,9161.840561,13245.44733,24216.73376,8574.579987,21299.84533,9640.930018,0,43135.82821,32567.45572,7440.357248,17693.34898,7537.072989,11975.71109,22995.71188,28848.65237,0,8465.318315,9975.720803,24426.79804,0,1.479463523,0,0,0,2.495155922,0,0,1.961566615,7.807350026,0,0,0.508608273,0,0,0,0.010955524,0,0,0,0,0.019724034,0,0,6.041883265,0,0,0,0.277418993,2.280309365,0,0,1.165035614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.886719671,0,0,0,0,0,0,0,13110.05798,54219.8128,85997.29046,0,274.6538697,0,0,0,0,0,0,40445.15209,199891.7402,0,0,0,62943.68587,48665.0264,0,0,0,121478.2173,0,70043.09435,107105.1609,89150.01719,17274.89844,223994.9753,0,0,14054.58169,6472.934334
(pm)-N-Propylamphetamine,0,0,0,503735.3246,9359171.549,9859371.239,0,0,4960486.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867435.222,1367872.438,0,0,0,614409.6986,0,0,625681.465,1006855.49,0,992627.5689,959199.716,0,0,790609.7249,0,1052713.267,0,1453397.641,1352550.438,0,0,1693173.655,0,0,1933564.677,0,0,968026.9111,0,880619.2997,0,0,0,0,0,1467164.663,1417416.012,1462433.104,1466782.187,1560570.558,0,0,1267315.236,1072981.284,1207249.802,0,1508179.772,0,1673285.915,0,1294715.683,1535943.061,1137558.427,1839423.626,1185320.52,1261733.751,0,1135924.996,5165614.7,6158798.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12388769.02,0,0,0,0,6895910.304,5780386.202,0,0,0,0
(pm)-Norketamine,694168771.7,422112642.1,521223353.8,407223156.1,346015681.2,437989920.1,372593326,386530118.3,762721022.9,474297509.7,621194220.9,458206281.9,634506181.3,710792984.4,633356951.8,1573801255,501400805.7,555829643.5,725300778.3,351893123.4,654010603.6,703083761.9,719606771.4,461404922.4,730406510.3,482907288.7,513998328.7,330237506.8,459526356.5,531921137,400627530.6,823694461.5,817568756,597263871.5,833356489,766411640.1,727269096.7,687481008.4,627994851.4,679013025.9,531419048.3,454840517.9,637472769.2,836258686.9,433429942.9,515988701.1,419492172.2,458912514.6,584633062.5,263776491.6,324109155.5,1308157247,0,484813853.1,0,0,294296913,729433159.4,859229369.4,737045687.4,899894377.4,648999758.2,1314997411,802612897.1,941144955.8,933572482.1,1234940581,947946617.6,1037033815,923416985.8,766332263.1,489350016.1,1125310217,415872147.6,832632417.6,608425031.9,1708681516,1450756539,450821302.8,0,435053201.8,728906135.4,0,932080669.1,955083449.8,1037907192,1434471655,792310267.5,284250173.8,480569979.1,305300595.5,361863349.8,333273713.6,327203593.7,1436871.803,425615439.1,501791937.8,808803998.2,726944650.4,572835321.4,403549263.3,278946114.8,490347973.9,310104105.6,411272451.4,353627942.2,904903674,697245991.4,582899921.5,662222563.1,547739858.6,833681462.4,1525002926,408643272.8,610090970.4,652304034,592873705
(pm)-Phenylpropanolamine,55912183.62,71540626.37,32632286.08,19718561.7,66849540.44,46363787.59,43125717.58,33862074.01,0,68469906.07,0,0,0,0,0,0,0,0,0,0,8607262.553,2642798.125,0,0,2580340.102,29593363.21,4178151.788,18799266,21732837.49,41676894.98,32102088.33,39280429.64,20119183.88,0,18890455.22,31233633.01,18270068.94,22089698.44,21793612.09,21436238.05,14982764.79,28186199.66,34834525.02,17335833.2,23571390.26,0,12877679.91,26673513.6,41820263.51,27993802.82,30789881.65,18870895.6,16908896.02,32161830.54,17001373.08,13812659.62,29400643.15,0,36978865.08,28033430.71,51455816.51,38505195.94,38325901.16,17579259.14,32946551.3,20032718.74,0,39914641.19,35458315.26,26290438.45,25235671.4,0,27596464.52,49178795.99,32451920.33,29531223.33,23919882.61,19296515.23,0,22505707.92,27365620.84,36114692.86,20550465.94,40925758.44,0,22006961.41,0,6025941.137,42577867.01,19648519.4,24779037.18,40961535.5,44631817.17,32283394.89,27710087.81,32225443.58,29136887.68,9900782.886,8747446.415,26314264.46,4589971.602,62331328.82,43996218.15,19503619.59,17028267.59,13308968.16,17887376.73,15910878.98,39639475.33,10028875.39,0,14774840.56,5149417.811,48831538.4,51625809.66,67725654.74,54429692.76
