,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
Label,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",-0.14893893,1.00393503,-0.30983512,0.1998013,0.14234806,0.07300218,0.104982,-0.25516905,2.75717915,3.15359744,2.4371981,-0.30979674
(6S)-5-Methyltetrahydrofolic acid,-0.2275681,-0.227439,-0.2278618,-0.2264751,0.7095405,-0.2271249,-0.2279208,-0.2274875,-0.2272267,0.1073074,-0.2267655,-0.2220491
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.49621329,-0.0157845,-0.44936523,-0.20929566,0.21719673,-0.43933672,-0.5437976,-0.46023001,0.39619286,-0.29611196,-0.78901234,-0.78837246
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.988191585,-0.915198825,-1.144611935,-0.453718424,-0.711834909,-0.76046341,-1.150847774,-1.000600619,-0.779505405,-0.615331351,-1.625827512,1.117348805
(CH3)2C=NC2H558,-1.23936054,-1.07762146,-1.25151953,-0.57413314,-0.5879506,-0.90144056,-1.34950188,-1.08345885,-1.26495605,-1.32551877,-1.09201089,0.83791363
(pm)-alpha-Tocopherol acetate,-0.08014017,-0.06273883,-0.12966564,-0.12341288,0.03163657,-0.11705081,-0.13448022,-0.02807031,-0.0887858,0.2578896,0.72275044,-0.19841675
(pm)-N-Propylamphetamine,-5.67E-01,-5.64E-01,-4.64E-01,5.58E+00,5.02E+00,-5.55E-01,-5.77E-01,1.29E+00,1.74E+00,2.21E+00,-5.45E-01,-4.14E-01
(pm)-Norketamine,-1.10588949,-0.94112696,-1.22259846,-0.87139552,-0.8072226,-1.02130477,-1.25925755,-0.68228107,-0.13583707,0.42359558,-0.16756914,0.06099773
(pm)-Phenylpropanolamine,0.023079904,-0.525556639,-0.842531715,0.815121447,0.055242985,-0.187940449,-0.697761425,-1.068902601,-0.649980683,-1.067246869,-0.927441601,2.356948353
"(R*,S*)-2,3-Dihydroxybutanoic acid",-0.5681375,-0.5681345,-0.43722,-0.1989683,2.262849,-0.1857858,-0.377988,-0.5681356,-0.5681295,-0.5681292,-0.5681187,-0.568008
"(S,S)-(-)-Hydrobenzoin",-0.583411956,-0.715352644,0.386961646,-0.710475069,-0.712135604,-0.630946825,-0.623652266,-0.550563892,3.489003511,1.163229893,-0.711944677,-0.688077383
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",-0.531072101,-0.557206832,-0.560154866,0.033902855,-0.535887951,-0.52899882,-0.275781629,-0.558971927,-0.246606007,-0.226283911,1.654875812,-0.039654935
"1-(2,4-Dimethoxyphenyl)-propan-2-one",-0.56404768,-0.11663893,-1.0605,-0.25525083,0.03397732,0.05065678,-0.51082216,-0.82223696,-1.14542671,-1.14534591,-1.14187889,-1.10559994
1-(3-Methylphenyl)piperazine,-0.66326261,-1.08550922,-0.04990396,-1.05802751,-1.06738345,-1.07655533,-1.09924871,-0.79021617,-1.07945845,-1.07915896,-1.06630771,1.39440878
1-(4-Hydroxybenzylidene)acetone,0.30197485,-0.55793632,-0.56080634,-0.55139422,-0.55362143,-0.55580482,-0.56120704,-0.55826575,-0.55649592,-0.55642462,-0.38463679,-0.33620711
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-0.31152653,-0.14314703,-0.71343485,-0.21710376,-0.02238406,-0.07347316,-0.21709434,-0.42321116,0.59897686,0.41923709,0.73025568,-0.24961561
1-Aminocyclopropanecarboxylic acid,-0.19063898,-0.33639807,-0.01121025,-0.344749,-0.27755519,-0.20292007,-0.37860439,-0.24453522,4.45824968,2.84802842,-0.39451898,0.37233369
"1-Butanamine, N,N-diethyl-",-1.047947119,-0.879086061,-1.075839791,-0.439261509,-0.671775768,-0.754850478,-1.136651602,-1.018387541,-0.805531654,-0.803118118,-0.42427411,1.853816872
"1-Cyclohexanone, 3-butyl-3-methyl-",-0.26405272,-0.42112784,0.0340998,-0.42111098,-0.42111672,-0.42112234,-0.31888657,-0.33210028,-0.41814152,-0.4197077,-0.42029463,-0.42103357
1-Cyclopentylethanol,-0.76794932,-0.4990764,-0.91125455,-0.22565927,-1.45629416,-1.45977144,-0.84156643,-1.46369073,-0.44643504,-0.53055456,-0.24675762,2.03927894
