,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124
Label,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",,,,,,,,,,,,,,,,,,,
(6S)-5-Methyltetrahydrofolic acid,,,,,,,,,,,,,,,,,,,2.1045206
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2.05960055,3.27413961,1.23277483,4.1847708,1.00760769,1.43965279,1.32402563,1.93042849,0.68803682,3.37211759,0.68412861,1.43278637,0.40587252,0.81142529,0.97236943,,1.68920229,0.58983998,1.74490952
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",0.001915365,0.281572934,0.44545144,0.576687789,0.053236073,0.817437064,0.839105709,0.623396978,0.603387349,0.791153851,0.545369491,0.596751538,0.691924338,0.22090258,0.249651724,1.172570149,0.151087877,0.735773082,0.537110951
(CH3)2C=NC2H558,1.07926517,1.7849392,0.94086724,2.55694747,1.1396552,0.67407369,0.65812559,0.6997225,1.20733535,0.90153297,0.80871032,0.63736725,0.3049408,0.13463903,0.44256762,0.9592701,0.31978038,1.12048637,0.60635766
(pm)-alpha-Tocopherol acetate,,,-0.19841067,-0.19835254,,,-0.1983957,,,,,,,,,,,,
(pm)-N-Propylamphetamine,1.54,,,0.876,,0.361,,,,,,0.889,0.637,0.58,0.764,1.06,,,0.538
(pm)-Norketamine,2.84333194,,0.2086538,,,-0.58673518,0.61400403,1.34791752,1.12908334,1.50370378,0.53964388,2.50198418,0.56935605,0.75027144,1.08121359,2.438342,0.93758199,2.0954777,0.96404107
(pm)-Phenylpropanolamine,-0.181306029,-0.151671936,0.581586876,0.035728138,-0.455457817,0.30176317,,0.68944673,0.36686105,1.39549159,0.682905195,0.59287175,-0.418350161,0.065118976,-0.277028844,,0.407893429,0.686328033,-0.062467486
