Individual P-value,FDR Threshold,Edges,Positive Edges,Negative Edges,Positive:Negative Ratio,Unique Nodes,Density,Mean Correlation Coefficient
1.0,1.0,44991,32253,12738,2.532030146019783,519,0.25204618409774626,0.21998678501357646
1.0,0.3,38498,28321,10177,2.7828436670924632,519,0.21567144529783813,0.24726205408776114
1.0,0.25,36782,27196,9586,2.8370540371374924,519,0.20605816148748202,0.2543809639823372
1.0,0.2,34434,25633,8801,2.9125099420520395,519,0.19290432093578258,0.2645740754968334
1.0,0.15,31424,23566,7858,2.9989819292440822,519,0.17604185924046095,0.2778059655697846
1.0,0.1,27046,20525,6521,3.147523385983745,519,0.15151566080121903,0.2989624391703349
1.0,0.05,20864,15969,4895,3.262308478038815,519,0.11688318963826938,0.3271780407683206
1.0,0.01,11960,9145,2815,3.2486678507992894,519,0.06700167504187604,0.36477840272786083
0.3,1.0,39628,29045,10583,2.7444958896343192,519,0.22200187111701203,0.24239210669192296
0.3,0.3,38498,28321,10177,2.7828436670924632,519,0.21567144529783813,0.24726205408776114
0.3,0.25,36782,27196,9586,2.8370540371374924,519,0.20605816148748202,0.2543809639823372
0.3,0.2,34434,25633,8801,2.9125099420520395,519,0.19290432093578258,0.2645740754968334
0.3,0.15,31424,23566,7858,2.9989819292440822,519,0.17604185924046095,0.2778059655697846
0.3,0.1,27046,20525,6521,3.147523385983745,519,0.15151566080121903,0.2989624391703349
0.3,0.05,20864,15969,4895,3.262308478038815,519,0.11688318963826938,0.3271780407683206
0.3,0.01,11960,9145,2815,3.2486678507992894,519,0.06700167504187604,0.36477840272786083
0.25,1.0,38303,28186,10117,2.7860037560541664,519,0.21457902668302495,0.24797914234478538
0.25,0.3,38303,28186,10117,2.7860037560541664,519,0.21457902668302495,0.24797914234478538
0.25,0.25,36782,27196,9586,2.8370540371374924,519,0.20605816148748202,0.2543809639823372
0.25,0.2,34434,25633,8801,2.9125099420520395,519,0.19290432093578258,0.2645740754968334
0.25,0.15,31424,23566,7858,2.9989819292440822,519,0.17604185924046095,0.2778059655697846
0.25,0.1,27046,20525,6521,3.147523385983745,519,0.15151566080121903,0.2989624391703349
0.25,0.05,20864,15969,4895,3.262308478038815,519,0.11688318963826938,0.3271780407683206
0.25,0.01,11960,9145,2815,3.2486678507992894,519,0.06700167504187604,0.36477840272786083
0.2,1.0,36598,27072,9526,2.8419063615368465,519,0.20502736648683775,0.2551586101687381
0.2,0.3,36598,27072,9526,2.8419063615368465,519,0.20502736648683775,0.2551586101687381
0.2,0.25,36598,27072,9526,2.8419063615368465,519,0.20502736648683775,0.2551586101687381
