Individual P-value,FDR Threshold,Edges,Positive Edges,Negative Edges,Positive:Negative Ratio,Unique Nodes,Density,Mean Correlation Coefficient
1.0,1.0,49275,37069,37069,1.0,529,1.0,0.2644276783615724
1.0,0.3,41931,32641,32641,1.0,529,0.8509589041095891,0.3002691091584599
1.0,0.25,39993,31328,31328,1.0,529,0.8116286149162861,0.3098395917026049
1.0,0.2,37613,29692,29692,1.0,529,0.7633282597666159,0.3219161906170128
1.0,0.15,34571,27564,27564,1.0,529,0.7015930999492643,0.33825781580009723
1.0,0.1,30266,24425,24425,1.0,529,0.6142262810755962,0.3613395205678311
1.0,0.05,24017,19674,19674,1.0,529,0.4874074074074074,0.3975448276077707
1.0,0.01,14530,12083,12083,1.0,529,0.29487569761542365,0.4583658372070162
0.3,1.0,43276,33502,33502,1.0,529,0.8782546930492136,0.2932942419175332
0.3,0.3,41931,32641,32641,1.0,529,0.8509589041095891,0.3002691091584599
0.3,0.25,39993,31328,31328,1.0,529,0.8116286149162861,0.3098395917026049
0.3,0.2,37613,29692,29692,1.0,529,0.7633282597666159,0.3219161906170128
0.3,0.15,34571,27564,27564,1.0,529,0.7015930999492643,0.33825781580009723
0.3,0.1,30266,24425,24425,1.0,529,0.6142262810755962,0.3613395205678311
0.3,0.05,24017,19674,19674,1.0,529,0.4874074074074074,0.3975448276077707
0.3,0.01,14530,12083,12083,1.0,529,0.29487569761542365,0.4583658372070162
0.25,1.0,41750,32523,32523,1.0,529,0.8472856418061897,0.3011562874903151
0.25,0.3,41750,32523,32523,1.0,529,0.8472856418061897,0.3011562874903151
0.25,0.25,39993,31328,31328,1.0,529,0.8116286149162861,0.3098395917026049
0.25,0.2,37613,29692,29692,1.0,529,0.7633282597666159,0.3219161906170128
0.25,0.15,34571,27564,27564,1.0,529,0.7015930999492643,0.33825781580009723
0.25,0.1,30266,24425,24425,1.0,529,0.6142262810755962,0.3613395205678311
0.25,0.05,24017,19674,19674,1.0,529,0.4874074074074074,0.3975448276077707
0.25,0.01,14530,12083,12083,1.0,529,0.29487569761542365,0.4583658372070162
0.2,1.0,39863,31248,31248,1.0,529,0.8089903602232369,0.310598123288611
0.2,0.3,39863,31248,31248,1.0,529,0.8089903602232369,0.310598123288611
0.2,0.25,39863,31248,31248,1.0,529,0.8089903602232369,0.310598123288611
0.2,0.2,37613,29692,29692,1.0,529,0.7633282597666159,0.3219161906170128
0.2,0.15,34571,27564,27564,1.0,529,0.7015930999492643,0.33825781580009723
0.2,0.1,30266,24425,24425,1.0,529,0.6142262810755962,0.3613395205678311
0.2,0.05,24017,19674,19674,1.0,529,0.4874074074074074,0.3975448276077707
0.2,0.01,14530,12083,12083,1.0,529,0.29487569761542365,0.4583658372070162
0.15,1.0,37493,29607,29607,1.0,529,0.7608929477422628,0.32246957575746404
0.15,0.3,37493,29607,29607,1.0,529,0.7608929477422628,0.32246957575746404
0.15,0.25,37493,29607,29607,1.0,529,0.7608929477422628,0.32246957575746404
0.15,0.2,37493,29607,29607,1.0,529,0.7608929477422628,0.32246957575746404
0.15,0.15,34571,27564,27564,1.0,529,0.7015930999492643,0.33825781580009723
0.15,0.1,30266,24425,24425,1.0,529,0.6142262810755962,0.3613395205678311
0.15,0.05,24017,19674,19674,1.0,529,0.4874074074074074,0.3975448276077707
0.15,0.01,14530,12083,12083,1.0,529,0.29487569761542365,0.4583658372070162
0.1,1.0,34132,27250,27250,1.0,529,0.6926839167935058,0.3405256045601078
0.1,0.3,34132,27250,27250,1.0,529,0.6926839167935058,0.3405256045601078
0.1,0.25,34132,27250,27250,1.0,529,0.6926839167935058,0.3405256045601078
0.1,0.2,34132,27250,27250,1.0,529,0.6926839167935058,0.3405256045601078
0.1,0.15,34132,27250,27250,1.0,529,0.6926839167935058,0.3405256045601078
0.1,0.1,30266,24425,24425,1.0,529,0.6142262810755962,0.3613395205678311
0.1,0.05,24017,19674,19674,1.0,529,0.4874074074074074,0.3975448276077707
0.1,0.01,14530,12083,12083,1.0,529,0.29487569761542365,0.4583658372070162
0.05,1.0,28741,23280,23280,1.0,529,0.5832775240994419,0.36970516548165033
0.05,0.3,28741,23280,23280,1.0,529,0.5832775240994419,0.36970516548165033
0.05,0.25,28741,23280,23280,1.0,529,0.5832775240994419,0.36970516548165033
0.05,0.2,28741,23280,23280,1.0,529,0.5832775240994419,0.36970516548165033
0.05,0.15,28741,23280,23280,1.0,529,0.5832775240994419,0.36970516548165033
0.05,0.1,28741,23280,23280,1.0,529,0.5832775240994419,0.36970516548165033
0.05,0.05,24017,19674,19674,1.0,529,0.4874074074074074,0.3975448276077707
0.05,0.01,14530,12083,12083,1.0,529,0.29487569761542365,0.4583658372070162
0.01,1.0,19382,16020,16020,1.0,529,0.39334348046676815,0.4268727639950373
0.01,0.3,19382,16020,16020,1.0,529,0.39334348046676815,0.4268727639950373
0.01,0.25,19382,16020,16020,1.0,529,0.39334348046676815,0.4268727639950373
0.01,0.2,19382,16020,16020,1.0,529,0.39334348046676815,0.4268727639950373
0.01,0.15,19382,16020,16020,1.0,529,0.39334348046676815,0.4268727639950373
0.01,0.1,19382,16020,16020,1.0,529,0.39334348046676815,0.4268727639950373
0.01,0.05,19382,16020,16020,1.0,529,0.39334348046676815,0.4268727639950373
0.01,0.01,14530,12083,12083,1.0,529,0.29487569761542365,0.4583658372070162
