,LPS934_150124,LPS935_150124,LPS936_150124,LPS939_150124,LPS940_150124,LPS941_150124,LPS942_150124
,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",1082.907284,0,0,3537.293677,1884.479778,25.96931238,0
(6S)-5-Methyltetrahydrofolic acid,0,3923.507273,0,4223.403821,0,0,0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0,0,0,29210.31431,0,24047.95247,0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",53368159.42,54462562.92,55155264.09,56904866.61,61742350.87,59785942.63,60099174.4
(CH3)2C=NC2H558,251987.5728,296633.9341,295150.064,294001.4109,298791.0707,312279.476,306359.3844
(pm)-alpha-Tocopherol acetate,0,1.479463523,0,0,0,2.495155922,0
(pm)-N-Propylamphetamine,867435.222,1367872.438,0,0,0,614409.6986,0
(pm)-Norketamine,482907288.7,513998328.7,330237506.8,459526356.5,531921137,400627530.6,823694461.5
(pm)-Phenylpropanolamine,29593363.21,4178151.788,18799266,21732837.49,41676894.98,32102088.33,39280429.64
"(R*,S*)-2,3-Dihydroxybutanoic acid",7905.413595,8712.664406,9661.352868,0,11389.27679,0,12231.38696
"(S,S)-(-)-Hydrobenzoin",303735.4019,1546090.957,1022995.423,534880.8944,807677.0902,315856.8478,166903.1126
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",24383562.14,7622167.37,6194801.52,1156139.651,735155.1256,0,0
"1-(2,4-Dimethoxyphenyl)-propan-2-one",4042386.309,5047985.974,5265422.739,5417909.449,5385328.812,5479547.951,6098442.096
1-(3-Methylphenyl)piperazine,11253.81121,16610.02341,12780.03171,13197.09111,12195.9471,13339.43858,19160.67174
1-(4-Hydroxybenzylidene)acetone,11266.56043,11978.56389,16587.66632,0,0,0,0
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",0,0,0,0,0,0,86549.68207
1-Aminocyclopropanecarboxylic acid,82277384.24,85648437.41,97002451.07,99136626.15,107775803.2,105603717.6,106263749.5
"1-Butanamine, N,N-diethyl-",6037930.583,6217377.264,6545320.327,6549091.491,6868098.137,6717662.02,7133242.499
"1-Cyclohexanone, 3-butyl-3-methyl-",0,0,0,0,0,0,0
1-Cyclopentylethanol,29050.56466,41318.80405,42176.86951,40893.59699,43926.49189,39600.48136,44601.68876
"1-Decanol, 2-methyl-",0,0,0,0,0,0,0
"1-Decene, 8-methyl-",0,0,31858.20736,0,0,0,0
1-Deoxypentitol,206.3386901,206.3947352,204.1334949,196.4268553,140.1083731,0.960301574,132.1376417
1-Hexadecanol,0,29944013.09,9164186.554,38733913.54,0,0,0
1-Hexanol,3632.820505,23181.66417,11662.59087,24515.13869,21417.80078,17420.85526,13464.9004
1-Hydroxy-3-methoxy-6-methylanthraquinone,418021.3698,0,0,616933.6378,860911.2186,809743.3217,648090.3503
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",17461229.77,16343304.07,23133147.01,18364204.77,17687243.37,16096844.06,15341171.44
1-Monoacetin,27259.05925,32583.75717,34691.2348,30073.60432,36434.63425,0,35910.77097
1-Octadecanol,1997781.912,1925124.858,1798884.465,2043339.297,1870030.488,1735003.721,1652405.836
"1-Octanol, 2-butyl-",492388.4396,544169.6941,252339.2275,583834.2033,802417.9031,387255.6803,1678734.362
1-Octanol,0,16799.72916,129856.4685,5038.888513,118352.6437,220798.2001,246599.7233
"1-Octene, 2-methyl-",1187370.346,1818335.88,2069421.31,1978871.232,3152230.725,3200806.627,3280593.178
"1-Pentene, 3,3-dimethyl-",0,0,0,0,8304461.618,0,0
1-Phenethylamine,0,55234.55589,43316.36683,0,67462.20584,42739.9227,103481.2232
"1-Phenyl-1,2-ethanediol",2758452.018,6186667.08,2222759.454,6163670.382,7019444.198,5708990.304,7237122.904
1-Phenylethanol,0,0,0,0,0,0,0
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",826918.1866,1276894.798,1310679.298,1144293.399,1231538.705,1200369.541,1244343.236
"1-Propanamine, N,N-diethyl- ",11226703.92,11843590.56,12740483.6,12568365.44,13208031.91,13526357,13466147.43
1-Tetradecanol,0,0,0,26359028.85,0,23105518.03,0
"1,1'-Biphenyl, 3,4-diethyl-",0,6622.461747,0,0,3641.184707,569.307546,3957.327269
"1,2-Benzenedicarboxylic acid",51850135.14,41582585.88,37014403.33,42033205.22,49156887.86,51398038.94,50057639.35
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",23597.88287,8815.944699,18280.50228,28568.34226,0,0,33631.87483
"1,2-Butanediol",0,0,0,17658769.55,0,0,0
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",0,0,0,0,0,0,0
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene",201020.1892,231955.1752,242060.0179,241838.8443,364241.4148,0,0
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",19530.73053,136339.8256,72826.14458,141557.2719,133013.1222,0,0
"1,2,3-Butanetriol",3456046.24,0,0,0,0,0,0
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",0,0,0,507506.1431,629674.3399,1668373.986,509202.5588
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",2757741.228,3046113.551,3184449.15,2303268.948,3377307.516,1819529.424,3573464.801
"1,3-Cyclohexanebis(methylamine)",0,0,0,0,0,0,0
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",0,0,0,21288.1854,0,0,0
"1,3,5-Benzetriol",6914.094316,9622.402613,7179.828736,10048.45199,0,7821.189931,8022.765986
"1,3,5-Trimethyl-1H-pyrazol-4-amine",16364.77544,8073.503458,12696.59731,12729.73892,13801.89784,11325.96896,13510.84739
"1,4-Butanediol",0,0,0,8569.518159,0,9778.874087,8943.662144
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",0,0,57705.23876,60546.63011,0,0,16625.97821
"1,4-Dioxaspiro[4.5]decane",0,0,0,0,0,355257.8066,0
"1,5-Anhydroglucitol",108789.403,0,112298.6776,116923.7319,122699.2418,121701.5684,24447.08572
10-Heptadecenoic acid,0,0,0,0,0,0,0
10-Nonadecenoic acid,0,0,0,0,0,0,0
12-Hydroxyoctadecanoic acid,112462.9687,0,0,0,0,0,0
12-Oxooctadecanoate,16805.04103,21088.08549,15949.09247,0,25780.11804,25572.00951,22438.73718
13-Docosenamide,6827172.137,59630.85479,9391629.351,11262571.53,8573514.291,8724126.493,8648728.029
"15-Oxo-11Z,13E-eicosadienoic acid",75.22610925,64.51431057,82.89329986,96.39173573,5.712992996,70.35260903,65.54007055
"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl- ",0,0,0,0,0,0,0
"1H-Indole, 1-(trimethysilyl)-2,5-bis[(trimethylsilyl)oxy]-",29019.88701,36153.54696,58512.56312,60848.55981,60370.59279,19212.25421,50550.36036
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",53410.28093,62886.77278,46031.76783,37364.99498,58068.53327,31132.03687,50741.94553
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",363454.1424,171359.0832,159126.5312,193310.2712,156813.2471,146005.1748,153297.1275
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,0,8412.234159,11415.06302,0,18039.3731,2211.318336,19690.55319
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",0,59.74339672,60.75557634,59.2070261,0,0,0
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",0,0,0,0,0,0,49538.63145
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,164.7745756,168.0209031,205.8904836,138.8662166,113.0489362,82.48964185,77.15158773
"2-Allyl-1,4-dimethoxybenzene",7201.936319,8204.175868,7712.86722,6830.745629,6046.603104,5318.385106,4858.216215
2-Amino-4-methylphenol,1071981.655,67991.90864,154271.7541,510621.6408,500465.0561,149924.0434,80150.49418
"2-Amino-4,6-dihydroxypyrimidine",145329.1914,262604.9229,278028.6062,238670.0954,181761.8347,231838.9582,175361.9486
2-Aminoadipic acid,0,0,204826.5592,85142.50766,0,0,105303.4477
2-Aminobutanoic acid,0,0,0,380088.7165,0,0,0
2-Butenedioic acid,10438355.78,9975877.353,29971684.72,10316395.34,6847894.597,2756418.296,8291420.147
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",0,0,0,0,0,0,0
2-Ethyl-3-hydroxypropionic acid,11063.43744,12275.81853,12849.75563,12454.61225,13278.88944,12425.5019,13662.0549
2-Furoic acid,0,0,0,8694.703884,0,0,0
"2-Heptanone, 4,6-dimethyl-",0,0,0,0,0,0,0
2-Heptenoic acid,12811.00086,13051.46442,11493.49328,12318.58311,10906.47627,0,15579.54355
2-Hexen-1-ol,570019.5797,594597.5739,598890.8038,638036.2236,531198.0832,566719.454,588048.4727
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",978.9765154,936.4093333,875.065068,1087.806918,761.0891459,878.1988234,1175.598553
2-Hydroxy-2-methylbutyric acid,64226.5034,71751.95564,69658.4109,57291.6178,55570.46854,50924.85218,46611.30694
2-Hydroxy-3-methylbutyric acid,8121644.59,15901116.5,16798843.15,0,0,0,12031026.64
2-Hydroxy-5-methoxybenzaldehyde,4273029.391,4636645.392,4135630.186,4427390.005,4006592.337,4290991.972,4780246.603
2-Hydroxybutyric acid,484902.1831,528915.9927,253869.7119,0,407508.4328,395611.1841,0
2-Imidazolidinone,0,0,0,0,0,0,0
2-Isopropyl-5-methyl-1-heptanol ,0,535100.1033,0,0,0,0,0
2-Ketoisocaproic acid,38516.03669,37868.87786,40351.57916,42035.22032,40353.78599,40007.60773,0
2-Methyl-4-pentenoic acid,4942.654989,7188.897862,7163.855289,6035.401331,0,6393.820587,16128.82071
2-Methyl-E-7-hexadecene,0,0,0,0,0,0,8359.030672
2-Methylglutaconic acid,485177.9653,450921.2039,907504.9147,928958.6802,501511.3274,945589.5659,525892.7782
2-Naphthol,92323.85246,96846.21334,98090.66131,92990.62102,117338.0529,91724.78028,115255.9794
2-Oxooctanoic acid,0,0,0,0,0,376203.1668,0
"2-Pentenedioic acid, 3-methyl-",0,0,2560.390567,0,2698.736393,0,0
2-Pentenoic acid,0,22929468.39,24071352.16,0,0,5674012.831,26088619.82
2-Piperidinone,0,152220.09,163821.3225,0,0,0,0
"2-Propanone, bis(1-methylethyl)hydrazone",0,0,0,0,3305892.057,0,0
"2-Propenamide, 3-phenyl-N-2-propenyl-",216816.205,0,591053.314,274308.9084,0,351201.3678,276596.4027
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",0,0,0,0,0,0,0
"2-Propenoic acid, 2,3,3-tris[(trimethylsilyl)oxy]-",0,0,0,0,0,0,0
2-Pyrrolidinone,307266.8327,318196.2024,298436.2121,376042.0455,344352.6414,366004.9602,353928.6065
2-Trimethylsilyloxysebacic acid,0,0,0,0,0,0,0.887211519
"2,2-Diallylpyrrolidine",18791.02017,85019.40033,142375.5483,0,20786.5059,162872.6305,0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",1697.892338,2061.583901,1796.574544,2056.961043,1956.676766,1797.787403,2307.445465
"2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene",0,292344.2694,239360.0745,227331.7355,0,0,73275.06878
"2,2'-Biphenyldiol",0,0,0,0,0,0,0
"2,3-Butanediol",778972.873,1395817.183,870949.0556,1108126.035,856570.3956,955105.8249,934660.1997
"2,3,4-Trihydroxybutyric acid tetrakis",5377.60713,8235.554031,7559.695767,7315.260185,6036.456939,7595.795156,4448.519778
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",227960.8503,0,0,0,955449.9516,1326869.418,0
"2,4-Decadienal",21437.82955,24750.98154,22308.91233,160501.1204,141912.1552,166126.5903,129871.7338
"2,4-Diamino-6,7-dimethylpteridine",187982.5652,196827.6475,205161.0952,66034.12619,211666.425,205967.7405,215176.175
"2,4-Imidazolidinedione, 5,5-dimethyl-",0,7312.390044,0,0,18673.01158,18567.16676,18472.83523
