,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124
,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(6S)-5-Methyltetrahydrofolic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2559.185703
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",55716.32802,68927.24701,36403.74621,70552.24067,37062.39853,44126.22029,46603.94766,52860.38808,26629.53369,80411.1328,29930.24744,47349.69077,29606.72901,42866.91699,40948.95444,0,61853.24664,25748.06454,60962.88974
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",69403521.44,70361376.57,80998652.86,67804279.72,75463605.38,104847946,117817850.9,94855403.92,87198586.53,101250200.7,95741476.12,102778674.2,124534969.3,107600475.7,94827634.91,123138022.5,96539223.36,95611327.56,112955667.8
(CH3)2C=NC2H558,342747.2355,364039.4793,301617.3615,365474.4453,368420.5156,302211.1836,334682.633,299481.5048,328777.4487,319490.433,325348.9959,320927.8852,327161.2423,328242.0833,324828.6844,342676.1179,331655.962,331486.128,358144.55
(pm)-alpha-Tocopherol acetate,0,0,0.277418993,2.280309365,0,0,1.165035614,0,0,0,0,0,0,0,0,0,0,0,0
(pm)-N-Propylamphetamine,1933564.677,0,0,968026.9111,0,880619.2997,0,0,0,0,0,1467164.663,1417416.012,1462433.104,1466782.187,1560570.558,0,0,1267315.236
(pm)-Norketamine,1308157247,0,484813853.1,0,0,294296913,729433159.4,859229369.4,737045687.4,899894377.4,648999758.2,1314997411,802612897.1,941144955.8,933572482.1,1234940581,947946617.6,1037033815,923416985.8
(pm)-Phenylpropanolamine,18870895.6,16908896.02,32161830.54,17001373.08,13812659.62,29400643.15,0,36978865.08,28033430.71,51455816.51,38505195.94,38325901.16,17579259.14,32946551.3,20032718.74,0,39914641.19,35458315.26,26290438.45
"(R*,S*)-2,3-Dihydroxybutanoic acid",14458.94524,15561.86458,11053.30805,15059.09078,15519.136,11067.83282,11125.64925,0,0,0,0,0,0,0,0,0,0,4159.350212,0
"(S,S)-(-)-Hydrobenzoin",212854.4192,155982.4502,0,110195.338,173624.7625,488925.7674,822031.1379,269232.6506,563971.9689,848518.6445,1057870.009,184572.8014,380140.8685,330161.5045,373623.267,0,124522.6007,120498.9114,808963.9832
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",100887320,45668368.82,41068381.98,37143953.3,30449306.72,79710129.16,148624066.3,9523874.974,37745909.37,16226484.42,157460259.3,33445529.43,77483755.19,59971960.08,50607094.31,59816581.27,30567116.58,35946511.03,32020504.59
"1-(2,4-Dimethoxyphenyl)-propan-2-one",6596052.662,6507215.257,5147334.98,6468796.12,6482494.268,6010038.849,6587184.064,5713795.35,6600179.886,6054993.852,7758964.62,7013671.563,8365832.036,6309102.892,6464044.811,6784928.162,6400127.145,6858065.651,6985386.177
1-(3-Methylphenyl)piperazine,14222.03444,0,13061.88209,0,13583.0355,18402.641,14144.55339,10893.78903,12095.12123,11310.51471,21221.41355,11531.63557,12360.31552,0,13362.43882,14075.3559,0,24809.4492,13540.36508
1-(4-Hydroxybenzylidene)acetone,50384.06421,0,0,18129.03774,0,0,29093.31108,47556.87824,0,22480.09832,0,17775.66421,23918.02965,0,0,0,0,0,0
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",61930.89065,13198.12765,2541.452364,12387.68714,43393.21662,13030.17937,239.4198357,606194.6322,0,720442.8897,8829.096721,0,579169.0493,0,0,0,457726.6489,0,0
1-Aminocyclopropanecarboxylic acid,100165078.2,113213137.9,107597432,99849812.88,117362496.5,60666400.34,62803534.76,86858143.76,97491972.32,71912106.11,81025391.57,107521651.2,109387389.4,111886685.2,87560270.64,97614085.57,90930079.66,89626368.24,96396691.84
"1-Butanamine, N,N-diethyl-",9579665.191,9535562.35,7547887.934,9694792.915,9487235.018,7558186.714,8362387.439,7232173.465,7634690.248,7628182.194,7448630.232,7420431.955,7448716.705,7569927.75,7469943.761,7911345.292,7728138.079,7560665.521,8710847.067
"1-Cyclohexanone, 3-butyl-3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142201.9628,234861.6277,236974.5265,133245.5923
1-Cyclopentylethanol,68778.22814,97593.62593,38063.25402,97746.53542,98783.76101,80985.65094,74494.24094,84855.37585,85553.44589,86768.67011,82253.32653,63479.68941,90428.71475,88451.74682,89756.4825,95236.06538,88693.35595,91340.57524,99732.89728
"1-Decanol, 2-methyl-",0,0,0,0,0,0,2194470.454,0,0,0,0,0,0,0,0,0,0,0,0
