,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",58683.78858,97327.66424,722905.8594,0,167499.9073,172229.6347,172719.0418,344317.7713,31140.93872,1469489.968,1648875.081,1027519.296,0
(6S)-5-Methyltetrahydrofolic acid,0,0,0,0,0,1626.406177,0,0,0,0,728.2768874,0,0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",11053.59645,17693.90947,42480.18472,26509.54072,19025.51736,38261.05915,15757.83515,20337.89271,18707.02679,56690.00638,23434.14968,0,0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",82373506.07,86163889.26,86970797.82,85164423.58,84383059.94,76765308,86235990.95,89362741.55,79624473.52,89632951.95,105778242,0,68372583.95
(CH3)2C=NC2H558,226711.3569,277354.2213,301841.6615,352983.9861,272398.4082,312747.7562,291721.7253,329702.4956,310598.9158,212864.6318,195462.1485,202188.2884,186270.2724
(pm)-alpha-Tocopherol acetate,7305.48687,17856.35852,18633.34465,13407.64638,6152.531211,21869.40626,9161.840561,13245.44733,24216.73376,13110.05798,54219.8128,85997.29046,0
(pm)-N-Propylamphetamine,0,0,0,503735.3246,9359171.549,9859371.239,0,0,4960486.624,5165614.7,6158798.636,0,0
(pm)-Norketamine,694168771.7,422112642.1,521223353.8,407223156.1,346015681.2,437989920.1,372593326,386530118.3,762721022.9,1037907192,1434471655,792310267.5,284250173.8
(pm)-Phenylpropanolamine,55912183.62,71540626.37,32632286.08,19718561.7,66849540.44,46363787.59,43125717.58,33862074.01,0,22006961.41,0,6025941.137,42577867.01
"(R*,S*)-2,3-Dihydroxybutanoic acid",1903.317693,0,0,2478.264414,2939.053989,26117.24152,4178.436308,3823.476271,0,0,0,0,0
"(S,S)-(-)-Hydrobenzoin",255884.3536,215689.1105,0,2221219.39,0,0,105925.0591,210396.7069,251039.4869,5169994.066,2300243.096,0,0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",54008809.07,4168976.714,500764.2774,183834.7514,44767699.12,2205235.884,3323489.16,54223600.99,288237.1905,34499545.41,36494776.06,189733117.3,13770121.99
"1-(2,4-Dimethoxyphenyl)-propan-2-one",2944231.03,4961256.394,7912459.573,1052519.623,4097029.735,6269056.254,7529536.318,7417944.533,2641147.739,0,0,0,0
1-(3-Methylphenyl)piperazine,7757.933087,10815.74996,0,32479.33107,0,0,0,0,7392.069854,0,0,0,11228.89243
1-(4-Hydroxybenzylidene)acetone,0,31730.96701,0,0,0,0,0,0,0,0,0,4129.207361,1610.392256
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",202217.3112,235122.5983,291310.5256,41292.66229,153685.906,240080.1394,265111.5669,388140.2766,168242.6679,550793.4013,475783.8936,471030.0412,50805.78711
1-Aminocyclopropanecarboxylic acid,596467805.5,1039918971,400923728.9,2296105889,220816872.1,429828878.5,737959577.9,366697334.3,770608645.7,15961189217,10649932027,124793037.7,639644323.7
"1-Butanamine, N,N-diethyl-",7186639.872,7685439.095,8935855.355,9471546.962,8362608.307,7837845.185,8499472.507,9005186.928,7589343.565,8518385.414,8488280.047,9634724.504,8470841.916
"1-Cyclohexanone, 3-butyl-3-methyl-",0,27074.70847,0,101348.7086,0,0,0,24184.82326,14451.80538,411.0751591,196.02195,91.46052243,0
1-Cyclopentylethanol,113808.804,104092.9923,130516.2235,107348.1013,99716.38521,0,0,128041.9314,0,119753.4397,109294.6905,111575.2402,98262.43454
"1-Decanol, 2-methyl-",38590109.25,41338101.46,51903221.25,35545816.44,37471142.7,38508324.74,40801677.03,34130782.3,40524466.81,0,0,0,0
"1-Decene, 8-methyl-",6757324.556,0,2641164.15,642920.9002,769054.5015,6076977.402,0,790129.5188,863327.5131,0,0,5066.280499,0
1-Deoxypentitol,0,0,0,0,0,0,0,12.08545037,0,90.97701068,52.25076709,108.2292075,30.78327999
1-Hexadecanol,1566553.947,3817436.838,1552230.641,1457877.796,3353195.106,3414842.342,1583868.158,1312837.08,3438243.901,0,0,0,0
1-Hexanol,0,81588.92378,0,45730.66204,15074.42881,0,31549.77181,0,0,18258.51026,16913.48478,0,0
1-Hydroxy-3-methoxy-6-methylanthraquinone,0,0,0,0,0,0,0,0,0,0,0,10525.2918,5665.147212
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",19923785.32,70635253.98,43321928.09,40476017.66,31170801.46,40589222.77,52357304.66,75837004.53,26716442.3,148425394.8,166937262.6,143942958.9,23026861.06
1-Monoacetin,93717.35278,226185.1541,146593.7814,491933.1443,12787.49968,123475.0767,149137.7002,146346.1381,122322.321,877127.7368,792955.7315,801278.3532,0
1-Octadecanol,1097603.826,4256257.49,1460006.797,1635980.311,1549153.508,3191999.563,1819372.927,0,3052613.134,1784346.059,2303107.857,1296178.283,1907845.325
"1-Octanol, 2-butyl-",97319.95752,1116377.16,1659602.17,1399860.124,0,1552885.655,0,1002934.845,1123419.147,290507.1942,226835.4139,111689.5587,567966.8528
1-Octanol,157749.1025,188882.7749,208738.23,202715.0006,176127.9052,195743.7482,183115.3799,256142.418,168849.6652,0,18901.45719,0,349889.7049
"1-Octene, 2-methyl-",1285885.124,1319955.051,1400021.791,1499873.875,1313046.067,1383777.436,757392.1311,1457079.596,1479395.089,0,619624.0131,0,676182.4521
"1-Pentene, 3,3-dimethyl-",0,0,0,6816839.027,0,0,0,0,0,8647981.797,4049157.661,2587833.325,0
1-Phenethylamine,1628086.377,0,3048673.961,1053979.632,1260800.925,1835737.045,1168700.455,2893370.807,2682000.968,15050215.81,8545264.254,10650632.41,0
"1-Phenyl-1,2-ethanediol",1474128.314,4417153.514,2012887.597,1843683.755,4731012.934,4571472.872,1666915.379,1850100.889,5157064.807,0,0,0,786820.4191
1-Phenylethanol,0,59277.53321,0,0,0,0,0,110567.5647,0,4534.95934,0,0,0
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",0,0,0,3613283.911,0,0,0,572853.3337,295544.1057,0,0,0,0
