,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_76_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",10.979935833903555,11.485848821294718,13.491035667669335,0.0,12.028744046949006,12.056589757011412,0.0,12.059427307198849,12.749323168026327,10.346310701638853,14.200426618513953,14.31560445074952,13.842658977955496,0.0
(6S)-5-Methyltetrahydrofolic acid,0.0,0.0,0.0,0.0,0.0,7.3947427238802765,7.530704886801028,0.0,0.0,0.0,0.0,6.592053478003016,0.0,0.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",9.31060158878085,9.781032276631976,10.656816544415822,10.185297695906444,9.853588935659918,10.552214061462365,10.261074441926176,9.665156448878228,9.920290229084312,9.836707950852448,10.945370859498052,10.061992297364359,0.0,0.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",18.226774427041526,18.271761741371563,18.28108297453009,18.26009435272255,18.25087723966026,18.156263390338967,18.189294916965355,18.272598188511544,18.308214403279326,,18.311233588791062,18.476855413518994,0.0,18.040482497424495
(CH3)2C=NC2H558,12.331437342729581,12.533054350977714,12.617661172184793,12.774180802716293,12.515024680714752,12.653155451342831,12.496899606133143,12.583559059231963,12.705949031369405,12.646260918608471,12.268416409010703,12.183127141918213,12.21695960889326,12.134959343948045
(pm)-alpha-Tocopherol acetate,8.89651784488305,9.790170944276197,9.832761643599763,9.50365503009209,8.724781376672333,9.992889689629967,0.0,9.12291151450825,9.49148466942442,10.094840443777956,9.48121127373049,10.900820113718607,11.362082696665974,0.0
(pm)-N-Propylamphetamine,0.0,0.0,0.0,13.129808244678507,16.051867441661393,16.103933057107742,0.0,0.0,0.0,15.417014605159194,15.457534859626929,15.633392452235476,0.0,0.0
(pm)-Norketamine,20.35822567723412,19.860782763158923,20.071689211881033,19.824871890689693,19.66199465627234,19.897706456888745,20.813593351136902,19.73599810668529,19.772720351286672,20.452402891852238,20.760472208251613,21.08406243438951,20.490463626220034,19.465365305546356
(pm)-Phenylpropanolamine,17.839292886108183,18.085776061256276,17.30081275744022,16.797071019086957,18.017955001952423,17.652029294192612,16.48759983039787,17.579630095901614,17.337806214835304,0.0,16.906869434437333,0.0,15.611584396402584,17.56684514595529
"(R*,S*)-2,3-Dihydroxybutanoic acid",7.551879056999695,0.0,0.0,7.815717187904331,7.986183223769561,10.170389258000021,7.838416599543704,8.337931661879656,8.2491768142715,0.0,0.0,0.0,0.0,0.0
"(S,S)-(-)-Hydrobenzoin",12.452484785652537,12.281597982925621,0.0,14.613567328030129,0.0,0.0,13.1510671614064,11.570496574028677,12.256754861022042,12.433369507496527,15.458382292132125,14.648525803963778,0.0,0.0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",17.80465774066557,15.243181411202208,13.12389276209912,12.121797982502219,17.616997457890243,14.60634549147834,12.517782682791697,15.016526041725225,17.80862683269433,12.571542467647621,17.356456734378927,17.412679714067185,19.061129002166172,16.438011802400606
"1-(2,4-Dimethoxyphenyl)-propan-2-one",14.895358570263245,15.417169773428515,15.883949362546957,13.866698438645995,15.225773058331477,15.651136543090457,14.321627627064776,15.834344152735524,15.819412694459556,14.786724508890677,0.0,0.0,0.0,0.0
1-(3-Methylphenyl)piperazine,8.956600114936155,9.288851133896728,0.0,10.388389987265537,0.0,0.0,0.0,0.0,0.0,8.90829833418012,0.0,0.0,0.0,9.326334468879844
1-(4-Hydroxybenzylidene)acetone,0.0,10.36507987477683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326082893169252,7.384853839572581
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",12.217103141309954,12.367866605075726,12.582148508247885,10.62846431172569,11.942672733965313,12.388732226021014,11.648722490484174,12.487909795529273,12.869124667280103,12.033168611731892,13.219116881115404,13.0727211268724,13.06267927571015,10.835785229169842
1-Aminocyclopropanecarboxylic acid,20.20653582738358,20.76240863552597,19.809281767429955,21.554480433678247,19.21284428747287,19.878897732795753,20.934408392318314,20.419399609926543,19.720047366312127,20.462691210830467,23.49342593859818,23.08881934673406,18.642167232696423,20.276422837179553
"1-Butanamine, N,N-diethyl-",15.787734426091188,15.85483820006857,16.00558254473626,16.063802911360696,15.939281054424375,15.87447463328276,15.83151265523371,15.95551477918922,16.01331140566927,15.842255790570535,15.957737492841153,15.954197069825817,16.080884369959282,15.952140579504293
"1-Cyclohexanone, 3-butyl-3-methyl-",0.0,10.206392238470517,0.0,11.52633227669101,0.0,0.0,10.16968656265132,0.0,10.093521924785238,9.578643818641718,6.021205757712109,5.283315143850891,4.526781768879396,0.0
1-Cyclopentylethanol,11.642283948105925,11.553049542082778,11.779260477879092,11.583841431590468,11.510095315974015,0.0,0.0,0.0,11.760120888229723,0.0,11.69319858932495,11.601812245207995,11.62246340482893,11.495407258704287
"1-Decanol, 2-methyl-",17.46850659046748,17.537295210341973,17.764891431950687,17.386333054408617,17.439081693389184,17.46638502886572,17.730932665493828,17.524233766714925,17.345710271102977,17.517416493112368,0.0,0.0,0.0,0.0
"1-Decene, 8-methyl-",15.726137741927166,0.0,14.786730722455545,13.373778534256386,13.552918419485472,15.620018157054899,14.683392835348588,0.0,13.579953424467815,13.668550561710171,0.0,0.0,8.530559561946475,0.0
1-Deoxypentitol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5715009541899487,0.0,4.52153866190981,3.975012209931786,4.693448495496348,3.4589403650339627
1-Hexadecanol,14.264389465043935,15.155090032510783,14.255204221809796,14.192493057779723,15.025424510466387,15.043642176435538,14.990440462913895,14.275381245672026,14.087701825040561,15.050471695953968,0.0,0.0,0.0,0.0
1-Hexanol,0.0,11.3094610502393,0.0,10.730546160623184,9.620821466298626,0.0,0.0,10.359353330744629,0.0,0.0,9.812441333416889,9.735925621395312,0.0,0.0
1-Hydroxy-3-methoxy-6-methylanthraquinone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.261631387361136,8.642264661697844
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",16.807424868363736,18.073039940146543,17.584169510269017,17.516220224845615,17.254992396038375,17.519013164956437,17.163502459580137,17.773602039698773,18.144096931086168,17.10078978774285,18.815593004784123,18.93312863273461,18.784927667261716,16.95217200806267
1-Monoacetin,11.448049316496295,12.329113629915364,11.895427470256742,13.106100133466546,9.456301583548356,11.72380270535461,11.479809969685052,11.912632025758748,11.89373673675288,11.71442299033249,13.684409052827686,13.583523936076665,13.59396492080497,0.0
1-Octadecanol,13.90864093280998,15.263901043591627,14.193952334081219,14.307753372485447,14.253219861358117,14.976158413930268,15.241704674953056,14.414003003718882,0.0,14.931508874603786,14.394563112999885,14.649770445162954,14.074931481975012,14.461485585293822
"1-Octanol, 2-butyl-",11.485769635731096,13.92560021757226,14.322089077537845,14.151883592522267,0.0,14.255626114921283,13.93400533493937,0.0,13.818442101787678,13.931888292870166,12.579387062105202,12.331984393062779,11.6234874577607,13.249820098918509
1-Octanol,11.968767430165531,12.148887157264893,12.248841048567776,12.219561266670535,12.07897142184374,12.184566784374368,12.025086227441736,12.117877185427107,12.453492793155885,12.036769965397307,0.0,9.847047202650069,0.0,12.765376112984347
"1-Octene, 2-methyl-",14.066958629314547,14.093108999311303,14.151999073738695,14.220892245926407,14.08786099955791,14.14032831274867,13.669893123401817,13.537637725356687,14.191945400051015,14.207144514493097,0.0,13.336869756464694,0.0,13.424219697054676
"1-Pentene, 3,3-dimethyl-",0.0,0.0,0.0,15.734906583295333,0.0,0.0,11.943783017477315,0.0,0.0,0.0,15.972836649053134,15.214019679477499,14.76633191593863,0.0
1-Phenethylamine,14.302916495480288,0.0,14.93021761517123,13.868084632203034,14.047258524892962,14.422957162967988,14.34152987300295,13.971403822893521,14.877933095230246,14.802074076604253,16.52690295503546,15.960887916062909,16.181129923468504,0.0
"1-Phenyl-1,2-ethanediol",14.2035780778698,15.30100627162858,14.515081361312076,14.427276711325485,15.369650099863652,15.335346221159588,15.444942323919458,14.32648599790726,14.430751270673063,15.455878333665272,0.0,0.0,0.0,13.575756588181914
1-Phenylethanol,0.0,10.990002516242793,0.0,0.0,0.0,0.0,11.958371805937595,0.0,11.613391102535129,0.0,8.419791881522615,0.0,0.0,0.0
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",0.0,0.0,0.0,15.10012786420311,0.0,0.0,14.101072336681133,0.0,13.25838674644983,12.596576746142466,0.0,0.0,0.0,0.0
"1-Propanamine, N,N-diethyl- ",16.42385835568823,16.51340693300957,16.562319512968916,16.568407738137683,16.403390210568187,16.50875272802263,16.52574342731215,16.50198532155047,16.53787704557979,16.521179084463146,16.534984916834354,16.478931745090577,16.54749347194928,16.531568404126972
1-Tetradecanol,14.927440591476588,14.940319247640764,15.67507408923638,15.602756100403129,15.264826724887202,14.117006727647656,15.258649412031106,14.873146133893883,15.289581001674422,14.92408540051316,16.18718713038335,0.0,16.159149840919127,0.0
"1,1'-Biphenyl, 3,4-diethyl-",12.200845427398988,12.036773461379791,11.665367036532237,12.254178589483855,11.674006040933339,12.388452791857729,12.246934815083401,12.025325758692473,11.945241579862492,11.558955204575831,13.590950191190885,12.892925341572262,0.0,12.842479540587039
"1,2-Benzenedicarboxylic acid",16.289968064271104,17.22906567925518,16.22177528262183,16.546922539174947,17.00255612826324,17.211519132352795,17.16068755997985,16.376487246353634,16.42949172805158,17.103259390122666,8.334519060555351,8.208604338267204,8.459345749874743,7.3684808164151505
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",0.0,0.0,0.0,11.605021660911765,0.0,0.0,9.421031295758608,0.0,0.0,0.0,10.917848769790764,0.0,0.0,0.0
"1,2-Butanediol",0.0,0.0,0.0,0.0,13.800817887575615,14.158848629988363,0.0,0.0,14.049368165844655,14.25675249624709,0.0,13.303691092000692,0.0,0.0
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.376844790451079
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene",10.022123400888812,10.306871680573089,11.024392497828797,10.21451235848668,10.585138861292057,11.195126470639776,10.887989145433409,11.505386967464354,10.514220056527208,9.524100642017789,0.0,0.0,0.0,0.0
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",9.889447276031127,10.806059188292574,0.0,10.949995794034926,11.86008152998902,10.584789630035266,10.925838159559241,11.296389745767087,11.23933729272746,10.706613834447918,0.0,0.0,0.0,0.0
"1,2,3-Butanetriol",0.0,13.427549379523063,0.0,0.0,0.0,10.720943863396826,13.750674282635657,11.940230890194073,13.877420502105835,13.926470005807706,12.832672440000481,13.338058493388239,12.272548065292945,10.061134695178286
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",14.85197025414643,14.737962861508269,14.924812478062915,14.457048735358528,14.673474986987408,14.894078285992693,14.637519285560446,14.752200393324959,14.805185903545787,15.063202775906827,16.36545840877514,15.286820834985766,16.041360139876378,15.21230634137538
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",13.500616828575703,13.806759326192365,13.016853072973168,15.495912482470649,12.310596326289327,12.524077617062094,14.186473341555095,13.340303368853215,13.540560609990159,13.552139220709169,10.364654359953601,0.0,0.0,0.0
"1,3-Cyclohexanebis(methylamine)",0.0,0.0,12.490826916776808,15.593511639482186,0.0,0.0,0.0,0.0,13.57438732123024,13.56749477950809,15.386783610276048,15.182872214665334,15.537434409980648,13.149289215075607
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",10.757914914236814,11.635836238832576,10.87852213520283,10.930060117953577,11.605528677879756,11.644214751201686,11.582864086161575,10.783851094306755,10.944821864805206,11.66033100828229,13.249579122446248,14.289502341440198,12.774370320580081,0.0
"1,3,5-Benzetriol",0.0,0.0,0.0,10.267119960741718,0.0,7.698910265206977,9.352263282993212,0.0,0.0,8.502530647381088,0.0,10.633903383078563,10.872863230880274,9.575571124675959
"1,3,5-Trimethyl-1H-pyrazol-4-amine",9.349182623739464,9.223446601895539,9.442921659422995,9.674401871686673,7.313459499833904,9.154466557320577,9.713265280525095,9.25137152798065,9.745871506005468,9.60435815745123,4.598241431008278,4.417393892048811,4.0823703722336235,0.0
"1,4-Butanediol",7.166546967083853,0.0,9.561214983966703,9.664259729428013,5.880888318234933,8.523618056298888,0.0,0.0,0.0,8.215868754037508,7.155212834638294,6.633495290403392,0.0,0.0
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",11.01126262159189,11.771645206223738,10.81179732289369,13.391902929202052,0.0,10.247141128645229,11.776125835188484,10.940364557987964,11.322461011397602,10.46632309663195,14.865691070334346,13.725949010415697,14.15814427220802,0.0
"1,4-Dioxaspiro[4.5]decane",17.834542719615243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.97591839329862,0.0,0.0,0.0,0.0,8.654354508486254
"1,5-Anhydroglucitol",12.741756620443825,12.700550348549388,0.0,12.743715898243984,12.46622878156781,12.663179754753964,12.727584340614046,12.655728902658208,12.683827650713734,12.643546735232537,13.753571188902576,13.766678251596872,13.674767969337717,12.743665918532505
10-Heptadecenoic acid,11.790613953745952,12.198241011687559,12.06376043122424,10.8154425149317,11.20732616890719,11.88632622443536,0.0,12.20596494973119,11.933180812260742,12.056613469700999,13.509907860969621,13.598160376255112,12.592752913800739,11.554826230687544
10-Nonadecenoic acid,8.712741760814072,0.0,9.173836481531612,0.0,8.04311743108746,8.995835023229427,0.0,0.0,0.0,0.0,10.24564272280021,10.074392759254005,9.699394348690296,0.0
12-Hydroxyoctadecanoic acid,0.0,12.606922968879868,12.736232643743795,12.603170656236065,0.0,12.73146210008853,12.62153894260415,12.640775439278922,12.646585841434659,12.728217706455823,14.640689749199723,14.345811189482669,0.0,0.0
12-Oxooctadecanoate,10.479872249124618,10.715850100697347,8.681863024331879,10.712113049370354,10.569518859303482,10.561410400206814,10.585499367396388,0.0,0.0,10.795922322075459,9.977862004109626,9.89320900680635,9.820836912243955,9.821346193734032
13-Docosenamide,15.32487360615183,16.112073644620995,15.234498580670909,16.947595846183095,15.083704160646743,15.54413685320281,15.769105899134399,15.752640632584901,15.97243977939659,15.652969417774752,10.923421097381167,11.095344966007023,0.0,0.0
"15-Oxo-11Z,13E-eicosadienoic acid",8.330962318955583,6.748289434426714,0.0,9.913387510833491,6.798035671942115,0.0,0.0,0.0,0.0,9.395527977725283,9.604656515369877,9.648845872157402,9.929981094674059,10.109972045081076
"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl- ",10.064751095015264,11.481523035265495,13.579130750379809,11.146411452758418,0.0,12.063859858988504,11.760820845853157,12.322962159893052,11.1061719518747,11.161768657644023,0.0,0.0,0.0,0.0
"1H-Indole, 1-(trimethysilyl)-2,5-bis[(trimethylsilyl)oxy]-",0.0,11.145979109660352,11.359982879569609,0.0,0.0,0.0,0.0,11.305027845801035,11.44316042465193,0.0,10.66400958920184,11.713628129375913,11.094828667635399,0.0
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",0.0,10.835265946994344,0.0,10.736653896952168,9.606102236176019,9.80376745753356,0.0,10.502698965754078,11.015778277723776,10.282323853847416,11.372517064871294,0.0,0.0,11.182245017788857
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",12.21084603326616,11.648790383803423,13.329821228347434,12.50001407278356,12.703598105741145,12.795301258381038,12.954377045096967,12.562559525836049,12.871850540905726,13.396822210360368,13.795362950455264,13.545344716813267,13.729090290889296,11.325235581862904
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,13.159513999589329,13.504629969114314,12.979504454190856,13.02026876620337,13.312494236400653,13.105734789997815,13.006861753423136,13.755694038395248,13.256575923016474,12.541383855921199,0.0,0.0,0.0,14.08927899465049
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",0.0,0.0,10.81880498931224,0.0,0.0,0.0,0.0,0.0,10.173939310272155,10.916998817236854,0.0,0.0,0.0,0.0
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",8.208521027455634,10.372907173157019,7.919224273959991,8.989211904640836,8.14571076149291,0.0,0.0,9.242344397754431,9.777639053045641,8.134074765573914,0.0,0.0,0.0,0.0
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,0.0,7.999704919421007,0.0,0.0,0.0,0.0,0.0,6.275171703412432,0.0,0.0,6.829390607834142,6.771443124993439,6.050865700792418,4.641462667977217
"2-Allyl-1,4-dimethoxybenzene",9.128704190847898,0.0,0.0,0.0,0.0,0.0,0.0,9.000394731078778,0.0,0.0,12.121523770818813,11.927919953958414,12.096483688713386,9.41490351076935
2-Amino-4-methylphenol,13.925573870418106,13.745169098648539,11.156405486166637,0.0,14.083021327197258,14.134738442439666,14.344567473949386,14.769233916085952,13.128847201314382,14.498755621483747,0.0,0.0,0.0,0.0
"2-Amino-4,6-dihydroxypyrimidine",10.780843702189642,11.891811194263546,0.0,13.098343542073575,11.632965977274363,10.664944561795735,11.955671858038098,0.0,0.0,0.0,10.592792821897456,0.0,0.0,0.0
