,LPS934_150124,LPS935_150124,LPS936_150124,LPS939_150124,LPS940_150124,LPS941_150124,LPS942_150124
,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",10.082025640399891,0.0,0.0,11.788838080787727,10.880715962144812,4.753246833420076,0.0
(6S)-5-Methyltetrahydrofolic acid,0.0,11.938295817794526,0.0,12.044532036666123,0.0,0.0,0.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.0,0.0,0.0,14.834239650618345,0.0,14.553686433659122,0.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",25.669475947250653,25.698761565572322,25.716995275443793,25.762048729334783,25.8797571028912,25.833302994136158,25.840841860564105
(CH3)2C=NC2H558,17.942998786183555,18.178328985530104,18.171094017051555,18.165468460039992,18.18878233704329,18.252482848283048,18.224870228211568
(pm)-alpha-Tocopherol acetate,0.0,1.3100280010827374,0.0,0.0,0.0,1.8053568169393464,0.0
(pm)-N-Propylamphetamine,19.726398162286994,20.38350332088091,0.0,0.0,0.0,19.228843812049888,0.0
(pm)-Norketamine,28.847171000896196,28.93718843031291,28.298928747441973,28.775572373048416,28.986637128415808,28.577686327373744,29.61753404895927
(pm)-Phenylpropanolamine,24.81877037741101,21.994433819618028,24.164173075259075,24.3733732790441,25.312744496506003,24.93616386087181,25.227307410533868
"(R*,S*)-2,3-Dihydroxybutanoic acid",12.948807711088056,13.089063835702317,13.23815882544882,0.0,13.475515185305609,0.0,13.578418330376733
"(S,S)-(-)-Hydrobenzoin",18.21246029599286,20.560194698394508,19.96436966990186,19.028860844130563,19.623420878540863,18.268915892282763,17.348659978295657
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",24.539405624821033,22.861770046259505,22.562626861704942,20.140885489789696,19.487691143038635,0.0,0.0
"1-(2,4-Dimethoxyphenyl)-propan-2-one",21.946776125085456,22.26727675686931,22.32811820723325,22.369305117192024,22.36060327130189,22.385625711974022,22.540009545709573
1-(3-Methylphenyl)piperazine,13.45825423654755,14.019853340450464,13.64171667771417,13.68804166176319,13.574232465464151,13.7035184768658,14.225935812533596
1-(4-Hydroxybenzylidene)acetone,13.459887567062454,13.548287768044553,14.017910282065902,0.0,0.0,0.0,0.0
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",0.0,0.0,0.0,0.0,0.0,0.0,16.401257568466946
1-Aminocyclopropanecarboxylic acid,26.293992610222826,26.35192360674163,26.531517881042397,26.56291484013957,26.6834580867373,26.654085395985824,26.66307429676903
"1-Butanamine, N,N-diethyl-",22.525622978804755,22.567874924135815,22.642032588918696,22.642863575296126,22.71147943327488,22.679527996398765,22.766126791280826
"1-Cyclohexanone, 3-butyl-3-methyl-",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-Cyclopentylethanol,14.82632824598249,15.334545792107612,15.364198603059801,15.319622625879248,15.422836508364206,15.273266777297602,15.444843061529022
"1-Decanol, 2-methyl-",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1-Decene, 8-methyl-",0.0,0.0,14.959422753379954,0.0,0.0,0.0,0.0
1-Deoxypentitol,7.695845543111403,7.696235460988265,7.680419269016887,7.625174437790436,7.1406597870043225,0.9710756165068662,7.056774708555432
1-Hexadecanol,0.0,24.83576429641485,23.127575554424293,25.207093975081065,0.0,0.0,0.0
1-Hexanol,11.827271443105353,14.500758751070052,13.509724399030794,14.58144415093298,14.386590086660043,14.088610644811244,13.717023078693513
1-Hydroxy-3-methoxy-6-methylanthraquinone,18.673220622331478,0.0,0.0,19.234758123103415,19.715506617695812,19.627106920650885,19.30583765380632
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",24.05765191637452,23.96219643018805,24.463458268680448,24.130393166790235,24.0762059613406,23.940274615761634,23.870905408378142
1-Monoacetin,14.734501077407476,14.991909623208926,15.082325158514164,14.876258136091982,15.1530624840461,0.0,15.132169180049571
1-Octadecanol,20.92996839129493,20.876521336574292,20.778671902474557,20.96249805920598,20.834631132056863,20.726508157749624,20.656137503066393
"1-Octanol, 2-butyl-",18.909440294748038,19.053699737869234,17.945010690218037,19.155201677560548,19.61399606728546,18.562930600611256,20.678943389222862
1-Octanol,0.0,14.036236227594436,16.98656946464152,12.299176104990256,16.852744596791563,17.752375420040877,17.91181750572579
"1-Octene, 2-methyl-",20.179339772415805,20.794188079131782,20.980796657427724,20.916247035569832,21.58794216256399,21.610004540830264,21.645525707344394
"1-Pentene, 3,3-dimethyl-",0.0,0.0,0.0,0.0,22.98545538369725,0.0,0.0
1-Phenethylamine,0.0,15.75330962830223,15.402657926817923,0.0,16.04181325615597,15.383330433086371,16.65902342859685
"1-Phenyl-1,2-ethanediol",21.39542797800775,22.56073120353702,21.083921047402193,22.555358515505716,22.74292557681632,22.444804434129566,22.786985040967334
1-Phenylethanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",19.657386818599676,20.284209367001893,20.321884394672207,20.12602683939204,20.2320317105863,20.19504838777928,20.246954217871558
"1-Propanamine, N,N-diethyl- ",23.420431217672622,23.497603307684717,23.602916817529493,23.583293813408222,23.654912284293292,23.689270107174146,23.68283393628017
1-Tetradecanol,0.0,0.0,0.0,24.651793936820383,0.0,24.461734162008415,0.0
"1,1'-Biphenyl, 3,4-diethyl-",0.0,12.693369722220734,0.0,0.0,11.830588372577024,9.15559631156661,11.950675182000637
"1,2-Benzenedicarboxylic acid",25.62784444125862,25.309476176204296,25.141583475802065,25.325026171171878,25.550890274627506,25.615210007623695,25.57708695013215
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",14.526430946083284,13.106063095633841,14.1580970080884,14.802180201642447,0.0,0.0,15.037584480617982
"1,2-Butanediol",0.0,0.0,0.0,24.073881566475258,0.0,0.0,0.0
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene",17.61698805515728,17.823492728953198,17.885011237331835,17.883692429687372,18.474539403502533,0.0,0.0
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",14.2535321585972,17.056858098733297,16.152188660355517,17.111036529441176,17.02121990021069,0.0,0.0
"1,2,3-Butanetriol",21.720691506862575,0.0,0.0,0.0,0.0,0.0,0.0
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",0.0,0.0,0.0,18.953068602631028,19.264248642342867,20.6700121564528,18.957882976639887
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",21.39505618072065,21.538538765598556,21.60261285723753,21.135252077205987,21.687442544397427,20.795134743717252,21.768892550695632
"1,3-Cyclohexanebis(methylamine)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",0.0,0.0,0.0,14.377833127749048,0.0,0.0,0.0
"1,3,5-Benzetriol",12.755533213304311,13.232331372519795,12.80993463906169,13.294829211016786,0.0,12.933356851311459,12.970063814869349
"1,3,5-Trimethyl-1H-pyrazol-4-amine",13.998394341048442,12.979157828591648,13.632267909863009,13.636028538402348,13.75268356398112,13.467474234405751,13.721937318327322
"1,4-Butanediol",0.0,0.0,0.0,13.065166714533301,0.0,13.255600175685194,13.12681127477817
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",0.0,0.0,15.816439680076291,15.885782872161679,0.0,0.0,14.021238376342177
"1,4-Dioxaspiro[4.5]decane",0.0,0.0,0.0,0.0,0.0,18.438510887678742,0.0
"1,5-Anhydroglucitol",16.731191768571154,0.0,16.77699426036278,16.835220595201502,16.90477856649645,16.893000089315432,14.577433886429159
10-Heptadecenoic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-Nonadecenoic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-Hydroxyoctadecanoic acid,16.77910333806593,0.0,0.0,0.0,0.0,0.0,0.0
12-Oxooctadecanoate,14.03669229097258,14.364208914811549,13.961277167528543,0.0,14.654027209416121,14.642334330886307,14.453768158378013
13-Docosenamide,22.702856908389077,15.863795590615053,23.162944195268516,23.425033061112448,23.03145542512642,23.05657942277084,23.04405670689643
"15-Oxo-11Z,13E-eicosadienoic acid",6.252213334518321,6.033738169985288,6.390483689286204,6.605727451104707,2.746956137178829,6.156894278138859,6.056151490745671
"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl- ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1H-Indole, 1-(trimethysilyl)-2,5-bis[(trimethylsilyl)oxy]-",14.824803994935207,15.141889478015631,15.836483451732242,15.892959205968697,15.881582243975238,14.229814273098292,15.625462295777018
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",15.70485686346493,15.940491921861852,15.490373570200848,15.189438318378194,15.825493818071498,14.926158690811928,15.630919647043216
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",18.471417792280405,17.38667156010563,17.279823937318472,17.56056623216331,17.258697113525002,17.155669858370615,17.225980549365904
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,0.0,13.038444782909194,13.478777583595466,0.0,14.138941555390728,11.111343278157307,14.26528928922144
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",0.0,5.924655679949908,5.948497508424124,5.9118599527717235,0.0,0.0,0.0
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",0.0,0.0,0.0,0.0,0.0,0.0,15.59629551524646
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,7.373078951322599,7.401057867843494,7.692723476447579,7.127903724618944,6.833509179641415,6.383525315484924,6.288203278245751
"2-Allyl-1,4-dimethoxybenzene",12.814369434173145,13.002318541152118,12.913238597507657,12.738038543781473,12.56214774520652,12.377043771780489,12.246507912500762
2-Amino-4-methylphenol,20.03185013207142,16.053096667038993,17.235123766445042,18.961897982110795,18.93291269663121,17.193881864869027,16.290441794826133
"2-Amino-4,6-dihydroxypyrimidine",17.148974919034575,18.002539930051064,18.08487899207513,17.86466433181554,17.471697714258585,17.82276971433103,17.419984435916056
2-Aminoadipic acid,0.0,0.0,17.64405031500062,16.377608905650362,0.0,0.0,16.684206846595526
2-Aminobutanoic acid,0.0,0.0,0.0,18.535980467394786,0.0,0.0,0.0
2-Butenedioic acid,23.315391283022404,23.250012442210917,24.837096892924258,23.298435769629332,22.70722927590574,21.394363931331817,22.983187969719555
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-Ethyl-3-hydroxypropionic acid,13.43364248019995,13.583649122206818,13.649565572556359,13.604508317894924,13.696955515313528,13.60113260982675,13.73799246905845
2-Furoic acid,0.0,0.0,0.0,13.086087097571182,0.0,0.0,0.0
"2-Heptanone, 4,6-dimethyl-",0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-Heptenoic acid,13.645208179614965,13.67203460556649,13.488655247646046,13.588665816157603,13.413029714580336,0.0,13.927457944348951
2-Hexen-1-ol,19.120654480898693,19.18155647749087,19.191935862725717,19.28328106886046,19.018893131166916,19.11227774738336,19.165578008778233
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",9.936603366021014,9.87253534883168,9.77489421690107,10.088532423160153,9.57381595760541,9.780045645356545,10.200406451777253
2-Hydroxy-2-methylbutyric acid,15.970903597799385,16.130750639900096,16.088030651853323,15.806061638087495,15.762056745218112,15.636110596627178,15.508423296170916
2-Hydroxy-3-methylbutyric acid,22.953340642054847,23.92262482312087,24.00185863552334,0.0,0.0,0.0,23.520256540957654
2-Hydroxy-5-methoxybenzaldehyde,22.026828147234625,22.14465027491079,21.979676101724188,22.07802535998707,21.933944655218042,22.03288010749529,22.18865391689603
2-Hydroxybutyric acid,18.88733719863406,19.01268180052548,17.953734440773694,0.0,18.636473928863417,18.593727333471048,0.0
2-Imidazolidinone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-Isopropyl-5-methyl-1-heptanol ,0.0,19.02945197800475,0.0,0.0,0.0,0.0,0.0
2-Ketoisocaproic acid,15.233209093190533,15.208763147720383,15.30037326674336,15.359345334988117,15.300452163698848,15.28802280438459,0.0
2-Methyl-4-pentenoic acid,12.271362347680498,12.811755560885391,12.806721850845197,12.559473011500115,0.0,12.642688168104211,13.977442781946822
2-Methyl-E-7-hexadecene,0.0,0.0,0.0,0.0,0.0,0.0,13.02929252006168
2-Methylglutaconic acid,18.88815747890348,18.782519026035054,19.791547520388782,19.8252564548576,18.935925637807205,19.85085611634272,19.004411902966574
2-Naphthol,16.494431431479157,16.56342291719159,16.581842878909008,16.504813108055234,16.840323726919323,16.485039651591254,16.814494590305248
2-Oxooctanoic acid,0.0,0.0,0.0,0.0,0.0,18.52115630253345,0.0
"2-Pentenedioic acid, 3-methyl-",0.0,0.0,11.32271153998415,0.0,11.398602831538993,0.0,0.0
2-Pentenoic acid,0.0,24.450699634164135,24.520813908738926,0.0,0.0,22.43593823666024,24.63691734202963
2-Piperidinone,0.0,17.215808730325225,17.321772427055826,0.0,0.0,0.0,0.0
"2-Propanone, bis(1-methylethyl)hydrazone",0.0,0.0,0.0,0.0,21.656608624676952,0.0,0.0
"2-Propenamide, 3-phenyl-N-2-propenyl-",17.726119717214043,0.0,19.172931185107004,18.065447209424196,0.0,18.421943045966696,18.07742808381957
