,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",15.840698976851684,16.570577134882235,19.463450254202677,0.0,17.35380938465597,17.393982252473037,17.398075972056727,18.39338530920235,14.926571140750784,20.48688506103771,20.653051548424305,19.970735460213483,0.0
(6S)-5-Methyltetrahydrofolic acid,0.0,0.0,0.0,0.0,0.0,10.66835865639182,0.0,0.0,0.0,0.0,9.510322861989795,0.0,0.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",13.432358739827038,14.111046760271838,15.374536380292165,14.69427847586201,14.215723892434923,15.223626896870542,13.943873278212603,14.311953517679175,14.191369779367864,15.79083225968841,14.51638638887051,0.0,0.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",26.295677077294588,26.360580052581447,26.37402774943422,26.34374756883739,26.33045008553111,26.19395115431587,26.361786790722263,26.413170127142976,26.246708610577127,26.41752589110828,26.656467676306246,0.0,26.02691463427846
(CH3)2C=NC2H558,17.790503501388944,18.081375359347394,18.203437200728224,18.42924729549779,18.055364043470156,18.254644621249458,18.154238251487342,18.33080965734457,18.244697913064346,17.699583512840526,17.576537110165138,17.62534704249108,17.507045666903036
(pm)-alpha-Tocopherol acetate,12.834962175992946,14.12423107076249,14.185676461464592,13.710875982233311,12.587198824965558,14.416692399379606,13.161579200449873,13.693317863252233,14.5637762468038,13.678496486231511,15.7265591196845,16.392020360650303,0.0
(pm)-N-Propylamphetamine,0.0,0.0,0.0,18.94230924242071,23.157949555091907,23.23306436029718,0.0,0.0,22.24205051617589,22.30050888635205,22.554217763111073,0.0,0.0
(pm)-Norketamine,29.370711225844023,28.653052800582383,28.957326488245272,28.601244362957026,28.366262184589406,28.7063224304177,28.47302659550884,28.526005595685564,29.506580226338315,29.951030301357747,30.41787231588703,29.561490259063326,28.08258599540381
(pm)-Phenylpropanolamine,25.736659379754038,26.092259434202756,24.95979676850752,24.23305106069648,25.994414328277255,25.46649512435839,25.36204516001963,25.013167046036745,0.0,24.391456690019936,0.0,22.52275538910953,25.343600376134056
"(R*,S*)-2,3-Dihydroxybutanoic acid",10.895058464926683,0.0,0.0,11.275696427980213,11.52162693256298,14.672770146427014,12.029092659864853,11.90104648136571,0.0,0.0,0.0,0.0,0.0
"(S,S)-(-)-Hydrobenzoin",17.96513804700618,17.71860050415869,0.0,21.082921113846044,0.0,0.0,16.692698027973915,17.682759455388194,17.937560530005292,22.301731473024784,21.13335553371256,0.0,0.0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",25.68669142718351,21.991262229312255,18.93377500503896,17.488057836013795,25.415954867851728,21.07250220606667,21.664267651776957,25.692417616570236,18.136901974400224,25.04007405809233,25.121186672072582,27.499396285169933,23.715038109397607
"1-(2,4-Dimethoxyphenyl)-propan-2-one",21.489459941581703,22.242274376668544,22.915694975077905,20.00541707093731,21.966147284955607,22.579817074992636,22.844129784880693,22.822588244072715,21.33273411996787,0.0,0.0,0.0,0.0
1-(3-Methylphenyl)piperazine,12.921642569043911,13.400979466428634,0.0,14.987278717448552,0.0,0.0,0.0,0.0,12.851957829481073,0.0,0.0,0.0,13.455056487924756
1-(4-Hydroxybenzylidene)acetone,0.0,14.95364933375853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.011998500005712,10.654092012041183
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",17.62555411599685,17.84305981751897,18.152203256577693,15.333632754791983,17.229634728251597,17.873162545381806,18.01624553307879,18.566222338066837,17.360192682326336,19.071154369316776,18.859949940663192,18.84546261179007,15.63273361426121
1-Aminocyclopropanecarboxylic acid,29.15186903171146,29.953823975383504,28.578752569443353,31.0965420306058,27.718275174908957,28.679187177443293,29.458966555171056,28.450014541473966,29.521423133107294,33.89384909510773,33.310125171514386,26.89496221803386,29.25269467416667
"1-Butanamine, N,N-diethyl-",22.77688616339372,22.873696445335828,23.09117456382996,23.17516879803777,22.995521732553456,22.902025830154685,23.018942046766853,23.10232495316973,22.855543865550576,23.02214874472981,23.017040994002937,23.199812133649097,23.01407410561444
"1-Cyclohexanone, 3-butyl-3-methyl-",0.0,14.724711467809023,0.0,16.628982415220516,0.0,0.0,0.0,14.561874025991687,13.81906193559613,8.686763686823333,7.6222125574872415,6.530765609148875,0.0
1-Cyclopentylethanol,16.7962653165536,16.667527281507333,16.993880676775525,16.71195058779968,16.605557432514995,0.0,0.0,16.966268085703735,0.0,16.869719616948927,16.737876991486427,16.76767031706015,16.584367045131668
"1-Decanol, 2-methyl-",25.20172782980361,25.300968830566134,25.629320770806093,25.083176476839178,25.159276676710082,25.198667063401807,25.28212515061854,25.024570188817023,25.27228990379975,0.0,0.0,0.0,0.0
"1-Decene, 8-methyl-",22.688020932615082,0.0,21.33274308424709,19.294283969318958,19.55272819336438,22.534922733778668,0.0,19.591731460982814,19.719550111519318,0.0,0.0,12.306995976028107,0.0
1-Deoxypentitol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7098916742510766,0.0,6.523201404725002,5.7347304027416675,6.771214869120347,4.990196111365159
1-Hexadecanol,20.57916394252766,21.864173234129066,20.56591243766441,20.47543935230985,21.677105428501335,21.703387964851604,20.595021729930345,20.324257560508418,21.713240878792497,0.0,0.0,0.0,0.0
1-Hexanol,0.0,16.316103372307126,0.0,15.480905731961172,13.879911418707113,0.0,14.94538767708184,0.0,0.0,14.156360450734432,14.045971612450815,0.0,0.0
1-Hydroxy-3-methoxy-6-methylanthraquinone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.361709673087482,12.468152369481414
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",24.2479885077022,26.073885095437586,25.368594150616023,25.270564053503733,24.893691960341336,25.274593414351116,25.641887521407384,26.176398663886673,24.671224622061242,27.145162719387127,27.314730786959064,27.10092198901636,24.456814488328714
1-Monoacetin,16.51604397676149,17.787151092435423,17.16147422059375,18.908105667946366,13.642559399735665,16.913872023375706,17.18629514749719,17.159035007752262,16.900339955028343,19.74242907801054,19.596882620374338,19.61194577726386,0.0
1-Octadecanol,20.065927299270204,22.021154340209513,20.4775446429933,20.6417248367471,20.563049610681432,21.60602947534472,20.795010652823855,0.0,21.54161380638043,20.766964818888134,21.135151171398295,20.305833849897297,20.863513537790624
"1-Octanol, 2-butyl-",16.57046289426229,20.09039437529377,20.662406887333837,20.416852278169763,0.0,20.566521100764135,0.0,19.935797893060347,20.099466150342796,18.14821933192196,17.791292728191767,16.769147713146424,19.115449749380648
1-Octanol,17.267281417053155,17.527139254105677,17.671342237405902,17.62910044126444,17.426272169333476,17.578614075197283,17.482401321517198,17.966592294432438,17.365388337399914,0.0,14.206286166662794,0.0,18.416544813284947
