,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124
,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(6S)-5-Methyltetrahydrofolic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.322032744528151
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",15.765838453268847,16.072807704568923,15.151838931271651,16.10642473014184,15.177707554966924,15.429381249905742,15.508195501502898,15.68992668855919,14.700793720760432,16.295125575105462,14.869364786617968,15.531097851984065,14.853686215837971,15.387610695906387,15.321574226306511,0.0,15.916585027235342,14.65223239988345,15.895667335031272
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",26.048505550037536,26.068280393098046,26.27139459584287,26.01487302280269,26.169277711910805,26.643723371778837,26.811982913685775,26.499226645851646,26.377801430177403,26.593349541084308,26.512640728648783,26.614965720375736,26.891975677248958,26.681109228547363,26.49880423367259,26.875701076116552,26.524611899773035,26.510678231047798,26.751181434827018
(CH3)2C=NC2H558,18.386789713331314,18.47373935353773,18.202364732084057,18.479414955487528,18.49099779086886,18.205202297960682,18.352438475215997,18.1921122004041,18.326756208454444,18.28541772099524,18.31163300998758,18.291894119648216,18.319646731305188,18.324405085573485,18.309323952956873,18.38649033424153,18.339332285062458,18.338593324469652,18.450186490945118
(pm)-alpha-Tocopherol acetate,0.0,0.0,0.3532318061510143,1.7138318813996212,0.0,0.0,1.1143907569236362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(pm)-N-Propylamphetamine,20.88283233828225,0.0,0.0,19.88468911968982,0.0,19.74816057551263,0.0,0.0,0.0,0.0,0.0,20.484600349466223,20.434832838967235,20.47994018890964,20.484224203691504,20.573643081022063,0.0,0.0,20.273345137356134
(pm)-Norketamine,30.284888825460065,0.0,28.85285568512879,0.0,0.0,28.132697173343775,29.44220054590919,29.678468067839155,29.45717881177758,29.745180439762688,29.27364270203667,30.292412814189436,29.580129099711435,29.809841705592042,29.798186797564664,30.201794483556437,29.820230578507854,29.94981579286264,29.7824070309563
(pm)-Phenylpropanolamine,24.169659634560816,24.011279218952055,24.938846231127503,24.01914801635628,23.719487905137697,24.809344428178964,0.0,25.140197650829197,24.740645026775084,25.616830859277645,25.198549839722396,25.191816416341887,24.06737101712662,24.97362416616914,24.25585496599343,0.0,25.25041474248495,25.079620695625216,24.64803492130774
