,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_76_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",4.768525544316094,4.988240763063265,5.859082345628745,0.0,5.224017163816543,5.236110402041325,0.0,5.237342734429852,5.536960699875119,4.493345645778316,6.167166921092663,6.217188018070149,6.01179040899458,0.0
(6S)-5-Methyltetrahydrofolic acid,0.0,0.0,0.0,0.0,0.0,3.211495960075426,3.2705435771795393,0.0,0.0,0.0,0.0,2.862892449907849,0.0,0.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",4.043542893207173,4.247848345058867,4.628196619895071,4.4234185858740735,4.279359301700039,4.582768338755007,4.456328008527027,4.197524112479443,4.308327305370063,4.272027983149062,4.753514166664656,4.369867731698365,0.0,0.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",7.91578755655944,7.935325298928622,7.939373459053903,7.9302582164201345,7.926255275078104,7.885165002406241,7.899510412148921,7.935688563305919,7.951156488845848,,7.952467704453436,8.024396349015525,0.0,7.834881999503653
(CH3)2C=NC2H558,5.355475191883156,5.443036346023162,5.479780621604772,5.5477562334541375,5.435206159717423,5.495195591182242,5.427334539842545,5.464970262128116,5.5181235516677,5.492201333660407,5.328105548124657,5.291064890060816,5.305758143777253,5.2701458811969415
(pm)-alpha-Tocopherol acetate,3.863708608186519,4.251817217988701,4.270314123685326,4.127384937481077,3.789124407701051,4.3398568504741935,0.0,3.962030129642571,4.122099417000336,4.3841335004265405,4.117637737940053,4.734166023607969,4.9344898180904515,0.0
(pm)-N-Propylamphetamine,0.0,0.0,0.0,5.702203269111697,6.971237454156012,6.993849263641257,0.0,0.0,0.0,6.695524370442479,6.713122093363132,6.789496075433814,0.0,0.0
(pm)-Norketamine,8.84146507296387,8.62542836031914,8.717023867196962,8.60983246656542,8.539095782430302,8.641464116757486,9.039228740976966,8.571235072586447,8.58718334077993,8.882365717593537,9.016158521749492,9.156691971359006,8.898895284506656,8.453700740429788
(pm)-Phenylpropanolamine,7.747506461492719,7.854552744341528,7.51364751299767,7.294875255726496,7.825098432529033,7.666178916862404,7.160473626170784,7.634736344550404,7.529713567410878,0.0,7.342560101634886,0.0,6.780024957124551,7.629183911337307
"(R*,S*)-2,3-Dihydroxybutanoic acid",3.279739402455701,0.0,0.0,3.394322846823252,3.4683553055514427,4.416943933557517,3.4041810760406817,3.621117711240744,3.5825719706823587,0.0,0.0,0.0,0.0,0.0
"(S,S)-(-)-Hydrobenzoin",5.408045428393095,5.3338302329387055,0.0,6.346591651485133,0.0,0.0,5.711435899337861,5.025002814981135,5.32304100218273,5.399743768569894,6.713490128623924,6.3617739246788645,0.0,0.0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",7.732464608947076,6.620029573535342,5.699634207669673,5.264429974546685,7.650964783665347,6.343455247721484,5.436403944800518,6.521594397277745,7.734188363713333,5.459751522711752,7.537813385133302,7.562230714968072,8.278143144486807,7.13893781924311
"1-(2,4-Dimethoxyphenyl)-propan-2-one",6.468972033035638,6.695591759165612,6.898311558984818,6.022230614120393,6.612469221944559,6.7972022361785225,6.219803850307395,6.876768290090059,6.870283640154038,6.421792859634793,0.0,0.0,0.0,0.0
1-(3-Methylphenyl)piperazine,3.889802006530803,4.034096790672113,0.0,4.511620447328416,0.0,0.0,0.0,0.0,0.0,3.8688248096823568,0.0,0.0,0.0,4.050375596218611
1-(4-Hydroxybenzylidene)acetone,0.0,4.501496994102026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.615971856372468,3.207201272188414
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",5.305820479113797,5.371296219499893,5.464357667619288,4.6158834016881105,5.186636867537557,5.380358043537916,5.058975898839582,5.423430314703928,5.5889898299247704,5.225938727886574,5.740989517102545,5.677410648860743,5.673049528312885,4.7059217321172255
1-Aminocyclopropanecarboxylic acid,8.775587008213048,9.016999501429352,8.603061762061524,9.360991912638072,8.34403225571588,8.633295591672258,9.091698046692969,8.86803257436851,8.56430775406011,8.886833877753842,10.203065246135914,10.027346835947649,8.09619035987767,8.805938550924157
"1-Butanamine, N,N-diethyl-",6.856525943005405,6.885668741758666,6.951136178825965,6.976420962785342,6.922341807441552,6.89419673634785,6.875538586349498,6.92939202452766,6.954492780480568,6.880204270744621,6.930357336801545,6.928819750622382,6.983839345997566,6.9279266282236565
"1-Cyclohexanone, 3-butyl-3-methyl-",0.0,4.432579829307924,0.0,5.005822504350252,0.0,0.0,4.416638756845117,0.0,4.383560874903718,4.159952154552791,2.614976434978457,2.2945146131303273,1.9659563430045632,0.0
1-Cyclopentylethanol,5.056179675413208,5.017425665281441,5.115667826443951,5.030798412982006,4.99877088190798,0.0,0.0,0.0,5.107355608273338,0.0,5.078291623142714,5.038603038171409,5.047571722839684,4.9923919396858585
"1-Decanol, 2-methyl-",7.586476019330615,7.616350537359847,7.715194320506542,7.550788506061773,7.57369694889894,7.585554636833952,7.700446215622086,7.610678024466929,7.533146255432581,7.607717320159715,0.0,0.0,0.0,0.0
"1-Decene, 8-methyl-",6.829774842969433,0.0,6.421795558151727,5.808158219623708,5.885957683267482,6.783687692837543,6.376916484009635,0.0,5.89769883674954,5.936176084566321,0.0,0.0,3.7047749453003753,0.0
1-Deoxypentitol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1167886746136415,0.0,1.9636792905796432,1.726325868271425,2.038338782691183,1.5021987137666697
1-Hexadecanol,6.194945632387459,6.581771973866406,6.190956531935933,6.163721419443943,6.52545895314942,6.53337078495298,6.510265574342732,6.19971930206053,6.118211165313486,6.536336807593885,0.0,0.0,0.0,0.0
