,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",14.895013095346135,15.691624370184298,19.017051617864734,0.0,17.621707351223883,17.467977900764005,17.063095861813558,17.37328371774847,12.986523748703963,19.91566388957328,20.465455927474544,20.074428529569158,4.3453142162111265
(6S)-5-Methyltetrahydrofolic acid,0.06791294618984794,0.01359862432895335,0.17287076519863534,0.0,0.38426918156341244,8.15937216568915,0.3250222571966767,0.003518247464285704,0.02038119189062041,1.2710675320049052,10.684239505637871,2.4139022205952583,4.3453142162111265
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",11.241440816702292,11.241440816702292,13.680695348833222,11.514267928236327,13.552372804686883,14.376416116849263,12.572828378502546,11.102458222294844,11.353858129994817,15.691624370184298,14.043058300928585,2.4139022205952583,4.3453142162111265
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",26.265420251318975,26.623645722486767,26.265420251318975,26.265420251318975,26.623645722486767,26.70174078147591,26.33604254024112,25.892103474848703,,25.23727152067979,26.265420251318975,2.4139022205952583,27.44918951403552
(CH3)2C=NC2H558,17.540896818304443,17.650336331738295,17.621707351223883,17.650336331738295,18.3195577667795,18.510174634752264,18.11054732760789,17.331586964820783,17.708997530181296,17.37328371774847,17.650336331738295,17.96954724507801,19.49072841005828
(pm)-alpha-Tocopherol acetate,10.581441847888094,11.353858129994817,12.296747807672302,9.545251342236822,10.874411873948159,13.63504051758814,10.916084038114388,10.103061377085485,12.127419990584453,12.772664579474961,15.72637617291133,16.97862927670154,4.3453142162111265
(pm)-N-Propylamphetamine,0.06791294618984794,0.01359862432895335,0.17287076519863534,18.21595138465398,23.476707946591816,23.636143457181088,0.3250222571966767,0.003518247464285704,22.304325854433003,21.44846377506137,22.33727443783785,2.4139022205952583,4.3453142162111265
(pm)-Norketamine,29.81606548088648,28.978093126956455,28.77253409317774,28.872650585993878,28.872650585993878,29.30306590164108,28.267934841364415,28.404170566776695,29.30306590164108,28.66320985151082,29.695892580727083,29.198583586975847,29.198583586975847
(pm)-Phenylpropanolamine,25.65375762351027,26.33604254024112,24.992747504970218,24.12766401979312,26.33604254024112,25.956674308497803,25.456846018865527,24.38950884546223,0.02038119189062041,23.430921085528926,1.2710675320049052,22.304325854433003,26.623645722486767
