Individual P-value,FDR Threshold,Edges,Positive Edges,Negative Edges,Positive:Negative Ratio,Unique Nodes,Density,Mean Correlation Coefficient
1.0,1.0,49275,35241,10954,3.2171809384699652,529,0.2760457807431808,0.26442767836157244
1.0,0.3,41931,31228,8375,3.728716417910448,529,0.23490361506529303,0.3002691091584599
1.0,0.25,39993,29996,7809,3.8412088615699833,529,0.22404665467807264,0.309839591702605
1.0,0.2,37613,28466,7135,3.989628591450596,529,0.21071354543060902,0.3219161906170128
1.0,0.15,34571,26461,6291,4.20616754093149,529,0.19367181503952313,0.3382578158000973
1.0,0.1,30266,23473,5233,4.485572329447735,529,0.16955457331249335,0.3613395205678311
1.0,0.05,24017,18955,3871,4.896667527770602,529,0.13454675831778737,0.3975448276077707
1.0,0.01,14530,11651,2147,5.426641825803447,529,0.08139919217043971,0.4583658372070162
0.3,1.0,7830,6498,907,7.164277839029769,528,0.04386480899480681,0.520735943990273
0.3,0.3,7830,6498,907,7.164277839029769,528,0.04386480899480681,0.520735943990273
0.3,0.25,7830,6498,907,7.164277839029769,528,0.04386480899480681,0.520735943990273
0.3,0.2,7830,6498,907,7.164277839029769,528,0.04386480899480681,0.520735943990273
0.3,0.15,7797,6482,892,7.266816143497758,528,0.04367993815229996,0.5223971016749945
0.3,0.1,7687,6415,856,7.494158878504673,528,0.043063702010610466,0.5270434358780756
0.3,0.05,7319,6154,785,7.839490445859872,528,0.041002112009321974,0.5389626503934404
0.3,0.01,5916,5003,624,8.017628205128204,528,0.03314230012940959,0.5700076298942848
0.25,1.0,6226,5198,680,7.644117647058824,528,0.03487896561962544,0.5464363744113688
0.25,0.3,6226,5198,680,7.644117647058824,528,0.03487896561962544,0.5464363744113688
0.25,0.25,6226,5198,680,7.644117647058824,528,0.03487896561962544,0.5464363744113688
0.25,0.2,6226,5198,680,7.644117647058824,528,0.03487896561962544,0.5464363744113688
0.25,0.15,6220,5194,678,7.660766961651918,528,0.03484535273916965,0.5467628193877618
0.25,0.1,6158,5158,652,7.911042944785276,528,0.03449801964112648,0.5507832158927921
