Individual_Pval,FDR,Total_Nodes,Total_Edges,Positive_Edges,Negative_Edges,Pos_to_Neg,Density,Mean_Corr_Coeff
1.0,1.0,529,49067,36964,12103,3.05411881351731,0.351341868591396,0.2516370811493404
1.0,0.3,529,24538,20793,3745,5.552202937249667,0.17570315632697486,0.38949485755265306
1.0,0.25,529,21446,18377,3069,5.987943955685891,0.1535630406140803,0.4105169504327677
1.0,0.2,529,18485,15950,2535,6.291913214990138,0.1323609440339119,0.42934133116494017
1.0,0.15,529,15637,13568,2069,6.557757370710489,0.11196797846136221,0.44851417499774143
1.0,0.1,529,12883,11167,1716,6.507575757575758,0.09224809531992897,0.4635778540780767
1.0,0.05,529,10124,8610,1514,5.686922060766182,0.07249240992152145,0.4647049470637534
1.0,0.01,529,7252,5822,1430,4.071328671328671,0.05192759351549522,0.4296904496362121
0.3,1.0,528,7830,6753,1077,6.270194986072424,0.05627910988442298,0.5011340273556264
0.3,0.3,528,7514,6536,978,6.683026584867076,0.054007820136852396,0.5123672833194333
0.3,0.25,528,7150,6266,884,7.088235294117647,0.051391524351676154,0.5240615970823812
0.3,0.2,528,6639,5882,757,7.7701453104359315,0.04771864757633259,0.5409088486905363
0.3,0.15,528,6003,5371,632,8.498417721518987,0.04314731757805761,0.55924998992594
0.3,0.1,528,5264,4743,521,9.103646833013435,0.03783566212408717,0.5768728480573029
0.3,0.05,522,4321,3882,439,8.842824601366743,0.031776498187246746,0.5894622303616498
0.3,0.01,521,3085,2690,395,6.810126582278481,0.02277425070131404,0.5806179839301564
0.25,1.0,528,6226,5408,818,6.611246943765281,0.04475015812776723,0.5263692328775569
0.25,0.3,528,6091,5316,775,6.859354838709677,0.04377982864700132,0.5327834721807677
0.25,0.25,528,5908,5181,727,7.126547455295736,0.04246449312862975,0.5397783259620198
0.25,0.2,528,5548,4920,628,7.834394904458598,0.03987694784658732,0.5561251549527958
0.25,0.15,528,5103,4568,535,8.538317757009345,0.03667845437295153,0.5723977885330338
0.25,0.1,527,4524,4081,443,9.212189616252822,0.032640457139558876,0.5896044368092185
0.25,0.05,520,3764,3388,376,9.01063829787234,0.027893878760930784,0.6020150726172914
0.25,0.01,518,2742,2402,340,7.064705882352941,0.020477509839211965,0.593929136999883
0.2,1.0,528,4990,4350,640,6.796875,0.03586625265942154,0.5483451352287696
0.2,0.3,528,4920,4307,613,7.0261011419249595,0.035363118854579954,0.5539059724822417
0.2,0.25,528,4827,4238,589,7.195246179966044,0.03469466965671899,0.5579528287417538
0.2,0.2,527,4600,4077,523,7.795411089866157,0.03318879373164696,0.5709384847407477
0.2,0.15,527,4273,3819,454,8.411894273127754,0.0308295033946364,0.5853073654453329
0.2,0.1,524,3862,3480,382,9.109947643979057,0.028184432151562477,0.600869722174092
