Individual P-value,FDR Threshold,Unique Nodes,Edges,Positive Edges,Negative Edges,Positive:Negative Ratio,Density,Mean Correlation Coefficient
1.0,1.0,529,49275,35241,10954,3.2171809384699652,0.35283124248152603,0.26442767836157244
1.0,0.3,529,41931,31228,8375,3.728716417910448,0.30024488743770406,0.3002691091584599
1.0,0.25,529,39993,29996,7809,3.8412088615699833,0.2863679326344733,0.309839591702605
1.0,0.2,529,37613,28466,7135,3.989628591450596,0.2693260583147162,0.3219161906170128
1.0,0.15,529,34571,26461,6291,4.20616754093149,0.2475439651715644,0.3382578158000973
1.0,0.1,529,30266,23473,5233,4.485572329447735,0.21671822191670964,0.3613395205678311
1.0,0.05,529,24017,18955,3871,4.896667527770602,0.17197256115025492,0.3975448276077707
1.0,0.01,529,14530,11651,2147,5.426641825803447,0.10404135876725669,0.4583658372070162
0.3,1.0,528,7830,6498,907,7.164277839029769,0.05627910988442298,0.520735943990273
0.3,0.3,528,7830,6498,907,7.164277839029769,0.05627910988442298,0.520735943990273
0.3,0.25,528,7830,6498,907,7.164277839029769,0.05627910988442298,0.520735943990273
0.3,0.2,528,7830,6498,907,7.164277839029769,0.05627910988442298,0.520735943990273
0.3,0.15,528,7797,6482,892,7.266816143497758,0.05604191823356909,0.5223971016749945
0.3,0.1,528,7687,6415,856,7.494158878504673,0.055251279397389455,0.5270434358780756
0.3,0.05,528,7319,6154,785,7.839490445859872,0.05260623310907941,0.5389626503934404
0.3,0.01,528,5916,5003,624,8.017628205128204,0.04252199413489736,0.5700076298942848
0.25,1.0,528,6226,5198,680,7.644117647058824,0.04475015812776723,0.5464363744113688
0.25,0.3,528,6226,5198,680,7.644117647058824,0.04475015812776723,0.5464363744113688
0.25,0.25,528,6226,5198,680,7.644117647058824,0.04475015812776723,0.5464363744113688
0.25,0.2,528,6226,5198,680,7.644117647058824,0.04475015812776723,0.5464363744113688
0.25,0.15,528,6220,5194,678,7.660766961651918,0.04470703237306653,0.5467628193877618
0.25,0.1,528,6158,5158,652,7.911042944785276,0.04426139957449255,0.5507832158927921
0.25,0.05,528,5950,5022,606,8.287128712871286,0.0427663734115347,0.5602733569144698
0.25,0.01,528,5039,4264,513,8.311890838206628,0.03621844632281065,0.5843495442022908
0.2,1.0,528,4990,4170,524,7.958015267175573,0.03586625265942154,0.5682875181760102
0.2,0.3,528,4990,4170,524,7.958015267175573,0.03586625265942154,0.5682875181760102
0.2,0.25,528,4990,4170,524,7.958015267175573,0.03586625265942154,0.5682875181760102
0.2,0.2,528,4990,4170,524,7.958015267175573,0.03586625265942154,0.5682875181760102
0.2,0.15,528,4990,4170,524,7.958015267175573,0.03586625265942154,0.5682875181760102
