,LPS934_150124,LPS935_150124,LPS936_150124,LPS939_150124,LPS940_150124,LPS941_150124,LPS942_150124
Label,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",-0.30303865,-0.30981455,-0.30981476,-0.29300371,-0.29974763,-0.30970959,-0.30981301
(6S)-5-Methyltetrahydrofolic acid,-0.2239267, 4.2891282,-0.2247775, 4.1892139,-0.2246550,-0.2248649,-0.2245132
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.78862719,-0.78873844,-0.78874262, 0.60385477,-0.78872600, 0.43703360,-0.78870677
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.086531406,-0.319847281,-0.312962718,-0.387655549,-0.107822402,-0.231411976,-0.098334830
(CH3)2C=NC2H558, 0.78087514, 0.72926149, 0.69455310, 0.45110039, 0.81214552, 0.79226287, 0.98415985
(pm)-alpha-Tocopherol acetate,-0.19841677,-0.19838577,-0.19841678,-0.19841679,-0.19841678,-0.19836595,-0.19841678
(pm)-N-Propylamphetamine, 5.798379e-01, 9.529099e-01,-4.897486e-01,-4.993881e-01,-4.863424e-01, 7.553676e-02,-4.823998e-01
(pm)-Norketamine, 0.43724997, 0.21233178,-0.43229616,-0.12185477, 0.31533764,-0.21986382, 1.44585360
(pm)-Phenylpropanolamine, 0.652430900,-0.873637305,-0.167663531,-0.114805942, 0.999724301, 0.442853946, 0.946153408
"(R*,S*)-2,3-Dihydroxybutanoic acid", 1.4822571, 1.3166718, 1.5063029,-0.5680801, 1.9505300,-0.5680741, 2.2277639
"(S,S)-(-)-Hydrobenzoin", 0.022176520, 2.439415469, 1.353984089, 0.271178656, 0.965992102,-0.095129289,-0.361909585
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ", 0.108050186,-0.386695859,-0.420429744,-0.537139425,-0.543979122,-0.560526956,-0.560469360
"1-(2,4-Dimethoxyphenyl)-propan-2-one", 0.68114048, 0.75757827, 0.82517660, 0.70972502, 0.93106294, 0.86173404, 1.28729255
1-(3-Methylphenyl)piperazine, 0.70444470, 1.12742657, 0.59481799, 0.50041386, 0.56532819, 0.63177417, 1.62075975
1-(4-Hydroxybenzylidene)acetone, 0.60570190, 0.47286016, 0.86246720,-0.54222408,-0.53904028,-0.54046480,-0.53807809
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-0.77631481,-0.77637454,-0.77637678,-0.77640203,-0.77636786,-0.77638315,-0.20324042
1-Aminocyclopropanecarboxylic acid,-0.36755332,-0.37757417,-0.36937827,-0.37417245,-0.35866469,-0.36452256,-0.35703863
"1-Butanamine, N,N-diethyl-", 0.157413971,-0.098393458,-0.028518833,-0.165461036, 0.102786303,-0.021355991, 0.232071193
"1-Cyclohexanone, 3-butyl-3-methyl-",-0.42106641,-0.42108075,-0.42108129,-0.42108735,-0.42107915,-0.42108282,-0.42107667
