node,BiBC
3-Hydroxypicolinic acid-F,0.0
trans-Coniferryl alchool-F,194.40545828752283
4-Pentenoic acid-F,9.838088578145602
Glycolic acid-F,92.15228965666437
Acetohydroxamic acid-F,31.324964960728597
5-Hydroxy-2-methylpyridine-F,325.53711159886717
Argininosuccinic acid-F,162.57519219664476
2-Hydroxy-3-methylbutyric acid-F,3052.247661282104
"Hexadecanoic acid, tetradecyl ester-F",35.84538563422988
Butyl caprylate-F,813.6780964325949
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F",1569.2714162902591
Arabinitol-F,3.631734931734933
"cis,cis,cis-1-Isobutyl-2,5-dimethylcyclohexane-F",0.0
phenoxyethanol-F,202.3418194698325
Ethanamine-F,0.0
1-Octadecanol-F,1299.8502327205113
L-Asparagine-F,0.0
3-Amino-2-piperidone-F,870.2848734231912
L-Hydroxyproline-F,173.00560105769424
Niacinamide-F,368.06962027842445
Arabinose-F,268.26889352745627
Pyrrole-2-carboxylic acid-F,457.6275413078678
L-Norvaline-F,57.17479881797791
4-Hydroxybenzoic acid-F,207.60164389517902
"Thymidine, 5'-phosphate-F",341.7489111229756
L-Serine-F,973.6703285845488
Cytosine-F,206.42892466322056
L-(+)-Rhamnopyranose-F,1107.4152212651993
L-Valine-F,920.4678536624593
N-Acetylglucosamine-F,330.1017377264538
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F",1752.2032881081393
"D-(+)-Ribono-1,4-lactone-F",94.19231770988733
"2,6-Di-O-methyl-d-galactopyranose-F",24.964677307788143
"2-Pentenedioic acid, 2-hydroxy--F",1768.2307773878767
Methylsuccinic acid-F,569.3408491897449
N-Acetyl-L-glutamic acid-F,179.49257922733926
Niacin-F,0.6227487020880077
N-Methyl-alpha-aminoisobutyric acid-F,76.84625320011541
4-Hydroxybenzaldehyde-F,610.7367551701093
9H-Purin-6-ol-F,41.65970619787515
Levulinic acid-F,376.8123395918026
N-Ethyldiethanolamine-F,223.75273328767398
Phloretic acid-F,10.692421964170581
Thr-Leu-F,325.973731827176
L-(+)-Lactic acid-F,272.1993985188982
Pimelic acid-F,596.0617005459158
Xanthine-F,18.395296502638054
Citric acid-F,103.72486424853383
Pentanoic acid-F,90.29649773896307
Phenol-F,510.2702904658703
Pyrogallol-F,434.3829475890423
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-F",16.195276148285632
D-Mannopyranose-F,72.61863773744223
alpha-D-(+)-Talopyranose-F,103.56060035290294
"Gulonic acid, gamma-lactone-F",2.066315453941979
Idoxuridine-F,23.496910615530886
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy--F",0.0
"2,3-Dihydroxy-2-methylpropanoic acid-F",697.9788542884646
"1,5-Anhydroglucitol-F",39.883459584776126
17-alpha-Hydroxypregnenolone-F,29.776591179667744
5-Hydroxymethyl-2-furoic acid-F,58.87828138391883
D-(+)-Glucosamine-F,3461.290262491857
Pantothenic acid-F,215.12133814252817
"Methyl galactoside (1S,2S,3S,4R,5R)-F",31.272331708588545
Octadecyl octyl ether-F,391.07071871893805
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol-F,652.4722850678703
2'-Deoxyribolactone-F,917.486327526298
4-Hydroxybutanoic acid-F,0.0
11-Methyldodecanol-F,390.9525349114288
"Acetamide, N-(2-butyl)-N-methyl--F",445.0084129739565
D-(+)-Talofuranose-F,0.915356293730478
"Guanidine, N,N-dimethyl-F",434.1208160164936
"Hexadecanoic acid, 4-hydroxybutyl ester-F",243.33281480012187
12-Oxooctadecanoate-F,0.0
5-Methyluridine-F,671.4472257907147
13-Docosenamide-F,98.37757559909208
Benzoic Acid-F,374.6960020881061
1-Dodecanol-F,588.4930040609944
3-Deoxyhexitol-F,118.17940404493294
D-Arabinose-F,42.15634265203991
Undecanoic acid-F,123.08977982622596
1-Hexacosene-F,0.0
Ethyl glycolate-F,666.6798039357931
1-Hexanol-F,5.5150156705993965
Cyclo(L-prolyl-L-valine)-F,270.9824118201483
"D-Erythro-Pentitol, 2-deoxy--F",409.03299134010456
1-Methyl-4-hydroxy-1H-imidazol-2-amine-F,418.5416400824821
d-Erythrotetrofuranose-F,564.4298990079288
"Dimethyl hexopyranosiduronate, alpha-D-F",1511.1836808597984
"Inosose-2, myo-F",122.47627095545137
Ribitol-F,18.128630087290208
1-Monopalmitin-F,13.112878103573918
Hexanedioic acid-F,18.825417487861998
Pipecolic acid-F,1123.8156165284054
"2-Furanacetaldehyde, tetrahydro-alpha-F",105.45865254178521
Isopropyl palmitate-F,2.565009365698637
1-Octanol-F,826.6654221021952
Tetrahydrolinalool-F,90.89410398530255
1-Tetradecanol-F,541.8277730652247
"2-Butenoic acid, 2-hydroxy--F",51.09876357967332
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-F",620.5841824020064
Palmitic Acid-F,8.264201939810818
"2',2,3,6'-Tetramethoxychalcone-F",634.8691003383485
"beta-D-Galactopyranoside, methyl-, acetate-F",29.97053689785741
Dodecanamide-F,77.90110558008838
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone-F",6.9524151404763925
"2,3,4-Trihydroxybutyric acid-F",616.3629951604424
2-Ethylacetoacetate-F,2042.7231699637134
"3-Hydroxy-2,3-dihydromaltol-F",45.86461698428711
"Erythrono-1,4-lactone-F",21.568288148499875
Ribonic acid-F,49.41432956410887
"2,3-Butanediol-F",209.4617278429518
4-Pyridinol-F,198.6139811375119
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-F",1337.3745006341428
"2,5-Di-tert-butyl-4-hydroxyphenol-F",439.1634813405519
