Metabolite 1,Metabolite 2,Sign
"1-Phenyl-1,2-ethanediol",Octocrylene,1.0
"1-Butanamine, N,N-diethyl-",p-Hydroxydiisopropylbenzene,1.0
2-Hexen-1-ol,Ser-Leu,1.0
 5-Hydroxyhexanoic acid,"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",1.0
"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate","Propanoic acid, 2-methyl-",1.0
"Pentenoic acid, 4-[(trimethylsilyl)oxy]-","Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",1.0
"Acetin, bis-1,3-trimethylsilyl ether",N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,1.0
"15-Oxo-11Z,13E-eicosadienoic acid","3,5-Di-tert-butyl-2-trimethylsilyloxybenzaldehyde",1.0
3-Ureidopropionic acid,Uridine,1.0
L-Threitol,Tartronic acid,1.0
"1,1'-Biphenyl, 3,4-diethyl-","Cholest-7-en-3-ol, (3beta,5alpha)-",1.0
Isopropyl palmitate,p-Toluic acid,1.0
(pm)-Phenylpropanolamine,3-Indolepropionic acid,-1.0
2-Naphthol,"Benzaldehyde, 2,5-dimethyl-",1.0
Decanoic acid,"Guanidine, N,N-dimethyl-",1.0
2-Heptenoic acid,Methyl aminoacetate,1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",1.0
"1,3,5-Benzetriol",Glycine,1.0
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",L-Asparagine,1.0
2-Methyl-4-pentenoic acid,"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",1.0
"(S,S)-(-)-Hydrobenzoin","Spiro[cyclopenta[d]-1,3,2-dioxaborin-4(5H),1'-cyclopentane], 2-ethyl-6,7-dihydro-",-1.0
"2,5-di-tert-Butyl-1,4-benzoquinone",Triethanolamine,1.0
"Acetin, bis-1,3-trimethylsilyl ether","Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1.0
Cyclobutanol,"Ethanol, 2-(9-octadecenyloxy)-",1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Ethyl-3-hydroxypropionic acid,1.0
"2,3,4-Trihydroxybutyric acid tetrakis",Arachidonic acid,1.0
2-Hydroxy-5-methoxybenzaldehyde,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1.0
3'-Hydroxyacetophenone,Pimelic acid,1.0
10-Heptadecenoic acid,"Erythrono-1,4-lactone, (Z)-",1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",Heptadecanoic acid,1.0
"1,1'-Biphenyl, 3,4-diethyl-",Butylmethylamine,1.0
"cis-4,5-Dihydroxy-o-dithiane, 2O-",Indole-5-carboxylic acid,1.0
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-","Pentenoic acid, 4-[(trimethylsilyl)oxy]-",1.0
3-Ureidopropionic acid,Butanedioic acid,1.0
12-Oxooctadecanoate,Dinoseb ,1.0
"L-Tryptophan, N-acetyl-1",Palmitelaidic acid,1.0
2-Heptenoic acid,DL-Glyceraldehyde,1.0
Phenylalanine,Triethanolamine,1.0
"1,3,5-Benzetriol","2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",1.0
Decanoic acid,Dodecanoic acid,1.0
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",Ethyl alpha-D-glucopyranoside,1.0
L-Asparagine,L-Glutamic acid,1.0
1-Monoacetin,Campesterol,1.0
D-(-)-Citramalic acid,S-Methyl-L-cysteine,1.0
"1-(2,4-Dimethoxyphenyl)-propan-2-one","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",1.0
1-Monoacetin,"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",1.0
"2,5-Dimethoxyphenol","Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",1.0
"3-Methylpiperazine-2,5-dione, (R)-","L-Tryptophan, N-acetyl-1",1.0
"6,8-Dioxapentadecane","Stigmast-5-ene, 3beta-",1.0
12-Oxooctadecanoate,Isofucosterol,1.0
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Benzophenone,1.0
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",Palmitic Acid,1.0
2-Butenedioic acid,Ethanolamine,1.0
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",Propylamine,1.0
"Benzimidazole, 5-trifluoromethyl-2-methyl-",L-Threitol,1.0
cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,Tartronic acid,1.0
"Dimethyl hexopyranosiduronate, alpha-D-",Fenitrothion,-1.0
Ornithine,Phenylalanine,1.0
3-Methyladenine,Acetoacetic acid,1.0
"5-Androsten-17alpha-methyl-3beta,17beta-diol",Desmosterol,1.0
Benzophenone,Doconexent,1.0
"5-Androsten-17alpha-methyl-3beta,17beta-diol",N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,1.0
Cyclohexanol,Pentadecanoic acid,1.0
2-Hydroxy-5-methoxybenzaldehyde,4-Hydroxybutanoic acid,1.0
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",Deoxycholic Acid,1.0
2-Methyl-4-pentenoic acid,Metanephrine,1.0
3'-Hydroxyacetophenone,"Erythrono-1,4-lactone, (Z)-",1.0
"2,5-Dimethoxy-4-methylamphetamine",L-Alanine,1.0
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",Ethyl alpha-D-glucopyranoside,1.0
"1-Butanamine, N,N-diethyl-","Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate",1.0
Cholesterol,Malic acid,1.0
"Benzimidazole, 5-trifluoromethyl-2-methyl-",Metanephrine,1.0
1-Deoxypentitol,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",1.0
4-Hydroxybenzaldehyde,Niacin,1.0
"2,4-Diamino-6,7-dimethylpteridine",Cholesterol,1.0
(pm)-Phenylpropanolamine,Decanoic acid,1.0
"Benzoic acid, pentadecyl ester",D-(-)-Citramalic acid,1.0
"1,3,5-Trimethyl-1H-pyrazol-4-amine",alpha-Tocopherol,1.0
alpha-Linolenic acid,Bis(trimethylsilyl)histidine,1.0
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",Delorazepam,1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene","Octane, 1-propoxy-",1.0
13-Docosenamide,"2,5-Dimethoxybenzhydrazide",-1.0
3-Methyladenine,Tartronic acid,1.0
2-Hexen-1-ol,3-Hexenedinitrile,1.0
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",3-Nonen-1-ol,1.0
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Neostigmine ,1.0
