cpx_gene,pls_metabolite,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Pooled r,Pooled p-values,Pooled n,r Count,Consistent,Sign,edge_dir,Pooled FDR
ENSMUSG00000054484-P,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",,,0,0.5,0.666666667,3,0.4,0.6,4,0.071428571,0.879048193,7,2,TRUE,+,1,0.921823736
ENSMUSG00000032216-P,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",,,0,1,0,3,0.2,0.8,4,0.25,0.588724448,7,2,TRUE,+,1,0.739175102
ENSMUSG00000034584-P,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",,,0,0.5,0.666666667,3,0.4,0.6,4,0.428571429,0.337368311,7,2,TRUE,+,1,0.571088885
ENSMUSG00000068921-P,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",,,0,0.5,0.666666667,3,0.8,0.2,4,0.321428571,0.482072038,7,2,TRUE,+,1,0.669724881
ENSMUSG00000044224-P,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",,,0,-0.5,0.666666667,3,-0.8,0.2,4,-0.214285714,0.644511581,7,2,TRUE,-,-1,0.774702905
ENSMUSG00000030216-P,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",,,0,0.5,0.666666667,3,1,0,4,0.5,0.253169995,7,2,TRUE,+,1,0.508640649
ENSMUSG00000071072-P,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",,,0,-0.5,0.666666667,3,-0.4,0.6,4,-0.321428571,0.482072038,7,2,TRUE,-,-1,0.669724881
ENSMUSG00000021243-P,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",,,0,-0.5,0.666666667,3,-0.8,0.2,4,-0.571428571,0.180201989,7,2,TRUE,-,-1,0.44792623
ENSMUSG00000016495-P,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",,,0,0.5,0.666666667,3,0.4,0.6,4,0.071428571,0.879048193,7,2,TRUE,+,1,0.921823736
ENSMUSG00000068284-P,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",,,0,-1,0,3,-0.2,0.8,4,-0.678571429,0.093750254,7,2,TRUE,-,-1,0.359352182
