node1,node2
ENSMUSG00000055681-C,"2,4-Di-tert-butylphenol-F"
ENSMUSG00000055681-C,4-Coumaric acid-F
ENSMUSG00000055681-C,L-(+)-Rhamnopyranose-F
ENSMUSG00000032216-C,L-Valine-F
ENSMUSG00000025979-C,Deoxyglucose-F
ENSMUSG00000025979-C,Vanillin-F
ENSMUSG00000035443-C,Methyl alpha-Arabinofuranoside-F
ENSMUSG00000028991-C,L-Hydroxyproline-F
ENSMUSG00000028991-C,2-Hydroxy-5-methoxybenzaldehyde-F
ENSMUSG00000044224-C,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy-F"
ENSMUSG00000030216-C,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)-F"
ENSMUSG00000030216-C,L-Aspartic acid-F
ENSMUSG00000030216-C,L-Valine-F
ENSMUSG00000030216-C,Methylsuccinic acid-F
ENSMUSG00000016495-C,2-Pyrrolidinone-F
ENSMUSG00000016495-C,Decyl oleate-F
ENSMUSG00000016495-C,DL-Phenylalanine-F
ENSMUSG00000016495-C,"Gluconolactone (3R,4S,5R,6R)-F"
ENSMUSG00000016495-C,L-Isoleucine-F
ENSMUSG00000036188-C,5-Oxohexanoic Acid-F
ENSMUSG00000068284-C,Deoxycholic Acid-F
ENSMUSG00000068284-C,D-Fructose-F
ENSMUSG00000068284-C,L-Valine-F
ENSMUSG00000063894-C,D-(-)-Fructopyranose-F
ENSMUSG00000027536-C,"2-Butenoic acid, 2-hydroxy--F"
ENSMUSG00000069727-C,1-Hexacosene-F
ENSMUSG00000069727-C,"2,5-Dimethoxymandelic acid-F"
ENSMUSG00000069727-C,"2,5-Dimethoxyphenol-F"
ENSMUSG00000069727-C,"2-Allyl-1,4-dimethoxybenzene-F"
ENSMUSG00000069727-C,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester-F"
ENSMUSG00000069727-C,3-Hexenedioic acid-F
ENSMUSG00000069727-C,Methyl stearate-F
ENSMUSG00000069727-C,Triethanolamine-F
ENSMUSG00000042118-C,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy-F"
ENSMUSG00000094002-C,L-Asparagine-F
ENSMUSG00000094002-C,Vanillin-F
ENSMUSG00000039253-C,"2,5-Dimethoxyphenol-F"
ENSMUSG00000039253-C,"2-Allyl-1,4-dimethoxybenzene-F"
ENSMUSG00000039253-C,2-Ethylhexanoic acid-F
ENSMUSG00000039253-C,pyrazole-F
ENSMUSG00000039253-C,4-Methylvaleric acid-F
ENSMUSG00000039253-C,beta-Alanine-F
ENSMUSG00000039253-C,Kojic acid-F
ENSMUSG00000039253-C,L-5-Oxoproline-F
ENSMUSG00000039253-C,L-Isoleucine-F
ENSMUSG00000039253-C,L-Valine-F
ENSMUSG00000039253-C,Niacin-F
ENSMUSG00000039253-C,Phenol-F
ENSMUSG00000039253-C,Syringaldehyde-F
ENSMUSG00000039253-C,Urea-F
ENSMUSG00000036371-C,11-Methyldodecanol-F
ENSMUSG00000036371-C,1-Dodecanol-F
ENSMUSG00000036371-C,Benzoic Acid-F
ENSMUSG00000036371-C,D-Allofuranose-F
ENSMUSG00000036371-C,"Hexadecanoic acid, ethyl ester-F"
ENSMUSG00000036371-C,Isopropyl myristate-F
ENSMUSG00000036371-C,Phenol-F
ENSMUSG00000036371-C,Phthalazin-1-one-F
ENSMUSG00000094595-C,L-Valyl-L-leucine-F
ENSMUSG00000041126-C,2-Piperidinone-F
ENSMUSG00000041126-C,Azelaic acid-F
ENSMUSG00000041126-C,l-Leucyl-l-valine-F
ENSMUSG00000041126-C,N-Ethyldiethanolamine-F
ENSMUSG00000041126-C,Palmitelaidic acid-F
ENSMUSG00000041126-C,Valylvaline-F
ENSMUSG00000034064-C,"1,4-Butanediol-F"
ENSMUSG00000034064-C,5-Oxohexanoic Acid-F
ENSMUSG00000034064-C,Monocaprylin-F
ENSMUSG00000035295-C,3-Buten-2-one-F
ENSMUSG00000035295-C,Oxalic acid-F
ENSMUSG00000057421-C,L-Lysine-F
ENSMUSG00000057421-C,"2-Butenoic acid, 2-hydroxy--F"
ENSMUSG00000057421-C,5-Aminovaleric acid-F
ENSMUSG00000057421-C,D-Mannose-F
ENSMUSG00000057421-C,Valylvaline-F
ENSMUSG00000022781-C,DL-Phenylalanine-F
ENSMUSG00000022781-C,D-Ribose-F
ENSMUSG00000022781-C,L-Valine-F
ENSMUSG00000030060-C,L-Hydroxyproline-F
ENSMUSG00000030060-C,"2-Allyl-1,4-dimethoxybenzene-F"
ENSMUSG00000030060-C,Dodecanamide-F
ENSMUSG00000015112-C,Ethanolamine-F
ENSMUSG00000027642-C,D-(-)-Ribofuranose-F
ENSMUSG00000105382-C,1-Tetradecanol-F
ENSMUSG00000105382-C,Pyrogallol-F
ENSMUSG00000105382-C,Tripropylene glycol monomethyl ether-F
ENSMUSG00000024081-C,DL-Phenylalanine-F
ENSMUSG00000024081-C,L-Valine-F
ENSMUSG00000003184-C,2-Octanol-F
ENSMUSG00000003184-C,Methyl alpha-Arabinofuranoside-F
ENSMUSG00000003184-C,Palmitelaidic acid-F
ENSMUSG00000030094-C,Supraene-F
ENSMUSG00000049295-C,6-Hydroxyhexanoic acid-F
ENSMUSG00000046711-C,Anthranilic acid-F
ENSMUSG00000046711-C,Isopropyl palmitate-F
ENSMUSG00000046711-C,"N,N-Diethyl-carbamate-F"
ENSMUSG00000046711-C,Octanoic acid-F
ENSMUSG00000046711-C,Palmitelaidic acid-F
ENSMUSG00000046711-C,Pentadecanoic acid-F
ENSMUSG00000046711-C,Phthalazin-1-one-F
ENSMUSG00000034647-C,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol-F
ENSMUSG00000002319-C,"2,3-Butanediol-F"
ENSMUSG00000020108-C,L-Glutamic acid-F
ENSMUSG00000022246-C,alpha-D-Xylopyranose-F
ENSMUSG00000022246-C,D-Arabinose-F
ENSMUSG00000022246-C,L-Rhamnose-F
ENSMUSG00000050910-C,L-Asparagine-F
ENSMUSG00000061533-C,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate-F"
ENSMUSG00000102840-C,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone-F"
ENSMUSG00000004698-C,1-Tetradecanol-F
ENSMUSG00000004698-C,alpha-Linolenic acid-F
ENSMUSG00000004698-C,Monomethyl succinate-F
ENSMUSG00000004698-C,N-(2-hydroxyethyl)-succinimide-F
ENSMUSG00000004698-C,Phenol-F
ENSMUSG00000086610-C,2-Ethylhexanoic acid-F
ENSMUSG00000086610-C,Cyclohexanecarboxylic acid-F
ENSMUSG00000026309-C,alpha-Ketoisovaleric acid-F
ENSMUSG00000026309-C,L-Rhamnose-F
ENSMUSG00000021903-C,Glyceric acid-F
ENSMUSG00000037262-C,L-Valine-F
ENSMUSG00000005514-C,D-Psicofuranose-F
ENSMUSG00000005514-C,N-(2-hydroxyethyl)-succinimide-F
ENSMUSG00000005514-C,Stearic acid-F
ENSMUSG00000045128-C,2-Hydroxy-5-methoxybenzaldehyde-F
ENSMUSG00000045128-C,"D-(+)-Ribono-1,4-lactone-F"
ENSMUSG00000045128-C,Hymexazole-F
ENSMUSG00000045128-C,l-Leucyl-l-valine-F
ENSMUSG00000040795-C,D-Arabinose-F
ENSMUSG00000031511-C,4-hydroxy-3-penten-2-one-F
ENSMUSG00000024805-C,Cyclohexanecarboxylic acid-F
ENSMUSG00000029198-C,Thr-Leu-F
ENSMUSG00000029198-C,Pantolactone-F
ENSMUSG00000032482-C,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy--F"
ENSMUSG00000032482-C,2-Ethylhexanoic acid-F
ENSMUSG00000021288-C,Deoxyribopyranose-F
ENSMUSG00000024151-C,4-hydroxy-3-penten-2-one-F
ENSMUSG00000023243-C,"2',2,3,6'-Tetramethoxychalcone-F"
ENSMUSG00000023243-C,L-(+)-Rhamnopyranose-F
ENSMUSG00000052751-C,D-(+)-Talofuranose-F
ENSMUSG00000020389-C,Ethanolamine-F
