Metabolite 1,Metabolite 2,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Consistent?,Can Meta-Analysis Be Calculated?,Meta-Analysis p-value,FDR
10-Heptadecenoic acid,4-Pentenoic acid,0.6137936873188863,0.025653937298118,13,0.1506289335760301,0.6988841292948215,9,0.1428571428571428,0.7871720116618075,6,True,True,0.0872979841823834,0.2657948616377316
10-Heptadecenoic acid,Acetohydroxamic acid,0.1739134988237004,0.6090602359957553,11,0.1412304347492436,0.6787239417000244,11,0.6571428571428573,0.1561749271137023,6,True,True,0.3104240841124794,0.491851174544139
10-Heptadecenoic acid,Butyl caprylate,0.4285714285714286,0.2894032248467901,8,0.7113032974423645,0.0316565570333023,9,0.5,0.6666666666666667,3,True,True,0.0470849004261908,0.1860332640645826
10-Heptadecenoic acid,Deoxyglucose,0.2882999880625789,0.5306506599466652,7,,,0,0.8999999999999998,0.0373860734684987,5,False,True,0.2440492265496995,0.4391765116880256
10-Heptadecenoic acid,Phloroglucinol,0.4710761676762419,0.1041901070638822,13,0.4035087719298246,0.1933469860316367,12,0.8857142857142858,0.0188454810495626,6,True,True,0.0183535812555467,0.0996319441676419
10-Heptadecenoic acid,"1,2,4,5-Cyclohexanetetrol",0.4454545454545454,0.3165125772567169,7,0.4058397249567139,0.4246625075613645,6,,,0,False,True,0.2490158082237864,0.4433863684815674
10-Heptadecenoic acid,1-Monopalmitin,,,0,0.5217939320872036,0.2883432338003937,6,0.5,0.6666666666666667,3,False,True,0.3535040650243432,0.5239466589297376
10-Heptadecenoic acid,1-Octanol,-0.3282689935872349,0.3544183270183252,10,-0.4620082131968491,0.178856585561847,10,,,0,False,True,0.1342627440427425,0.3315172077860935
10-Heptadecenoic acid,"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-",0.5642880936468347,0.3217233358243002,5,0.8207826816681234,0.0885870053135437,5,,,0,False,True,0.1475165230914169,0.3483492107012902
10-Heptadecenoic acid,"2',2,3,6'-Tetramethoxychalcone",,,0,0.5748606057183643,0.1360582623880914,8,0.5,0.6666666666666667,3,False,True,0.183984122423953,0.3855407493774144
10-Heptadecenoic acid,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",-0.4573020107266441,0.1161470493526311,13,-0.0351494391688101,0.9136417620204398,12,-0.0285714285714285,0.9571545189504372,6,True,True,0.2934076371598741,0.4788621486365922
10-Heptadecenoic acid,"2,3,4-Trihydroxybutyric acid",-0.0771352789177472,0.8022285682572896,13,-0.1541158230344362,0.6324877788515912,12,-0.4285714285714286,0.3965014577259474,6,True,True,0.4647341871568964,0.600182806354264
10-Heptadecenoic acid,"2,4-Di-tert-butylphenol",0.0999999999999999,0.8728885715695383,5,0.30631873731649,0.5040270086665881,7,,,0,False,True,0.5595441154142191,0.6625905644530034
10-Heptadecenoic acid,"2,5-Dimethoxybenzhydrazide",0.4151728087258085,0.1583209746118467,13,0.7052631578947368,0.0104060950334914,12,0.2319084142609793,0.658373571260927,6,True,True,0.0155075311521581,0.088349839906089
10-Heptadecenoic acid,"2,5-Dimethoxymandelic acid",0.1054092553389459,0.894590744661054,4,0.8266212326392487,0.0009150112679836,12,0.7999999999999999,0.2,4,True,True,0.0074300610764231,0.0493537814159015
10-Heptadecenoic acid,"2,5-Di-tert-butyl-4-hydroxyphenol",-0.6187845303867403,0.0241496554009774,13,-0.4912280701754387,0.1048456241390794,12,-0.1428571428571428,0.7871720116618075,6,True,True,0.0164789237787234,0.0924693002154264
10-Heptadecenoic acid,2-Aminoadipic acid,-0.0885201399962335,0.7736767786054638,13,-0.3467606018274814,0.2694793884630331,12,-0.6571428571428573,0.1561749271137023,6,True,True,0.2067805359871239,0.4078444419922903
10-Heptadecenoic acid,2-Butenedioic acid,0.3089658111447876,0.304345433845778,13,0.1751316170845866,0.5861577321261826,12,0.4857142857142857,0.3287230320699709,6,True,True,0.1903375487272708,0.3914213745302061
10-Heptadecenoic acid,"2-Butenoic acid, 2-hydroxy-",,,0,-0.0502096445253433,0.8979283954703233,9,-0.3999999999999999,0.6,4,False,True,0.7929775802423163,0.8229556876569993
10-Heptadecenoic acid,2-Hydroxy-2-methylbutyric acid,0.4285714285714286,0.2894032248467901,8,0.3592878785739777,0.3820646773649864,8,0.5,0.6666666666666667,3,True,True,0.206647771728811,0.4078444419922903
10-Heptadecenoic acid,2-Isopropyl-5-methyl-1-heptanol,0.2868968246344457,0.3419183705047491,13,0.1317388888104584,0.7558326362593347,8,0.1159542071304896,0.826848213385815,6,True,True,0.3598570384934798,0.5288194863659136
10-Heptadecenoic acid,2-Pentenedioic acid,0.5,0.6666666666666667,3,0.0598813130956629,0.8879906501125185,8,,,0,False,True,0.8934509900856304,0.9014216279995738
10-Heptadecenoic acid,2-Piperidinone,-0.3876146788990826,0.2388556234821797,11,-0.2323468442648847,0.4917654140586254,11,,,0,False,True,0.2119157091131592,0.4124029322283763
10-Heptadecenoic acid,2-Pyrrolidinone,0.0358621030793057,0.9074070749401576,13,0.0035026323416917,0.9913803817213171,12,0.0285714285714285,0.9571545189504372,6,True,True,0.9191913669864498,0.9239924215010862
10-Heptadecenoic acid,"3,4,5-Trihydroxypentanoic acid",0.0777390012314044,0.810222361210434,12,0.5952380952380953,0.1195298061387925,8,0.3999999999999999,0.6,4,True,True,0.3007195157972598,0.4833542986514199
10-Heptadecenoic acid,3-Amino-2-piperidone,0.1052638058733755,0.7447415468069729,12,0.3187395430939476,0.3126016762184119,12,0.3999999999999999,0.6,4,True,True,0.3330023174712035,0.5092717525713738
10-Heptadecenoic acid,3-Buten-2-one,-0.632455532033676,0.367544467966324,4,-0.2702812388086677,0.5577307488053698,7,,,0,False,True,0.4431256804244089,0.5830620370231401
10-Heptadecenoic acid,3-Hydroxyisovaleric acid,-0.2813795780068602,0.3516903860302887,13,-0.2857156055296304,0.423567783826546,10,-0.3999999999999999,0.6,4,True,True,0.2158685366822128,0.4152918421709082
10-Heptadecenoic acid,3-O-methyl-beta-D-Glucopyranose,0.3999999999999999,0.6,4,0.4518395720782334,0.1403127704727103,12,0.5,0.6666666666666667,3,True,True,0.1502519359515852,0.3509931297676512
10-Heptadecenoic acid,3-Oxo-1-cyclohexene-1-carboxylic acid ,1.0,0.0,3,0.2515015150017844,0.5479426035598269,8,,,0,False,True,0.0,0.0
10-Heptadecenoic acid,4-Aminobenzoic acid,0.0398773006134969,0.9129069882112032,10,0.5078816895453011,0.0918457918572556,12,0.1999999999999999,0.8,4,True,True,0.2232912083534706,0.4216377580923612
10-Heptadecenoic acid,4-Coumaric acid,-0.1790640403447703,0.5583224670118883,13,-0.6537795685398695,0.021112687268918,12,-0.1999999999999999,0.747060078104662,5,True,True,0.0800444107601602,0.2524327112373029
10-Heptadecenoic acid,4-Hydroxybenzeneacetic acid,-0.2082760601913524,0.4947128135918996,13,-0.2767079549936467,0.3839396014534969,12,-0.2,0.704,6,True,True,0.2679539334676422,0.4592410607339065
10-Heptadecenoic acid,4-Hydroxybutanoic acid,-0.7142857142857143,0.1107871720116617,6,-0.467074242146171,0.2432699166339954,8,,,0,False,True,0.1045078406791987,0.2920522257676244
10-Heptadecenoic acid,4-Methyl-5-thiazoleethanol,0.2672186448221957,0.377452818615708,13,0.2767079549936467,0.3839396014534969,12,0.4857142857142857,0.3287230320699709,6,True,True,0.1557485861528959,0.3570289395250797
10-Heptadecenoic acid,5-Aminovaleric acid,-0.1460060636657357,0.6341077478811024,13,-0.0136674614273461,0.9681862209072394,11,-0.1999999999999999,0.8,4,True,True,0.6848986358716364,0.7430856188144921
10-Heptadecenoic acid,5-Hydroxymethyl-2-furoic acid,0.7500000000000002,0.0521814004570577,7,0.6725054096048124,0.0165692907131667,12,,,0,False,True,0.0080961030472897,0.0530234330918019
10-Heptadecenoic acid,5-Oxohexanoic Acid,,,0,0.9856107606091624,0.0003090856678496,6,0.7999999999999999,0.2,4,False,True,0.0313507236200915,0.1430010137681512
10-Heptadecenoic acid,6-Hydroxyhexanoic acid,0.277128548309331,0.5063754253085382,8,0.6443798763008685,0.0443115143214361,10,1.0,0.0,3,True,True,0.0,0.0
10-Heptadecenoic acid,"9,12-Octadecadienoic acid",-1.0,0.0,3,-0.6668859288553503,0.2188939813132315,5,,,0,False,True,0.0,0.0
10-Heptadecenoic acid,9-Octadecen-1-ol,0.7579987698621904,0.0068694517329335,11,0.7666666666666667,0.015944016578974,9,0.3999999999999999,0.5046315754686911,5,True,True,0.0024789077630377,0.0189634715205886
10-Heptadecenoic acid,9-Octadecenoic acid,-0.0853997730875058,0.7814777530405761,13,-0.1996500434764286,0.5338670484331347,12,-0.2571428571428572,0.6227871720116618,6,True,True,0.4652244878058534,0.6004838958971894
10-Heptadecenoic acid,Acetoacetic acid,-0.1324139190620518,0.6663032794170065,13,-0.1015763379090602,0.7534340837808129,12,-0.7999999999999999,0.2,4,True,True,0.50862468602603,0.6282640249640298
10-Heptadecenoic acid,Aconitic acid,0.7333333333333334,0.0245541500714696,9,0.3214285714285715,0.4820720382996776,7,0.5,0.6666666666666667,3,True,True,0.0670276289852155,0.2283518912943523
10-Heptadecenoic acid,alpha-D-(+)-Talopyranose,0.1157029183766208,0.7066147809537424,13,0.7166666666666667,0.0298180356958452,9,0.6,0.2079999999999998,6,True,True,0.1015187798653925,0.2879537207817339
10-Heptadecenoic acid,Anthranilic acid,-0.2344829816723835,0.4406480366661256,13,-0.5008764248619176,0.0971737747799286,12,-0.6,0.2079999999999998,6,True,True,0.0631145233143966,0.2207800767726183
10-Heptadecenoic acid,Arabinitol,,,0,0.670670706671425,0.0686927416050599,8,0.9276336570439176,0.0076658441874731,6,False,True,0.0217407971836725,0.1120293547172001
10-Heptadecenoic acid,"beta-D-Galactopyranoside, methyl-, acetate",,,0,0.2510482226267169,0.5146735855804967,9,0.2571428571428572,0.6227871720116618,6,False,True,0.4452058793022126,0.5847591589972788
10-Heptadecenoic acid,Butyl Succinate,-0.4628116735064833,0.1112589480385665,13,-0.2101579405015038,0.512085328993753,12,-0.3188740696088466,0.5379005604702051,6,True,True,0.1087126824221616,0.2986932221135921
10-Heptadecenoic acid,"cis,cis,cis-1-Isobutyl-2,5-dimethylcyclohexane",0.0999999999999999,0.8728885715695383,5,0.1321187937976795,0.6985824353493757,11,,,0,False,True,0.6906335782349144,0.747000933921209
10-Heptadecenoic acid,Citric acid,0.1157901864607131,0.7200804614772964,12,0.3832404038122428,0.348683741124201,8,0.7999999999999999,0.2,4,True,True,0.340254166845493,0.5145719830441097
10-Heptadecenoic acid,D-(-)-Fructofuranose,-0.0771352789177472,0.8022285682572896,13,-0.2947368421052632,0.3523821036502349,12,-0.6,0.2079999999999998,6,True,True,0.2693865168222547,0.4603166411354359
10-Heptadecenoic acid,D-(-)-Fructopyranose,0.3444645038543398,0.2728765077498971,12,0.0525394851253759,0.8711783093619829,12,0.0285714285714285,0.9571545189504372,6,True,True,0.4265479946456376,0.5715091909939108
10-Heptadecenoic acid,D-(+)-Galactopyranose,,,0,0.6415525114155252,0.0333614588634199,11,0.3999999999999999,0.5046315754686911,5,False,True,0.0525033177524158,0.1984528215839074
