Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
3-Aminobutanoic acid-Feci,"1-Butanamine, N,N-diethyl--PLS",-0.0999999999999999,0.8728885715695383,5,-0.0720749970156447,0.8779592508225129,7,,,0,-0.093535164139724,0.7611803011128878,13,True,-,0.856311893710109
3-Aminobutanoic acid-Feci,1-Hexanol-PLS,0.7999999999999999,0.2,4,1.0,0.0,3,,,0,0.4761904761904762,0.2329355346500979,8,True,+,0.4692671484216908
3-Aminobutanoic acid-Feci,"1-Octanol, 2-butyl--PLS",0.3999999999999999,0.5046315754686911,5,0.6,0.2847569798652937,5,,,0,0.0454545454545454,0.8944269969053026,11,True,+,0.9362329040888038
3-Aminobutanoic acid-Feci,"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl -PLS",0.3999999999999999,0.6,4,0.0857142857142857,0.8717434402332361,6,,,0,0.3212121212121211,0.3654683104386702,10,True,+,0.5828023058726657
3-Aminobutanoic acid-Feci,"2-Propenamide, 3-phenyl-N-2-propenyl--PLS",-0.5,0.6666666666666667,3,-0.6,0.2847569798652937,5,,,0,-0.4761904761904762,0.2329355346500979,8,True,-,0.4692671484216908
3-Aminobutanoic acid-Feci,"2,2-Diallylpyrrolidine-PLS",-0.5,0.6666666666666667,3,-0.7500000000000002,0.0521814004570577,7,,,0,-0.5090909090909091,0.1097372322416564,11,True,-,0.3301445760412357
3-Aminobutanoic acid-Feci,"2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene-PLS",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,,,0,-0.5714285714285715,0.1802019889115274,7,True,-,0.4157767542535332
3-Aminobutanoic acid-Feci,"2,3-Butanediol-PLS",-0.7999999999999999,0.2,4,-0.1071428571428571,0.8191508555699912,7,,,0,-0.0069930069930069,0.9827917689028476,12,True,-,0.988498480132088
3-Aminobutanoic acid-Feci,"2,5-Dimethoxymandelic acid-PLS",0.0999999999999999,0.8728885715695383,5,0.6071428571428572,0.1482311614811614,7,,,0,0.4450549450549451,0.1275238361384368,13,True,+,0.3524970153106629
3-Aminobutanoic acid-Feci,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline-PLS",-0.7999999999999999,0.2,4,-0.7857142857142859,0.0362384626798271,7,,,0,-0.4895104895104896,0.106252371759346,12,True,-,0.325219503883975
