node1,node2
10-Heptadecenoic acid-Feci,1-Monoacetin-PLS
10-Heptadecenoic acid-Feci,"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl- -PLS"
10-Heptadecenoic acid-Feci,5-Hydroxyquinoline-PLS
10-Heptadecenoic acid-Feci,"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione-PLS"
10-Heptadecenoic acid-Feci,"9,12-Octadecadienoic acid-PLS"
10-Heptadecenoic acid-Feci,"Benzene, 4-ethenyl-1,2-dimethoxy--PLS"
10-Heptadecenoic acid-Feci,"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--PLS"
10-Heptadecenoic acid-Feci,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--PLS"
10-Heptadecenoic acid-Feci,"Cyclopentanone, 2,2,4-trimethyl--PLS"
10-Heptadecenoic acid-Feci,Dodecylcyclohexane-PLS
10-Heptadecenoic acid-Feci,Methyl-3-methoxy-5-methyl benzoate-PLS
10-Heptadecenoic acid-Feci,Pentylone-PLS
10-Heptadecenoic acid-Feci,Trimidox-PLS
10-Heptadecenoic acid-Feci,Tris(trimethylsilyl)carbamate-PLS
3-Aminobutanoic acid-Feci,"9H-Fluorene, 9-methylene--PLS"
3-Aminobutanoic acid-Feci,"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--PLS"
3-Aminobutanoic acid-Feci,Dihydrouracil-PLS
3-Aminobutanoic acid-Feci,Indole-3-lactic acid-PLS
3-Aminobutanoic acid-Feci,"Thiazolo[4,5-f]quinoline, 2,9-dimethyl--PLS"
3-Hydroxypicolinic acid-Feci,"1-(2,4-Dimethoxyphenyl)-propan-2-one-PLS"
3-Hydroxypicolinic acid-Feci,Albizziin-PLS
4-Pentenoic acid-Feci,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline-PLS"
4-Pentenoic acid-Feci,3-Ethylphenol-PLS
4-Pentenoic acid-Feci,Benzyl alcohol-PLS
4-Pentenoic acid-Feci,DL-Ornithine-PLS
4-Pentenoic acid-Feci,Docosyl octyl ether-PLS
4-Pentenoic acid-Feci,Indole-3-carboxaldehyde-PLS
4-Pentenoic acid-Feci,Ketamine -PLS
4-Pentenoic acid-Feci,L-Glutamine-PLS
Acetohydroxamic acid-Feci,"1-(2,4-Dimethoxyphenyl)-propan-2-one-PLS"
Acetohydroxamic acid-Feci,1-Hydroxy-3-methoxy-6-methylanthraquinone-PLS
Acetohydroxamic acid-Feci,"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-PLS"
Acetohydroxamic acid-Feci,"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl- -PLS"
Acetohydroxamic acid-Feci,3-Indoleacetic acid-PLS
Acetohydroxamic acid-Feci,"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin -PLS"
Acetohydroxamic acid-Feci,"9H-Fluorene, 9-methylene--PLS"
Acetohydroxamic acid-Feci,"Azetidine, 1-acetyl-2-methyl--PLS"
Acetohydroxamic acid-Feci,Isonicotinic Acid-PLS
Acetohydroxamic acid-Feci,Mirin-PLS
Acetohydroxamic acid-Feci,Valylglycine-PLS
Butyl caprylate-Feci,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline-PLS"
Butyl caprylate-Feci,"D-(+)-Talofuranose, pentakis-PLS"
Butyl caprylate-Feci,L-Glutamine-PLS
Butyl caprylate-Feci,Uridine-PLS
Deoxyglucose-Feci,alpha-Tocopherol-PLS
Deoxyglucose-Feci,"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O--PLS"
Deoxyglucose-Feci,Itaconic acid-PLS
Deoxyglucose-Feci,Luteolin -PLS
Deoxyglucose-Feci,"Octane, 1-propoxy--PLS"
Deoxyglucose-Feci,Urea-PLS
Erythritol-Feci,2-Hydroxybutyric acid-PLS
Erythritol-Feci,3-Aminobenzoic acid-PLS
Erythritol-Feci,Tetradecanenitrile-PLS
L-Asparagine-Feci,Phenylpropanolamine-PLS
L-Glutamine-Feci,"2,2-Diallylpyrrolidine-PLS"
L-Glutamine-Feci,Campesterol-PLS
L-Hydroxyproline-Feci,"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene-PLS"
L-Hydroxyproline-Feci,"1H-Pyrazole, 3,4-bis(trimethylsilyl)--PLS"
L-Hydroxyproline-Feci,"Acetohydrazide, 2-(2-isopropyl-5-methylphenoxy)-N2-benzylideno--PLS"
L-Norvaline-Feci,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene -PLS"
L-Norvaline-Feci,10-Heptadecenoic acid-PLS
L-Norvaline-Feci,3-Ethylphenol-PLS
L-Norvaline-Feci,"3-Methylpiperazine-2,5-dione, (R)--PLS"
L-Norvaline-Feci,"alpha-L-Galactopyranoside, methyl 6-deoxy-, (R,R,R,S,S)--PLS"
L-Norvaline-Feci,Arsenous acid-PLS
L-Norvaline-Feci,Cinnamic acid-PLS
L-Norvaline-Feci,Glyceric acid-PLS
L-Norvaline-Feci,Indole-3-lactic acid-PLS
L-Norvaline-Feci,L-Alanine-PLS
L-Norvaline-Feci,L-Isoleucine-PLS
L-Norvaline-Feci,Palmitelaidic acid-PLS
L-Serine-Feci,10-Heptadecenoic acid-PLS
L-Serine-Feci,2-Aminobutanoic acid-PLS
L-Serine-Feci,2-Isopropyl-5-methyl-1-heptanol -PLS
L-Serine-Feci,3-Aminobutanoic acid-PLS
L-Serine-Feci,3-Methoxysalicylic acid-PLS
L-Serine-Feci,"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE-PLS"
L-Serine-Feci,5-Hydroxyquinoline-PLS
L-Serine-Feci,9-Octadecenoic acid-PLS
L-Serine-Feci,"Benzaldehyde, 2,5-dimethyl--PLS"
L-Serine-Feci,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--PLS"
L-Serine-Feci,Dinoseb -PLS
L-Serine-Feci,DL-Glyceraldehyde-PLS
L-Serine-Feci,Doconexent-PLS
L-Serine-Feci,"Dodecane, 4,6-dimethyl--PLS"
L-Serine-Feci,Indole-3-lactic acid-PLS
L-Serine-Feci,Isofucosterol-PLS
L-Serine-Feci,Mirin-PLS
L-Serine-Feci,N-Isobutyrylglycine-PLS
L-Serine-Feci,"N,O-Bis(trimethylsilyl)carbamate-PLS"
L-Serine-Feci,Phenylpropanolamine-PLS
N-Acetylglucosamine-Feci,Cyclobutanol-PLS
N-Acetylglucosamine-Feci,Dinoseb -PLS
N-Acetylglucosamine-Feci,Hexanoylglycine-PLS
N-Acetylglucosamine-Feci,Isofucosterol-PLS
N-Acetylglucosamine-Feci,Tartronic acid-PLS
N-Acetylglucosamine-Feci,Trimethylsilyl oct-2-enoate -PLS
Niacinamide-Feci,"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl- -PLS"
Niacinamide-Feci,"2,2'-Biphenyldiol-PLS"
Niacinamide-Feci,3-Hydroxybutyric acid-PLS
Niacinamide-Feci,4-Hydroxybutanoic acid-PLS
Niacinamide-Feci,"Cyclopentanone, 2,2,4-trimethyl--PLS"
Niacinamide-Feci,Uracil-PLS
N-Methyl-alpha-aminoisobutyric acid-Feci,2-Amino-4-methylphenol-PLS
N-Methyl-alpha-aminoisobutyric acid-Feci,"2,5-Dimethoxy-4-methylamphetamine-PLS"
N-Methyl-alpha-aminoisobutyric acid-Feci,"Benzene, 4-ethenyl-1,2-dimethoxy--PLS"
N-Methyl-alpha-aminoisobutyric acid-Feci,Metanephrine-PLS
N-Methyl-alpha-aminoisobutyric acid-Feci,Trisaminol-PLS
Phloroglucinol-Feci,1-Hexanol-PLS
Phloroglucinol-Feci,"Azetidine, 1-acetyl-2-methyl--PLS"
Thr-Leu-Feci,"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine-PLS"
Thr-Leu-Feci,Butylated Hydroxytoluene-PLS
Thr-Leu-Feci,Myristic acid-PLS
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-Feci","3,5-Di-tert-butyl-2-trimethylsilyloxybenzaldehyde-PLS"
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-Feci",4-Hydroxybenzaldehyde-PLS
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-Feci","D-Psicofuranose, pentakis-PLS"
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-Feci",L-Glutamine-PLS
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-Feci","L-Tryptophan, N-acetyl-1-PLS"
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-Feci",2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid-PLS
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-Feci",3-Indolepropionic acid-PLS
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-Feci","3,5-Dimethyl-1,4-diallylpyrazole-PLS"
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-Feci","Benzaldehyde, 2,5-dimethyl--PLS"
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-Feci",DL-Ornithine-PLS
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-Feci","Erythrono-1,4-lactone, (Z)--PLS"
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-Feci",Ethanolamine-PLS
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-Feci","Glycine, N-(1-oxobutyl)--PLS"
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-Feci",Ketamine -PLS
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-Feci",L-Threonine-PLS
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-Feci",Tetradecanenitrile-PLS
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl--Feci","2,4-Decadienal-PLS"
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl--Feci",L-Tryptophan-PLS
"1,2,4,5-Cyclohexanetetrol-Feci","1-Phenyl-1,2-ethanediol-PLS"
"1,2,4,5-Cyclohexanetetrol-Feci",2-Amino-4-methylphenol-PLS
"1,2,4,5-Cyclohexanetetrol-Feci",2-Aminobutanoic acid-PLS
"1,2,4,5-Cyclohexanetetrol-Feci",2-Butenedioic acid-PLS
"1,2,4,5-Cyclohexanetetrol-Feci","2,5-Di-tert-butyl-4-((trimethylsilyl)oxy)phenol-PLS"
"1,2,4,5-Cyclohexanetetrol-Feci","3-Methylpiperazine-2,5-dione, (R)--PLS"
"1,2,4,5-Cyclohexanetetrol-Feci","7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione-PLS"
"1,2,4,5-Cyclohexanetetrol-Feci",Acetoacetic acid-PLS
"1,2,4,5-Cyclohexanetetrol-Feci",Alloxanic acid-PLS
"1,2,4,5-Cyclohexanetetrol-Feci","Arabinofuranose, 1,2,3,5-tetrakis-O--PLS"
