node1,node2
ENSMUSG00000027374,1-Deoxypentitol
ENSMUSG00000027374,alpha-Linolenic acid
ENSMUSG00000027374,Nitrosothymol
ENSMUSG00000042626,"Stigmast-5-ene, 3beta-"
ENSMUSG00000055681,"1-Phenyl-1,2-ethanediol"
ENSMUSG00000055681,L-5-Oxoproline
ENSMUSG00000054484,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-"
ENSMUSG00000054484,Heptanoic acid
ENSMUSG00000054484,Octanoic acid
ENSMUSG00000032216,"2,4-Imidazolidinedione, 5,5-dimethyl-"
ENSMUSG00000032216,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-"
ENSMUSG00000032216,"3,5-Dimethylpyrazole"
ENSMUSG00000032216,"Benzimidazole, 5-trifluoromethyl-2-methyl-"
ENSMUSG00000032216,"Benzoic acid, pentadecyl ester"
ENSMUSG00000032216,Nitrosothymol
ENSMUSG00000034584,Trimidox
ENSMUSG00000044224,Adipoyl-L-carnitine
ENSMUSG00000030216,1-Deoxypentitol
ENSMUSG00000030216,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene
ENSMUSG00000030216,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-"
ENSMUSG00000030216,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene"
ENSMUSG00000030216,"6,7,4'-Trihydroxyisoflavone"
ENSMUSG00000030216,Alloxanic acid
ENSMUSG00000030216,"Benzoic acid, pentadecyl ester"
ENSMUSG00000030216,Cadaverine
ENSMUSG00000030216,D-(-)-Citramalic acid
ENSMUSG00000030216,Dinoseb 
ENSMUSG00000030216,DL-Glyceraldehyde
ENSMUSG00000030216,Isofucosterol
ENSMUSG00000030216,Methyl aminoacetate
ENSMUSG00000030216,"N,O-Bis(trimethylsilyl)carbamate"
ENSMUSG00000030216,Nonadecanoic acid
ENSMUSG00000030216,p-Toluic acid
ENSMUSG00000030216,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-"
ENSMUSG00000071072,"2-(2,5-Dimethoxy-phenyl)-propionaldehyde"
ENSMUSG00000021243,3-Methoxysalicylic acid
ENSMUSG00000021243,Cadaverine
ENSMUSG00000021243,"N,O-Bis(trimethylsilyl)carbamate"
ENSMUSG00000021243,p-Toluic acid
ENSMUSG00000016495,2-Oxooctanoic acid
ENSMUSG00000026803,3'-(Trimethylsilyl)oxy-beta-naphthoflavone
ENSMUSG00000026803,"Benzene, 4-ethenyl-1,2-dimethoxy-"
ENSMUSG00000026803,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-"
ENSMUSG00000026803,Methylmalonic monoamide
ENSMUSG00000068284,Isopropyl palmitate
ENSMUSG00000068284,N-Isovaleroylglycine
ENSMUSG00000063894,3-Aminobenzoic acid
ENSMUSG00000063894,Hydracrylic acid
ENSMUSG00000094002,"6,7,4'-Trihydroxyisoflavone"
ENSMUSG00000039253,Isofucosterol
ENSMUSG00000022781,Dinoseb 
ENSMUSG00000022781,Isopropyl palmitate
ENSMUSG00000022781,Methyl aminoacetate
ENSMUSG00000030060,"1H-Pyrazole, 3,4-bis(trimethylsilyl)-"
ENSMUSG00000030060,"Dodecanoic acid, 1-methylethyl ester"
ENSMUSG00000030060,"Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)-"
ENSMUSG00000030060,Tartronic acid
ENSMUSG00000042426,Adipoyl-L-carnitine
ENSMUSG00000042426,N-Valerylglycine
ENSMUSG00000105382,1-Hydroxy-3-methoxy-6-methylanthraquinone
ENSMUSG00000024941,Triethanolamine
ENSMUSG00000049295,Ethyl cis-2-trimethylsilyl-cyclopropane-1-carboxylate
ENSMUSG00000049295,"N,N-Dimethyl-2-cyclohexyloxyethylamine"
ENSMUSG00000049295,Phenoxyacetic acid
ENSMUSG00000049097,Bis(trimethylsilyl)histidine
ENSMUSG00000070348,beta-Lyxopyranose
ENSMUSG00000046711,(CH3)2C=NC2H558
ENSMUSG00000046711,"1-Propanamine, N,N-diethyl- "
ENSMUSG00000046711,Ethyl cis-2-trimethylsilyl-cyclopropane-1-carboxylate
ENSMUSG00000046711,n-Butylamine
ENSMUSG00000034647,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate"
ENSMUSG00000026273,"1-Propanamine, N,N-diethyl- "
ENSMUSG00000022246,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene "
ENSMUSG00000022246,"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-"
ENSMUSG00000020308,D-Mannose
ENSMUSG00000061533,"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane"
ENSMUSG00000058756,"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-"
ENSMUSG00000033948,Hexanoylglycine
ENSMUSG00000028655,"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-"
ENSMUSG00000005514,1-Hydroxy-3-methoxy-6-methylanthraquinone
ENSMUSG00000005514,"Dodecanamide, N-(2-hydroxyethyl)-"
ENSMUSG00000005514,"Glycine, N-(1-oxobutyl)-"
ENSMUSG00000005514,Uracil
ENSMUSG00000015461,12-Oxooctadecanoate
ENSMUSG00000015461,"Arabinofuranose, 1,2,3,5-tetrakis-O-"
ENSMUSG00000015461,Nitrosothymol
ENSMUSG00000031511,2-Oxooctanoic acid
ENSMUSG00000031511,Urea
ENSMUSG00000029198,Campesterol
ENSMUSG00000029198,Hydantoic acid
ENSMUSG00000024151,"D-(+)-Ribono-1,4-lactone (R,S,R)-"
ENSMUSG00000024151,"Dodecane, 4,6-dimethyl-"
ENSMUSG00000030591,"N,N-Dimethyl-2-cyclohexyloxyethylamine"
ENSMUSG00000052751,Benzenepropanoic acid
ENSMUSG00000052751,"cis-4,5-Dihydroxy-o-dithiane, 2O-"
ENSMUSG00000052751,phenoxyethanol
ENSMUSG00000025474,"15-Oxo-11Z,13E-eicosadienoic acid"
ENSMUSG00000025474,Dihydrouracil
ENSMUSG00000025474,Hydracrylic acid
ENSMUSG00000025474,L-Asparagine
ENSMUSG00000005580,"Cholest-7-en-3-ol, (3beta,5alpha)-"
ENSMUSG00000030663,D-Mannose
ENSMUSG00000035941,10-Heptadecenoic acid
ENSMUSG00000035941,Trimidox
ENSMUSG00000036501,N-Acetyltyrosine
ENSMUSG00000035934,"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane"
ENSMUSG00000035934,4-Methylvaleric acid
ENSMUSG00000035934,"Carbonic acid, eicosyl vinyl ester "
ENSMUSG00000058420,Galactopyranose
ENSMUSG00000019907,Hydroquinidine
ENSMUSG00000025410,1-Deoxypentitol
ENSMUSG00000025410,"Benzoic acid, pentadecyl ester"
ENSMUSG00000025410,beta-Lyxopyranose
ENSMUSG00000061718,"N,N-Dimethyl-2-cyclohexyloxyethylamine"
ENSMUSG00000008690,Dodecylcyclohexane
ENSMUSG00000008690,"N,N-Diethyl-2-aminoethanol"
ENSMUSG00000008690,Neostigmine 
ENSMUSG00000008690,Octan-2-yl palmitate
ENSMUSG00000004895,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene
ENSMUSG00000028273,"Benzoic acid, pentadecyl ester"
ENSMUSG00000028273,Dinoseb 
ENSMUSG00000028273,Levulinic acid
ENSMUSG00000028273,Methylmalonic monoamide
ENSMUSG00000026520,"2,4-Imidazolidinedione, 5,5-dimethyl-"
ENSMUSG00000026520,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-"
ENSMUSG00000083899,4-Methylvaleric acid
ENSMUSG00000030879,Nitrosothymol
ENSMUSG00000021585,2-Amino-4-methylphenol
ENSMUSG00000021585,2-Oxooctanoic acid
ENSMUSG00000021585,Urea
ENSMUSG00000026623,1-Hydroxy-3-methoxy-6-methylanthraquinone
ENSMUSG00000026623,10-Heptadecenoic acid
ENSMUSG00000026623,2-Amino-4-methylphenol
ENSMUSG00000026623,3-Hexenedinitrile
ENSMUSG00000026623,"6,7,4'-Trihydroxyisoflavone"
ENSMUSG00000026623,p-Toluic acid
ENSMUSG00000001964,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline"
ENSMUSG00000001964,Deoxycholic Acid
ENSMUSG00000001964,Pimelic acid
ENSMUSG00000036613,"1-(2,4-Dimethoxyphenyl)-propan-2-one"
ENSMUSG00000036613,1-Cyclopentylethanol
ENSMUSG00000036613,"9H-Fluorene, 9-methylene-"
ENSMUSG00000036613,"Carbonic acid, eicosyl vinyl ester "
ENSMUSG00000036613,Dehydronorketamine
ENSMUSG00000036613,"Dodecanamide, N-(2-hydroxyethyl)-"
ENSMUSG00000036613,Heptadecanoic acid
ENSMUSG00000036613,Indole-5-carboxylic acid
ENSMUSG00000036613,Isonicotinic Acid
ENSMUSG00000015839,D-Mannose
ENSMUSG00000015839,L-Alanine
ENSMUSG00000044296,L-5-Oxoproline
ENSMUSG00000032633,1-Hydroxy-3-methoxy-6-methylanthraquinone
ENSMUSG00000032633,2-Hydroxybutyric acid
ENSMUSG00000032633,Isofucosterol
ENSMUSG00000023236,"9H-Purine, 9-(trimethylsilyl)-2,6,8-tris[(trimethylsilyl)oxy]-"
ENSMUSG00000026483,"1-Octanol, 2-butyl-"
ENSMUSG00000026483,Atrazine desethyl
ENSMUSG00000026483,Supraene
ENSMUSG00000057738,Deoxycholic Acid
ENSMUSG00000010607,Nonanal
ENSMUSG00000010607,Ser-Leu
ENSMUSG00000030862,"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-"
ENSMUSG00000035505,Glycolic acid
ENSMUSG00000014195,1-Deoxypentitol
ENSMUSG00000014195,"3-Hydroxy-2,3-dihydromaltol"
ENSMUSG00000014195,4-Hydroxybenzeneacetic acid
ENSMUSG00000014195,"Dodecane, 4,6-dimethyl-"
ENSMUSG00000014195,Triethanolamine
