node1,node2
3-Hydroxypicolinic acid-F,trans-Coniferryl alchool-F
Butyl caprylate-F,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F"
Butyl caprylate-F,Arabinitol-F
Ethanamine-F,1-Octadecanol-F
L-Norvaline-F,4-Hydroxybenzoic acid-F
L-Serine-F,Cytosine-F
L-Serine-F,L-Valine-F
N-Acetylglucosamine-F,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F"
N-Acetylglucosamine-F,"D-(+)-Ribono-1,4-lactone-F"
Niacinamide-F,"2-Pentenedioic acid, 2-hydroxy--F"
Niacinamide-F,Methylsuccinic acid-F
Niacinamide-F,N-Acetyl-L-glutamic acid-F
Niacinamide-F,Niacin-F
N-Methyl-alpha-aminoisobutyric acid-F,4-Hydroxybenzaldehyde-F
N-Methyl-alpha-aminoisobutyric acid-F,4-Hydroxybenzoic acid-F
N-Methyl-alpha-aminoisobutyric acid-F,9H-Purin-6-ol-F
N-Methyl-alpha-aminoisobutyric acid-F,Phloretic acid-F
Thr-Leu-F,L-(+)-Lactic acid-F
Thr-Leu-F,Pimelic acid-F
Xanthine-F,Citric acid-F
Xanthine-F,Pentanoic acid-F
Xanthine-F,Phenol-F
Xanthine-F,Pyrogallol-F
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-F",D-Mannopyranose-F
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F","D-(+)-Ribono-1,4-lactone-F"
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F",Idoxuridine-F
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F",Octadecyl octyl ether-F
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol-F,2'-Deoxyribolactone-F
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol-F,4-Hydroxybutanoic acid-F
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol-F,Pimelic acid-F
12-Oxooctadecanoate-F,5-Methyluridine-F
13-Docosenamide-F,Benzoic Acid-F
17-alpha-Hydroxypregnenolone-F,Methylsuccinic acid-F
1-Dodecanol-F,2'-Deoxyribolactone-F
1-Dodecanol-F,3-Deoxyhexitol-F
1-Dodecanol-F,"Hexadecanoic acid, 4-hydroxybutyl ester-F"
1-Dodecanol-F,Undecanoic acid-F
1-Hexanol-F,"D-Erythro-Pentitol, 2-deoxy--F"
1-Methyl-4-hydroxy-1H-imidazol-2-amine-F,2'-Deoxyribolactone-F
1-Methyl-4-hydroxy-1H-imidazol-2-amine-F,d-Erythrotetrofuranose-F
1-Methyl-4-hydroxy-1H-imidazol-2-amine-F,"Inosose-2, myo-F"
1-Monopalmitin-F,Pipecolic acid-F
1-Octadecanol-F,"2-Furanacetaldehyde, tetrahydro-alpha-F"
1-Octadecanol-F,"Acetamide, N-(2-butyl)-N-methyl--F"
1-Octadecanol-F,d-Erythrotetrofuranose-F
1-Octanol-F,4-Hydroxybenzaldehyde-F
1-Octanol-F,4-Hydroxybenzoic acid-F
1-Octanol-F,Pipecolic acid-F
1-Octanol-F,Pyrrole-2-carboxylic acid-F
1-Tetradecanol-F,"2-Butenoic acid, 2-hydroxy--F"
1-Tetradecanol-F,"Hexadecanoic acid, 4-hydroxybutyl ester-F"
1-Tetradecanol-F,Palmitic Acid-F
"2',2,3,6'-Tetramethoxychalcone-F","2-Butenoic acid, 2-hydroxy--F"
"2',2,3,6'-Tetramethoxychalcone-F","beta-D-Galactopyranoside, methyl-, acetate-F"
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone-F",d-Erythrotetrofuranose-F
