node1,node2
3-Aminobutanoic acid,2-Hydroxy-3-methylbutyric acid
3-Aminobutanoic acid,Decanoic acid
3-Hydroxypicolinic acid,"3,5-Dimethylphenol"
3-Hydroxypicolinic acid,trans-Coniferryl alchool
4-Pentenoic acid,"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl"
4-Pentenoic acid,Glycolic acid
Acetohydroxamic acid,5-Hydroxy-2-methylpyridine
Argininosuccinic acid,2-Hydroxy-3-methylbutyric acid
Argininosuccinic acid,"Hexadecanoic acid, tetradecyl ester"
Butyl caprylate,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane"
Butyl caprylate,Arabinitol
Butyl caprylate,"cis,cis,cis-1-Isobutyl-2,5-dimethylcyclohexane"
Butyl caprylate,phenoxyethanol
Deoxyglucose,L-(-)-Sorbofuranose
Ethanamine,1-Octadecanol
Ethanamine,Caffeic acid
Ethanamine,D-Ribofuranose
L-Asparagine,3-Amino-2-piperidone
L-Asparagine,D-Ribofuranose
L-Glutamine,alpha-Tocopheryl acetate
L-Glutamine,D-Ribose
L-Glutamine,N-Methyl-L-proline
L-Hydroxyproline,Niacinamide
L-Hydroxyproline,Arabinose
L-Hydroxyproline,Pyrrole-2-carboxylic acid
L-Lysine,"1,4-Butanediol"
L-Lysine,"9,12-Octadecadienoic acid"
L-Lysine,"beta-D-Galactopyranoside, methyl-, acetate"
L-Lysine,Hexanedioic acid
L-Lysine,Myristic acid
L-Lysine,Stearic acid
L-Lysine,Xylose
L-Norvaline,4-Hydroxybenzoic acid
L-Norvaline,Hexanoic acid
L-Norvaline,"Thymidine, 5'-phosphate"
L-Serine,Cytosine
L-Serine,L-(+)-Rhamnopyranose
L-Serine,L-Valine
L-Serine,"Mannonic acid, gamma-lactone"
L-Serine,Pantolactone
N-Acetylglucosamine,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile"
N-Acetylglucosamine,2-Ketobutyric acid
N-Acetylglucosamine,"3,5-Dimethylphenol"
N-Acetylglucosamine,"D-(+)-Ribono-1,4-lactone"
N-Acetylglucosamine,Pantolactone
Niacinamide,Thr-Leu
Niacinamide,"2,6-Di-O-methyl-d-galactopyranose"
Niacinamide,"2-Pentenedioic acid, 2-hydroxy-"
Niacinamide,3-(3-Hydroxyphenyl)propanoic acid
Niacinamide,D-Xylose
Niacinamide,L-Fucose
Niacinamide,Methylsuccinic acid
Niacinamide,N-Acetyl-L-glutamic acid
Niacinamide,Niacin
N-Methyl-alpha-aminoisobutyric acid,Thr-Leu
N-Methyl-alpha-aminoisobutyric acid,4-Hydroxybenzaldehyde
N-Methyl-alpha-aminoisobutyric acid,4-Hydroxybenzoic acid
N-Methyl-alpha-aminoisobutyric acid,4-hydroxycyclohexylacetate
N-Methyl-alpha-aminoisobutyric acid,9H-Purin-6-ol
N-Methyl-alpha-aminoisobutyric acid,D-Arabinose
N-Methyl-alpha-aminoisobutyric acid,D-Ribofuranose
N-Methyl-alpha-aminoisobutyric acid,"Hydantoin, 5-hydroxy"
N-Methyl-alpha-aminoisobutyric acid,Levulinic acid
N-Methyl-alpha-aminoisobutyric acid,N-Ethyldiethanolamine
N-Methyl-alpha-aminoisobutyric acid,Palmitic Acid
N-Methyl-alpha-aminoisobutyric acid,Phloretic acid
Thr-Leu,4-hydroxycyclohexylacetate
Thr-Leu,D-Ribofuranose
Thr-Leu,L-(+)-Lactic acid
Thr-Leu,Pimelic acid
Xanthine,Citric acid
Xanthine,Pentanoic acid
Xanthine,Phenol
Xanthine,Putrescine
Xanthine,Pyrogallol
Xanthine,Uracil
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",D-Mannopyranose
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",L-(+)-Rhamnopyranose
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",N-Ethyldiethanolamine
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",alpha-D-(+)-Talopyranose
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile","D-(+)-Ribono-1,4-lactone"
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile","Gulonic acid, gamma-lactone"
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",Idoxuridine
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-","1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-"
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",4-hydroxy-3-penten-2-one
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",5-Hydroxymethyl-2-furoic acid
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",Dihydrouracil
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",L-Valyl-L-leucine
"1,2,4,5-Cyclohexanetetrol",D-Mannose
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-","2,3-Dihydroxy-2-methylpropanoic acid"
"1,5-Anhydroglucitol",17-alpha-Hydroxypregnenolone
"1,5-Anhydroglucitol",5-Hydroxymethyl-2-furoic acid
"1,5-Anhydroglucitol",D-(+)-Glucosamine
"1,5-Anhydroglucitol",Pantothenic acid
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane","Hydantoin, 5-hydroxy"
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane","Methyl galactoside (1S,2S,3S,4R,5R)"
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",Octadecyl octyl ether
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,2'-Deoxyribolactone
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,4-Hydroxybutanoic acid
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,Malic acid
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,Pimelic acid
11-Methyldodecanol,"3,5-Dimethylphenol"
11-Methyldodecanol,"Acetamide, N-(2-butyl)-N-methyl-"
11-Methyldodecanol,D-(+)-Talofuranose
11-Methyldodecanol,"Guanidine, N,N-dimethyl"
11-Methyldodecanol,"Hexadecanoic acid, 4-hydroxybutyl ester"
11-Methyldodecanol,Propylamine
12-Oxooctadecanoate,5-Methyluridine
13-Docosenamide,5-Methyluridine
13-Docosenamide,Benzoic Acid
17-alpha-Hydroxypregnenolone,4-Hydroxybenzeneacetic acid
17-alpha-Hydroxypregnenolone,5-Aminovaleric acid
17-alpha-Hydroxypregnenolone,Methylsuccinic acid
1-Dodecanol,2'-Deoxyribolactone
1-Dodecanol,3-Deoxyhexitol
1-Dodecanol,D-Arabinose
1-Dodecanol,"Hexadecanoic acid, 4-hydroxybutyl ester"
1-Dodecanol,Propylamine
1-Dodecanol,Undecanoic acid
1-Hexacosene,Ethyl glycolate
1-Hexadecanol,Isopropyl myristate
1-Hexadecanol,L-(-)-Sorbofuranose
1-Hexadecanol,Phthalimide
1-Hexadecanol,Pimelic acid
1-Hexadecanol,"Propanoic acid, 2-oxo"
1-Hexadecanol,Sinapinic acid
1-Hexanol,Cyclo(L-prolyl-L-valine)
1-Hexanol,D-(+)-Glucosamine
1-Hexanol,"D-Erythro-Pentitol, 2-deoxy-"
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)",Cinnamic acid
1-Methyl-4-hydroxy-1H-imidazol-2-amine,2'-Deoxyribolactone
1-Methyl-4-hydroxy-1H-imidazol-2-amine,d-Erythrotetrofuranose
