Node 1 ID,Node 1 Name,Node 1 Tissue,Node 2 ID,Node 2 Name,Node 2 Tissue,Node 1: Direction of Change,Node 2: Direction of Change,Total Sample Size,"Pooled/Avg. Correlation Coefficient, Spearman",FDR-Adjusted P-Value,"Pooled Correlation P-Value, Spearman",Meta-Analysis P-Value,"Correlation Coefficient, Spearman, VECPAC","Correlation P-Value, Spearman, VECPAC","Sample Size, VECPAC","Correlation Coefficient, Spearman, LPS","Correlation P-Value, Spearman, LPS","Sample Size, LPS","Correlation Coefficient, Spearman, DSS","Correlation P-Value, Spearman, DSS","Sample Size, DSS",Node 1: Degree,Node 1: Degree Percentile,Node 1: Feces-Degree (# Connected Nodes in Feces),Node 1: Feces-Degree Percentile,Node 1: Plasma-Degree (# Connected Nodes in Plasma),Node 1: Plasma-Degree Percentile,Node 1: Plexus-Degree (# Connected Nodes in Plexus),Node 1: Plexus-Degree Percentile,"Node 1: BiBC, Feces-Cortex, via Plasma","Node 1: BiBC, Feces-Cortex, via Plasma (%ile)","Node 1: BiBC, Feces-Cortex, via Plexus","Node 1: BiBC, Feces-Cortex, via Plexus (%ile)","Node 1: BiBC, Feces-Cortex, via Both","Node 1: BiBC, Feces-Cortex, via Both (%ile)","Node 1: BiBC, Feces-Striatum, via Plasma","Node 1: BiBC, Feces-Striatum, via Plasma (%ile)","Node 1: BiBC, Feces-Striatum, via Plexus","Node 1: BiBC, Feces-Striatum, via Plexus (%ile)","Node 1: BiBC, Feces-Striatum, via Both","Node 1: BiBC, Feces-Striatum, via Both (%ile)","Node 1: BiBC, Plasma-Plexus","Node 1: BiBC, Plasma-Plexus (%ile)","Node 1: BiBC, Plasma - Cortex","Node 1: BiBC Percentile, Plasma - Cortex","Node 1: BiBC, Plasma - Striatum","Node 1: BiBC Percentile, Plasma - Striatum","Node 1: BiBC, Choroid Plexus - Cortex","Node 1: BiBC Percentile, Choroid Plexus - Cortex","Node 1: BiBC, Choroid Plexus - Striatum","Node 1: BiBC Percentile, Choroid Plexus - Striatum","Node 1: BiBC, Choroid Plexus - Remaining Brain","Node 1: BiBC Percentile, Choroid Plexus - Remaining Brain","Node 1: BiBC, Choroid Plexus - Other Transcriptomics","Node 1: BiBC Percentile, Choroid Plexus - Other Transcriptomics",Node 1: Frustration,Node 1: Total # of Inputs,Node 1: # Inputs Indicating Up,Node 1: # Inputs Indicating Down,"Node 1: Median Abundance, VECPAC, CRE-","Node 1: Median Abundance, VECPAC, CRE+","Node 1: Median Abundance, LPS, CTRL","Node 1: Median Abundance, LPS, 2.5h","Node 1: Median Abundance, DSS, CTRL","Node 1: Median Abundance, DSS, T1",Node 1: Minimum Control Abundance,Node 1: Coefficient of Variation,Node 2: Degree,Node 2: Degree Percentile,Node 2: Feces-Degree (# Connected Nodes in Feces),Node 2: Feces-Degree Percentile,Node 2: Plasma-Degree (# Connected Nodes in Plasma),Node 2: Plasma-Degree Percentile,Node 2: Plexus-Degree (# Connected Nodes in Plexus),Node 2: Plexus-Degree Percentile,"Node 2: BiBC, Feces-Cortex, via Plasma","Node 2: BiBC, Feces-Cortex, via Plasma (%ile)","Node 2: BiBC, Feces-Cortex, via Plexus","Node 2: BiBC, Feces-Cortex, via Plexus (%ile)","Node 2: BiBC, Feces-Cortex, via Both","Node 2: BiBC, Feces-Cortex, via Both (%ile)","Node 2: BiBC, Feces-Striatum, via Plasma","Node 2: BiBC, Feces-Striatum, via Plasma (%ile)","Node 2: BiBC, Feces-Striatum, via Plexus","Node 2: BiBC, Feces-Striatum, via Plexus (%ile)","Node 2: BiBC, Feces-Striatum, via Both","Node 2: BiBC, Feces-Striatum, via Both (%ile)","Node 2: BiBC, Plasma-Plexus","Node 2: BiBC, Plasma-Plexus (%ile)","Node 2: BiBC, Plasma - Cortex","Node 2: BiBC Percentile, Plasma - Cortex","Node 2: BiBC, Plasma - Striatum","Node 2: BiBC Percentile, Plasma - Striatum","Node 2: BiBC, Choroid Plexus - Cortex","Node 2: BiBC Percentile, Choroid Plexus - Cortex","Node 2: BiBC, Choroid Plexus - Striatum","Node 2: BiBC Percentile, Choroid Plexus - Striatum","Node 2: BiBC, Choroid Plexus - Remaining Brain","Node 2: BiBC Percentile, Choroid Plexus - Remaining Brain","Node 2: BiBC, Choroid Plexus - Other Transcriptomics","Node 2: BiBC Percentile, Choroid Plexus - Other Transcriptomics",Node 2: Frustration,Node 2: Total # of Inputs,Node 2: # Inputs Indicating Up,Node 2: # Inputs Indicating Down,"Node 2: Median Abundance, VECPAC, CRE-","Node 2: Median Abundance, VECPAC, CRE+","Node 2: Median Abundance, LPS, CTRL","Node 2: Median Abundance, LPS, 2.5h","Node 2: Median Abundance, DSS, CTRL","Node 2: Median Abundance, DSS, T1",Node 2: Minimum Control Abundance,Node 2: Coefficient of Variation
565,Dlgap4,Choroid Plexus,3163,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",Plasma,Up,Down,,-0.710,0.099,0.001,,,,,,,,,,,9,65.8%,0,34.5%,2,80.0%,9,88.3%,210.9,58.4%,4.7,20.3%,16.1,26.7%,1540.9,94.0%,476.7,68.5%,733.8,86.9%,645.6,61.9%,628.7,70.8%,2550.8,94.2%,432.7,53.1%,1671.0,84.5%,357.7,55.7%,2461.5,69.7%,,,,,,,,,,,,,3,26.8%,1,73.2%,3,83.4%,2,60.1%,219.7,59.0%,,,13.7,25.5%,696.2,82.3%,,,156.4,51.3%,18.5,23.4%,0.0,8.7%,5.8,23.6%,,,,,,,,,0.0%,2,0,2,95741476.1,96550241.7,56904866.6,61219938.9,85164423.6,78867543.7,56904866.6,0.3
730,Iba57,Choroid Plexus,3163,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",Plasma,Up,Down,,-0.719,0.097,0.001,,,,,,,,,,,3,26.8%,0,34.5%,1,74.8%,3,69.5%,17.3,32.5%,0.0,7.7%,5.3,20.6%,118.1,49.4%,31.5,29.0%,54.8,36.0%,75.2,30.5%,56.0,35.2%,149.2,43.3%,23.8,22.0%,107.6,32.4%,28.5,24.9%,160.0,21.3%,,,,,,,,,,,,,3,26.8%,1,73.2%,3,83.4%,2,60.1%,219.7,59.0%,,,13.7,25.5%,696.2,82.3%,,,156.4,51.3%,18.5,23.4%,0.0,8.7%,5.8,23.6%,,,,,,,,,0.0%,2,0,2,95741476.1,96550241.7,56904866.6,61219938.9,85164423.6,78867543.7,56904866.6,0.3
58,Hmga1,Choroid Plexus,3164,(CH3)2C=NC2H558,Plasma,Up,Up,,0.779,0.060,0.000,,,,,,,,,,,10,69.3%,3,83.3%,1,74.8%,10,89.5%,768.1,85.6%,2293.3,97.2%,1921.1,98.1%,0.0,8.4%,107.7,39.1%,75.0,39.7%,0.0,8.2%,3045.5,96.1%,0.0,8.9%,187.7,40.2%,31.5,21.9%,21.3,23.0%,240.5,24.9%,,,,,,,,,,,,,5,45.3%,0,34.5%,5,87.6%,1,43.4%,886.5,87.4%,,,49.5,37.1%,50.6,40.2%,,,37.4,32.6%,2050.8,88.5%,2980.1,95.9%,1141.2,82.4%,,,,,,,,,0.0%,1,1,0,328777.4,337010.0,296633.9,316851.8,277354.2,192099.8,277354.2,0.1
291,Aox3,Choroid Plexus,3173,1-(3-Methylphenyl)piperazine,Plasma,Down,Down,,0.820,0.071,0.000,,,,,,,,,,,7,57.8%,2,79.6%,1,74.8%,7,84.7%,43.9,39.9%,343.1,62.2%,180.9,55.4%,16.3,30.9%,165.8,44.7%,84.9,41.5%,536.9,57.0%,84.7,38.6%,44.4,32.7%,694.8,61.5%,683.7,60.4%,617.2,68.8%,1995.7,63.6%,,,,,,,,,,,,,8,62.0%,0,34.5%,8,90.9%,4,75.3%,100.0,49.2%,,,19.7,28.7%,354.0,69.2%,,,47.8,34.5%,440.7,52.5%,412.1,59.7%,1172.3,83.0%,,,,,,,,,0.0%,4,0,4,13061.9,13103.8,13197.1,13654.0,0.0,10583.7,0.0,0.9
469,Tulp4,Choroid Plexus,3173,1-(3-Methylphenyl)piperazine,Plasma,Down,Down,,0.943,0.002,0.000,,,,,,,,,,,44,96.0%,4,85.9%,2,80.0%,44,97.8%,2031.1,96.1%,2381.5,97.5%,2195.8,98.5%,435.4,73.1%,779.0,81.5%,596.7,81.9%,787.6,66.8%,4936.0,98.7%,1577.3,88.1%,7784.1,99.6%,4580.6,98.4%,2385.6,97.0%,14750.3,99.3%,,,,,,,,,,,,,8,62.0%,0,34.5%,8,90.9%,4,75.3%,100.0,49.2%,,,19.7,28.7%,354.0,69.2%,,,47.8,34.5%,440.7,52.5%,412.1,59.7%,1172.3,83.0%,,,,,,,,,0.0%,4,0,4,13061.9,13103.8,13197.1,13654.0,0.0,10583.7,0.0,0.9
562,Hip1,Choroid Plexus,3173,1-(3-Methylphenyl)piperazine,Plasma,Down,Down,,0.829,0.067,0.000,,,,,,,,,,,14,77.8%,4,85.9%,1,74.8%,14,92.3%,344.5,69.6%,1489.2,93.2%,1062.8,92.3%,1615.1,94.5%,2290.4,97.1%,1779.8,97.4%,218.0,40.8%,690.8,72.8%,4551.3,98.5%,2039.0,88.1%,4297.8,98.0%,759.3,74.2%,7096.1,94.0%,,,,,,,,,,,,,8,62.0%,0,34.5%,8,90.9%,4,75.3%,100.0,49.2%,,,19.7,28.7%,354.0,69.2%,,,47.8,34.5%,440.7,52.5%,412.1,59.7%,1172.3,83.0%,,,,,,,,,0.0%,4,0,4,13061.9,13103.8,13197.1,13654.0,0.0,10583.7,0.0,0.9
796,Spata13,Choroid Plexus,3173,1-(3-Methylphenyl)piperazine,Plasma,Up,Down,,-0.815,0.074,0.000,,,,,,,,,,,9,65.8%,0,34.5%,3,83.4%,9,88.3%,259.1,61.4%,25.6,28.3%,76.6,42.5%,709.7,82.6%,92.4,37.1%,316.8,67.1%,805.7,67.0%,631.6,70.8%,1412.9,86.8%,232.1,43.3%,441.4,50.7%,142.9,41.4%,816.5,41.6%,,,,,,,,,,,,,8,62.0%,0,34.5%,8,90.9%,4,75.3%,100.0,49.2%,,,19.7,28.7%,354.0,69.2%,,,47.8,34.5%,440.7,52.5%,412.1,59.7%,1172.3,83.0%,,,,,,,,,0.0%,4,0,4,13061.9,13103.8,13197.1,13654.0,0.0,10583.7,0.0,0.9
586,Cebpd,Choroid Plexus,3176,1-Aminocyclopropanecarboxylic acid,Plasma,Up,Down,,-0.757,0.069,0.000,,,,,,,,,,,9,65.8%,3,83.3%,4,85.9%,9,88.3%,52.7,42.1%,244.0,52.0%,127.6,49.8%,3.7,23.9%,180.8,45.9%,116.1,45.7%,82.2,30.8%,68.5,36.7%,31.5,30.1%,22.3,21.5%,10.4,17.6%,187.1,45.2%,219.8,24.0%,,,,,,,,,,,,,15,79.1%,10,94.4%,15,94.5%,1,43.4%,298.0,65.9%,,,366.5,72.4%,334.5,68.1%,,,349.2,69.5%,63.7,29.5%,9.5,25.2%,2.6,21.4%,,,,,,,,,0.0%,1,0,1,97491972.3,101477674.4,99136626.2,107308787.4,639644323.7,751034223.4,97491972.3,1.1
200,Ddb1,Choroid Plexus,3177,"1-Butanamine, N,N-diethyl-",Plasma,Up,Down,,-0.828,0.030,0.000,,,,,,,,,,,23,87.7%,0,34.5%,1,74.8%,23,95.2%,485.4,76.2%,374.3,64.1%,377.3,72.8%,592.0,79.3%,332.9,60.5%,367.0,70.7%,599.9,59.8%,612.1,70.2%,959.0,79.1%,1975.3,87.6%,2366.8,90.9%,1230.0,86.9%,5572.1,89.7%,,,,,,,,,,,,,28,91.3%,4,85.9%,28,97.9%,6,82.4%,1219.0,91.4%,,,284.2,65.1%,2140.7,96.9%,,,511.7,78.9%,4290.6,97.2%,2275.2,93.4%,4220.8,98.1%,,,,,,,,,14.3%,7,1,6,7628182.2,8085675.5,6549091.5,6972906.0,8488280.0,8731622.4,6549091.5,0.1
238,Igfbp2,Choroid Plexus,3177,"1-Butanamine, N,N-diethyl-",Plasma,Up,Down,,-0.741,0.078,0.000,,,,,,,,,,,30,92.3%,0,34.5%,1,74.8%,30,96.5%,1041.1,89.7%,1249.2,90.9%,790.8,87.1%,753.0,84.3%,1111.8,88.5%,771.0,87.7%,2044.8,88.3%,3062.2,96.2%,2373.8,93.3%,3762.8,96.5%,3430.0,96.1%,1533.0,91.1%,8725.7,96.2%,,,,,,,,,,,,,28,91.3%,4,85.9%,28,97.9%,6,82.4%,1219.0,91.4%,,,284.2,65.1%,2140.7,96.9%,,,511.7,78.9%,4290.6,97.2%,2275.2,93.4%,4220.8,98.1%,,,,,,,,,14.3%,7,1,6,7628182.2,8085675.5,6549091.5,6972906.0,8488280.0,8731622.4,6549091.5,0.1
