Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
Ccdc186,Fxr1,Map9-C,Top1-C
Mx2,Ndufaf1,Pabpc1-C,Tmem161b-C
Psmd3,Tceanc,Igfbp2-C,Scyl1-C
Enpp5,Pkn2,Csnk1a1-C,Gm43339-C
Kif2a,Pkn2,Atp5me-C,Jph1-C
4930556M19Rik,Pak2,Arid4a-C,Rock1-C
Cebpz,Setbp1,Ptk2b-C,Wbp11-C
Qser1,Slk,Mfsd2a-C,Mtf1-C
Lepr,Rplp1,Fer-C,Ppp1r12a-C
4921504A21Rik,Lrp6,Arhgef12-C,Smc4-C
Fam13b,Gsk3b,Acacb-C,Fcho2-C
Gprc5c,Stxbp4,Ildr2-C,Secisbp2l-C
Fam13b,Rpn2,Psmd8-C,Pycr2-C
Nipbl,Qser1,Emc10-C,Pbx1-C
Fxr1,Golm2,Pbx1-C,Rplp1-C
Frg1,Nipbl,Eea1-C,Fhad1-C
Rdx,Zbtb7a,Nkapd1-C,Top1-C
Rbm27,Rock1,Ash1l-C,Pabpc1-C
Pdap1,Sppl3,Gtpbp4-C,Setx-C
Brd4,Eea1,Emc10-C,Sptan1-C
Igfbp2,Mfge8,Cep290-C,Sntb2-C
Dcaf12l1,Psmd3,Dync1h1-C,Ubl3-C
Ibtk,Setx,Ildr2-C,Pbx1-C
Sesn3,Tada1,Baz1b-C,Ndfip1-C
Smc4,Zfp322a,Ash1l-C,Tpr-C
Grpel1,Ube3c,Smarca5-C,Zfp1007-C
Ehd1,Rora,Fgfr1op2-C,Gm43339-C
Iqgap2,Top1,Cdkl3-C,E2f2-C
Ide,Perm1,Ganab-C,Ptk2b-C
B230219D22Rik,Fxr1,4933439K11Rik-C,Topbp1-C
Cnih2,Samd14,Kif21a-C,Rad50-C
Bcat1,Sntb2,Cep41-C,Nedd4-C
Golm2,Phf3,Ccdc186-C,Kif21a-C
Luzp1,Smarca5,Fhad1-C,Synm-C
Cebpz,Dek,Ergic2-C,Phactr2-C
Gsk3b,Klf3,Aox3-C,Mterf4-C
Arid4a,Gtpbp4,Ddb1-C,Dync1h1-C
Ganab,Ubl3,Dbpht2-C,Fam98b-C
Ash1l,Thyn1,Rock1-C,Wrn-C
Ganab,Ilvbl,Cfap46-C,Dhx29-C
Ash1l,Pdap1,Cerox1-C,Ube2m-C
Gtpbp4,Smim10l1,Dync1h1-C,Ganab-C
Frg1,Tmem161b,Bclaf1-C,Btbd2-C
Jph1,Lrp6,Ttf1-C,Ylpm1-C
5730455P16Rik,Cast,Ergic2-C,Smarca2-C
Eif3g,Pbx1,Mtpn-C,Sesn3-C
Exph5,Pabpc1,Cct4-C,Krcc1-C
Sntb2,Top1,Gm2445-C,Mex3a-C
4921504A21Rik,Lepr,B230219D22Rik-C,Gtpbp4-C
4921504A21Rik,Usp9x,Acox1-C,Ndfip1-C
Fgfr1op2,Rock1,Fgfr1op2-C,Ppp1r12a-C
Mef2a,Scyl1,Ccdc186-C,Ppp1r12a-C
Ccdc59,Npepps,B230219D22Rik-C,mt-Nd2-C
Plcb4,Rora,Golm2-C,Npepps-C
Cep290,Pi4ka,Cep95-C,Fam13b-C
Ash1l,Smarca2,Sh3bgrl-C,Tspan9-C
Ro60,Wasl,Nit2-C,Rgs7-C
Ccdc88a,Slc17a5,Fcho2-C,Mef2a-C
Pkn2,Zbtb7a,Fer-C,mt-Nd2-C
Acacb,Smarca5,Clpp-C,mt-Nd2-C
Arid4a,Ccdc186,Camk1d-C,Pabpc1-C
Rora,UNKNOWN,Kif21a-C,Pdap1-C
Plcb4,Slc17a5,Mef2a-C,Pten-C
Ergic2,Phf3,Ccdc88a-C,Ndfip1-C
Hk1,Ptk2b,Plcb4-C,Wasl-C
Pabpc1,Rock1,Arhgap5-C,Sntb2-C
Adam15,Ubc,Nkapd1-C,Plcb4-C
Pawr,Rab11fip5,Bcat1-C,Sntb2-C
Fxr1,Rad50,Camk1d-C,Tpr-C
Ehd1,Slk,Cdkn1c-C,Rdx-C
Cnnm4,Dynlt2b,Fhad1-C,Zbtb7a-C
Ccdc186,Cdkn1c,Ccar1-C,Nkapd1-C
Gm43360,Rwdd3,Pkn2-C,Slk-C
Cast,Mtor,Ppp1r12a-C,mt-Nd2-C
Thra,Ubl3,Cep290-C,Npepps-C
Arid4a,Phactr2,Fhad1-C,Wasl-C
Emc3,Vps36,Arid4a-C,Qser1-C
Dnajc7,Nek8,Eea1-C,Slk-C
Enpp5,Gtpbp4,Nipbl-C,mt-Nd2-C
Arhgef12,Arid4a,Bclaf1-C,Fxr1-C
Phactr2,Rif1,Arhgef12-C,Gm43339-C
Arid4a,Smarca2,Rdx-C,Slc25a13-C
Luzp1,Ndfip1,Bclaf1-C,Rock1-C
Limch1,Smc4,Ap2b1-C,Dek-C
Clpp,Tpr,Npepps-C,Sntb2-C
Pabpc1,Vps13b,Samd14-C,Zfp36l2-C
Fer,mt-Nd2,Exph5-C,Ylpm1-C
