Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Acad9,,
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Arhgef12,,
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Cspg5,,
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Gm14798,,
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Gsk3b,,
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Gtpbp4,,
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Phactr2,,
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Wapl,,
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",Zfp638,,
"1,4-Butanediol",Ap3b1,,
"1,4-Butanediol",Camk1d,,
"1,4-Butanediol",Dhx36,,
"1,4-Butanediol",Jph1,,
"1,4-Butanediol",Poglut1,,
"1,4-Butanediol",Tulp4,,
"1,4-Butanediol",Usp9x,,
"1,4-Butanediol",Wasl,,
"1,5-Anhydroglucitol",Sesn3,,
1-Dodecanol,Chd5,,
1-Dodecanol,Kmt5b,,
1-Dodecanol,Sec62,,
1-Dodecanol,Serbp1,,
1-Dodecanol,Slc35a3,,
1-Dodecanol,Wasl,,
1-Hexacosene,Pebp4,,
1-Hexacosene,Ppp1r12a,,
1-Hexacosene,Zbtb7a,,
1-Hexacosene,Zfp975,,
1-Hexanol,Dok1,,
1-Hexanol,Ndn,,
1-Monopalmitin,Enpp5,,
1-Monopalmitin,Usp9x,,
1-Monopalmitin,Zfp27,,
1-Octadecanol,Bcl2l12,,
1-Octadecanol,Prpf6,,
1-Octadecanol,Ric3,,
1-Octadecanol,Sec62,,
1-Octadecanol,Vangl1,,
1-Octanol,Nsg2,,
"1-Propanamine, N,N-diethyl-",Emc3,,
"1-Propanamine, N,N-diethyl-",Ubc,,
1-Tetracosene,Ints11,,
1-Tetradecanol,5330425B07Rik,,
1-Tetradecanol,Birc2,,
1-Tetradecanol,Chd5,,
1-Tetradecanol,Cmtm8,,
1-Tetradecanol,Gm43339,,
1-Tetradecanol,H1f10,,
1-Tetradecanol,Hdac9,,
1-Tetradecanol,Klf8,,
1-Tetradecanol,Samd14,,
1-Tetradecanol,Slc35a3,,
1-Tetradecanol,Sytl2,,
1-Tetradecanol,Tmem204,,
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,Ankrd12,,
