Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
1110035H17Rik,Cox18,,
1500002F19Rik,Tnfsf13os,,
1700007L15Rik,Csnk1a1,,
1700017B05Rik,Arhgef37,,
2310014F06Rik,Abraxas1,,
2500002B13Rik,Map3k8,,
2500002B13Rik,Usp48,,
2810408A11Rik,Igdcc4,,
4921504A21Rik,Bdh2,,
4930444P10Rik,Vstm4,,
4930556M19Rik,Zfp27,,
5330425B07Rik,Zpbp,,
9230116N13Rik,Tppp3,,
9330151L19Rik,Ro60,,
9330151L19Rik,Ttf1,,
9330160F10Rik,Atp7a,,
9430002A10Rik,Dynlt2b,,
9430002A10Rik,Mcfd2,,
9430002A10Rik,Nek8,,
9430002A10Rik,Polr1c,,
9430002A10Rik,Ptger1,,
9430002A10Rik,Suclg2,,
9430002A10Rik,Tceanc,,
A230083G16Rik,Atf6b,,
A230083G16Rik,Tmem259,,
A2m,Hmmr,,
A330040F15Rik,Spen,,
A430108G06Rik,Rpl12,,
AU041133,Serpinb8,,
Aasdhppt,Rbpms2,,
Acly,Wdr38,,
Acot6,Morrbid,,
Acox1,Ogg1,,
Ada,Ctdspl2,,
Adam15,Ccn4,,
Adam15,Edrf1,,
Adamtsl1,Prkcd,,
Adck1,Gin1,,
Adck2,Ccn4,,
Adck2,Irf2bp2,,
Adcy9,Zdhhc15,,
Agbl3,Ube2v2,,
Agrn,Cdh19,,
Alx3,Cks1b,,
Alx3,Fastkd5,,
Alx3,Glis1,,
Alx3,Itga5,,
Alyref,Sema3g,,
Amfr,Psmg3,,
Amfr,S100a9,,
Ankra2,Mrpl17,,
Ankra2,Psmd8,,
Ankrd34c,Ctsc,,
Ankrd34c,Nfe2l2,,
Ano8,Rbpms2,,
Ap1g2,Slc7a6os,,
Ap1g2,Tbrg4,,
Ap1g2,Tmem231,,
Ap3s2,Emp2,,
Apc2,Cyren,,
Apc2,St6galnac4,,
Arf2,Iqsec3,,
Arhgap10,Mtmr2,,
Arhgef7,Robo2,,
Arid2,Gm19391,,
Arl2bp,Nsun4,,
Armcx2,Capg,,
Arrdc4,Fzd10,,
Ascl4,Tmem80,,
Ash1l,Prkaca,,
Atp1a3,Dnajc13,,
Atp1a3,Rif1,,
BC065397,Insm1,,
BC065397,Smarca1,,
Baiap2,Birc2,,
Baiap2,Ndfip1,,
Batf3,Nit2,,
Bdh2,Itch,,
Bdh2,Pi4ka,,
Bdh2,Setbp1,,
Bdh2,Tmem203,,
Bhlhe41,Dnm1l,,
Bloc1s1,Crebrf,,
Bltp3a,Gm17530,,
