Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
1110002L01Rik,Ap2a1,,
1700017B05Rik,Ankrd12,,
1700017B05Rik,Baz1b,,
1700017B05Rik,Ccdc59,,
1700017B05Rik,Gtpbp4,,
1700017B05Rik,Mpp7,,
1700017B05Rik,Pawr,,
1700017B05Rik,Pkn2,,
1700017B05Rik,Psip1,,
1700017B05Rik,Rab11fip5,,
1700017B05Rik,Rif1,,
1700017B05Rik,Snrnp48,,
1700017B05Rik,Sntb2,,
1700017B05Rik,Tpr,,
1700017B05Rik,Zfp638,,
1700017B05Rik,mt-Nd2,,
1700018L02Rik,Pmm1,,
1700018L02Rik,Psmc5,,
1700018L02Rik,Thop1,,
1700125H03Rik,Casp8,,
1700125H03Rik,Mrps12,,
1700125H03Rik,Pea15a,,
1700125H03Rik,Tbc1d22b,,
2310014F06Rik,Gm42727,,
2310022A10Rik,Asb16,,
2700097O09Rik,Nsg2,,
2700097O09Rik,Sesn3,,
4921504A21Rik,Amigo2,,
4930412C18Rik,Poglut1,,
4930447M23Rik,Ehd1,,
4930556M19Rik,Irf8,,
4933439K11Rik,Zfp512b,,
5430402O13Rik,Fntb,,
5430402O13Rik,Scarb1,,
5730455P16Rik,Pcdhb20,,
9330151L19Rik,Tmem259,,
AA986860,Atf6b,,
AA986860,Cldn22,,
AA986860,Dynlt2b,,
AA986860,Eef1a1,,
AA986860,Pdlim5,,
AA986860,Pycr2,,
AA986860,Ubl3,,
AI504432,Chdh,,
Abi2,Slc35a3,,
Abi2,Zswim5,,
Abtb2,Gm15564,,
Acacb,Smyd4,,
Acacb,Stip1,,
Acacb,Zim1,,
Acad9,Col9a2,,
Acadm,Preb,,
Ace2,Bhlhe41,,
Ace2,Dync2li1,,
Acot6,Cisd3,,
Acot6,Elavl2,,
Acot6,Epor,,
Acot6,Gfra2,,
Acot6,Pmvk,,
Acsf2,Mex3a,,
Ada,Gm10699,,
Adam15,Arsj,,
Adcy5,Fastk,,
Adcy9,Zfp523,,
Adora2a,Poglut1,,
Adra2a,Dlgap4,,
Adra2a,Imp3,,
Agbl5,Osgepl1,,
Alas1,Ddx23,,
Aldh9a1,Prlr,,
Alkbh6,Slc25a53,,
Alx3,Gorasp1,,
Alx3,Mrc2,,
Amfr,Naa40,,
Amigo2,Ap3b1,,
Amigo2,Ccdc88a,,
Amigo2,Cyyr1,,
Amigo2,Eea1,,
Amigo2,Fxr1,,
Amigo2,Golm2,,
Amigo2,Kif21a,,
Amigo2,Nipbl,,
Amigo2,Npepps,,
Amigo2,Psip1,,
Amigo2,Rdx,,
Amigo2,Setbp1,,
Amigo2,Slc17a5,,
Amigo2,Vps13b,,
Amigo2,Zfp1007,,
Amz2,Cep41,,
Amz2,Gpaa1,,
Amz2,Zfp760,,
Ankrd12,Tubb2b,,
Ankrd34a,Cpped1,,
Ankrd34a,Nanp,,
Ankrd34a,Uqcr11,,
Ankub1,Spen,,
Ankub1,Zfp975,,
Ano2,Dlgap4,,
Ano2,Sh2b3,,
Ap1ar,Mpp7,,
Ap1ar,Zswim5,,
Ap2b1,Snx7,,
Aqp11,Gm19967,,
Aqp11,Gm42869,,
Aqp11,Pcdhb7,,
Aqp11,Stip1,,
Arel1,Trpc4ap,,
Arel1,Zswim5,,
Arhgap10,Bloc1s1,,
Arhgap10,Wdr74,,
Arhgef12,Fam241a,,
Arhgef12,Htr6,,
Arhgef12,Plekhj1,,
Arhgef28,Grcc10,,
Arid4a,Plekhj1,,
Arl2bp,Zfp219,,
Arrdc4,Kcnk6,,
Arrdc4,Tcf15,,
Arsj,Ibtk,,
Arsj,Nsmf,,
Arsj,Poglut1,,
Arsj,Psma4,,
Arsj,Slc22a17,,
Arsj,Trappc14,,
Asb8,Nop56,,
Atf6b,Gm7467,,
Atf6b,Rbmx,,
Atf6b,Ttc39c,,
Atn1,Cachd1,,
Atn1,D430036J16Rik,,
Atp5me,Tspyl5,,
Atp5po,Cnnm4,,
Atp5po,Gm25517,,
Atp6v1f,Gm7467,,
Atr,Clec14a,,
Atr,Dnajc7,,
Atr,Dync2li1,,
B130034C11Rik,Wdsub1,,
BB031773,Errfi1,,
BB031773,Lrrc8c,,
BC004004,Polr1c,,
Baz1a,Ccnd1,,
Bclaf1,Bltp3b,,
Bclaf1,Ckmt1,,
Bclaf1,Snx7,,
Bend7,Entpd6,,
Bet1,Tbck,,
Bhmt2,Gm7467,,
Bloc1s1,Cfap54,,
Bloc1s1,Timm17a,,
Bltp3b,Ccdc59,,
Bltp3b,Cep57,,
Bltp3b,Ergic2,,
Bltp3b,Krcc1,,
Bltp3b,Mia2,,
Bltp3b,Ndfip1,,
Bltp3b,Smim15,,
Bltp3b,Tpr,,
Bltp3b,mt-Nd2,,
Brd2,Col4a2,,
Brd3,Igfbp6,,
Brd4,Tubb2b,,
Btbd2,Rps6ka3,,
Btbd2,Wdr17,,
Btg1,Gpr180,,
Bvht,Lca5l,,
C130021I20Rik,Osbpl6,,
C130026L21Rik,Tmem62,,
C130075A20Rik,Dusp1,,
C130075A20Rik,Snrnp48,,
Cables2,Sting1,,
Cachd1,Cdkn1c,,
Cachd1,Dek,,
Cachd1,Eif3g,,
Cachd1,Map9,,
Cachd1,Mia2,,
Cachd1,Pura,,
Cachd1,Top1,,
Calb2,Copg1,,
Calb2,Gpaa1,,
Camk1d,Mrps18b,,
Car8,Slc11a2,,
Casp8,Elmod2,,
Casp8,Sppl3,,
Casq2,Cnih2,,
Casq2,Shc1,,
Cast,Ndufa13,,
Cbarp,Dock8,,
Cbarp,Irx1,,
Cbln2,Cracr2b,,
Cbln3,Por,,
Cbln3,Smpdl3b,,
Ccar1,Cmas,,
Ccar1,Osbpl6,,
Ccar1,Wdr17,,
Ccdc187,Syt17,,
Ccdc30,Ccpg1,,
Ccdc30,Gm25517,,
Ccdc30,Scg5,,
Ccdc34,Zfp768,,
Ccdc88a,Tspan33,,
Ccn4,Gm42869,,
Ccnd1,Cep63,,
Ccnd1,Col27a1,,
Ccnd1,Slc5a5,,
Ccpg1,Gm9930,,
Ccpg1,Slc36a1,,
Ccpg1,Vldlr,,
Cd99l2,Flvcr1,,
Cdip1,Zfp346,,
Cdk17,Eif3g,,
Cdk17,Gtpbp4,,
Cdk17,Pura,,
Cdk17,Zswim5,,
Cdkl3,Ddx19b,,
Cdkn1c,Chia1,,
Cebpz,Chia1,,
Cebpz,Gm42722,,
Cebpz,Tspan33,,
Celf1,Cnnm4,,
Celf1,Gprc5c,,
Cep41,Samd14,,
Cep41,Zim1,,
Cep57,Fli1,,
Cep57,Snx7,,
Cep63,Pold1,,
Cep63,Pomgnt1,,
Cep78,Rps6-ps1,,
Cep78,Slfn8,,
Cep95,Gm42722,,
Cep95,Prmt8,,
Cfap46,Gm37397,,
Cfap46,Lamtor4,,
Chia1,Map9,,
Chia1,Zfp638,,
Chia1,Zfp975,,
Chmp2a,Rnf187,,
Ckmt1,Eea1,,
Ckmt1,Enpp5,,
Ckmt1,Gtpbp4,,
Ckmt1,Pdap1,,
Ckmt1,Pi4ka,,
Ckmt1,Smc6,,
Ckmt1,mt-Nd2,,
Clcn2,Fam241a,,
Clcn2,Galnt13,,
Clcn2,Rgs2,,
Clcn2,Strip2,,
Cldn22,Cyria,,
Cldn22,Ttc39c,,
Clec12a,Cxxc4,,
Clec12a,Fgfr1op2,,
Clec12a,Mpp7,,
Clec12a,Poglut1,,
Clec12a,Rab5a,,
Clec12a,Slc22a17,,
Cmas,Evi5,,
Cmas,Mpp7,,
Cmas,Nfyb,,
Cmas,Rab5a,,
Cmas,Slc22a17,,
Cmas,Zfp638,,
Cnih2,Qrich1,,
Cnnm4,Spr,,
Cntnap3,Gin1,,
Cntnap3,Rit1,,
Cntnap4,Mrln,,
Cog8,Firre,,
Col27a1,Dhx9,,
Col27a1,Lgr4,,
Col27a1,Ube2m,,
Col6a3,Poglut1,,
Cope,Gm37735,,
Cope,Lrch1,,
Cope,Slco5a1,,
Copg1,Gtpbp4,,
Copg1,Ncaph2,,
Copg1,Slc5a5,,
Coro1c,Uros,,
Coro7,Nup214,,
Cpped1,Klf3,,
Cpped1,Pdlim5,,
Cracr2b,Epor,,
Crybb3,Strada,,
Csnk1a1,Irf8,,
Cspg5,Irx1,,
Cstf2,Gm20712,,
Ctnna1,Rmnd5b,,
Cxadr,Ddb1,,
Cxadr,Rpl37,,
Cxadr,Zfp36l2,,
Cxadr,Zfp760,,
Cxxc4,Fam241a,,
Cxxc4,Mkrn1,,
Cxxc4,Tiam2,,
Cyp4f15,Psmd8,,
Cyren,Zfp512,,
