Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
1110035H17Rik,Gm10221,,
1700008J07Rik,Mrpl41,,
1700017B05Rik,B230398E01Rik,,
1700017B05Rik,Gm16168,,
2310057M21Rik,Smc1a,,
2500002B13Rik,Efcab2,,
4833417C18Rik,Col25a1,,
4833417C18Rik,Cyld,,
4833417C18Rik,Gbx2,,
4931440P22Rik,Cul4b,,
5330413P13Rik,Hadhb,,
5730408A14Rik,Gm12500,,
5730408A14Rik,Ptx4,,
6430511E19Rik,Gm7008,,
6430550D23Rik,Gne,,
6430550D23Rik,Pstpip2,,
9330136K24Rik,Gabpb1,,
9330136K24Rik,Gm43417,,
9430002A10Rik,D030028A08Rik,,
9430002A10Rik,Gm43133,,
A230083G16Rik,D030028A08Rik,,
A230083G16Rik,Gm42989,,
A230083G16Rik,Kcnh7,,
A230083G16Rik,Neu1,,
A330040F15Rik,Fbxl12os,,
AA414768,E2f3,,
AI429214,Adora3,,
Abca4,Acly,,
Abca4,Api5,,
Abca6,Gm43176,,
Abraxas1,Gm26652,,
Acss3,Gm42941,,
Adam32,Cpxm1,,
Adam32,Dgkeos,,
Adam32,Dnajc8,,
Adam32,Eif4ebp1,,
Adam32,Hexim2,,
Adamts15,Gpr12,,
Adora3,Gm43677,,
Adora3,Zscan29,,
Aif1l,Trp53bp2,,
Aif1l,Zcchc12,,
Aldh1a1,Gm38254,,
Aldh3a1,Ndst2,,
Aldh3a2,Sigirr,,
Aldh3a2,Zbtb45,,
Alg5,Mageh1,,
Alkbh1,Cdc42ep4,,
Alkbh1,mt-Nd4,,
Alyref,Serpina3n,,
Anapc4,Gm37529,,
Anapc4,Gm43187,,
Anapc4,Vps13a,,
Ankib1,Lgr6,,
Ankra2,Plag1,,
Ankrd16,Rps29,,
Ankrd34c,Map3k13,,
Antxr1,D630023F18Rik,,
Antxr1,Serpinb1b,,
Apc2,Bclaf3,,
Apc2,E230020A03Rik,,
Apc2,Gprin2,,
Apc2,Klf8,,
Apc2,Nkain2,,
Apc2,Rpl31,,
Apc2,Stard4,,
Apc2,Zbtb44,,
Apobr,Sbk2,,
Arb2a,Rassf10,,
Arg2,Spata24,,
Arhgap5,Cyld,,
Arhgap6,Kctd12b,,
Arhgef1,Id2,,
Arhgef1,Plppr3,,
Arhgef26,Ascl4,,
Arhgef26,Fam241a,,
Arl1,Hs3st3b1,,
Ascc3,Gm37390,,
Ascl4,Phip,,
Atad5,Fkbp10,,
Atf3,Phka1,,
