Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
1110002L01Rik,Gm38299,,
1110002L01Rik,Samd5,,
1810021B22Rik,Cyp4f15,,
1810021B22Rik,Gnl3l,,
1810044D09Rik,Gm8186,,
1810044D09Rik,Zfp523,,
2310030G06Rik,Acadvl,,
2310030G06Rik,Poglut1,,
2510002D24Rik,Mpst,,
2510002D24Rik,Nr3c2,,
2510002D24Rik,Zfp523,,
2700049A03Rik,Dock3,,
2700049A03Rik,Emcn,,
2700049A03Rik,Hey1,,
2700049A03Rik,Lmtk2,,
2700049A03Rik,Mcrs1,,
4833417C18Rik,Tcf15,,
4833418N02Rik,Pstpip2,,
4921524J17Rik,Hapln3,,
4921524J17Rik,Tmem241,,
4930447M23Rik,Furin,,
4930447M23Rik,Mib1,,
4930447M23Rik,Rab40c,,
4930447M23Rik,Tnfrsf19,,
4930447M23Rik,Yars1,,
4930513N10Rik,Saraf,,
4930519P11Rik,Tmem241,,
4930519P11Rik,Zbtb40,,
4933439C10Rik,Med25,,
5730408A14Rik,Prmt8,,
5730409E04Rik,Nr2f6,,
6030458C11Rik,Rnaset2b,,
6430511E19Rik,Pcdhb20,,
A330040F15Rik,Efhd2,,
A330040F15Rik,Hacd3,,
A330040F15Rik,Ints6l,,
AB041806,Lypd6b,,
AB041806,Mtmr10,,
AB041806,Psmd10,,
AI504432,Wwp1,,
AI593442,Gm10516,,
AI593442,Mecp2,,
AI593442,Med13l,,
AI593442,Ybx1,,
Aard,Firre,,
Aasdhppt,Gm26652,,
Aatf,Psmd12,,
Abca4,Gsta3,,
Abcg1,Mpp7,,
Abi2,Brwd1,,
Abi2,D930028M14Rik,,
Acadm,Cnot1,,
Acadvl,Phldb1,,
Acbd5,Kctd12b,,
Accs,Gm38254,,
Accs,Phka1,,
Ace2,Flna,,
Ace2,Plcg1,,
Ackr3,Rundc3a,,
Ackr3,Tpmt,,
Acsf2,Myef2l,,
Adam17,Car5a,,
Adamts3,Stk25,,
Adcy5,Gm10516,,
Adra2a,Gm5845,,
Agbl5,Gm10516,,
Ak2,Rfxank,,
Ak2,Tbx3os1,,
Akr1b1,D630023F18Rik,,
Alas1,Spopl,,
Aldh3a2,Exoc5,,
Aldh3a2,Fam91a1,,
Alg5,Brd3,,
Alg5,Zdhhc18,,
Alkbh1,Car8,,
Amer2,Doc2g,,
Amz2,Erh,,
Angptl1,Pmm1,,
Angptl1,Prkcsh,,
Angptl1,Wdr89,,
Ankrd9,Msh2,,
Ankub1,Atad5,,
Ankub1,Ctso,,
Ankub1,Ddhd1,,
Ankub1,Sec24a,,
Ankub1,Tle5,,
Ano2,Casq2,,
Ano2,Mpp7,,
Ap1ar,Gm10516,,
Apc,Ccno,,
Appbp2,Psmc5,,
Arhgap5,Ccno,,
Arhgap5,Mir9-3hg,,
Arl1,Me2,,
Arl1,Zfp512b,,
Arl2bp,Mxra7,,
Arl2bp,Soat1,,
Arl2bp,Ubr5,,
Aste1,Csrp1,,
Aste1,Hspb8,,
Aste1,Klf8,,
Aste1,Klhl26,,
Aste1,Rps26,,
Aste1,Tnfrsf19,,
Aste1,Urm1,,
Atad5,Smad2,,
Atat1,Gdf9,,
Atat1,Sema6c,,
Atf3,Gorasp1,,
Atosb,Mturn,,
Atp8a1,Plcg1,,
Atr,Gm38299,,
Atr,Hspb8,,
Atr,Ppp1r3g,,
Atr,Sbk2,,
B230217C12Rik,Pnck,,
B230217C12Rik,Zfp719,,
B230398E01Rik,Gm43359,,
BC004004,Plpp3,,
BC004004,Tmem100,,
Baz1a,Gh,,
Bclaf3,Pantr2,,
Bclaf3,Rbmx,,
Bcor,Iws1,,
Bend5,Gab2,,
Bltp3b,Mrps18c,,
Bltp3b,Tarbp1,,
Brwd3,Cdk17,,
Brwd3,Manbal,,
Bvht,Hapln3,,
Bvht,Pigb,,
C030034I22Rik,Fyn,,
C030034I22Rik,Nkx2-9,,
C030034I22Rik,St3gal5,,
C130026L21Rik,Fbxo25,,
C130075A20Rik,Mterf1b,,
C2cd2l,Gm10516,,
C2cd2l,Gm15513,,
C2cd2l,Habp4,,
Cacna2d3,Gm5845,,
Cacul1,Cmtm7,,
Cacul1,Fdft1,,
Cacul1,Prdm1,,
Cacul1,Tpd52l2,,
Car5a,Gad2,,
Car5a,Gm10699,,
Car5a,Mafa,,
Casc3,Cnot1,,
Casp8,Dlg3,,
Casp8,Peg13,,
Casp8,Prdm1,,
Casq2,Flnb,,
Cbln2,Gm15513,,
Cbln2,Habp4,,
Cbln2,Klhl22,,
Ccdc169,Ift46,,
Ccdc169,Ints6l,,
Ccdc169,Stx3,,
Ccdc28b,Itgam,,
Ccdc97,Sema4d,,
Ccnt1,Gm20045,,
Ccnt1,Mon1b,,
Ccnyl1,Insyn2a,,
Cct8,Macf1,,
Cd44,Zfp638,,
Cd99l2,Macf1,,
Cdc25c,Stk25,,
Cdc25c,Ttc22,,
Cdc27,Ddx46,,
Cdc27,Gm4924,,
Cdc27,Spaca6,,
Cdh15,Gm28523,,
Cdh15,Tprkb,,
Cdk17,Flnc,,
Cdk7,Ilf2,,
Cdk7,Qrich1,,
Cenpb,Ndufa5,,
Cep15,Gab2,,
Cep350,Ebf1,,
Cep350,Ly6h,,
Cep350,Syt3,,
Cep63,Slc13a5,,
Cfap418,Gm26814,,
Cfap92,Gdf11,,
Cfh,Klhdc10,,
Cfh,Msh2,,
Chia1,Gab2,,
Chia1,Zfp677,,
Chmp2a,Gm43413,,
Chst14,Lca5l,,
Ckb,Yipf6,,
Cmas,Cmtr1,,
Cmbl,Ndufaf8,,
Cmtm7,Gm11696,,
Cmtr1,Tubb2b,,
Cog4,Iqank1,,
Col13a1,Ift172,,
Col13a1,Kcnq5,,
Col13a1,Slc1a4,,
Col13a1,Tcf7,,
Col25a1,Polg2,,
Col27a1,Flnb,,
Col27a1,Manea,,
Col4a2,D930028M14Rik,,
Col6a3,Frmd3,,
Col6a4,Dnmt3a,,
Col6a4,Gm42482,,
Comt,Farsa,,
Copg1,Zdhhc20,,
Coro1c,Wdr47,,
Cpped1,St14,,
Crlf1,Zfand2b,,
Csnk1g1,Poglut1,,
Csrp1,Gnl3l,,
Cul4b,Dll3,,
Cxcl16,Gm43009,,
Cyp4f15,Dctpp1,,
Cyp4f15,Rasa2,,
Cyp4f15,Scarf1,,
Cyria,Dcp2,,
Cyria,Gypc,,
Cyria,Tcf4,,
D16Ertd472e,Gimap4,,
D16Ertd472e,Nudt6,,
D16Ertd472e,Tmem8b,,
D17H6S53E,Tbx3os1,,
D430036J16Rik,D930028M14Rik,,
D630023F18Rik,Ndufa13,,
D630023F18Rik,Psme4,,
D930028M14Rik,Epor,,
D930028M14Rik,Fchsd1,,
D930028M14Rik,Gfra2,,
D930028M14Rik,Il15ra,,
D930028M14Rik,Pgap4,,
D930028M14Rik,Rgs2,,
D930028M14Rik,Rundc3a,,
Dalrd3,Gm19967,,
Dbndd1,Ubr5,,
Dctn2,Gm43176,,
Dctn2,Steap3,,
Dctpp1,Pcdhgc5,,
Ddhd1,Mtpap,,
Ddhd1,Slc7a14,,
Ddias,Hmgb2,,
Ddt,Epor,,
Ddt,Fchsd1,,
Ddt,Ints6l,,
Ddx31,Gm43420,,
Ddx46,Jam2,,
Ddx6,Pigb,,
Ddx6,Syt3,,
Dll3,Rpap2,,
Dlx5,Psme1,,
Doc2g,Rsad1,,
Dock10,Gm20045,,
Dock3,Mrpl3,,
Dock3,Zmym6,,
Dscam,Gm5845,,
Dscam,Zc3hc1,,
Dtl,Gtpbp3,,
Dtx4,Slc18a1,,
Dus4l,Zfp87,,
Dync2i2,Gm10516,,
Dync2i2,Mrpl3,,
Dzip1l,Smad2,,
Ebag9,Slc18a1,,
Efcc1,Gsta3,,
Efcc1,Psme4,,
Efemp2,Psmd12,,
Efl1,Iqank1,,
Efnb2,Nudt22,,
Egfem1,Gm18284,,
Eid2,Trp53rkb,,
Eif1b,Nudt2,,
Eif4ebp1,Smim8,,
Eif4ebp1,Thop1,,
Elf1,Gsta3,,
Emcn,Fbxo25,,
Emd,Nhsl1,,
Emd,Steap3,,
Ep300,Oxr1,,
Ep300,Synpo2,,
Erbin,Oxt,,
Ess2,Gnl2,,
Exoc5,Pcdhga5,,
Exoc5,Wars1,,
Fadd,Ip6k2,,
Fadd,Lpin2,,
Fads2,Klhdc10,,
Fads2,Msh2,,
Fam13b,Gm10516,,
Fam13b,Rhebl1,,
Fam174c,Kmt2c,,
Fam174c,Trdmt1,,
Fam8a1,Gm42600,,
Farsa,Myo9a,,
Fbn2,Ndufaf4,,
Fbxl16,Gm10516,,
Fbxl22,Lca5,,
Fbxl22,Ndufa13,,
Fbxl22,Pea15a,,
Fbxl22,Snrnp70,,
Fbxl22,Spr,,
Fcho2,Pantr2,,
Fcho2,Smad2,,
Fchsd2,Impact,,
Fdft1,Nfatc4,,
Fgf12,Hapln3,,
Fkbp1b,Taco1os,,
Flna,Ncoa5,,
Flnc,Ift172,,
Fpgt,Pcdhga5,,
Fpgt,Spaca6,,
Fra10ac1,Zfp512b,,
Frmd3,Klhdc10,,
Furin,Smyd4,,
Gab2,Sugp1,,
Gabra4,Gm5845,,
Gad2,Slc18a1,,
Galnt16,Sting1,,
Gas1,Lrtm2,,
Gdap1,Hapln3,,
Gdf10,Gemin6,,
Gdf11,Luc7l2,,
Gdf11,Mrps12,,
Gdf11,Snrnp70,,
Gemin7,Wwc2,,
Gh,Pnck,,
Gigyf1,Katnal1,,
Gimap9,Shisa8,,
Gjb6,Phldb1,,
Gm10516,Klf16,,
Gm10516,Penk,,
Gm10516,Scn4b,,
Gm10516,Slc24a3,,
Gm10516,Tpbg,,
Gm10699,Hlx,,
Gm13031,Rps6-ps1,,
Gm14634,Npr2,,
Gm14634,Vav3,,
Gm15446,Rhebl1,,
Gm15446,Rimbp3,,
Gm15513,Pdpk1,,
Gm15513,Rhobtb2,,
Gm15513,Rpgrip1,,
Gm15513,Sgsm1,,
Gm15513,St8sia5,,
Gm15513,Trp53bp1,,
Gm16339,Slc18a1,,
Gm17259,Rundc1,,
Gm17322,Mmel1,,
Gm20045,Gm37033,,
Gm20712,Gm38217,,
Gm26225,Gm7467,,
Gm26225,Gpr180,,
Gm28523,Polr1g,,
Gm29155,Marchf10,,
Gm29155,Sh3bp1,,
Gm29155,Shh,,
Gm3294,Patz1,,
Gm3687,Nfatc4,,
Gm37061,Phf12,,
Gm37124,Gm43009,,
Gm37258,Lamtor5,,
Gm37258,Ndufa13,,
Gm37258,Uqcr10,,
Gm37420,Grb2,,
Gm37529,Wdsub1,,
Gm37569,Scarf1,,
Gm37569,Serpinb1b,,
Gm37569,Steap3,,
Gm37745,Prkcsh,,
Gm37777,Szt2,,
Gm37941,Spr,,
Gm38077,Wif1,,
Gm38217,Hacd3,,
Gm38254,Polr1b,,
Gm42588,Mterf1b,,
Gm42588,Zmym6,,
Gm42679,Slco5a1,,
Gm42725,Scarf1,,
Gm42853,Tiam2,,
Gm42897,Isl1,,
Gm42897,Sting1,,
Gm43009,Itpr3,,
Gm43009,Ttc22,,
Gm43009,Txnl1,,
Gm43176,Mapk8ip2,,
Gm43413,S100a13,,
Gm43420,Tmx3,,
Gm43663,Sema3b,,
Gm43765,Rbmx,,
Gm43795,Nr2f6,,
Gm43800,Loxl1,,
Gm43800,Trpc3,,
Gm4804,Trappc3,,
Gm4924,Yars1,,
Gm5845,Pld5,,
Gm5845,Pnoc,,
Gm5845,Rad51ap2,,
Gm5845,Ywhag,,
Gm7467,Mto1,,
Gnl3l,Kank3,,
Gnl3l,Patz1,,
Gnl3l,Rasa2,,
Gnl3l,Rpl37,,
Gnl3l,Urm1,,
Gorasp1,Slc6a16,,
Gphn,Nfatc4,,
Gprin2,Podxl2,,
Gria4,Me2,,
Gria4,Zfp512b,,
H13,Trp53i13,,
H13,Wwc2,,
H1f10,Insyn2a,,
H3f3a,Insyn2a,,
Habp4,Rpgrip1,,
Habp4,St8sia5,,
Habp4,Trp53bp1,,
Hapln3,Nr3c2,,
Hapln3,Ptpn4,,
Hbp1,Myo9a,,
Hbp1,Ybx1,,
Hectd1,Mapre2,,
Hexim2,Yif1a,,
Hey1,Zmym6,,
Hhip,Phka1,,
Hic2,Immp1l,,
Hmgcs1,Psmd12,,
Hmox2,Pcdhgc5,,
Hs1bp3,Map3k13,,
Hs1bp3,Tekt1,,
Hspa1a,Taco1os,,
Hspb8,Szt2,,
Htatsf1,Manea,,
Htr1d,Taco1os,,
Htr1d,Vps39,,
Hycc1,Psme4,,
Hycc1,Vrk1,,
Hyls1,Snx22,,
Ift122,Slf2,,
Ift122,Vps39,,
Ift172,Zfp469,,
Il15ra,Scarf1,,
Ilf2,Tmem104,,
Impdh1,Zfp869,,
Inava,Pacs1,,
Inha,Tubg2,,
Ino80,Srprb,,
Ino80,Tmem104,,
Itgb2,Mmel1,,
Itgb2,Phip,,
Kank3,Mapk8ip2,,
Kansl1,Klhl26,,
Kansl1,Tmtc4,,
Katnal1,Slc25a12,,
Katnal1,Tmem242,,
Kctd12b,Trnt1,,
Kdelr1,Smad2,,
Kdm3b,Me2,,
Kdm3b,Synj2bp,,
Kdm3b,Zfp512b,,
Klhdc10,Thoc3,,
Klhdc3,Me1,,
Krtcap2,Rad51ap1,,
Lactb2,Sirt2,,
Lmo2,Mecp2,,
Lmo2,Ybx1,,
Lmtk2,Mrpl3,,
Lmtk2,Zmym6,,
Lpar4,Mib2,,
Lpar4,Qars1,,
Lpl,Pabpn1,,
Lrba,Snx7,,
Lrrc40,Phka1,,
Lrtm2,Msmo1,,
Ltbp4,Synj2bp,,
Luc7l2,Scrt2,,
Luzp1,Slc7a11,,
Ly6h,Mecp2,,
Ly6h,Med13l,,
Ly6h,Mydgf,,
Lypd6b,Snai3,,
Lyzl4,Timm17b,,
Macf1,Tmem130,,
Macroh2a1,Shisa9,,
Macroh2a1,UNKNOWN,,
Map3k14,Nphp3,,
Map3k14,Vps13c,,
Map3k2,Me2,,
Mapre2,Rab24,,
Marchf10,Slc7a14,,
Marchf10,Smco3,,
Me2,Trp53i13,,
Mecp2,Rnf144a,,
Mecp2,Scn4b,,
Mecp2,Spock3,,
Mecp2,Tgfa,,
Mecp2,Tmem130,,
Med13l,Pnck,,
Med25,Nek1,,
Mia2,Smpdl3a,,
Micu1,Zcwpw2,,
Mier3,Pip5k1b,,
Mier3,Rnf207,,
Mier3,Slc39a12,,
Mier3,Stk19,,
Minar1,Mrps12,,
Minar1,Oxt,,
Minar1,Pea15a,,
Minar1,Pmvk,,
Minar1,Slc39a12,,
Mir9-3hg,Myzap,,
Mllt11,Trpv4,,
Mllt6,Mrnip,,
Mllt6,Nop56,,
Mrc1,Rnaset2b,,
Mrc2,Trp53bp2,,
Mrfap1,Oxt,,
Mrpl16,Plcg1,,
Mrpl3,Rps6ka3,,
Mrps18c,Pgap2,,
Msmo1,Syne2,,
Msrb2,Oxt,,
Mterf3,Pcdhgc5,,
Mtm1,Txnl1,,
Mtmr10,Pcdhb20,,
Mtmr10,Trp53rkb,,
Mturn,Scarf1,,
Mturn,Slc18a1,,
Muc3a,Tmem201,,
Mydgf,Pgam1,,
Myo1a,Zgrf1,,
Nanp,Wwc2,,
Nat10,Rxrb,,
Nat10,Yars1,,
Nbeal1,Trp53rkb,,
Ncaph,Ptpn6,,
Ncaph,S100a13,,
Ncl,Smim8,,
Ndst2,Poglut1,,
Ndufs6,Zc3h12c,,
Nfatc4,Vps13c,,
Niban1,Psd3,,
Nkain2,Pantr2,,
Nkx2-9,Trdmt1,,
Nlgn2,Rbmx,,
Nmnat1,Slc18a1,,
Osbpl8,Ybx1,,
Otulinl,Slc18a1,,
Oxr1,Zbtb45,,
Oxt,Thap11,,
Oxt,Tnrc18,,
Oxt,Tubb2a,,
Pabpn1,Phip,,
Pabpn1,Slc22a17,,
Pantr2,Rpl31,,
Pantr2,Spp2,,
Pantr2,UNKNOWN,,
Parva,Sesn1,,
Parva,Taco1os,,
Patz1,Rab29,,
Pcdhb20,Sdr39u1,,
Pcdhgc5,Rasa2,,
Pcx,Ttc22,,
Pdia5,Scarf1,,
Pfdn1,Sirt2,,
Pfdn1,Zcchc24,,
Phex,Shh,,
Phka1,Sting1,,
Pip5k1b,Trp53i13,,
Pkia,Xrra1,,
Plcg1,Scg2,,
Plekha3,Qars1,,
Pnck,Ybx1,,
Pnoc,Spata24,,
Poglut1,Rad54l2,,
Polr3c,Zfp869,,
Ppm1j,Vps35l,,
Prdm1,Sgsm1,,
Psmd2,Zfp523,,
Ptk7,Spopl,,
Rab27a,Rps29,,
Rarb,Taco1os,,
Rasa4,Robo2,,
Rgs2,Steap3,,
Rhebl1,Tomm70a,,
Rhou,Rpap2,,
Ric8a,Slc18a1,,
Rnaset2b,Zfp346,,
Rpgr,Scap,,
Rpgr,Zfp512,,
Rpl31,Smad2,,
Rps3a3,Slc2a4rg-ps,,
Rsad1,Slc25a53,,
Scarf1,Strip2,,
Scn4b,Ybx1,,
Sesn1,Ubr7,,
Sez6l,Zfand2b,,
Sgsm1,Slc25a12,,
Shfl,Slc7a11,,
Shisa9,Timm17b,,
Sike1,Yars1,,
Slc13a5,Slc1a4,,
Slc13a5,Spaca6,,
Slc18a1,Smurf1,,
Slc18a1,Tpmt,,
Slc18a1,Trappc3,,
Slc35e2,Vps39,,
Slf2,Zbtb3,,
Smad2,Tle5,,
Snip1,Stk19,,
Spata7,Szt2,,
Ss18,Vps35l,,
Steap3,Ywhag,,
Sting1,Tnks,,
Strip2,Wdr47,,
Synpo2,Taco1os,,
Syt3,Tcea1-ps1,,
Taco1os,Tomm70a,,
Tarbp1,Tfr2,,
Tmem130,Ybx1,,
Trappc5,Ubr5,,
Trdmt1,Tyro3,,
Trp53i13,Zfp512b,,
Vcpip1,Yif1a,,
Vps39,Zfp512b,,
Vps41,Zdhhc9,,
Wif1,Zdhhc20,,
Zbtb3,Zcchc12,,
