Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-Allyl-1,4-dimethoxybenzene ","(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","2-Allyl-1,4-dimethoxybenzene-F"
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",Hydroquinone,"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl-P",Hydroquinone-F
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",Pentanedioic acid,"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl-P",Pentanedioic acid-F
17-alpha-Hydroxypregnenolone,"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]- ",17-alpha-Hydroxypregnenolone-F,"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]--P"
"2,4-Imidazolidinedione, 5,5-dimethyl-","2-Allyl-1,4-dimethoxybenzene ","2,4-Imidazolidinedione, 5,5-dimethyl--P","2-Allyl-1,4-dimethoxybenzene-F"
"2-Allyl-1,4-dimethoxybenzene ",2-Methyl-4-pentenoic acid,"2-Allyl-1,4-dimethoxybenzene-F",2-Methyl-4-pentenoic acid-P
"2-Allyl-1,4-dimethoxybenzene ","2-Propanone, bis(1-methylethyl)hydrazone","2-Allyl-1,4-dimethoxybenzene-F","2-Propanone, bis(1-methylethyl)hydrazone-P"
"2-Allyl-1,4-dimethoxybenzene ",2-Pyrrolidinone,"2-Allyl-1,4-dimethoxybenzene-F",2-Pyrrolidinone-P
"2-Allyl-1,4-dimethoxybenzene ","9H-Fluorene, 9-methylene-","2-Allyl-1,4-dimethoxybenzene-F","9H-Fluorene, 9-methylene--P"
"2-Allyl-1,4-dimethoxybenzene ","Dodecanoic acid, 1-methylethyl ester","2-Allyl-1,4-dimethoxybenzene-F","Dodecanoic acid, 1-methylethyl ester-P"
"2-Allyl-1,4-dimethoxybenzene ","L-Lysine, ethyl ester ","2-Allyl-1,4-dimethoxybenzene-F","L-Lysine, ethyl ester-P"
"2-Allyl-1,4-dimethoxybenzene ",Octocrylene,"2-Allyl-1,4-dimethoxybenzene-F",Octocrylene-P
"2-Allyl-1,4-dimethoxybenzene ","beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-","2-Allyl-1,4-dimethoxybenzene-F","beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P"
2-Aminoadipic acid,"L-Lysine, ethyl ester ",2-Aminoadipic acid-F,"L-Lysine, ethyl ester-P"
3-Buten-2-one,"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin ",3-Buten-2-one-F,"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin-P"
3-Undecene,"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin ",3-Undecene-F,"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin-P"
4-Hydroxybenzaldehyde,"Cholesta-3,5-diene ",4-Hydroxybenzaldehyde-F,"Cholesta-3,5-diene-P"
4-Hydroxybenzoic acid,"Cholesta-3,5-diene ",4-Hydroxybenzoic acid-F,"Cholesta-3,5-diene-P"
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]- ","D-(+)-Ribono-1,4-lactone ","5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]--P","D-(+)-Ribono-1,4-lactone-F"
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]- ",N-(2-hydroxyethyl)-succinimide,"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]--P",N-(2-hydroxyethyl)-succinimide-F
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]- ",Pyrrole-2-carboxylic acid,"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]--P",Pyrrole-2-carboxylic acid-F
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]- ",Tetrahydrolinalool,"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]--P",Tetrahydrolinalool-F
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin ",D-(-)-Fructopyranose,"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin-P",D-(-)-Fructopyranose-F
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin ",Menthol,"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin-P",Menthol-F
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin ",Pentanoic acid,"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin-P",Pentanoic acid-F
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin ",Stearic acid,"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin-P",Stearic acid-F
"Cholesta-3,5-diene ",Cytosine,"Cholesta-3,5-diene-P",Cytosine-F
"Cholesta-3,5-diene ",D-(+)-Glucosamine,"Cholesta-3,5-diene-P",D-(+)-Glucosamine-F
"Cholesta-3,5-diene ",D-(-)-Fructofuranose,"Cholesta-3,5-diene-P",D-(-)-Fructofuranose-F
"Cholesta-3,5-diene ",DL-Phenylalanine,"Cholesta-3,5-diene-P",DL-Phenylalanine-F
"Cholesta-3,5-diene ",Phenylalanine,"Cholesta-3,5-diene-P",Phenylalanine-F
"Cholesta-3,5-diene ",Supraene,"Cholesta-3,5-diene-P",Supraene-F
"Cholesta-3,5-diene ",Uracil,"Cholesta-3,5-diene-P",Uracil-F
"D-(+)-Ribono-1,4-lactone ","Glycine, N-(1-oxobutyl)-","D-(+)-Ribono-1,4-lactone-F","Glycine, N-(1-oxobutyl)--P"
"D-(+)-Ribono-1,4-lactone ",L-Glutamine,"D-(+)-Ribono-1,4-lactone-F",L-Glutamine-P
"D-(+)-Ribono-1,4-lactone ",Tributyl acetylcitrate,"D-(+)-Ribono-1,4-lactone-F",Tributyl acetylcitrate-P
"Hexadecanoic acid, ethyl ester","L-Lysine, ethyl ester ","Hexadecanoic acid, ethyl ester-F","L-Lysine, ethyl ester-P"
"Hexadecanoic acid, methyl ester","L-Lysine, ethyl ester ","Hexadecanoic acid, methyl ester-F","L-Lysine, ethyl ester-P"
"L-Lysine, ethyl ester ",Methyl stearate,"L-Lysine, ethyl ester-P",Methyl stearate-F
"L-Lysine, ethyl ester ","Thymine, 1,3-dimethyl-6-hydroxymethyl","L-Lysine, ethyl ester-P","Thymine, 1,3-dimethyl-6-hydroxymethyl-F"
"L-Lysine, ethyl ester ",Tripropylene glycol monomethyl ether,"L-Lysine, ethyl ester-P",Tripropylene glycol monomethyl ether-F
"L-Lysine, ethyl ester ",Xylazine,"L-Lysine, ethyl ester-P",Xylazine-F
"L-Lysine, ethyl ester ",Xylose,"L-Lysine, ethyl ester-P",Xylose-F
