Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
1700008J07Rik,Cks1b,,
1700008J07Rik,Fgf7,,
2410124H12Rik,Sema4f,,
9330136K24Rik,Bend5,,
9330136K24Rik,Igf2bp2,,
A230083G16Rik,Pcdhb18,,
AU041133,Ccdc190,,
AU041133,Tomm40,,
AU041133,Ube2q2,,
Acly,Gcnt1,,
Adck1,Gm9905,,
Ankrd11,Coq5,,
Ankrd11,Crebrf,,
Ankrd11,Kif1b,,
Ankrd11,Ogg1,,
Ankrd11,Pacsin1,,
Ankrd11,Prkaca,,
Ankrd11,Sec24c,,
Ankrd11,Smc1a,,
Ankrd11,Trpc4ap,,
Antxr1,Gm15201,,
Antxr1,Rpl12,,
Apc2,Batf3,,
Api5,Brinp2,,
Api5,Cse1l,,
Atp1a3,Glul,,
Atp1a3,Ndufb11,,
Atp1a3,Rps18,,
Baiap2,Nkiras2,,
Batf3,Nalf1,,
Bdh2,Rdh11,,
Bdh2,Rpl38,,
Bltp3a,Ooep,,
Brinp2,Fam13a,,
Btg3,Gxylt2,,
Btg3,Slc1a5,,
Btk,Rbms2,,
Ccdc124,Gpr12,,
Ccdc190,Gm19391,,
Ccdc30,mt-Nd4,,
Ccdc96,Junb,,
Cd151,Igdcc4,,
Cd151,Zfp804b,,
Cdc42ep4,Kif1b,,
Cdk20,Tspan14,,
Cenpj,Tomm40,,
Cimap1d,Rtn2,,
Cks1b,Fam78a,,
Cnih3,Fermt1,,
Cntln,Ctnnal1,,
Cntln,Gm37390,,
Cntln,Jrkl,,
Cntln,Ktn1,,
Cntln,Prkaca,,
Coq5,Dgcr8,,
Coq5,Map7d2,,
Coq5,Smc1a,,
Cox7b2,Fuom,,
Crebrf,Crnkl1,,
Crebrf,Pacsin1,,
Crebrf,Smarcc1,,
Crebrf,Smc1a,,
Crebrf,Trpc4ap,,
Crebrf,Tspan14,,
Crnkl1,Kif1b,,
Crnkl1,Smarcc1,,
Crnkl1,Tmem168,,
Cse1l,Ube2v2,,
Csnk1a1,Hs1bp3,,
Csnk1a1,Smarcc1,,
Csnk1a1,Tmem168,,
Ctdspl2,Ibtk,,
Ctnnal1,Ktn1,,
Ctnnal1,Sbf2,,
Cyp2j9,Gm27184,,
Dach1,Tceal6,,
Dach1,UNKNOWN,,
Dcaf15,Hs3st3b1,,
Dcaf15,Lonp2,,
Dcaf15,Rbpj,,
Dchs2,Ripk4,,
Dgcr8,Strap,,
Dnajc14,Mrpl36,,
Dnajc14,Ybx3,,
