Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
1110035H17Rik,Smpdl3a,,
1500009L16Rik,Rpsa-ps10,,
1700008J07Rik,Coch,,
1700008J07Rik,Fxyd6,,
1700008J07Rik,Mfsd6,,
1810044D09Rik,Uts2b,,
2410124H12Rik,Osbpl10,,
2510002D24Rik,Ktn1,,
6030458C11Rik,6430550D23Rik,,
6430550D23Rik,Tcf15,,
9230116N13Rik,Efnb2,,
9330151L19Rik,Gm43672,,
9330151L19Rik,Rbpj,,
9430002A10Rik,Hmcn1,,
A230083G16Rik,Ebf1,,
AI593442,Setd3,,
Aasdhppt,Fkbp7,,
Aasdhppt,Gm37390,,
Abca6,Cd99l2,,
Abhd17b,Gm11532,,
Abi2,Gm11637,,
Acadm,Baiap2,,
Ace2,Lgr6,,
Acin1,Hps6,,
Acly,Cx3cr1,,
Adam32,Zfp87,,
Adam33,Egfem1,,
Adam33,Prmt8,,
Adgra1,Vstm4,,
Ago2,Knstrn,,
Alas1,Smim43,,
Alas1,Uck1,,
Aldh3a1,Mrpl58,,
Ankrd34c,Trnt1,,
Ano2,Zbtb3,,
Antxr1,Psme4,,
Antxr1,Spryd3,,
Apc2,Smad2,,
Api5,Gm42725,,
Arhgap10,Fancc,,
Arhgef26,Gm42942,,
Arhgef28,Cks1b,,
Arl2bp,Atp1a3,,
Arsj,Edrf1,,
Ascl4,Farsa,,
Ascl4,Itpr3,,
Ascl4,Ttc22,,
Atp1a3,Mhrt,,
Atp1a3,Nr2f6,,
Atxn10,Tceal6,,
Atxn10,Vps72,,
BB031773,Rit2,,
Baiap2,Ggct,,
Baz1a,Ss18l1,,
Bcor,Rabepk,,
Bcor,Rabgef1,,
Bend7,Zbtb34,,
Bet1,Ift172,,
Bhlhb9,Ilf2,,
Bltp3a,Gm38071,,
Brca2,Hhip,,
Brd3,Dnm1l,,
C130021I20Rik,Dll3,,
C130021I20Rik,Laptm4b,,
C1qtnf7,Osbpl10,,
C1qtnf7,Polr3c,,
Cachd1,Rusc2,,
Cacna2d3,Zbtb3,,
Calcoco1,Plcxd2,,
Capg,Gemin6,,
Car8,Cd151,,
Casd1,Impdh1,,
Casd1,Polr3c,,
Casp8,Gm11637,,
Cbln3,Nipal4,,
Ccdc30,Gsta3,,
Ccdc30,Thrsp,,
Ccdc34,Ss18l1,,
Ccdc96,Gorasp1,,
Ccdc96,Loxl1,,
Ccdc9b,Rom1,,
Ccne1,Lamtor5,,
Ccne1,Mrpl30,,
Ccno,Tspo,,
Cd99l2,Cdh24,,
Cdc42ep4,Slc16a4,,
Cdh15,Slc35g1,,
Cdh24,Gnl3l,,
Cdh24,Tspyl5,,
Cdk17,Rusc2,,
Cenpj,Kctd1,,
Cenpq,Tfap2b,,
Cfap92,Ogdh,,
Cfap92,Slc6a13,,
Chchd3,Npat,,
Cks1b,P3h2,,
Cks1b,Ttc22,,
Cmklr1,Rgl2,,
Cntln,Tec,,
Cntln,Xk,,
Cntnap3,Tpst1,,
Col27a1,Fzd10,,
Col27a1,Myrip,,
Cox6b2,Nsun4,,
Crebrf,Timm17a,,
Crlf1,Vps72,,
Crnkl1,Xk,,
Cse1l,Sema3b,,
Csnk1a1,Zfp959,,
Ctdspl2,Lrrc8b,,
Ctdspl2,Tubb2b,,
Cx3cr1,Ice2,,
Cxcl16,Iqsec3,,
Cyp2j9,Snrnp70,,
Cyp2j9,Trappc5,,
Cyria,Tomm40,,
Dach1,Rhou,,
Dctn2,Zbtb34,,
Ddias,Emp2,,
Ddias,Gem,,
Ddias,Gm19391,,
Ddx20,Fam78a,,
Derl1,Rpl3l,,
Diablo,Gdpgp1,,
Diaph2,Sema4d,,
Diaph2,Slc25a53,,
Diaph2,Tec,,
Dll3,Irx3,,
Dnm1l,Insc,,
Dock8,Thumpd1,,
Dtl,Ezh1,,
Dtnbp1,Tstd2,,
Dtx4,Nsun4,,
Dync1li1,Gcnt1,,
Ebag9,Vwa5a,,
Ebf1,Vwa5a,,
Ecm2,S100a13,,
Efl1,Itgb4,,
Efnb2,Gm11637,,
Eif3b,Gm11532,,
Elapor2,Vps72,,
Elavl2,Slc6a13,,
Elmod2,Mkrn3,,
Emcn,Gm11532,,
Emcn,Slc1a3,,
Endou,Lamtor4,,
Entpd3,Mthfd2l,,
Eola1,Klhl5,,
Erlin1,Tspo,,
Exosc10,Mrps35,,
Exosc9,Gjb6,,
Fam78a,Irs2,,
Fastkd5,Txnl1,,
Fbxo16,Rbpj,,
Fbxo25,Pus7l,,
Fermt1,Fkbp7,,
Fkbp7,Xk,,
Frat2,Or8b53,,
Fsbp,Hsd17b2,,
Fsbp,Ooep,,
Fyn,Nol9,,
Gabra4,Zbtb3,,
Gbx2,Tcf15,,
Gcnt1,Prnp,,
Gcnt4,Polg2,,
Gem,Ncln,,
Glis1,Itpr3,,
Glul,Pdzd11,,
Gm10643,Mrpl30,,
Gm10657,Htr1d,,
Gm10699,Zfp41,,
Gm11532,Hey1,,
Gm11532,Mcrs1,,
Gm11532,Pip5k1b,,
Gm11637,Poglut1,,
Gm11637,Prps1,,
Gm11637,Psmc5,,
Gm11637,Zfp512,,
Gm11942,Hhip,,
Gm11942,Map1lc3b,,
Gm11942,St8sia5,,
Gm15201,She,,
Gm20045,Rps13,,
Gm20045,Tstd3,,
Gm26814,Ssc4d,,
Gm27184,Sike1,,
Gm37390,Map3k14,,
Gm37397,Irx3,,
Gm37534,Tbrg4,,
Gm37569,Gxylt2,,
Gm4117,Haus7,,
Gm4117,Mcm6,,
Gm42588,Ormdl1,,
Gm42722,Tceal6,,
Gm42722,Vps72,,
Gm42727,Iqsec3,,
Gm43359,Thumpd1,,
Gm4924,Sntb2,,
Gm8186,Ormdl1,,
Gm9905,Hyls1,,
Gng14,Nat10,,
Gng14,Txnl1,,
Gnl3l,Gxylt2,,
Gnl3l,Vwa5a,,
Gxylt2,Rgs2,,
Gypc,Slco4c1,,
H13,Mier3,,
H2-T22,Trpc5,,
Hdac5,Rpp25l,,
Hey1,Slc1a3,,
Hps6,Lrrc8b,,
Hspa12b,Plcg1,,
Htr1a,Vwa5a,,
Htr1d,Rap2a,,
Htr6,Man2c1,,
Icosl,Oxsm,,
Id2,Spryd3,,
Ift122,Rpsa-ps10,,
Ift172,She,,
Ing2,Txnl1,,
Ing2,Uqcr10,,
Ing2,Uqcr11,,
Inppl1,Pmm1,,
Insc,Zbtb3,,
Insl5,Vps72,,
Irf8,Ripk4,,
Irs2,Pctp,,
Irx1,Tinagl1,,
Itga11,Zfp628,,
Itga5,Polg2,,
Jcad,Zbtb3,,
Jmjd7,Pkia,,
Katnal1,Vstm4,,
Kcnk6,Pllp,,
