Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
1500015L24Rik,Erlin1,,
1500015L24Rik,Gng7,,
1500015L24Rik,Luzp1,,
1500015L24Rik,Mtx3,,
1500015L24Rik,Nmnat3,,
1500015L24Rik,Osbpl8,,
1500015L24Rik,Slc35d3,,
1500015L24Rik,Strn,,
1500015L24Rik,Stxbp3,,
1500015L24Rik,Utrn,,
1500015L24Rik,Wdr17,,
1500015L24Rik,mt-Cytb,,
1700017B05Rik,Bltp3b,,
1700017B05Rik,C130075A20Rik,,
1700017B05Rik,Tspan33,,
4833418N02Rik,Dlx5,,
4833418N02Rik,Lmo2,,
4833418N02Rik,Penk,,
4833418N02Rik,St8sia5,,
4833418N02Rik,Tgfa,,
4833418N02Rik,Utrn,,
4921539H07Rik,Acot7,,
4921539H07Rik,Adcy2,,
4921539H07Rik,Agbl5,,
4921539H07Rik,Cacna2d3,,
4921539H07Rik,Erlin1,,
4921539H07Rik,Fkbp1b,,
4921539H07Rik,Gfra2,,
4921539H07Rik,Gng7,,
4921539H07Rik,Gpr88,,
4921539H07Rik,Id4,,
4921539H07Rik,Ift46,,
4921539H07Rik,Lamtor4,,
4921539H07Rik,Ly6e,,
4921539H07Rik,Map1lc3b,,
4921539H07Rik,Mpped2,,
4921539H07Rik,Osbpl8,,
4921539H07Rik,Penk,,
4921539H07Rik,Rarb,,
4921539H07Rik,Rxrg,,
4921539H07Rik,Scube3,,
4921539H07Rik,Spock3,,
4921539H07Rik,Strn,,
4921539H07Rik,Vps41,,
4921539H07Rik,Wdr17,,
4930444P10Rik,Gm37534,,
4930444P10Rik,Mafa,,
6030458C11Rik,Gpr180,,
AA986860,Gm7467,,
AI504432,Zfp719,,
AI593442,Acot7,,
AI593442,Adcy5,,
AI593442,Adra2a,,
AI593442,Atxn10,,
AI593442,Cacna2d3,,
AI593442,Casq2,,
AI593442,Coch,,
AI593442,Erlin1,,
AI593442,Farsa,,
AI593442,Fbxl16,,
AI593442,Gabra4,,
AI593442,Gpr180,,
AI593442,Ift122,,
AI593442,Insc,,
AI593442,Jcad,,
AI593442,Kcnq5,,
AI593442,Lmo2,,
AI593442,Ly6h,,
AI593442,Pea15a,,
AI593442,Penk,,
AI593442,Rarb,,
AI593442,Rbms1,,
AI593442,Rnf144a,,
AI593442,Scn4b,,
AI593442,Sec14l1,,
AI593442,Slc24a3,,
AI593442,Spock3,,
AI593442,Strn,,
AI593442,Tgfa,,
AI593442,Tmem130,,
AI593442,Tomm70a,,
AI593442,mt-Cytb,,
Aasdhppt,Bet1,,
Aasdhppt,Xk,,
Abcg1,Insc,,
Abhd17b,Eif3b,,
Abhd2,Abi2,,
Abhd2,Dock3,,
Abhd2,Enho,,
Abhd2,Fbxl16,,
Abhd2,Gm37124,,
Abhd2,Lmtk2,,
Abhd2,Pgap4,,
Abhd2,Prps1,,
Abhd2,Sh3d19,,
Abhd2,Slc24a3,,
Abhd2,Snap47,,
Abhd2,Tbc1d22b,,
Abhd2,Tgfa,,
Abi2,Acot7,,
Abi2,Cdk17,,
Abi2,Cisd3,,
Abi2,Ckmt1,,
Abi2,Copg1,,
Abi2,Dock3,,
Abi2,Elavl2,,
Abi2,Fbxl16,,
Abi2,H13,,
Abi2,Jcad,,
Abi2,Lmo2,,
Abi2,Lmtk2,,
Abi2,Mpped2,,
Abi2,Pea15a,,
Abi2,Pgap4,,
Abi2,Pmvk,,
Abi2,Prps1,,
Abi2,Psmc5,,
Abi2,Rarb,,
Abi2,Rsrp1,,
Abi2,Rundc3a,,
Abi2,Scn4b,,
Abi2,Slc24a3,,
Abi2,Slc35e2,,
Abi2,Snap47,,
Abi2,Spock3,,
Abi2,Tbc1d22b,,
Abi2,Tomm70a,,
Abi2,Trank1,,
Abi2,Wdr17,,
Acadm,Arx,,
Acadm,Efnb2,,
Acadm,Pgap4,,
Acadvl,Pmvk,,
Acadvl,Spr,,
Accs,Dlx5,,
Accs,Entpd3,,
Accs,Gucy1a1,,
Accs,Klhdc3,,
Accs,Nmnat3,,
Acin1,Elmod2,,
Acin1,Fbxl16,,
Acin1,Gpr180,,
Acin1,Nop56,,
Acin1,Sec14l1,,
Acin1,Tmem191,,
Acot7,Adcy2,,
Acot7,Adcy5,,
Acot7,Ano2,,
Acot7,Cacna2d3,,
Acot7,Erlin1,,
Acot7,Fbxl16,,
Acot7,Gm5093,,
Acot7,Gucy1a1,,
Acot7,Itgam,,
Acot7,Jcad,,
Acot7,Klf16,,
Acot7,Ly6e,,
Acot7,Map1lc3b,,
Acot7,Mpped2,,
Acot7,Penk,,
Acot7,Pgap4,,
Acot7,Rarb,,
Acot7,Rbms1,,
Acot7,Rundc3a,,
Acot7,Scn4b,,
Acot7,Sec14l1,,
Acot7,Slc24a3,,
Acot7,Spock3,,
Acot7,Strn,,
Acot7,Tgfa,,
Acot7,Tomm70a,,
Acvrl1,Adora2a,,
Acvrl1,Agbl5,,
Acvrl1,Basp1,,
Acvrl1,C2cd2l,,
Acvrl1,Calb2,,
Acvrl1,Dgki,,
Acvrl1,Fkbp1b,,
Acvrl1,Fxyd6,,
Acvrl1,Gm6556,,
Acvrl1,Gng7,,
Acvrl1,Gpr88,,
Acvrl1,Htr1d,,
Acvrl1,Jcad,,
Acvrl1,Kcnab1,,
Acvrl1,Kcnip1,,
Acvrl1,Rarb,,
Acvrl1,Rundc1,,
Acvrl1,Rxrg,,
Acvrl1,Scube3,,
Acvrl1,Slc35d3,,
Acvrl1,Spock3,,
Acvrl1,Strn,,
Acvrl1,Tlnrd1,,
Acvrl1,Vti1b,,
Adcy2,Adora2a,,
Adcy2,Agbl5,,
Adcy2,Fkbp1b,,
Adcy2,Gabra4,,
Adcy2,Galnt13,,
Adcy2,Gfra2,,
Adcy2,Gpr88,,
Adcy2,Hspa1a,,
Adcy2,Id4,,
Adcy2,Ly6e,,
Adcy2,Osbpl8,,
Adcy2,Rxrg,,
Adcy2,Sez6l,,
Adcy2,Spock3,,
Adcy2,St8sia5,,
Adcy2,Strn,,
Adcy2,Tmx3,,
Adcy2,Utrn,,
Adcy5,Adora2a,,
Adcy5,Atxn10,,
Adcy5,Basp1,,
Adcy5,C2cd2l,,
Adcy5,Cacna2d3,,
Adcy5,Cacng4,,
Adcy5,Ccdc177,,
Adcy5,Cisd3,,
Adcy5,Cmas,,
Adcy5,Dnajc5,,
