Name,Tissue,"BiBC, Feces-Cortex, via Plasma"
Mrps5,Choroid Plexus,295.3
Shc1,Choroid Plexus,2923.4
Cope,Choroid Plexus,4.6
Slc44a1,Choroid Plexus,0.9
Tmem62,Choroid Plexus,929.2
Ndfip1,Choroid Plexus,40.6
Nedd4,Choroid Plexus,1683.4
Mob4,Choroid Plexus,
Rab11fip5,Choroid Plexus,0.1
Thyn1,Choroid Plexus,81.2
Mtor,Choroid Plexus,0.2
Trappc14,Choroid Plexus,1083.8
Map9,Choroid Plexus,24.6
Agrn,Choroid Plexus,1562.9
Exph5,Choroid Plexus,1234.6
Dap3,Choroid Plexus,374.7
Morn4,Choroid Plexus,0.0
Dnajc21,Choroid Plexus,346.8
Wbp11,Choroid Plexus,2577.3
Ptges3,Choroid Plexus,143.8
Fcf1,Choroid Plexus,553.2
Plgrkt,Choroid Plexus,38.0
Ttf1,Choroid Plexus,1156.3
Ankmy2,Choroid Plexus,
Usf3,Choroid Plexus,1553.2
Arid2,Choroid Plexus,295.0
Zkscan8,Choroid Plexus,462.5
Chmp4c,Choroid Plexus,305.1
Zfp975,Choroid Plexus,585.0
Bhmt2,Choroid Plexus,542.6
Silc1,Choroid Plexus,0.0
Fn3krp,Choroid Plexus,3824.5
Cog8,Choroid Plexus,641.4
Inpp5a,Choroid Plexus,4.5
Serbp1,Choroid Plexus,316.8
Fsbp,Choroid Plexus,0.0
H2az2,Choroid Plexus,0.0
Poglut1,Choroid Plexus,
Pkn2,Choroid Plexus,1156.8
Wdr38,Choroid Plexus,
4930412C18Rik,Choroid Plexus,61.5
Las1l,Choroid Plexus,
Pak2,Choroid Plexus,1688.7
Hmces,Choroid Plexus,2644.2
Slc25a13,Choroid Plexus,48.7
Dhx29,Choroid Plexus,398.6
Rpn2,Choroid Plexus,2394.8
Gm43339,Choroid Plexus,3352.4
Cebpz,Choroid Plexus,17.4
St6galnac4,Choroid Plexus,22.6
Irf3,Choroid Plexus,0.0
Prkaca,Choroid Plexus,320.7
Xpc,Choroid Plexus,2.6
Scyl1,Choroid Plexus,93.7
Zfp219,Choroid Plexus,13.7
Ankrd34a,Choroid Plexus,
Ccnd1,Choroid Plexus,521.6
Hmga1,Choroid Plexus,768.1
Ankrd12,Choroid Plexus,729.1
Ipo4,Choroid Plexus,0.0
Ddit4,Choroid Plexus,0.0
Mterf4,Choroid Plexus,8.9
Rai14,Choroid Plexus,0.0
Tpgs1,Choroid Plexus,
Cdr2l,Choroid Plexus,
Cep128,Choroid Plexus,
Gm38037,Choroid Plexus,
Thra,Choroid Plexus,775.6
Hdac9,Choroid Plexus,
Zswim5,Choroid Plexus,
Mfsd2a,Choroid Plexus,296.4
Gm42463,Choroid Plexus,299.4
Gm15408,Choroid Plexus,99.1
Ilkap,Choroid Plexus,
Galnt15,Choroid Plexus,0.0
Kin,Choroid Plexus,1203.6
Smyd2,Choroid Plexus,16.1
Por,Choroid Plexus,16.6
Tmem87a,Choroid Plexus,0.0
Atf6b,Choroid Plexus,937.0
Rpl18a,Choroid Plexus,0.0
Tet1,Choroid Plexus,320.5
Eid2b,Choroid Plexus,0.0
Iqcc,Choroid Plexus,0.0
Arhgef7,Choroid Plexus,14.7
Pcgf5,Choroid Plexus,328.4
Grpel1,Choroid Plexus,305.7
Cspg5,Choroid Plexus,0.0
Klc1,Choroid Plexus,2143.0
Msh2,Choroid Plexus,352.1
Kcnk5,Choroid Plexus,0.0
Psmd8,Choroid Plexus,117.9
Repin1,Choroid Plexus,3.4
Cdkl3,Choroid Plexus,
Fastk,Choroid Plexus,0.0
Tubgcp2,Choroid Plexus,0.2
mt-Cytb,Choroid Plexus,0.0
Adcy9,Choroid Plexus,707.3
1110004F10Rik,Choroid Plexus,159.4
Ibtk,Choroid Plexus,5380.5
Fam13b,Choroid Plexus,76.9
Ctdspl2,Choroid Plexus,29.8
Pknox2,Choroid Plexus,0.0
Btbd2,Choroid Plexus,295.7
Bclaf1,Choroid Plexus,36.6
Gin1,Choroid Plexus,0.0
Ess2,Choroid Plexus,97.0
Syt17,Choroid Plexus,362.2
Ppp1r12a,Choroid Plexus,663.3
Dctn2,Choroid Plexus,630.3
Ppp1r1b,Choroid Plexus,989.8
Ncaph2,Choroid Plexus,627.6
Gpank1,Choroid Plexus,
Prcc,Choroid Plexus,
Gsta3,Choroid Plexus,89.9
Pdlim5,Choroid Plexus,569.9
Pycr2,Choroid Plexus,1034.8
Phf1,Choroid Plexus,0.0
Gm12346,Choroid Plexus,733.7
Mrpl17,Choroid Plexus,27.4
Cast,Choroid Plexus,185.1
Lpgat1,Choroid Plexus,540.5
Lrguk,Choroid Plexus,
Emd,Choroid Plexus,340.0
Birc2,Choroid Plexus,18.3
Eipr1,Choroid Plexus,0.4
Slc25a26,Choroid Plexus,0.0
Usp9x,Choroid Plexus,241.7
Nfe2l2,Choroid Plexus,200.8
Baiap2l1,Choroid Plexus,318.9
Zfp879,Choroid Plexus,7.0
Flcn,Choroid Plexus,135.0
Abtb2,Choroid Plexus,
Map3k8,Choroid Plexus,
Scg5,Choroid Plexus,28.1
Niban1,Choroid Plexus,134.5
Sptan1,Choroid Plexus,473.1
Psma4,Choroid Plexus,434.2
Pigyl,Choroid Plexus,25.9
Cpxm2,Choroid Plexus,
Cox18,Choroid Plexus,0.0
Pabpc1,Choroid Plexus,214.0
Selenon,Choroid Plexus,0.0
Dnajc7,Choroid Plexus,264.4
Micall2,Choroid Plexus,295.0
Smpdl3b,Choroid Plexus,0.0
Kif2a,Choroid Plexus,805.8
Lmtk3,Choroid Plexus,647.4
Spmip6,Choroid Plexus,
Ccn4,Choroid Plexus,
Pura,Choroid Plexus,3.3
Gm15675,Choroid Plexus,783.6
Mfsd3,Choroid Plexus,0.0
Ro60,Choroid Plexus,64.6
Cyyr1,Choroid Plexus,1860.9
Arhgef12,Choroid Plexus,1253.1
Slc17a5,Choroid Plexus,40.6
UNKNOWN,Choroid Plexus,722.1
Telo2,Choroid Plexus,21.5
Copg1,Choroid Plexus,569.6
Arf2,Choroid Plexus,295.0
Slc29a4,Choroid Plexus,296.1
Dynlt2b,Choroid Plexus,1075.3
Fhl1,Choroid Plexus,0.3
Ppp5c,Choroid Plexus,295.0
Zcchc17,Choroid Plexus,
Arhgap5,Choroid Plexus,3780.1
Cmtm8,Choroid Plexus,492.7
Foxk2,Choroid Plexus,0.0
Slk,Choroid Plexus,1310.5
Tmem259,Choroid Plexus,3243.8
Lepr,Choroid Plexus,21.1
Acox1,Choroid Plexus,0.0
Mcfd2,Choroid Plexus,0.9
Zbtb37,Choroid Plexus,65.5
Smarca2,Choroid Plexus,133.2
Zfp638,Choroid Plexus,1264.6
Ccdc18,Choroid Plexus,132.5
Slc16a7,Choroid Plexus,0.0
Fam167b,Choroid Plexus,
Zfp513,Choroid Plexus,
Cracr2b,Choroid Plexus,162.7
Mrpl28,Choroid Plexus,35.1
Ndufs3,Choroid Plexus,104.8
Nt5m,Choroid Plexus,82.4
Pawr,Choroid Plexus,608.4
Rnf187,Choroid Plexus,2.5
Osbp,Choroid Plexus,3379.3
Pradc1,Choroid Plexus,
Dek,Choroid Plexus,27.7
Gpr19,Choroid Plexus,236.9
Pmm2,Choroid Plexus,13.1
Pold1,Choroid Plexus,0.0
Tomm34,Choroid Plexus,0.0
S100a8,Choroid Plexus,0.7
Mtap,Choroid Plexus,1140.4
Stat3,Choroid Plexus,5.8
Cep95,Choroid Plexus,67.1
Ncoa5,Choroid Plexus,0.0
Ddb1,Choroid Plexus,485.4
Agbl3,Choroid Plexus,336.2
Krt23,Choroid Plexus,
Nek8,Choroid Plexus,178.2
mt-Nd2,Choroid Plexus,304.1
Tax1bp3,Choroid Plexus,295.6
Lrrc17,Choroid Plexus,1621.2
Dync2li1,Choroid Plexus,371.4
Ccdc59,Choroid Plexus,31.3
Gas6,Choroid Plexus,614.9
Amfr,Choroid Plexus,464.9
Pdap1,Choroid Plexus,3907.5
Fchsd2,Choroid Plexus,0.4
Jmjd4,Choroid Plexus,720.1
Rock1,Choroid Plexus,540.4
Suz12,Choroid Plexus,246.6
Topbp1,Choroid Plexus,148.0
Klf3,Choroid Plexus,24.4
Cbarp,Choroid Plexus,0.0
Tmem204,Choroid Plexus,892.6
Ubl3,Choroid Plexus,2370.8
Utp4,Choroid Plexus,3.0
Cep41,Choroid Plexus,959.9
Gdpd3,Choroid Plexus,0.0
Emc10,Choroid Plexus,45.9
Zbtb7a,Choroid Plexus,544.3
Nup214,Choroid Plexus,0.0
Maco1,Choroid Plexus,3.4
Rplp1,Choroid Plexus,64.4
Eea1,Choroid Plexus,58.1
Cdh4,Choroid Plexus,
Actr3,Choroid Plexus,0.7
Acacb,Choroid Plexus,241.1
Snrnp48,Choroid Plexus,227.9
Wdr74,Choroid Plexus,
Zfp358,Choroid Plexus,25.1
Btg1,Choroid Plexus,278.9
Rora,Choroid Plexus,3365.4
Igfbp2,Choroid Plexus,1041.1
Uros,Choroid Plexus,24.6
Smc6,Choroid Plexus,88.2
Zfp78,Choroid Plexus,0.0
Ripply3,Choroid Plexus,0.0
Ylpm1,Choroid Plexus,231.7
Srebf2,Choroid Plexus,188.7
Slc11a2,Choroid Plexus,
Pdss1,Choroid Plexus,509.9
Stk33,Choroid Plexus,44.9
Ccdc148,Choroid Plexus,4.7
Slc2a2,Choroid Plexus,1.7
Grcc10,Choroid Plexus,
Fndc3a,Choroid Plexus,53.5
Sppl3,Choroid Plexus,2827.6
4930556M19Rik,Choroid Plexus,2478.6
Cdkn1c,Choroid Plexus,463.8
Gm20052,Choroid Plexus,14.3
Prpf6,Choroid Plexus,0.2
Gm43568,Choroid Plexus,
BC065397,Choroid Plexus,655.3
Brd2,Choroid Plexus,0.0
Tgfb1i1,Choroid Plexus,0.0
4930579K19Rik,Choroid Plexus,
Cd47,Choroid Plexus,28.9
Nfkbia,Choroid Plexus,
Zfp646,Choroid Plexus,0.0
Nicol1,Choroid Plexus,304.3
Rbm27,Choroid Plexus,21.4
Ruvbl1,Choroid Plexus,0.0
Pdlim1,Choroid Plexus,182.9
Gm6548,Choroid Plexus,0.0
Plscr2,Choroid Plexus,40.3
Sesn3,Choroid Plexus,5.1
Mrps18a,Choroid Plexus,271.4
Adam15,Choroid Plexus,718.2
Ints10,Choroid Plexus,0.0
4930550C14Rik,Choroid Plexus,
0610040J01Rik,Choroid Plexus,2.5
Ctsc,Choroid Plexus,63.5
Krcc1,Choroid Plexus,9.5
Rbm20,Choroid Plexus,
Rufy3,Choroid Plexus,
Scp2-ps2,Choroid Plexus,407.7
Hkdc1,Choroid Plexus,
Ap1g2,Choroid Plexus,
Wapl,Choroid Plexus,1455.8
Aldh9a1,Choroid Plexus,18.9
Gm37219,Choroid Plexus,0.0
Casp8,Choroid Plexus,0.0
Sec62,Choroid Plexus,12.7
Smim15,Choroid Plexus,258.3
Gpatch2l,Choroid Plexus,
Aox3,Choroid Plexus,43.9
Eif3h,Choroid Plexus,461.5
Akt3,Choroid Plexus,
Mrps24,Choroid Plexus,0.0
Mx2,Choroid Plexus,0.0
Gm37204,Choroid Plexus,189.0
Ifih1,Choroid Plexus,0.0
Nfyb,Choroid Plexus,344.2
Prxl2c,Choroid Plexus,42.2
Parp3,Choroid Plexus,
Gm14798,Choroid Plexus,
Smim10l1,Choroid Plexus,15.4
Apc2,Choroid Plexus,909.1
Heatr3,Choroid Plexus,12.5
Adck2,Choroid Plexus,597.1
Rtkn,Choroid Plexus,393.8
Gpaa1,Choroid Plexus,62.5
4921504A21Rik,Choroid Plexus,43.8
Wrn,Choroid Plexus,9.9
Gpr4,Choroid Plexus,155.6
Npepps,Choroid Plexus,205.4
Eef1a1,Choroid Plexus,434.8
Rmnd5b,Choroid Plexus,69.7
Gpr65,Choroid Plexus,0.0
Pqbp1,Choroid Plexus,5.3
Capn15,Choroid Plexus,0.0
Zfp322a,Choroid Plexus,1838.7
Mfge8,Choroid Plexus,455.3
Slc6a13,Choroid Plexus,
Ikbke,Choroid Plexus,
Hk1,Choroid Plexus,1104.7
Erc2,Choroid Plexus,
Plcb4,Choroid Plexus,337.9
Drc3,Choroid Plexus,590.0
Limch1,Choroid Plexus,450.2
Dynlt1f,Choroid Plexus,0.0
Col5a3,Choroid Plexus,739.6
1700018L02Rik,Choroid Plexus,1098.8
Mtmr2,Choroid Plexus,0.0
Ap2b1,Choroid Plexus,21.3
C130089K02Rik,Choroid Plexus,0.0
Atp5mg,Choroid Plexus,932.2
Ptger1,Choroid Plexus,
Cables2,Choroid Plexus,295.0
Usp33,Choroid Plexus,318.1
Tceanc,Choroid Plexus,552.7
Plekhn1,Choroid Plexus,889.5
Nol8,Choroid Plexus,62.9
Ap3b1,Choroid Plexus,508.5
Pheta1,Choroid Plexus,0.0
Pdcd4,Choroid Plexus,493.8
Adprh,Choroid Plexus,730.1
Dipk1a,Choroid Plexus,0.0
Wasl,Choroid Plexus,461.5
Ada,Choroid Plexus,166.2
Gsk3b,Choroid Plexus,62.0
Gm9920,Choroid Plexus,295.0
Sp4,Choroid Plexus,1.6
Ano8,Choroid Plexus,0.8
Gstm6,Choroid Plexus,0.3
Dok1,Choroid Plexus,0.8
Net1,Choroid Plexus,66.4
1700125H03Rik,Choroid Plexus,1.1
D630036H23Rik,Choroid Plexus,703.0
Rwdd3,Choroid Plexus,0.0
Stk26,Choroid Plexus,129.4
Pomgnt1,Choroid Plexus,1071.5
Sc5d,Choroid Plexus,
Ergic2,Choroid Plexus,595.6
Rhob,Choroid Plexus,14.2
Dbpht2,Choroid Plexus,0.0
5730455P16Rik,Choroid Plexus,12.2
Neto1,Choroid Plexus,
Tkt,Choroid Plexus,801.9
Kras,Choroid Plexus,258.9
Hook2,Choroid Plexus,123.0
Bhlhe41,Choroid Plexus,1558.2
Zhx1,Choroid Plexus,84.6
Hsdl2,Choroid Plexus,321.7
Psmd3,Choroid Plexus,508.2
Zfp346,Choroid Plexus,
Recql5,Choroid Plexus,0.0
Kif21b,Choroid Plexus,5.1
Magix,Choroid Plexus,0.1
Opa1,Choroid Plexus,921.5
Adamtsl1,Choroid Plexus,0.2
Gprc5c,Choroid Plexus,87.0
Aqp11,Choroid Plexus,386.4
Tbck,Choroid Plexus,0.0
Psip1,Choroid Plexus,204.8
Zfp36l2,Choroid Plexus,1555.3
Slc27a1,Choroid Plexus,
Iqgap2,Choroid Plexus,167.5
Gnas,Choroid Plexus,760.4
Ccdc33,Choroid Plexus,15.7
Eif3g,Choroid Plexus,13.1
Dcp2,Choroid Plexus,0.0
Lrrc8a,Choroid Plexus,409.3
Sntb2,Choroid Plexus,194.9
Armcx2,Choroid Plexus,1.4
Pla2g3,Choroid Plexus,509.9
Cul7,Choroid Plexus,0.0
Alkbh6,Choroid Plexus,34.3
Art4,Choroid Plexus,0.1
Gm25517,Choroid Plexus,297.3
Pebp4,Choroid Plexus,25.4
Mtpn,Choroid Plexus,119.4
Gm43360,Choroid Plexus,0.0
Sema3g,Choroid Plexus,0.0
Gm43513,Choroid Plexus,146.9
Cdc14a,Choroid Plexus,22.8
Hspa1b,Choroid Plexus,0.0
Shb,Choroid Plexus,2.7
Bcat1,Choroid Plexus,695.0
Afg3l1,Choroid Plexus,1161.3
Casz1,Choroid Plexus,
Cmc4,Choroid Plexus,0.0
4632415L05Rik,Choroid Plexus,307.3
Tada1,Choroid Plexus,408.1
Tmem229b,Choroid Plexus,3414.1
Dusp28,Choroid Plexus,0.0
Zfp760,Choroid Plexus,204.3
Samd14,Choroid Plexus,219.7
Mrps34,Choroid Plexus,
Gpsm3,Choroid Plexus,0.0
Ptrh1,Choroid Plexus,0.0
Ccdc88a,Choroid Plexus,34.4
Lurap1,Choroid Plexus,0.0
Ddx23,Choroid Plexus,
Olfm2,Choroid Plexus,0.0
Pi4ka,Choroid Plexus,126.2
Zfp768,Choroid Plexus,209.1
Spen,Choroid Plexus,
Gm11767,Choroid Plexus,
Dusp1,Choroid Plexus,0.0
Suclg2,Choroid Plexus,600.5
Adamts15,Choroid Plexus,0.0
Irak1bp1,Choroid Plexus,1470.8
Arid4a,Choroid Plexus,448.2
Guk1,Choroid Plexus,40.7
Asb8,Choroid Plexus,35.0
Arhgap15,Choroid Plexus,65.0
Ino80c,Choroid Plexus,0.0
Slc25a16,Choroid Plexus,18.9
Preb,Choroid Plexus,0.0
Rpl37,Choroid Plexus,131.2
Top1,Choroid Plexus,28.5
Exoc1,Choroid Plexus,166.4
Eeig1,Choroid Plexus,0.0
Pbx1,Choroid Plexus,900.4
Dstn,Choroid Plexus,129.4
Ildr2,Choroid Plexus,1304.7
4930444P10Rik,Choroid Plexus,0.0
Npas3,Choroid Plexus,3.2
Atp6v1f,Choroid Plexus,270.2
H1f10,Choroid Plexus,0.0
Kpna4,Choroid Plexus,4.7
Cldn22,Choroid Plexus,445.3
Ube2m,Choroid Plexus,119.9
Ints11,Choroid Plexus,0.0
Asb16,Choroid Plexus,
Retreg3,Choroid Plexus,0.0
Rdx,Choroid Plexus,20.7
Atp5me,Choroid Plexus,10.2
Hcn3,Choroid Plexus,28.6
Tatdn2,Choroid Plexus,3551.5
Cltb,Choroid Plexus,53.2
Itch,Choroid Plexus,970.8
Golm2,Choroid Plexus,24.9
Csnk1a1,Choroid Plexus,1623.7
Ppp4c,Choroid Plexus,1548.0
Bnip1,Choroid Plexus,916.3
Emc3,Choroid Plexus,989.0
Dbndd1,Choroid Plexus,0.9
Cerox1,Choroid Plexus,83.7
Capn2,Choroid Plexus,0.0
Tmem161b,Choroid Plexus,329.9
Zfp383,Choroid Plexus,243.7
Tulp4,Choroid Plexus,2031.1
Dync2i2,Choroid Plexus,
Gm2445,Choroid Plexus,295.0
Dennd2c,Choroid Plexus,0.0
Gm15083,Choroid Plexus,0.0
Sncg,Choroid Plexus,0.0
Synm,Choroid Plexus,9.7
Mospd3,Choroid Plexus,0.2
Tpr,Choroid Plexus,429.0
Dock10,Choroid Plexus,0.0
Gm42636,Choroid Plexus,295.1
Wbp4,Choroid Plexus,12371.7
Ripk2,Choroid Plexus,
Gm5141,Choroid Plexus,71.6
Ptges2,Choroid Plexus,565.1
Tspan9,Choroid Plexus,209.1
Fhod3,Choroid Plexus,6.6
Vps13b,Choroid Plexus,292.4
Ikzf5,Choroid Plexus,217.3
Snora35,Choroid Plexus,98.0
Kcmf1,Choroid Plexus,0.0
Adrb3,Choroid Plexus,6.1
Secisbp2l,Choroid Plexus,635.6
Mpi,Choroid Plexus,0.0
Setx,Choroid Plexus,101.6
Nop16,Choroid Plexus,
Tgfbr1,Choroid Plexus,
Cfap46,Choroid Plexus,112.2
E2f2,Choroid Plexus,
Rab1b,Choroid Plexus,
Acot6,Choroid Plexus,0.4
Rab5a,Choroid Plexus,0.0
Men1,Choroid Plexus,419.8
Dpysl4,Choroid Plexus,0.0
Papss1,Choroid Plexus,349.3
Ahcyl2,Choroid Plexus,246.2
Txnrd2,Choroid Plexus,13.7
Tnfrsf1b,Choroid Plexus,245.2
Nkapd1,Choroid Plexus,112.0
5430402O13Rik,Choroid Plexus,
Josd1,Choroid Plexus,61.8
Evi5,Choroid Plexus,439.4
Chi3l1,Choroid Plexus,408.6
Map3k20,Choroid Plexus,
Jph1,Choroid Plexus,36.2
Col9a2,Choroid Plexus,
Col8a1,Choroid Plexus,629.7
Aldh1l1,Choroid Plexus,
Uqcc5,Choroid Plexus,61.9
Cct4,Choroid Plexus,0.0
Frg1,Choroid Plexus,784.5
Tmem80,Choroid Plexus,1129.4
Rlbp1,Choroid Plexus,498.9
Meaf6,Choroid Plexus,0.0
Clpp,Choroid Plexus,59.4
Myof,Choroid Plexus,1.6
Ctr9,Choroid Plexus,283.0
Lrrc8c,Choroid Plexus,0.0
Sh3bgrl,Choroid Plexus,4003.0
Alx3,Choroid Plexus,
Ifi30,Choroid Plexus,
Cep57,Choroid Plexus,703.4
Arhgef37,Choroid Plexus,
Zfp654,Choroid Plexus,74.1
Imp3,Choroid Plexus,369.7
Hmgb2,Choroid Plexus,
Bcl7a,Choroid Plexus,1857.5
Ndufa8,Choroid Plexus,1084.8
Reep2,Choroid Plexus,0.0
G2e3,Choroid Plexus,8.3
Nipbl,Choroid Plexus,250.2
Brd4,Choroid Plexus,8.2
Phf3,Choroid Plexus,679.6
Nsmf,Choroid Plexus,15.4
Wdr6,Choroid Plexus,0.0
Ramac,Choroid Plexus,1.3
5330425B07Rik,Choroid Plexus,
Camsap2,Choroid Plexus,0.2
Clec14a,Choroid Plexus,771.2
Rec8,Choroid Plexus,0.0
Faap24,Choroid Plexus,739.6
Slc22a17,Choroid Plexus,3763.5
Serp2,Choroid Plexus,0.5
Ola1,Choroid Plexus,9.0
Enpp5,Choroid Plexus,9.4
Cxxc4,Choroid Plexus,0.1
A930024E05Rik,Choroid Plexus,0.0
Tmem167,Choroid Plexus,22.1
Zfp27,Choroid Plexus,467.8
Mtf1,Choroid Plexus,2.6
Rassf4,Choroid Plexus,0.0
Strada,Choroid Plexus,0.0
Fgfr1op2,Choroid Plexus,204.5
Hip1,Choroid Plexus,344.5
Irak3,Choroid Plexus,2145.1
Nsg2,Choroid Plexus,255.0
Dlgap4,Choroid Plexus,210.9
Ofd1,Choroid Plexus,163.5
Fhad1,Choroid Plexus,256.3
Mkrn3,Choroid Plexus,
Tomm22,Choroid Plexus,0.0
Pctp,Choroid Plexus,
Fundc2,Choroid Plexus,
Zic2,Choroid Plexus,0.0
Vasp,Choroid Plexus,
Efhb,Choroid Plexus,295.4
Chd5,Choroid Plexus,
Etohd2,Choroid Plexus,0.0
Gpr162,Choroid Plexus,1493.2
Baz1b,Choroid Plexus,6.8
Luzp1,Choroid Plexus,213.5
Smc4,Choroid Plexus,157.3
Vangl1,Choroid Plexus,0.7
Tnfsf13os,Choroid Plexus,592.1
Icam4,Choroid Plexus,0.0
Zfp217,Choroid Plexus,2.0
Fzr1,Choroid Plexus,46.2
Cebpd,Choroid Plexus,52.7
9530026P05Rik,Choroid Plexus,388.8
Ifi209,Choroid Plexus,0.0
Rab5c,Choroid Plexus,445.9
Zmat5,Choroid Plexus,0.0
Klhl18,Choroid Plexus,0.0
2810021J22Rik,Choroid Plexus,1192.2
2810408A11Rik,Choroid Plexus,
Rnasel,Choroid Plexus,761.6
Ash1l,Choroid Plexus,230.3
Sh3bgrl2,Choroid Plexus,869.5
Psmg3,Choroid Plexus,1329.1
Meis2,Choroid Plexus,
Glod4,Choroid Plexus,866.3
Slc35a3,Choroid Plexus,0.1
A430108G06Rik,Choroid Plexus,0.2
Ide,Choroid Plexus,278.2
Zbtb11os1,Choroid Plexus,2.4
2410124H12Rik,Choroid Plexus,596.4
Gm17530,Choroid Plexus,0.0
Perm1,Choroid Plexus,21.0
Bcl2l12,Choroid Plexus,295.0
Pcmtd1,Choroid Plexus,1848.6
Bvht,Choroid Plexus,0.1
Mafg,Choroid Plexus,3226.8
Ralgapa2,Choroid Plexus,1132.8
Tep1,Choroid Plexus,
Ube2v2,Choroid Plexus,
Dhx36,Choroid Plexus,1099.2
Dpp10,Choroid Plexus,0.0
Kif22,Choroid Plexus,0.0
1700007L15Rik,Choroid Plexus,0.0
St8sia2,Choroid Plexus,
Aasdhppt,Choroid Plexus,38.7
Kat8,Choroid Plexus,
Ilvbl,Choroid Plexus,1111.4
Trpc4ap,Choroid Plexus,109.9
Lrp6,Choroid Plexus,10.2
Entpd6,Choroid Plexus,
Mtrex,Choroid Plexus,4376.9
Qser1,Choroid Plexus,534.0
Dnajc13,Choroid Plexus,166.8
Parvg,Choroid Plexus,
B230219D22Rik,Choroid Plexus,800.8
