node,BiBC
Mrps5,0.0
Josd1,0.0
Shc1,0.0
Trappc14,0.0
Agrn,0.0
Zfp638,0.0
Irak1bp1,0.0
Ube2m,0.0
Wbp4,0.0
Evi5,0.0
Pcmtd1,0.0
Cnih2,0.0
Tppp3,0.0
Vps36,0.0
Cope,0.0
Nt5m,0.0
Id1,0.0
Slc44a1,0.0
Mcfd2,0.0
Gnas,0.0
G2e3,0.0
Tmem62,0.0
Irf3,0.0
Ndfip1,0.0
Pkn2,0.0
Ankrd12,0.0
Bclaf1,0.0
Acox1,0.0
Smarca2,0.0
Dek,0.0
mt-Nd2,0.0
Ccdc59,0.0
Rock1,0.0
Eea1,0.0
Snrnp48,0.0
Ylpm1,0.0
Krcc1,0.0
Wasl,0.0
Ergic2,0.0
Hsdl2,0.0
Psip1,0.0
Sntb2,0.0
Ccdc88a,0.0
Arid4a,0.0
Rdx,0.0
Tmem161b,0.0
Tpr,0.0
Frg1,0.0
Clpp,0.0
Fhad1,0.0
Baz1b,0.0
Luzp1,0.0
B230219D22Rik,0.0
Rad50,0.0
Rif1,0.0
Zfp1007,0.0
Kif21a,0.0
Phactr2,0.0
Gtpbp4,0.0
Slain2,0.0
Nedd4,0.0
Wbp11,0.0
Gm15408,0.0
Atf6b,0.0
Osbp,0.0
Cep41,0.0
Cd47,0.0
Aox3,0.0
Eef1a1,0.0
Mfge8,0.0
Psmd3,0.0
Rpl37,0.0
Emc3,0.0
Tulp4,0.0
Gm5141,0.0
Setx,0.0
Ahcyl2,0.0
Ndufa8,0.0
Hip1,0.0
Mafg,0.0
Dcaf12l1,0.0
Dlg4,0.0
Sytl2,0.0
Tm9sf3,0.0
Dync1h1,0.0
Rab11fip5,0.0
Cebpz,0.0
Btbd2,0.0
Pawr,0.0
Thyn1,0.0
Usp9x,0.0
Pabpc1,0.0
Kif2a,0.0
Lepr,0.0
Pdap1,0.0
Smc6,0.0
Mrps18a,0.0
Zhx1,0.0
Pi4ka,0.0
Pbx1,0.0
Nkapd1,0.0
Nipbl,0.0
Phf3,0.0
Enpp5,0.0
Ash1l,0.0
Qser1,0.0
Hlf,0.0
Mtor,0.0
Cast,0.0
Camsap2,0.0
Dnajc21,0.0
Dhx29,0.0
Csnk1a1,0.0
Sh3bgrl,0.0
Slc22a17,0.0
Pja2,0.0
Ehd1,0.0
Map9,0.0
Serbp1,0.0
Pura,0.0
Slk,0.0
Zbtb7a,0.0
Sppl3,0.0
Cdkn1c,0.0
Rbm27,0.0
Ap2b1,0.0
Iqgap2,0.0
Eif3g,0.0
Top1,0.0
Golm2,0.0
Vps13b,0.0
Cct4,0.0
Fgfr1op2,0.0
Efhb,0.0
Lrp6,0.0
Upf2,0.0
Fgl2,0.0
Cep290,0.0
Ccdc186,0.0
Sptan1,0.0
Exph5,0.0
Tet1,0.0
Errfi1,0.0
Mia2,0.0
Dap3,0.0
Bcl7a,0.0
Morn4,0.0
Nicol1,0.0
Ibtk,0.0
Psma4,0.0
Arhgef12,0.0
Arhgap5,0.0
Slc2a2,0.0
Wapl,0.0
Limch1,0.0
Lrrc8a,0.0
Tspan9,0.0
Snora35,0.0
Rab5a,0.0
Smc4,0.0
Smarca5,0.0
Scyl1,0.0
Lpgat1,0.0
Dnajc7,0.0
Tmem259,0.0
Rplp1,0.0
Adam15,0.0
Eif3h,0.0
Hk1,0.0
Ap3b1,0.0
Tkt,0.0
Tada1,0.0
Guk1,0.0
Atp6v1f,0.0
Gpr162,0.0
Rab5c,0.0
Ilvbl,0.0
Ptk2b,0.0
Ubc,0.0
Tmem184c,0.0
Rad54l2,0.0
Pfn1,0.0
Fcho2,0.0
Mef2a,0.0
Fcf1,0.0
Lrrc17,0.0
Ctr9,0.0
Mtrex,0.0
Src,0.0
Plgrkt,0.0
St6galnac4,0.0
Ttf1,0.0
Fndc3a,0.0
Shb,0.0
Ildr2,0.0
Arrdc4,0.0
Fer,0.0
Usf3,0.0
Pak2,0.0
1110004F10Rik,0.0
Ro60,0.0
4930556M19Rik,0.0
Smim15,0.0
Npepps,0.0
Pten,0.0
Tagln2,0.0
Sufu,0.0
Arid2,0.0
Tatdn2,0.0
Zkscan8,0.0
Zfp879,0.0
Chmp4c,0.0
Zfp383,0.0
Zfp975,0.0
Ppp1r12a,0.0
Ubl3,0.0
Kras,0.0
Papss1,0.0
Bhmt2,0.0
Gas6,0.0
Amfr,0.0
Prxl2c,0.0
Tceanc,0.0
Erbin,0.0
Fn3krp,0.0
Pqbp1,0.0
Cog8,0.0
Aqp11,0.0
Samd14,0.0
Dhx36,0.0
Inpp5a,0.0
Pebp4,0.0
Fsbp,0.0
Sox13,0.0
Slc25a13,0.0
Rpn2,0.0
Fam13b,0.0
UNKNOWN,0.0
Cep95,0.0
Plcb4,0.0
Nol8,0.0
Dstn,0.0
Itch,0.0
Zic2,0.0
Fxr1,0.0
Gxylt1,0.0
Mansc4,0.0
Setbp1,0.0
Kpna3,0.0
Ube2q2,0.0
Shoc2,0.0
4930412C18Rik,0.0
Mrpl28,0.0
Hmces,0.0
Kin,0.0
Gm38380,0.0
Xpc,0.0
Nfyb,0.0
Net1,0.0
Cep57,0.0
Cfap46,0.0
Tmem167,0.0
Rora,0.0
Smim10l1,0.0
4921504A21Rik,0.0
Gsk3b,0.0
Cltb,0.0
Gm43339,0.0
Suz12,0.0
Ctdspl2,0.0
Ccdc18,0.0
Brd4,0.0
Camk1d,0.0
Ccar1,0.0
Prkaca,0.0
Bhlhe41,0.0
Zfp358,0.0
Arl2bp,0.0
Acbd4,0.0
Cyyr1,0.0
Tmem203,0.0
Msh2,0.0
Pdlim5,0.0
Pycr2,0.0
Scg5,0.0
Ddb1,0.0
Igfbp2,0.0
Opa1,0.0
Zfp219,0.0
Crygn,0.0
Ccnd1,0.0
Thra,0.0
Zfp768,0.0
Ramac,0.0
Ganab,0.0
Wrn,0.0
Mpp7,0.0
Ddit4,0.0
Dusp1,0.0
Mterf4,0.0
Clec14a,0.0
Aasdhppt,0.0
Mfsd2a,0.0
Agbl3,0.0
Mtf1,0.0
Dlgap4,0.0
Ilkap,0.0
Krt23,0.0
Rnasel,0.0
Smyd2,0.0
Emc10,0.0
Dcxr,0.0
Tmem87a,0.0
Mospd3,0.0
Nek8,0.0
Acacb,0.0
Gpaa1,0.0
Gprc5c,0.0
Rpp30,0.0
Rpl18a,0.0
Arf2,0.0
Eid2b,0.0
Art4,0.0
Iqcc,0.0
Nup214,0.0
Pcgf5,0.0
Grpel1,0.0
Gm15675,0.0
Afg3l1,0.0
Ube3c,0.0
Dynll1,0.0
Igfbp6,0.0
Cspg5,0.0
Cbarp,0.0
Klc1,0.0
Ap3s2,0.0
Aldh9a1,0.0
Heatr3,0.0
Zfp36l2,0.0
Kcnk5,0.0
Dock10,0.0
Psmd8,0.0
Atp5me,0.0
Repin1,0.0
mt-Cytb,0.0
Prpf6,0.0
Ints11,0.0
Adcy9,0.0
Map3k5,0.0
Sin3a,0.0
Stag2,0.0
Klf3,0.0
Slc17a5,0.0
Pknox2,0.0
Klhl18,0.0
Mrps24,0.0
Synm,0.0
Gin1,0.0
Dbndd1,0.0
Syt17,0.0
Cracr2b,0.0
Dctn2,0.0
Scp2-ps2,0.0
Rhob,0.0
Fzr1,0.0
Ide,0.0
Ppp1r1b,0.0
Ppp5c,0.0
Ncaph2,0.0
Gsta3,0.0
Trpc4ap,0.0
4632415L05Rik,0.0
Imp3,0.0
Npat,0.0
Spata13,0.0
Mrpl17,0.0
Dynlt2b,0.0
Adck2,0.0
Ric3,0.0
Phf1,0.0
Gm12346,0.0
Suclg2,0.0
Gmppa,0.0
Jph1,0.0
Iba57,0.0
Nfe2l2,0.0
5730455P16Rik,0.0
Stxbp4,0.0
Emd,0.0
