node,BiBC
3-Hydroxypicolinic acid-F,0.0
trans-Coniferryl alchool-F,817.8680021611829
Butyl caprylate-F,660.8700438883718
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F",1692.065728446572
Arabinitol-F,0.0
Ethanamine-F,0.0
1-Octadecanol-F,1313.4721008296087
L-Norvaline-F,46.43164329223342
4-Hydroxybenzoic acid-F,332.1923807933757
L-Serine-F,92.06490497942316
Cytosine-F,197.9748739665738
L-Valine-F,222.02532837887287
N-Acetylglucosamine-F,334.129779805461
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F",1024.5658003734227
"D-(+)-Ribono-1,4-lactone-F",83.47140377136608
Niacinamide-F,378.01165742865015
"2-Pentenedioic acid, 2-hydroxy--F",1298.0511111730386
Methylsuccinic acid-F,1130.5780533666743
N-Acetyl-L-glutamic acid-F,289.09760213036105
Niacin-F,1.8588215758947462
N-Methyl-alpha-aminoisobutyric acid-F,189.30433751238232
4-Hydroxybenzaldehyde-F,684.6530312840399
9H-Purin-6-ol-F,15.170799798632943
Phloretic acid-F,23.854840814240678
Thr-Leu-F,353.79075788856034
L-(+)-Lactic acid-F,42.21420433128806
Pimelic acid-F,859.157706753963
Xanthine-F,23.81182587131166
Citric acid-F,98.62078677881293
Pentanoic acid-F,49.75623365898223
Phenol-F,440.80203337620065
Pyrogallol-F,437.5202515451323
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-F",8.091123750092493
D-Mannopyranose-F,218.16382286239528
Idoxuridine-F,12.208390322249329
Octadecyl octyl ether-F,658.8386762609543
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol-F,653.9999999999667
2'-Deoxyribolactone-F,956.1171880883315
4-Hydroxybutanoic acid-F,0.0
12-Oxooctadecanoate-F,0.0
5-Methyluridine-F,654.0000000000175
13-Docosenamide-F,94.71066759955531
Benzoic Acid-F,203.10195701067894
17-alpha-Hydroxypregnenolone-F,20.900880921977958
1-Dodecanol-F,792.1419550061515
3-Deoxyhexitol-F,734.7282873544839
"Hexadecanoic acid, 4-hydroxybutyl ester-F",189.36322866774412
Undecanoic acid-F,144.7193378530488
1-Hexanol-F,0.0
"D-Erythro-Pentitol, 2-deoxy--F",654.0000000000008
1-Methyl-4-hydroxy-1H-imidazol-2-amine-F,7.28364967237457
d-Erythrotetrofuranose-F,710.104518949158
"Inosose-2, myo-F",219.4861955038943
1-Monopalmitin-F,0.0
Pipecolic acid-F,1110.0280210634794
"2-Furanacetaldehyde, tetrahydro-alpha-F",52.69506870155513
"Acetamide, N-(2-butyl)-N-methyl--F",281.433144911078
1-Octanol-F,147.6851488981106
Pyrrole-2-carboxylic acid-F,175.98910822758842
1-Tetradecanol-F,571.9039208701133
"2-Butenoic acid, 2-hydroxy--F",90.47503074059249
Palmitic Acid-F,1.7619517969926093
"2',2,3,6'-Tetramethoxychalcone-F",583.371030969965
"beta-D-Galactopyranoside, methyl-, acetate-F",3.5692090170980633
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone-F",0.0
"2,3,4-Trihydroxybutyric acid-F",614.734560459676
2-Ethylacetoacetate-F,2227.843594871212
"3-Hydroxy-2,3-dihydromaltol-F",14.081614974180217
"Erythrono-1,4-lactone-F",27.328169508731186
Ribonic acid-F,35.49931145311643
"2,3-Butanediol-F",218.8501278248452
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-F",1549.9955668499495
"2,5-Di-tert-butyl-4-hydroxyphenol-F",531.1510633572175
3-Methyl-2-furoic acid-F,0.31060606060606055
3-Undecene-F,70.3791649918213
"Guanidine, N,N-dimethyl-F",373.59146695638435
"2,5-Dimethoxyphenol-F",2.583227774614115
"2-Allyl-1,4-dimethoxybenzene-F",478.37989924204106
2-Hydroxy-3-methylbutyric acid-F,2215.4964017776388
Syringaldehyde-F,593.6475172007864
3-Hexenedioic acid-F,607.9907875400955
4-Pyridinol-F,0.8167077285459639
Butyl Succinate-F,1300.1315203643508
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester-F",146.60814568417922
Cyclohexanecarboxylic acid-F,39.29849860160866
Myristic acid-F,2577.4842805262015
Tetrahydrogeranyl formate-F,188.8608383832793
Glycerol tricaprylate-F,126.60155733548747
2'-Desoxyuridine-F,11.377143829058218
Thymidine-F,69.1093455887931
8-Hydroxy-5-(hydroxymethyl)quinoline-F,1.5587765957446809
beta-D-(-)-Ribopyranose-F,8.808504693007425
"Propanoic acid, 2-oxo-F",2191.5089495719135
Tricine-F,81.06575172113294
2-Ethylhexanoic acid-F,431.11825001044974
Serine-F,1568.8131479056171
6-Hydroxyhexanoic acid-F,19.419475858471007
Decanoic acid-F,258.36616687908764
2-Palmitoylglycerol-F,0.0
L-Glutamic acid-F,184.0753538981953
2-Piperidinone-F,654.0000000000038
Butanedioic acid-F,0.0
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)-F",4.643008907787719
3-(3-Hydroxyphenyl)propanoic acid-F,30.220144068593132
Cyclohexanemethanol-F,908.3172327666559
L-Valyl-L-leucine-F,1599.0460125958496
5-Hydroxymethyl-2-furoic acid-F,8.18073559589661
beta-Arabinopyranose-F,15.918898116336281
L-5-Oxoproline-F,44.22127083401956
3-Hydroxybutyric acid-F,166.28994469428017
Hexacosanoic acid-F,1.608584977327256
3-Hydroxyisovaleric acid-F,10.09219487139516
Menthol-F,330.21198044129926
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one-F,280.46091561492364
alpha-Tocopheryl acetate-F,23.29725575417124
Nonanoic acid-F,202.6353650084707
D-(+)-Glucosamine-F,2329.5272305468206
DL-Phenylalanine-F,37.05054648671299
Phenylalanine-F,145.37672863545382
4-Hydroxyphenyllactic acid-F,7.314972905488543
4-Methyl-5-thiazoleethanol-F,86.03907298797778
9-Octadecenoic acid-F,311.47403535489644
Hydracrylic acid-F,1525.7290304254232
Dihydrouracil-F,453.4657058694682
"Propane, 2-methyl-F",12.248824277615855
Aconitic acid-F,4.573921930113602
"Azetidine, 1-acetyl-2-methyl-F",496.5025701369794
Pyridoxic acid-F,0.0
beta-Alanine-F,1397.3916831327758
Lignoceric acid-F,273.52734612532333
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy-F",1.4279561003505812
"Butanoic acid, 3,4-dihydroxy--F",701.3392502045067
Ketamine-F,0.0
Cholesterol-F,1.8277621932609962
Pentadecanoic acid-F,229.81123997357346
D-(-)-Ribofuranose-F,31.156562360624328
D-(+)-Talofuranose-F,1.2161179390360561
D-Allofuranose-F,255.4383457177417
Glycerol-F,371.7010677810296
D-Glucose-F,109.89620642295556
L-Isoleucine-F,303.79393956609863
Uracil-F,295.95535905473844
"Gluconolactone (3R,4S,5R,6R)-F",8.504429219588882
Picolinic acid-F,373.4060786750117
Glycolic acid-F,1.1792719076122473
L-(-)-Sorbofuranose-F,54.0658989406184
Tyrosine-F,552.6377575718676
L-Leucine-F,9.75245856311893
L-Rhamnose-F,582.5017433631325
L-Threonine-F,54.81663148701307
"Xylonic acid, delta-lactone-F",11.585007391243634
Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside-F,276.7061356221383
Monolaurin-F,35.29792287425005
Xylose-F,540.3238095653741
N-(2-hydroxyethyl)-succinimide-F,628.3281183984659
N-Acetyl glucosamine methoxime-F,39.84098477423439
Uridine-F,7.225866270267189
3-Aminobutanoic acid-F,0.18066202696130326
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P",163.49824036355994
Dihydrouracil-P,586.0046717529083
Indole-3-lactic acid-P,10681.345010897392
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline-P",3376.1541436774473
Deoxyglucose-F,0.0
"Octane, 1-propoxy--P",964.6267527632428
Erythritol-F,1.8812984635635621
2-Hydroxybutyric acid-P,363.9508750157081
Tetradecanenitrile-P,459.72461254488127
L-Glutamine-F,0.0
"2,2-Diallylpyrrolidine-P",1327.4096460099438
10-Heptadecenoic acid-P,3531.3320927650675
"alpha-L-Galactopyranoside, methyl 6-deoxy-, (R,R,R,S,S)--P",175.229305250719
Arsenous acid-P,227.7303141631611
Glyceric acid-P,273.19081742707596
L-Alanine-P,120.02987565169732
L-Isoleucine-P,71.91696142927833
Palmitelaidic acid-P,5.653520247664152
2-Isopropyl-5-methyl-1-heptanol-P,1099.5362757220935
3-Aminobutanoic acid-P,583.9846844065924
3-Methoxysalicylic acid-P,1960.6631453951436
5-Hydroxyquinoline-P,2728.5198880927087
"Benzaldehyde, 2,5-dimethyl--P",16875.25338575408
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P",2581.996887532439
Dinoseb-P,3852.8989760387312
DL-Glyceraldehyde-P,1864.7421458232875
"Dodecane, 4,6-dimethyl--P",1762.927436431257
Isofucosterol-P,2984.5383453343293
Mirin-P,458.2826758417392
N-Isobutyrylglycine-P,128.11242183199732
"N,O-Bis(trimethylsilyl)carbamate-P",1974.6782018096135
Cyclobutanol-P,59.935978721489036
Tartronic acid-P,2489.827887647447
Trimethylsilyl oct-2-enoate-P,21.292989867261994
4-Hydroxybutanoic acid-P,74.94147938344737
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine-P",813.6448929871585
Butylated Hydroxytoluene-P,357.299269580788
Myristic acid-P,1192.8174350204758
4-Hydroxybenzaldehyde-P,66.27037312345674
"L-Tryptophan, N-acetyl-1-P",615.4013269070853
DL-Ornithine-P,402.0952610592073
"Erythrono-1,4-lactone, (Z)--P",1067.709434919436
Ethanolamine-P,596.9038645511635
"Glycine, N-(1-oxobutyl)--P",1587.1539816317631
1-Aminocyclopropanecarboxylic acid-P,73.9926720436384
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine-P",735.4612392780044
3-Amino-2-piperidone-P,882.1381028201743
"D-Isoleucine, N-acetyl--P",118.72036915858912
"D-Xylofuranose, 1,2,3,5-tetrakis-O--P",354.4782983724119
Galactopyranose-P,278.22083688205726
"Inosose-2, 1,3,4,5,6-pentakis--P",2511.6653830489645
L-Aspartic acid-P,1159.4277918593377
L-Glutamic acid-P,24.628669360774644
Methyl-3-methoxy-5-methyl benzoate-P,2099.2485317988944
"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]--P",423.9948686412116
Uracil-P,418.20695785630784
Xylazine-P,343.0274155503176
3-(2-Hydroxyethyl)imidazole-2-thione-P,53.84187797569002
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]--P",293.26058426209937
Benzyl alcohol-P,106.2640115985033
Decanoic acid-P,344.2502831778555
1-Hydroxy-3-methoxy-6-methylanthraquinone-P,7290.108234691754
Trimidox-P,5630.52989907475
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F",56.06414851356806
2-Ketoisocaproic acid-P,1305.366095604815
"2,5-Dimethoxymandelic acid-P",24.11439180499008
"Cholest-7-en-3-ol, (3beta,5alpha)--P",1214.0025826298966
"Propanoic acid, 2-methyl--P",716.5940695896865
Bis(trimethylsilyl)acetylene-P,127.83820874188473
"Ethanone, 1-(2,5-dimethoxyphenyl)--P",979.6077332840038
2-Heptenoic acid-P,1172.0080026310388
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate-P",404.3842486091596
3-Hydroxyisovaleric acid-P,730.934784057924
4-Cumylphenol-P,437.80423044253536
"Acetin, bis-1,3-trimethylsilyl ether-P",23.195253844515033
Benzophenone-P,1078.1908736427715
Dehydronorketamine-P,0.13151927437641722
Diphenyl ether-P,153.61722014976948
Glycine-P,561.9871511144036
Methyl aminoacetate-P,2716.158924439957
Nonadecanoic acid-P,244.22686010622607
"Stigmast-5-ene, 3beta--P",1840.8009175290827
1-Tetracosene-F,0.6258440257311717
"(S,S)-(-)-Hydrobenzoin-P",749.5193647325896
N-Acetyl-L-glutamic acid-P,539.8019158046969
N-Isovaleroylglycine-P,1764.67586029065
Glyoxime-P,284.7040432566429
(pm)-Norketamine-P,451.96363059165526
"1,3-Cyclohexanebis(methylamine)-P",82.68584562765355
Acetoacetic acid-P,876.805057576424
4-Hydroxybenzoic acid-P,1503.2831511926984
Cyclo(L-prolyl-L-valine)-P,46.227228732792895
Pipecolic acid-P,30.88386184574585
"2,4-Di-tert-butylphenol-F",7.849997955363243
"1-Phenyl-1,2-ethanediol-P",214.09136996199254
2-Furoic acid-P,14.517882708282263
2-Methyl-4-pentenoic acid-P,2375.330894999351
beta-Hydroxypyruvic acid-P,0.8239750445632799
cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate-P,1383.3299974175493
Octocrylene-P,751.0231239120849
