node1,node2
3-Hydroxypicolinic acid-F,trans-Coniferryl alchool-F
4-Pentenoic acid-F,Glycolic acid-F
Acetohydroxamic acid-F,5-Hydroxy-2-methylpyridine-F
Argininosuccinic acid-F,2-Hydroxy-3-methylbutyric acid-F
Argininosuccinic acid-F,"Hexadecanoic acid, tetradecyl ester-F"
Butyl caprylate-F,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F"
Butyl caprylate-F,Arabinitol-F
Butyl caprylate-F,"cis,cis,cis-1-Isobutyl-2,5-dimethylcyclohexane-F"
Butyl caprylate-F,phenoxyethanol-F
Ethanamine-F,1-Octadecanol-F
L-Asparagine-F,3-Amino-2-piperidone-F
L-Hydroxyproline-F,Niacinamide-F
L-Hydroxyproline-F,Arabinose-F
L-Hydroxyproline-F,Pyrrole-2-carboxylic acid-F
L-Norvaline-F,4-Hydroxybenzoic acid-F
L-Norvaline-F,"Thymidine, 5'-phosphate-F"
L-Serine-F,Cytosine-F
L-Serine-F,L-(+)-Rhamnopyranose-F
L-Serine-F,L-Valine-F
N-Acetylglucosamine-F,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F"
N-Acetylglucosamine-F,"D-(+)-Ribono-1,4-lactone-F"
Niacinamide-F,"2,6-Di-O-methyl-d-galactopyranose-F"
Niacinamide-F,"2-Pentenedioic acid, 2-hydroxy--F"
Niacinamide-F,Methylsuccinic acid-F
Niacinamide-F,N-Acetyl-L-glutamic acid-F
Niacinamide-F,Niacin-F
N-Methyl-alpha-aminoisobutyric acid-F,4-Hydroxybenzaldehyde-F
N-Methyl-alpha-aminoisobutyric acid-F,4-Hydroxybenzoic acid-F
N-Methyl-alpha-aminoisobutyric acid-F,9H-Purin-6-ol-F
N-Methyl-alpha-aminoisobutyric acid-F,Levulinic acid-F
N-Methyl-alpha-aminoisobutyric acid-F,N-Ethyldiethanolamine-F
N-Methyl-alpha-aminoisobutyric acid-F,Phloretic acid-F
Thr-Leu-F,L-(+)-Lactic acid-F
Thr-Leu-F,Pimelic acid-F
Xanthine-F,Citric acid-F
Xanthine-F,Pentanoic acid-F
Xanthine-F,Phenol-F
Xanthine-F,Pyrogallol-F
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-F",D-Mannopyranose-F
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-F",L-(+)-Rhamnopyranose-F
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F",alpha-D-(+)-Talopyranose-F
