node,BiBC
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",662.1528752501988
"1,2-Benzenedicarboxylic acid-P",1849.814990287852
4-Hydroxyphenyllactic acid-P,970.3842984411679
Ethanolamine-P,470.7896994798012
N-Valerylglycine-P,460.0807725433318
(CH3)2C=NC2H558-P,1924.9170335869446
2-Hydroxy-5-methoxybenzaldehyde-P,1452.916232168418
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)--P",1577.3371373443158
"Benzoic acid, methyl ester-P",1310.812777443587
(pm)-alpha-Tocopherol acetate-P,1702.2609411789851
"(R*,S*)-2,3-Dihydroxybutanoic acid-P",777.5601033609904
1-Deoxypentitol-P,1548.9191969084472
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P",601.4503578778845
"1,3,5-Benzetriol-P",2125.136186702355
"2-Allyl-1,4-dimethoxybenzene-P",442.53969427644665
2-Methyl-4-pentenoic acid-P,1455.2954638653312
2-Naphthol-P,24.68363022087517
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate-P",1294.8119068023896
"2,3,4-Trihydroxybutyric acid tetrakis-P",248.8307668693716
3-Hexenedinitrile-P,1609.1597091742756
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene-P",3210.2315192628776
5-Hydroxyquinoline-P,1425.4902326145377
5-Hydroxytryptophan-P,984.0550129655098
"6,7,4'-Trihydroxyisoflavone-P",748.7917719763625
Benzeneacetic acid-P,111.48421277507968
"Benzimidazole, 5-trifluoromethyl-2-methyl--P",3838.631810560843
"Benzoic acid, pentadecyl ester-P",3967.030250054809
Benzophenone-P,2973.8375303593893
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P",230.24464796743132
5-Hydroxyhexanoic acid-P,136.8740488296785
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P",1068.8779658988503
"Cyclopentaneacetic acid, 3-oxo-2-pentyl--P",239.8198712851967
D-Fructose-P,847.1419664392109
Dinoseb-P,2873.6049603895
Diphenyl ether-P,554.1711539756353
DL-Glyceraldehyde-P,1628.4799007426816
"Erythrono-1,4-lactone, (Z)--P",956.7043809004488
Glyoxime-P,468.49739642329877
Hexanedioic acid-P,46.854672575395846
Hydracrylic acid-P,1022.7151344723152
Isofucosterol-P,5798.604253762182
Isopropyl palmitate-P,9893.732925911321
Itaconic acid-P,63.9928287772258
Methyl aminoacetate-P,6024.609580394537
p-Hydroxydiisopropylbenzene-P,252.9012832257906
"Pentenoic acid, 4-[(trimethylsilyl)oxy]--P",73.51834511027424
Pimelic acid-P,3692.154555229502
"Propanetriol, 2-methyl--P",897.6899762404377
"Stigmast-5-ene, 3beta--P",2162.965859970577
Tartronic acid-P,3558.1917000118483
Triethanolamine-P,2339.482378138359
L-Tyrosine-P,236.8407929183869
(pm)-N-Propylamphetamine-P,0.0
"5alpha-Pregnane-3,20-dione-P",1507.1347409937184
(pm)-Norketamine-P,1308.000000000027
L-Leucine-P,653.9999999999992
Naphthofluorescein-P,2619.4074507370824
(pm)-Phenylpropanolamine-P,705.4199947704881
3-(2-Hydroxyethyl)imidazole-2-thione-P,0.0
3-Indolepropionic acid-P,2938.074885888554
Decanoic acid-P,527.1002201871433
"1-Butanamine, N,N-diethyl--P",1774.0244890729678
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy--P",990.0438590488693
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine-P",4.100877923717438
Acetoacetic acid-P,28.283912845122654
Benzeneacetamide-P,32.51672480046792
Nonadecanoic acid-P,1909.1093035633287
Phenoxyacetic acid-P,3224.543671194992
"(S,S)-(-)-Hydrobenzoin-P",183.72471212791538
3-Methoxysalicylic acid-P,951.7551052444924
"Acetic acid, bis[(trimethylsilyl)oxyl]--P",159.01499011931085
1-(3-Methylphenyl)piperazine-P,389.43131040918894
1-(4-Hydroxybenzylidene)acetone-P,1289.6223187643197
Phlorizin-P,974.8489863742645
"1,3-bis[(Trimethylsilyl)ethynyl]benzene-P",3.5887564077412724
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]--P",213.3578784945697
"2,5-Piperazinedione, 3-benzyl-6-isopropyl--P",6983.807531424354
3-Amino-5-morpholinomethyl-2-oxazolidinone-P,1450.5689652067904
3-Hydroxyisovaleric acid-P,391.89067131639086
"3,5-Dimethylpyrazole-P",1845.5316333001872
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one-P,33.12408378373816
alpha-Tocopherol-P,931.9940299595555
Azatadine-P,443.2388242687078
Hydantoic acid-P,2143.352414768297
L-Threitol-P,55.99694535502782
N-Isovaleroylglycine-P,864.537462325484
N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine-P,1529.498063035215
"N,N-Diethyl-2-aminoethanol-P",4200.202936162064
Niclosamide-P,1254.4210122630363
p-Toluic acid-P,1054.9674695486576
Phloroglucinol-P,300.5329475059456
Propylamine-P,3281.6918546463903
S-Methyl-L-cysteine-P,1456.1395543375463
1-Aminocyclopropanecarboxylic acid-P,5.334833343622585
3-Amino-2-piperidone-P,218.78840272112726
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl--P",88.67584287850696
Glycine-P,2216.5818279196537
1-Octanol-P,238.29338837147372
12-Oxooctadecanoate-P,2317.781451103722
"2-Propanone, bis(1-methylethyl)hydrazone-P",989.5362289765075
5-Henicosylresorcinol-P,961.9740383096416
"Butanal, 2,3,4-tris[(trimethylsilyl)oxy]-, O-methyloxime, [R-(R*,R*)]--P",1069.1528101794356
"Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate-P",162.48319886326567
Dodecylcyclohexane-P,4792.865105373804
"Glycine, N-(N-DL-leucylglycyl)--P",193.38459521137557
Levulinic acid-P,1911.7558556200202
Myristic acid-P,747.1418806312288
