node1,node2
Mrps5-C,B230398E01Rik-T
Shc1-C,Arhgap5-T
Shc1-C,Zfp74-T
Tmem62-C,Adsl-T
Tmem62-C,Ppp1r26-T
Tmem62-C,Dap3-T
Tmem62-C,C030013C21Rik-T
Nedd4-C,Plpp3-T
Nedd4-C,Mto1-T
Mob4-C,UNKNOWN_1473-T
Trappc14-C,Ddt-T
Trappc14-C,Kdelr1-T
Trappc14-C,Nosip-T
Trappc14-C,Ywhah-T
Trappc14-C,Cdc27-T
Trappc14-C,Ttc8-T
Trappc14-C,Klhl22-T
Trappc14-C,Mrgbp-T
Trappc14-C,Yars1-T
Trappc14-C,Extl1-T
Trappc14-C,Mfn2-T
Trappc14-C,Asphd2-T
Trappc14-C,Tsen34-T
Trappc14-C,Lrfn5-T
Trappc14-C,Zc3hc1-T
Trappc14-C,Oaz2-T
Trappc14-C,Patl1-T
Trappc14-C,Mir9-2hg-T
Trappc14-C,Zfp74-T
Trappc14-C,Tnfrsf19-T
Trappc14-C,H3f3a-T
Trappc14-C,B9d2-T
Trappc14-C,Urm1-T
Trappc14-C,Nkain2-T
Trappc14-C,Ftx-T
Trappc14-C,Gm12999-T
Map9-C,Gab2-T
Map9-C,Rbm7-T
Agrn-C,Nol3-T
Agrn-C,Gdf9-T
Agrn-C,Mtpap-T
Agrn-C,Sgf29-T
Agrn-C,Sema6c-T
Agrn-C,Oaz2-T
Agrn-C,Kcnj4-T
Agrn-C,Taf1b-T
Dap3-C,Glmn-T
Dap3-C,Pcdha8-T
Dnajc21-C,B9d2-T
Wbp11-C,Manea-T
Wbp11-C,Klhl26-T
Ptges3-C,Cmtm7-T
Plgrkt-C,Gm3687-T
Ttf1-C,Gm43311-T
Ankmy2-C,Rasa4-T
Ankmy2-C,Sall1-T
Usf3-C,Manea-T
Usf3-C,Jam2-T
Usf3-C,Rnaset2b-T
Arid2-C,Myct1-T
Zkscan8-C,Scarf1-T
Zkscan8-C,Hspb8-T
Zkscan8-C,Klhl26-T
Chmp4c-C,Zcchc12-T
Chmp4c-C,Zfp704-T
Zfp975-C,Plpp3-T
Zfp975-C,Slf2-T
Bhmt2-C,Gm37420-T
Bhmt2-C,Gm42837-T
Fn3krp-C,Cdc73-T
Fn3krp-C,Fcho2-T
Fn3krp-C,Bclaf3-T
Fn3krp-C,Med12l-T
Fn3krp-C,Scrt2-T
Fn3krp-C,Exoc5-T
Fn3krp-C,Rpl31-T
Cog8-C,Ccdc97-T
Cog8-C,Spata7-T
Cog8-C,Mterf3-T
Cog8-C,Hspb8-T
Serbp1-C,Eps8l2-T
H2az2-C,Abca4-T
Pkn2-C,Mrps18c-T
Pkn2-C,Brwd1-T
Pkn2-C,Lrba-T
Pkn2-C,Rbm7-T
Pkn2-C,Smco3-T
4930412C18Rik-C,Gdf11-T
4930412C18Rik-C,Ubr5-T
4930412C18Rik-C,Dctpp1-T
