node1,node2
Shc1-C,Casq2-S
Cope-C,Slco5a1-S
Cope-C,Lrch1-S
Cope-C,Gm37735-S
Tmem62-C,C130026L21Rik-S
Tmem62-C,Insl5-S
Ndfip1-C,Dtx2-S
Ndfip1-C,Bltp3b-S
Nedd4-C,Podxl2-S
Nedd4-C,Gm7467-S
Rab11fip5-C,1700017B05Rik-S
Trappc14-C,Arsj-S
Map9-C,Cachd1-S
Map9-C,Chia1-S
Wbp11-C,Gm7467-S
Ptges3-C,Fli1-S
Fcf1-C,Phf12-S
Ttf1-C,Ip6k2-S
Usf3-C,Plekhj1-S
Zfp975-C,Chia1-S
Zfp975-C,Ankub1-S
Bhmt2-C,Gm7467-S
Silc1-C,Insyn2a-S
Cog8-C,Firre-S
Inpp5a-C,Gm43672-S
Serbp1-C,Ipo13-S
Fsbp-C,Htr1d-S
Poglut1-C,Slc5a5-S
Poglut1-C,Rarb-S
Poglut1-C,Adora2a-S
Poglut1-C,Slc36a1-S
Poglut1-C,Kcnab1-S
Poglut1-C,Jcad-S
Poglut1-C,Dgki-S
Poglut1-C,Arsj-S
Poglut1-C,Col6a3-S
Poglut1-C,Fam241a-S
Poglut1-C,Clec12a-S
Pkn2-C,1700017B05Rik-S
4930412C18Rik-C,Poglut1-S
Pak2-C,Plekhj1-S
Slc25a13-C,Tspan33-S
Slc25a13-C,Mcrs1-S
Slc25a13-C,Dock3-S
Slc25a13-C,Hey1-S
Rpn2-C,Kctd1-S
Cebpz-C,Tspan33-S
Cebpz-C,Chia1-S
Cebpz-C,Gm42722-S
St6galnac4-C,Gab2-S
Irf3-C,Sugp1-S
Xpc-C,Pnck-S
Scyl1-C,Gm7467-S
Zfp219-C,Arl2bp-S
Zfp219-C,Trappc5-S
Zfp219-C,Mllt11-S
Zfp219-C,Snrnp70-S
Ankrd34a-C,Uqcr11-S
Ankrd34a-C,Nanp-S
Ankrd34a-C,Cpped1-S
Ccnd1-C,Slc5a5-S
Ccnd1-C,Cep63-S
Ccnd1-C,Baz1a-S
Ccnd1-C,Col27a1-S
Ankrd12-C,1700017B05Rik-S
Ankrd12-C,Tubb2b-S
Ddit4-C,Szt2-S
Rai14-C,Vti1b-S
Rai14-C,Vps35l-S
Thra-C,Dtx4-S
Thra-C,Gm20712-S
Zswim5-C,Cdk17-S
Zswim5-C,Abi2-S
Zswim5-C,Slc39a12-S
Zswim5-C,Lmtk2-S
Zswim5-C,Dock3-S
Zswim5-C,Hey1-S
Zswim5-C,Slc35e2-S
Zswim5-C,Arel1-S
Zswim5-C,Scn4b-S
Zswim5-C,Ap1ar-S
Gm15408-C,Rbmx-S
Ilkap-C,Polr1b-S
Por-C,Cbln3-S
Por-C,Prnp-S
Atf6b-C,Ttc39c-S
Atf6b-C,Rbmx-S
Atf6b-C,AA986860-S
Atf6b-C,Gm7467-S
Pcgf5-C,Mapk8ip2-S
Pcgf5-C,Nkx2-9-S
Grpel1-C,Npat-S
Cspg5-C,Irx1-S
Kcnk5-C,Pabpn1-S
Psmd8-C,Cyp4f15-S
Cdkl3-C,Ddx19b-S
Fastk-C,Slc5a5-S
Fastk-C,Pnck-S
Fastk-C,Rarb-S
Fastk-C,Adcy5-S
Fastk-C,Kras-S
Fastk-C,Rps6ka3-S
Fastk-C,Jcad-S
Fastk-C,Wdr17-S
Tubgcp2-C,Derl1-S
Tubgcp2-C,Thrsp-S
Tubgcp2-C,Stk32a-S
Adcy9-C,Zfp523-S
Ibtk-C,Irs2-S
Ibtk-C,Arsj-S
Fam13b-C,Pdlim3-S
Btbd2-C,Rps6ka3-S
Btbd2-C,Wdr17-S
Bclaf1-C,Ckmt1-S
Bclaf1-C,Bltp3b-S
Bclaf1-C,Snx7-S
Gin1-C,Cntnap3-S
Gin1-C,Syne2-S
Syt17-C,Ccdc187-S
Ncaph2-C,Copg1-S
Gsta3-C,Mrpl58-S
Gsta3-C,Mrnip-S
Gsta3-C,Slco5a1-S
Pdlim5-C,AA986860-S
Pdlim5-C,Cpped1-S
Pycr2-C,AA986860-S
Pycr2-C,Idnk-S
Phf1-C,Slc36a1-S
Phf1-C,Zfp142-S
Phf1-C,Gm20712-S
Cast-C,Ndufa13-S
Lrguk-C,Rps5-S
Emd-C,Trim68-S
Slc25a26-C,Synj2bp-S
Abtb2-C,Gm15564-S
Map3k8-C,Kctd10-S
Map3k8-C,Luc7l2-S
Map3k8-C,Nckipsd-S
Scg5-C,Ccdc30-S
Niban1-C,Loxl1-S
Psma4-C,Irs2-S
Psma4-C,Arsj-S
Dnajc7-C,Slc36a1-S
Dnajc7-C,Rbmx-S
Dnajc7-C,Atr-S
Dnajc7-C,Gm20712-S
Smpdl3b-C,Cbln3-S
Smpdl3b-C,Nkrf-S
Spmip6-C,Lrch1-S
Ccn4-C,Gm42869-S
Pura-C,Cdk17-S
Pura-C,Trim26-S
Pura-C,Cachd1-S
Pura-C,Slc35e2-S
Gm15675-C,Rsrp1-S
Mfsd3-C,Pea15a-S
Cyyr1-C,Prmt8-S
Cyyr1-C,Amigo2-S
Arhgef12-C,Htr6-S
Arhgef12-C,Plekhj1-S
Arhgef12-C,Fam241a-S
Slc17a5-C,Amigo2-S
UNKNOWN_158-C,Gemin6-S
UNKNOWN_158-C,Gm42722-S
Telo2-C,Emd-S
Copg1-C,Slc5a5-S
Copg1-C,Calb2-S
Dynlt2b-C,AA986860-S
Dynlt2b-C,Gm20712-S
Tmem259-C,9330151L19Rik-S
Tmem259-C,Gm26814-S
Mcfd2-C,Prlr-S
Zfp638-C,Dlx5-S
Zfp638-C,Cmas-S
Zfp638-C,1700017B05Rik-S
Zfp638-C,Wdr17-S
Zfp638-C,Chia1-S
Zfp638-C,Gm42722-S
Cracr2b-C,Epor-S
Cracr2b-C,Cbln2-S
Ndufs3-C,Emd-S
Pawr-C,1700017B05Rik-S
Pawr-C,Wdr17-S
Rnf187-C,Pkia-S
Rnf187-C,Chmp2a-S
Rnf187-C,Samd14-S
Dek-C,Cachd1-S
Gpr19-C,Pdlim3-S
Gpr19-C,Kcnip3-S
Pmm2-C,Derl1-S
Pold1-C,Cep63-S
Pold1-C,Gm3294-S
Pold1-C,Gm37569-S
Pold1-C,Gm20045-S
Cep95-C,Prmt8-S
Cep95-C,Gm42722-S
Ddb1-C,Cxadr-S
Ddb1-C,Tspyl5-S
Ddb1-C,Gm7467-S
Nek8-C,Ttc39c-S
Nek8-C,Podxl2-S
Nek8-C,Ebf1-S
Nek8-C,Sema3b-S
mt-Nd2-C,Ckmt1-S
mt-Nd2-C,Bltp3b-S
mt-Nd2-C,1700017B05Rik-S
mt-Nd2-C,Tubb2b-S
Tax1bp3-C,Hmcn1-S
Dync2li1-C,Ace2-S
Dync2li1-C,Atr-S
Dync2li1-C,Gm19967-S
Ccdc59-C,Bltp3b-S
Ccdc59-C,1700017B05Rik-S
Gas6-C,Slc36a1-S
Gas6-C,Naa40-S
Gas6-C,Saraf-S
Gas6-C,Grb2-S
Amfr-C,Naa40-S
Pdap1-C,Ckmt1-S
Fchsd2-C,Fam8a1-S
Suz12-C,Samd14-S
Topbp1-C,Gm9930-S
Klf3-C,Cpped1-S
Cbarp-C,Dock8-S
Cbarp-C,Irx1-S
Ubl3-C,Slc36a1-S
Ubl3-C,AA986860-S
Ubl3-C,Gm20712-S
Cep41-C,Zim1-S
Cep41-C,Amz2-S
Cep41-C,Samd14-S
Emc10-C,Fam174c-S
Nup214-C,Coro7-S
Eea1-C,Ckmt1-S
Eea1-C,Ipo13-S
Eea1-C,Amigo2-S
Acacb-C,Zim1-S
Acacb-C,Smyd4-S
Acacb-C,Stip1-S
Snrnp48-C,1700017B05Rik-S
Snrnp48-C,C130075A20Rik-S
Wdr74-C,Arhgap10-S
Btg1-C,Gpr180-S
Igfbp2-C,Slc36a1-S
Igfbp2-C,Mapk8ip2-S
Igfbp2-C,Rbmx-S
Igfbp2-C,Gm7467-S
Uros-C,Coro1c-S
Uros-C,Dgki-S
Smc6-C,Ckmt1-S
Smc6-C,Tubb2b-S
Zfp78-C,Snx7-S
Ripply3-C,Gemin7-S
Ylpm1-C,Gm42722-S
Slc11a2-C,Dlx5-S
Slc11a2-C,Car8-S
Slc11a2-C,Klhdc3-S
Stk33-C,Gm9930-S
Stk33-C,Sema3b-S
Slc2a2-C,Gm26814-S
Grcc10-C,Arhgef28-S
Fndc3a-C,Pnck-S
Sppl3-C,Casp8-S
4930556M19Rik-C,Irf8-S
Cdkn1c-C,Cachd1-S
Cdkn1c-C,Chia1-S
Prpf6-C,Sfr1-S
Prpf6-C,Stk19-S
Brd2-C,Col4a2-S
Tgfb1i1-C,Gab2-S
Rbm27-C,Trim26-S
Rbm27-C,Htr6-S
