node1,node2
Dlg3-T,Kdelr1-T
Dlg3-T,Ndufb9-T
Dlg3-T,Klhl22-T
Dlg3-T,Arhgap19-T
Dlg3-T,Kmt2d-T
Dlg3-T,Gm38299-T
Heatr6-T,Gm1976-T
Cfp-T,Fam193b-T
Cfp-T,Ppme1-T
Cfp-T,4933439C10Rik-T
Tulp3-T,Hmox2-T
Tulp3-T,Atad5-T
Tulp3-T,Ywhah-T
Tulp3-T,Ttc8-T
Tulp3-T,Habp4-T
Tulp3-T,Fam193b-T
Tulp3-T,Cxcl14-T
Tulp3-T,Paxbp1-T
Tulp3-T,Ndufv3-T
Tulp3-T,Csnk2b-T
Tulp3-T,Rps26-T
Tulp3-T,Dusp11-T
Tulp3-T,Gde1-T
Tulp3-T,L3mbtl1-T
Tulp3-T,Atp5mf-T
Tulp3-T,Fcho2-T
Tulp3-T,Senp7-T
Tulp3-T,Tle5-T
Tulp3-T,Med12l-T
Tulp3-T,Ptk2b-T
Tulp3-T,UNKNOWN_1454-T
Tulp3-T,Cbx6-T
Tulp3-T,Muc3a-T
Tulp3-T,Gm43066-T
Ddt-T,Utp20-T
Ddt-T,Ywhah-T
Ddt-T,Ndufb9-T
Ddt-T,Brwd1-T
Ddt-T,Mib1-T
Ddt-T,Rps26-T
Ddt-T,Ctso-T
Ddt-T,Nans-T
Ddt-T,Mfn2-T
Ddt-T,Psd3-T
Ddt-T,Gde1-T
Ddt-T,Tsen34-T
Ddt-T,Slf2-T
Ddt-T,Dipk1b-T
Ddt-T,Phpt1-T
Ddt-T,Mrpl41-T
Ddt-T,Rpl37-T
Ddt-T,Tubg2-T
Ddt-T,Patl1-T
Ddt-T,Kmt2d-T
Ddt-T,Mir9-2hg-T
Ddt-T,Tnfrsf19-T
Ddt-T,Urm1-T
Ddt-T,Rpl31-T
Ddt-T,Ftx-T
Ddt-T,C130023A14Rik-T
Ddt-T,Gm38104-T
Ccdc97-T,Wbp1-T
Ccdc97-T,Tmem104-T
Plekha3-T,Cyria-T
Plekha3-T,Sp4-T
Plekha3-T,Trp53bp2-T
Plekha3-T,Slc7a11-T
Plekha3-T,Furin-T
Plekha3-T,Ss18-T
Plekha3-T,Osgin2-T
Plekha3-T,Tmem229b-T
Plekha3-T,Jam2-T
Plekha3-T,Adam10-T
Plekha3-T,Cry2-T
Kdelr1-T,Dqx1-T
Kdelr1-T,Mterf3-T
Kdelr1-T,Ndufb9-T
Kdelr1-T,Klhl22-T
Kdelr1-T,Sntg1-T
Kdelr1-T,Furin-T
Kdelr1-T,Ddhd1-T
Kdelr1-T,Oaz2-T
Kdelr1-T,C130023A14Rik-T
Kdelr1-T,Gm37529-T
Kdelr1-T,Gm38299-T
Atg4d-T,Mrps18c-T
Atg4d-T,Dcp2-T
Atg4d-T,Btbd1-T
Atg4d-T,Plekhg5-T
Atg4d-T,Naip6-T
Arrdc2-T,2810021J22Rik-T
Arrdc2-T,Pum1-T
Arrdc2-T,Dmxl1-T
Arrdc2-T,Lmbrd2-T
Arrdc2-T,B230217C12Rik-T
Etv3-T,Ywhah-T
Etv3-T,Cxcl14-T
Etv3-T,Ogdhl-T
Etv3-T,Ndufv3-T
Etv3-T,Impact-T
Etv3-T,Rps26-T
Etv3-T,Ctso-T
Etv3-T,Nans-T
Etv3-T,Rpgr-T
Etv3-T,Zcchc12-T
