node1,node2
3-Aminobutanoic acid-F,"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P"
3-Aminobutanoic acid-F,Dihydrouracil-P
3-Aminobutanoic acid-F,Indole-3-lactic acid-P
Butyl caprylate-F,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline-P"
Deoxyglucose-F,"Octane, 1-propoxy--P"
Erythritol-F,2-Hydroxybutyric acid-P
Erythritol-F,Tetradecanenitrile-P
L-Glutamine-F,"2,2-Diallylpyrrolidine-P"
L-Norvaline-F,10-Heptadecenoic acid-P
L-Norvaline-F,"alpha-L-Galactopyranoside, methyl 6-deoxy-, (R,R,R,S,S)--P"
L-Norvaline-F,Arsenous acid-P
L-Norvaline-F,Glyceric acid-P
L-Norvaline-F,Indole-3-lactic acid-P
L-Norvaline-F,L-Alanine-P
L-Norvaline-F,L-Isoleucine-P
L-Norvaline-F,Palmitelaidic acid-P
L-Serine-F,10-Heptadecenoic acid-P
L-Serine-F,2-Isopropyl-5-methyl-1-heptanol-P
L-Serine-F,3-Aminobutanoic acid-P
L-Serine-F,3-Methoxysalicylic acid-P
L-Serine-F,5-Hydroxyquinoline-P
L-Serine-F,"Benzaldehyde, 2,5-dimethyl--P"
L-Serine-F,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P"
L-Serine-F,Dinoseb-P
L-Serine-F,DL-Glyceraldehyde-P
L-Serine-F,"Dodecane, 4,6-dimethyl--P"
L-Serine-F,Indole-3-lactic acid-P
L-Serine-F,Isofucosterol-P
L-Serine-F,Mirin-P
L-Serine-F,N-Isobutyrylglycine-P
L-Serine-F,"N,O-Bis(trimethylsilyl)carbamate-P"
N-Acetylglucosamine-F,Cyclobutanol-P
N-Acetylglucosamine-F,Dinoseb-P
N-Acetylglucosamine-F,Isofucosterol-P
N-Acetylglucosamine-F,Tartronic acid-P
N-Acetylglucosamine-F,Trimethylsilyl oct-2-enoate-P
Niacinamide-F,4-Hydroxybutanoic acid-P
Thr-Leu-F,"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine-P"
Thr-Leu-F,Butylated Hydroxytoluene-P
Thr-Leu-F,Myristic acid-P
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-F",4-Hydroxybenzaldehyde-P
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-F","L-Tryptophan, N-acetyl-1-P"
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F","Benzaldehyde, 2,5-dimethyl--P"
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F",DL-Ornithine-P
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F","Erythrono-1,4-lactone, (Z)--P"
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F",Ethanolamine-P
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F","Glycine, N-(1-oxobutyl)--P"
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F",Tetradecanenitrile-P
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F",1-Aminocyclopropanecarboxylic acid-P
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F","1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine-P"
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F","2,2-Diallylpyrrolidine-P"
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F",3-Amino-2-piperidone-P
