node1,node2
Mrps5-C,alpha-Linolenic acid-P
Shc1-C,"Stigmast-5-ene, 3beta--P"
Cope-C,"1-Phenyl-1,2-ethanediol-P"
Tmem62-C,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)--P"
Tmem62-C,Octanoic acid-P
Nedd4-C,"2,4-Imidazolidinedione, 5,5-dimethyl--P"
Nedd4-C,"2,5-Piperazinedione, 3-benzyl-6-isopropyl--P"
Nedd4-C,"3,5-Dimethylpyrazole-P"
Nedd4-C,"Benzimidazole, 5-trifluoromethyl-2-methyl--P"
Nedd4-C,"Benzoic acid, pentadecyl ester-P"
Nedd4-C,Nitrosothymol-P
Exph5-C,Trimidox-P
Dnajc21-C,Adipoyl-L-carnitine-P
Wbp11-C,1-Deoxypentitol-P
Wbp11-C,"2,5-Piperazinedione, 3-benzyl-6-isopropyl--P"
Wbp11-C,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene-P"
Wbp11-C,"6,7,4'-Trihydroxyisoflavone-P"
Wbp11-C,"Benzoic acid, pentadecyl ester-P"
Wbp11-C,Cadaverine-P
Wbp11-C,D-(-)-Citramalic acid-P
Wbp11-C,Dinoseb-P
Wbp11-C,DL-Glyceraldehyde-P
Wbp11-C,Isofucosterol-P
Wbp11-C,Methyl aminoacetate-P
Wbp11-C,"N,O-Bis(trimethylsilyl)carbamate-P"
Wbp11-C,Nonadecanoic acid-P
Wbp11-C,p-Toluic acid-P
Wbp11-C,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]--P"
Ptges3-C,"2-(2,5-Dimethoxy-phenyl)-propionaldehyde-P"
Fcf1-C,3-Methoxysalicylic acid-P
Fcf1-C,Cadaverine-P
Fcf1-C,"N,O-Bis(trimethylsilyl)carbamate-P"
Fcf1-C,p-Toluic acid-P
Ttf1-C,3'-(Trimethylsilyl)oxy-beta-naphthoflavone-P
Ttf1-C,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P"
Ttf1-C,Methylmalonic monoamide-P
Usf3-C,Isopropyl palmitate-P
Usf3-C,N-Isovaleroylglycine-P
Zkscan8-C,Hydracrylic acid-P
Silc1-C,"6,7,4'-Trihydroxyisoflavone-P"
Fn3krp-C,Isofucosterol-P
Pak2-C,Dinoseb-P
Pak2-C,Isopropyl palmitate-P
Pak2-C,Methyl aminoacetate-P
Hmces-C,"Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)--P"
Hmces-C,Tartronic acid-P
Dhx29-C,Adipoyl-L-carnitine-P
Dhx29-C,N-Valerylglycine-P
Gm43339-C,1-Hydroxy-3-methoxy-6-methylanthraquinone-P
Scyl1-C,Triethanolamine-P
