node1,node2
Ckmt1-S,Ggct-S
Ckmt1-S,Snap47-S
Ckmt1-S,Pea15a-S
Ckmt1-S,Mpped2-S
Ckmt1-S,H13-S
Ckmt1-S,Cdk17-S
Ckmt1-S,Psmc5-S
Ckmt1-S,Abi2-S
Ckmt1-S,Rbms1-S
Ckmt1-S,Prps1-S
Ckmt1-S,Rbm8a-S
Ckmt1-S,Dock3-S
Ckmt1-S,Tbc1d22b-S
Ckmt1-S,Mrps12-S
Ckmt1-S,Trank1-S
Acvrl1-S,Calb2-S
Acvrl1-S,Rxrg-S
Acvrl1-S,Rarb-S
Acvrl1-S,Adora2a-S
Acvrl1-S,Fkbp1b-S
Acvrl1-S,Vti1b-S
Acvrl1-S,Strn-S
Acvrl1-S,Kcnab1-S
Acvrl1-S,Agbl5-S
Acvrl1-S,C2cd2l-S
Acvrl1-S,Jcad-S
Acvrl1-S,Rundc1-S
Acvrl1-S,Dgki-S
Acvrl1-S,Scube3-S
Acvrl1-S,Basp1-S
Acvrl1-S,Gng7-S
Acvrl1-S,Slc35d3-S
Acvrl1-S,Kcnip1-S
Acvrl1-S,Spock3-S
Acvrl1-S,Fxyd6-S
Acvrl1-S,Gpr88-S
Acvrl1-S,Tlnrd1-S
Acvrl1-S,Htr1d-S
Acvrl1-S,Gm6556-S
Tcf7-S,Rnf144a-S
Tcf7-S,Sec14l1-S
Tcf7-S,Cacna2d3-S
Tcf7-S,Fbxl16-S
Tcf7-S,Tgfa-S
Tcf7-S,Scube3-S
Tcf7-S,Penk-S
Tcf7-S,Basp1-S
Tcf7-S,Gng7-S
Tcf7-S,Gpr88-S
Tcf7-S,Hspa1a-S
Tcf7-S,Fsbp-S
Slc5a5-S,Zim1-S
Slc5a5-S,Calb2-S
Slc5a5-S,Amz2-S
Slc5a5-S,Cacng4-S
Slc5a5-S,Coch-S
Slc5a5-S,Cacna2d3-S
Slc5a5-S,Rhobtb2-S
Slc5a5-S,Laptm4b-S
Slc5a5-S,Adcy5-S
Slc5a5-S,Msh2-S
Slc5a5-S,Fkbp4-S
Slc5a5-S,Col6a3-S
Slc5a5-S,Kcnip1-S
Slc5a5-S,Spock3-S
Slc5a5-S,Grb2-S
Slc5a5-S,Gpr88-S
Zfp512b-S,C2cd2l-S
Zfp512b-S,Klf16-S
Zfp512b-S,Cisd3-S
Dnajc5-S,Hbp1-S
Dnajc5-S,Snap47-S
Dnajc5-S,Wif1-S
Dnajc5-S,Sec14l1-S
Dnajc5-S,Adcy5-S
Dnajc5-S,Erlin1-S
Dnajc5-S,Nop56-S
Dnajc5-S,Scap-S
Dnajc5-S,Arel1-S
Dnajc5-S,Slc24a3-S
Dnajc5-S,Gm37124-S
Luzp1-S,1500015L24Rik-S
Kctd10-S,Cyria-S
Ckb-S,Kcnab1-S
Efnb2-S,St8sia5-S
Efnb2-S,Gtf3c1-S
Efnb2-S,Acadm-S
Efnb2-S,Gm29325-S
Jup-S,Ctnna1-S
Tspan33-S,Npr2-S
Tspan33-S,1700017B05Rik-S
Esam-S,Coch-S
Esam-S,Msh2-S
Esam-S,Naa40-S
Esam-S,Enho-S
Emd-S,Aldh3a2-S
Emd-S,Tmx3-S
Pnck-S,Ly6h-S
Pnck-S,Rbms1-S
Pnck-S,Enho-S
Pnck-S,Rbm8a-S
Ift46-S,Derl1-S
Ift46-S,Ttc22-S
Ift46-S,4921539H07Rik-S
Tmem25-S,Htr1a-S
Tmem25-S,Tomm70a-S
Tmem25-S,Itga4-S
Tmem25-S,Agbl5-S
Tmem25-S,Dscam-S
Tmem25-S,Clec12a-S
Tmem25-S,Tlnrd1-S
Ddb2-S,Cpxm1-S
Ddb2-S,Pkia-S
Smg9-S,Gemin7-S
Smg9-S,Kndc1-S
Zim1-S,Calb2-S
Zim1-S,Amz2-S
Zim1-S,Gm26814-S
Nr2f6-S,Arl2bp-S
Rgs20-S,Cacng2-S
Rgs20-S,Rnf144a-S
Rgs20-S,Synpo2-S
Rgs20-S,Lrrc4c-S
Ggct-S,Lmtk2-S
Ggct-S,Ubr7-S
Ggct-S,Tcf15-S
Hbp1-S,Mpped2-S
Zfp959-S,Vldlr-S
Prkcsh-S,Pmm1-S
Prkcsh-S,Map1lc3b-S
Prkcsh-S,Spr-S
Prkcsh-S,Tspyl5-S
Prkcsh-S,Wdr89-S
Prkcsh-S,Pcdhb13-S
Dll3-S,Stk32a-S
Impdh1-S,Polr3c-S
Calb2-S,Ctnnbip1-S
Calb2-S,Dgki-S
Calb2-S,Col6a3-S
Calb2-S,Kcnip1-S
Calb2-S,Gpr88-S
Farsa-S,Thop1-S
Farsa-S,Pea15a-S
Farsa-S,Mpped2-S
Farsa-S,Ly6h-S
Farsa-S,Rbms1-S
Farsa-S,Ip6k2-S
Farsa-S,Lmo2-S
Farsa-S,Slc39a12-S
Farsa-S,Vps41-S
Farsa-S,AI593442-S
Cdip1-S,Tmem160-S
Cdip1-S,Uqcr11-S
Cdip1-S,Atp5po-S
Ptpn6-S,Thop1-S
Dtx2-S,Rgl2-S
Celf1-S,Laptm4b-S
Celf1-S,Mapk8ip2-S
Celf1-S,Dctn2-S
Celf1-S,Ddx31-S
Celf1-S,Saraf-S
Celf1-S,Spr-S
Celf1-S,Spryd3-S
Celf1-S,Stk32a-S
Celf1-S,Gemin7-S
Celf1-S,Pcdhb7-S
Celf1-S,Snrnp70-S
Celf1-S,C230014O12Rik-S
Epor-S,Pmvk-S
Epor-S,Pgap4-S
Epor-S,mt-Nd1-S
Rundc3a-S,Mpped2-S
Rundc3a-S,Mapt-S
Rundc3a-S,Osbpl8-S
Rundc3a-S,Id4-S
Rundc3a-S,Gfra2-S
Rundc3a-S,Ly6e-S
Rundc3a-S,Abi2-S
Rundc3a-S,Gad2-S
Rundc3a-S,Acot7-S
Rundc3a-S,Gucy1a1-S
Rundc3a-S,Arx-S
Rundc3a-S,Mturn-S
Rundc3a-S,Pgap4-S
Rundc3a-S,Strip2-S
Rundc3a-S,Ywhag-S
Rundc3a-S,Gm5093-S
Snai3-S,Zdhhc18-S
Snai3-S,Dscam-S
Eif1b-S,Gfra2-S
Eif1b-S,Cbln2-S
Eif1b-S,St8sia5-S
Eif1b-S,Pmvk-S
Eif1b-S,Fchsd2-S
Eif1b-S,Gclc-S
Eif1b-S,Sgsm1-S
Eif1b-S,Trp53bp1-S
Eif1b-S,Fbxo28-S
Crlf1-S,Strn-S
Crlf1-S,St8sia5-S
Crlf1-S,Gabra4-S
Crlf1-S,Hspa1a-S
Elavl2-S,Snap47-S
Elavl2-S,Rarb-S
Elavl2-S,Fkbp1b-S
Elavl2-S,Sec14l1-S
Elavl2-S,Cacna2d3-S
Elavl2-S,Oxr1-S
Elavl2-S,Adcy5-S
Elavl2-S,Fbxl16-S
Elavl2-S,Abi2-S
Elavl2-S,C2cd2l-S
Elavl2-S,Jcad-S
Elavl2-S,Klf16-S
Elavl2-S,Rsrp1-S
Elavl2-S,Scn4b-S
Elavl2-S,Fbxo28-S
Elavl2-S,Slc24a3-S
Elavl2-S,Gpr88-S
Elavl2-S,Cisd3-S
Snap47-S,Mpped2-S
Snap47-S,Psmc5-S
Snap47-S,Sec14l1-S
Snap47-S,Ly6e-S
Snap47-S,Strn-S
Snap47-S,Abi2-S
Snap47-S,Pmvk-S
Snap47-S,Spryd3-S
Snap47-S,Abhd2-S
Snap47-S,Pgap4-S
Snap47-S,Hey1-S
Snap47-S,Tbc1d22b-S
Snap47-S,Scn4b-S
Snap47-S,Cisd3-S
Sugp1-S,Parm1-S
Sugp1-S,Rapgef5-S
Sugp1-S,Slc35d3-S
Sugp1-S,Elapor2-S
Sugp1-S,Syne2-S
Pgam1-S,Pabpn1-S
Pgam1-S,Ly6h-S
Pgam1-S,Niban1-S
Pgam1-S,Rbms1-S
Pgam1-S,Slc35e2-S
Pgam1-S,Firre-S
Rps5-S,Atp5po-S
Rps5-S,Mrpl30-S
Rps5-S,Plekhj1-S
Pea15a-S,Mpped2-S
Pea15a-S,Nars2-S
Pea15a-S,Rnf144a-S
Pea15a-S,Psmc5-S
Pea15a-S,Pabpn1-S
Pea15a-S,Ly6h-S
Pea15a-S,Fbxl16-S
Pea15a-S,Abi2-S
Pea15a-S,Rbms1-S
Pea15a-S,Gtf3c1-S
Pea15a-S,Slc39a12-S
Pea15a-S,Tbc1d22b-S
Pea15a-S,Mrps12-S
Pea15a-S,Stk19-S
Pea15a-S,Trank1-S
Pea15a-S,Slc24a3-S
Pea15a-S,AI593442-S
Trnt1-S,Zbtb40-S
Xk-S,Aasdhppt-S
Dennd6b-S,Sike1-S
Dennd6b-S,Inha-S
Rxrg-S,Rarb-S
Rxrg-S,Adora2a-S
Rxrg-S,Osbpl8-S
Rxrg-S,Fkbp1b-S
Rxrg-S,Rnf144a-S
Rxrg-S,Cacng4-S
Rxrg-S,Vti1b-S
Rxrg-S,Adcy2-S
Rxrg-S,Rhobtb2-S
Rxrg-S,Oxr1-S
Rxrg-S,Adcy5-S
Rxrg-S,Lpin2-S
Rxrg-S,Strn-S
Rxrg-S,Agbl5-S
Rxrg-S,Mkrn1-S
Rxrg-S,Ift122-S
Rxrg-S,C2cd2l-S
Rxrg-S,Jcad-S
Rxrg-S,Klf16-S
Rxrg-S,Scube3-S
Rxrg-S,Vps41-S
Rxrg-S,Scn4b-S
Rxrg-S,Slc35d3-S
Rxrg-S,Spock3-S
Rxrg-S,Hes6-S
Rxrg-S,Gpr88-S
Rxrg-S,4921539H07Rik-S
Macroh2a1-S,Pdlim3-S
Macroh2a1-S,Timm17a-S
Macroh2a1-S,Gm10699-S
Macroh2a1-S,Gm26881-S
Fli1-S,Amigo2-S
Mpped2-S,Rarb-S
Mpped2-S,Osbpl8-S
Mpped2-S,Psmc5-S
Mpped2-S,Id4-S
Mpped2-S,Ly6e-S
Mpped2-S,Ptk7-S
Mpped2-S,Erlin1-S
Mpped2-S,Abi2-S
Mpped2-S,Rbms1-S
Mpped2-S,Acot7-S
Mpped2-S,Prps1-S
Mpped2-S,Gtf3c1-S
Mpped2-S,Ano2-S
Mpped2-S,Tbc1d22b-S
Mpped2-S,Mrps12-S
Mpped2-S,Scn4b-S
Mpped2-S,Spock3-S
Mpped2-S,Trank1-S
Mpped2-S,4921539H07Rik-S
Atxn10-S,Rarb-S
Atxn10-S,Cacng4-S
Atxn10-S,Sec14l1-S
Atxn10-S,Cacna2d3-S
Atxn10-S,Ly6h-S
Atxn10-S,Adcy5-S
Atxn10-S,Pdia5-S
Atxn10-S,Lpin2-S
Atxn10-S,Strn-S
Atxn10-S,Fbxl16-S
Atxn10-S,Rbms1-S
Atxn10-S,Kcnq5-S
Atxn10-S,Mkrn1-S
Atxn10-S,Jcad-S
Atxn10-S,Scn4b-S
Atxn10-S,Slc35d3-S
Atxn10-S,Slc24a3-S
Atxn10-S,mt-Cytb-S
Atxn10-S,Hes6-S
Atxn10-S,AI593442-S
Mrps18c-S,Arel1-S
Rarb-S,Adora2a-S
Rarb-S,Osbpl8-S
Rarb-S,Fkbp1b-S
Rarb-S,Rnf144a-S
Rarb-S,Cacng4-S
Rarb-S,Sec14l1-S
Rarb-S,Id4-S
Rarb-S,Cacna2d3-S
Rarb-S,Rhobtb2-S
Rarb-S,Oxr1-S
Rarb-S,Tomm70a-S
Rarb-S,Adcy5-S
Rarb-S,Tiam2-S
Rarb-S,Strn-S
Rarb-S,Erlin1-S
Rarb-S,Fbxl16-S
Rarb-S,Abi2-S
Rarb-S,Rbms1-S
Rarb-S,Kcnab1-S
Rarb-S,Acot7-S
Rarb-S,Agbl5-S
Rarb-S,Gabra4-S
Rarb-S,Mkrn1-S
Rarb-S,Cmas-S
Rarb-S,C2cd2l-S
Rarb-S,Adra2a-S
Rarb-S,Jcad-S
Rarb-S,Klf16-S
Rarb-S,Scube3-S
Rarb-S,Wdr17-S
Rarb-S,Scn4b-S
Rarb-S,Gng7-S
Rarb-S,Synpo2-S
Rarb-S,Slc35d3-S
Rarb-S,Kcnip1-S
Rarb-S,Spock3-S
Rarb-S,Galnt13-S
Rarb-S,Ccdc177-S
Rarb-S,Slc24a3-S
Rarb-S,mt-Cytb-S
Rarb-S,Hes6-S
Rarb-S,Gpr88-S
Rarb-S,AI593442-S
Rarb-S,Cisd3-S
Rarb-S,4921539H07Rik-S
Mapt-S,Gfra2-S
Mapt-S,Ebag9-S
Mapt-S,St8sia5-S
Mapt-S,Gad2-S
Mapt-S,Gclc-S
Mapt-S,Mturn-S
Mapt-S,Pgap4-S
Mapt-S,Strip2-S
Mapt-S,Sgsm1-S
Mapt-S,Cisd3-S
Acadvl-S,Pmvk-S
Acadvl-S,Spr-S
Smyd4-S,Hs1bp3-S
Mrpl58-S,Efl1-S
Cxcl16-S,Sh3d19-S
Nars2-S,Rgl2-S
Nars2-S,Galnt13-S
Cacng2-S,Tspyl5-S
Cacng2-S,Samd14-S
Cacng2-S,Tspear-S
Tmem160-S,P3h2-S
H13-S,Cdk17-S
H13-S,Rnf144a-S
H13-S,Tomm70a-S
H13-S,Fbxl16-S
H13-S,Abi2-S
H13-S,Rbms1-S
H13-S,Kcnq5-S
H13-S,Adra2a-S
H13-S,Ano2-S
H13-S,Scn4b-S
H13-S,Stk19-S
H13-S,Lrrc8b-S
Utrn-S,Adora2a-S
Utrn-S,Id4-S
Utrn-S,Adcy2-S
Utrn-S,Gfra2-S
Utrn-S,Cbln2-S
Utrn-S,Casq2-S
Utrn-S,Agbl5-S
Utrn-S,Isl1-S
Utrn-S,Spock3-S
Utrn-S,Sez6l-S
Utrn-S,Galnt13-S
Utrn-S,4833418N02Rik-S
Utrn-S,1500015L24Rik-S
Utrn-S,Pcdhga6-S
Fyn-S,Zfp523-S
Fyn-S,Tnks-S
Fyn-S,Fbxo25-S
Fyn-S,Egfem1-S
Smpdl3a-S,Zfp523-S
Bltp3b-S,Mrnip-S
Bltp3b-S,1700017B05Rik-S
Cfap54-S,Ccdc30-S
Cfap54-S,Gm9930-S
Cdk17-S,Tiam2-S
Cdk17-S,Fbxl16-S
Cdk17-S,Abi2-S
Cdk17-S,Kcnq5-S
Cdk17-S,Mkrn1-S
Cdk17-S,Copg1-S
Cdk17-S,Nmnat3-S
Cdk17-S,Kctd1-S
Cdk17-S,Fam13b-S
Cdk17-S,Slc39a12-S
Cdk17-S,Wdr17-S
Cdk17-S,Tbc1d22b-S
Cdk17-S,Slc35d3-S
Cdk17-S,Manbal-S
Cdk17-S,Lrrc8b-S
Cdk17-S,Ap1ar-S
Micu1-S,Polr1g-S
Micu1-S,Pld5-S
Micu1-S,Sez6l-S
Micu1-S,Zfp389-S
Slc1a4-S,Cep63-S
Slc1a4-S,Spns2-S
Slc1a4-S,C230014O12Rik-S
Uqcr11-S,Pmm1-S
Uqcr11-S,Atp5po-S
Uqcr11-S,Ip6k1-S
Uqcr11-S,Ndufa13-S
Uqcr11-S,Efl1-S
Uqcr11-S,Tspyl5-S
Uqcr11-S,Lamtor4-S
Uqcr11-S,Uqcr10-S
Adora2a-S,Cacng4-S
Adora2a-S,Adcy2-S
Adora2a-S,Cacna2d3-S
Adora2a-S,Gfra2-S
Adora2a-S,Adcy5-S
Adora2a-S,Cbln2-S
Adora2a-S,Erlin1-S
Adora2a-S,St8sia5-S
Adora2a-S,Kcnab1-S
Adora2a-S,Bend5-S
Adora2a-S,Tgfa-S
Adora2a-S,Cntnap4-S
Adora2a-S,Jcad-S
Adora2a-S,Scube3-S
Adora2a-S,Efhd2-S
Adora2a-S,Mfsd6-S
Adora2a-S,Penk-S
Adora2a-S,Basp1-S
Adora2a-S,Gng7-S
Adora2a-S,Dscam-S
Adora2a-S,Kcnip1-S
Adora2a-S,Spock3-S
Adora2a-S,Sez6l-S
Adora2a-S,Gpr88-S
Adora2a-S,Tlnrd1-S
Osbpl8-S,Cacng4-S
Osbpl8-S,Coch-S
Osbpl8-S,Adcy2-S
Osbpl8-S,Mtx3-S
Osbpl8-S,Htr1a-S
Osbpl8-S,Cacna2d3-S
Osbpl8-S,Rhobtb2-S
Osbpl8-S,Oxr1-S
Osbpl8-S,Ly6e-S
Osbpl8-S,Ptk7-S
Osbpl8-S,Strn-S
Osbpl8-S,Adgra1-S
Osbpl8-S,Agbl5-S
Osbpl8-S,Mkrn1-S
Osbpl8-S,Map1lc3b-S
