node1,node2,layer1,layer2
2-Hydroxy-3-methylbutyric acid,Argininosuccinic acid,1,2
2-Hydroxy-3-methylbutyric acid,"2,5-Dimethoxyphenol",1,1
2-Hydroxy-3-methylbutyric acid,2-tert-Butyl-4-ethylphenol ,1,2
2-Hydroxy-3-methylbutyric acid,6-Hydroxyhexanoic acid,1,1
2-Hydroxy-3-methylbutyric acid,Decanoic acid,1,1
2-Hydroxy-3-methylbutyric acid,Glycerol tricaprylate,1,2
2-Hydroxy-3-methylbutyric acid,"Hexadecanoic acid, ethyl ester",1,2
Decanoic acid,D-(+)-Talofuranose,1,1
Decanoic acid,Glycerol tricaprylate,1,2
3-Hydroxypicolinic acid,trans-Coniferryl alchool,3,2
trans-Coniferryl alchool,3-Hydroxyisovaleric acid,2,1
trans-Coniferryl alchool,D-(+)-Glucosamine,2,1
trans-Coniferryl alchool,"Inosose-2, myo",2,1
4-Pentenoic acid,Glycolic acid,2,1
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",1-Tetradecanol,2,1
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",Cyclohexanecarboxylic acid,2,1
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl","Hexadecanoic acid, methyl ester",2,2
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",Lignoceric acid,2,1
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",Phenol,2,1
Glycolic acid,"Propanoic acid, 2-oxo",1,2
Acetohydroxamic acid,5-Hydroxy-2-methylpyridine,4,3
5-Hydroxy-2-methylpyridine,Ethyl glycolate,3,2
Argininosuccinic acid,"Hexadecanoic acid, tetradecyl ester",2,1
"Hexadecanoic acid, tetradecyl ester",Methyl beta-Arabinofuranoside,1,2
Butyl caprylate,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",1,2
Butyl caprylate,Arabinitol,1,1
Butyl caprylate,"cis,cis,cis-1-Isobutyl-2,5-dimethylcyclohexane",1,2
Butyl caprylate,phenoxyethanol,1,2
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane","Methyl galactoside (1S,2S,3S,4R,5R)",2,3
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",Octadecyl octyl ether,2,1
Arabinitol,2-tert-Butyl-4-ethylphenol ,1,2
phenoxyethanol,2-Pentenedioic acid,2,3
phenoxyethanol,2-tert-Butyl-4-ethylphenol ,2,2
phenoxyethanol,5-Hydroxymethyl-2-furoic acid,2,1
L-(-)-Sorbofuranose,Hydracrylic acid,1,1
L-(-)-Sorbofuranose,L-5-Oxoproline,1,1
L-(-)-Sorbofuranose,L-Glutamic acid,1,1
L-(-)-Sorbofuranose,Methylsuccinic acid,1,1
L-(-)-Sorbofuranose,"N,N-Diethyl-2-aminoethanol",1,2
L-(-)-Sorbofuranose,Niacin,1,1
L-(-)-Sorbofuranose,Pantothenic acid ,1,2
Ethanamine,1-Octadecanol,2,1
1-Octadecanol,"2-Furanacetaldehyde, tetrahydro-alpha",1,1
1-Octadecanol,"Acetamide, N-(2-butyl)-N-methyl-",1,2
1-Octadecanol,d-Erythrotetrofuranose,1,2
1-Octadecanol,Isopropyl palmitate,1,2
L-Asparagine,3-Amino-2-piperidone,4,3
3-Amino-2-piperidone,Glycerol tricaprylate,3,2
alpha-Tocopheryl acetate,4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,1,1
D-Ribose,alpha-Ketoisovaleric acid,1,2
L-Hydroxyproline,Niacinamide,2,1
L-Hydroxyproline,Arabinose,2,1
L-Hydroxyproline,Pyrrole-2-carboxylic acid,2,1
Niacinamide,"2,6-Di-O-methyl-d-galactopyranose",1,2
Niacinamide,"2-Pentenedioic acid, 2-hydroxy-",1,1
Niacinamide,Methylsuccinic acid,1,1
Niacinamide,N-Acetyl-L-glutamic acid,1,1
Niacinamide,Niacin,1,1
Pyrrole-2-carboxylic acid,1-Octanol,1,1
"beta-D-Galactopyranoside, methyl-, acetate","2',2,3,6'-Tetramethoxychalcone",1,1
"beta-D-Galactopyranoside, methyl-, acetate",5-Aminovaleric acid,1,2
"beta-D-Galactopyranoside, methyl-, acetate",Lignoceric acid,1,1
Hexanedioic acid,1-Monopalmitin,2,1
Hexanedioic acid,1-Octanol,2,1
Myristic acid,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",1,1
Myristic acid,2'-Deoxyribolactone,1,1
Myristic acid,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",1,2
Myristic acid,"Hexadecanoic acid, 4-hydroxybutyl ester",1,1
Myristic acid,"Hexadecanoic acid, methyl ester",1,2
Myristic acid,Pentadecanoic acid,1,1
Stearic acid,Benzoic Acid,2,1
Xylose,Monolaurin,1,1
L-Norvaline,4-Hydroxybenzoic acid,1,1
L-Norvaline,"Thymidine, 5'-phosphate",1,2
4-Hydroxybenzoic acid,N-Methyl-alpha-aminoisobutyric acid,1,1
4-Hydroxybenzoic acid,1-Octanol,1,1
4-Hydroxybenzoic acid,Kojic acid,1,2
"Thymidine, 5'-phosphate",9H-Purin-6-ol,2,1
L-Serine,Cytosine,1,1
L-Serine,L-(+)-Rhamnopyranose,1,2
L-Serine,L-Valine,1,1
L-(+)-Rhamnopyranose,"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",2,2
L-(+)-Rhamnopyranose,5-Hydroxymethyl-2-furoic acid,2,1
L-(+)-Rhamnopyranose,Glycerol tricaprylate,2,2
L-(+)-Rhamnopyranose,Palmitelaidic acid,2,2
L-(+)-Rhamnopyranose,"Pentanoic acid, 4-methyl-2-oxo-",2,3
L-Valine,4-Hydroxybenzaldehyde,1,1
L-Valine,4-Hydroxybenzeneacetic acid,1,2
L-Valine,D-(+)-Glucosamine,1,1
N-Acetylglucosamine,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",1,2
N-Acetylglucosamine,"D-(+)-Ribono-1,4-lactone ",1,1
