node1,node2
ENSMUSG00000055681,"2,4-Di-tert-butylphenol"
ENSMUSG00000032216,L-Valine
ENSMUSG00000025979,Deoxyglucose
ENSMUSG00000044224,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy"
ENSMUSG00000030216,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)"
ENSMUSG00000030216,L-Aspartic acid
ENSMUSG00000030216,L-Valine
ENSMUSG00000030216,Methylsuccinic acid
ENSMUSG00000016495,2-Pyrrolidinone
ENSMUSG00000016495,Decyl oleate
ENSMUSG00000016495,DL-Phenylalanine
ENSMUSG00000016495,"Gluconolactone (3R,4S,5R,6R)"
ENSMUSG00000016495,L-Isoleucine
ENSMUSG00000036188,5-Oxohexanoic Acid
ENSMUSG00000068284,Deoxycholic Acid
ENSMUSG00000068284,D-Fructose
ENSMUSG00000068284,L-Valine
ENSMUSG00000063894,D-(-)-Fructopyranose
ENSMUSG00000027536,"2-Butenoic acid, 2-hydroxy-"
ENSMUSG00000069727,1-Hexacosene
ENSMUSG00000069727,"2,5-Dimethoxyphenol"
ENSMUSG00000069727,"2-Allyl-1,4-dimethoxybenzene "
ENSMUSG00000069727,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester"
ENSMUSG00000069727,3-Hexenedioic acid
ENSMUSG00000042118,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy"
ENSMUSG00000094002,Vanillin
ENSMUSG00000039253,"2,5-Dimethoxyphenol"
ENSMUSG00000039253,"2-Allyl-1,4-dimethoxybenzene "
ENSMUSG00000039253,2-Ethylhexanoic acid
ENSMUSG00000039253,pyrazole
ENSMUSG00000039253,beta-Alanine
ENSMUSG00000039253,L-5-Oxoproline
ENSMUSG00000039253,L-Isoleucine
ENSMUSG00000039253,L-Valine
ENSMUSG00000039253,Niacin
ENSMUSG00000039253,Phenol
ENSMUSG00000039253,Syringaldehyde
ENSMUSG00000039253,Urea
ENSMUSG00000036371,1-Dodecanol
ENSMUSG00000036371,Benzoic Acid
ENSMUSG00000036371,D-Allofuranose
ENSMUSG00000036371,Phenol
ENSMUSG00000094595,L-Valyl-L-leucine
ENSMUSG00000041126,Azelaic acid
ENSMUSG00000041126,l-Leucyl-l-valine
ENSMUSG00000034064,"1,4-Butanediol"
ENSMUSG00000034064,5-Oxohexanoic Acid
ENSMUSG00000035295,3-Buten-2-one
ENSMUSG00000022781,DL-Phenylalanine
ENSMUSG00000022781,D-Ribose
ENSMUSG00000022781,L-Valine
ENSMUSG00000030060,"2-Allyl-1,4-dimethoxybenzene "
ENSMUSG00000027642,D-(-)-Ribofuranose
ENSMUSG00000105382,1-Tetradecanol
ENSMUSG00000105382,Pyrogallol
ENSMUSG00000105382,Tripropylene glycol monomethyl ether
ENSMUSG00000024081,DL-Phenylalanine
ENSMUSG00000024081,L-Valine
ENSMUSG00000030094,Supraene
ENSMUSG00000046711,Pentadecanoic acid
ENSMUSG00000034647,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol
ENSMUSG00000020108,L-Glutamic acid
ENSMUSG00000022246,L-Rhamnose
ENSMUSG00000102840,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone"
ENSMUSG00000004698,1-Tetradecanol
ENSMUSG00000004698,alpha-Linolenic acid
ENSMUSG00000004698,Monomethyl succinate
ENSMUSG00000004698,N-(2-hydroxyethyl)-succinimide
ENSMUSG00000004698,Phenol
ENSMUSG00000086610,2-Ethylhexanoic acid
ENSMUSG00000086610,Cyclohexanecarboxylic acid
ENSMUSG00000021903,Glyceric acid
ENSMUSG00000037262,L-Valine
ENSMUSG00000005514,D-Psicofuranose
ENSMUSG00000005514,N-(2-hydroxyethyl)-succinimide
ENSMUSG00000045128,"D-(+)-Ribono-1,4-lactone "
ENSMUSG00000045128,Hymexazole
ENSMUSG00000024805,Cyclohexanecarboxylic acid
ENSMUSG00000029198,Thr-Leu
ENSMUSG00000032482,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-"
ENSMUSG00000032482,2-Ethylhexanoic acid
ENSMUSG00000021288,Deoxyribopyranose
ENSMUSG00000023243,"2',2,3,6'-Tetramethoxychalcone"
ENSMUSG00000052751,D-(+)-Talofuranose
ENSMUSG00000005580,"Gluconolactone (3R,4S,5R,6R)"
ENSMUSG00000005580,Vanillin
ENSMUSG00000035941,2-Ethylhexanoic acid
ENSMUSG00000035941,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)"
ENSMUSG00000035941,9H-Purin-6-ol
ENSMUSG00000035941,beta-Alanine
ENSMUSG00000035941,"cis-4,5-Dihydroxy-o-dithiane"
ENSMUSG00000035941,D-(+)-Glucosamine
ENSMUSG00000035941,DL-Phenylalanine
ENSMUSG00000035941,Hydracrylic acid
ENSMUSG00000035941,L-5-Oxoproline
ENSMUSG00000035941,L-Aspartic acid
ENSMUSG00000035941,L-Glutamic acid
ENSMUSG00000035941,L-Threonine
ENSMUSG00000035941,L-Valine
ENSMUSG00000035941,Methylsuccinic acid
ENSMUSG00000035941,"N-Acetyl-D-galactosamine, (R,R,R,R)"
ENSMUSG00000035941,N-Acetyl-L-glutamic acid
ENSMUSG00000035941,Phenol
ENSMUSG00000035941,Salsoline
ENSMUSG00000035941,Syringaldehyde
ENSMUSG00000035941,Tripropylene glycol monomethyl ether
ENSMUSG00000035941,Undecanoic acid
ENSMUSG00000035941,Uracil
ENSMUSG00000035941,Urea
ENSMUSG00000036501,5-Hydroxymethyl-2-furoic acid
ENSMUSG00000033411,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)"
ENSMUSG00000033411,4-Hydroxybenzoic acid
ENSMUSG00000033411,beta-Alanine
ENSMUSG00000033411,DL-Phenylalanine
ENSMUSG00000033411,L-Aspartic acid
ENSMUSG00000033411,L-Isoleucine
ENSMUSG00000033411,L-Valine
ENSMUSG00000003527,Cyclohexanecarboxylic acid
ENSMUSG00000019907,1-Hexacosene
ENSMUSG00000019907,Pyridoxic acid
ENSMUSG00000025410,Cyclohexanol
ENSMUSG00000008690,Monolaurin
ENSMUSG00000028273,L-Isoleucine
ENSMUSG00000028273,Serine
ENSMUSG00000021585,Picolinic acid
ENSMUSG00000021585,Suberic acid
ENSMUSG00000001964,Xanthine
ENSMUSG00000001964,13-Docosenamide
ENSMUSG00000057367,1-Tetradecanol
ENSMUSG00000057367,4-Methyl-5-thiazoleethanol
ENSMUSG00000057367,Phenol
ENSMUSG00000057367,Salsoline
ENSMUSG00000031010,"1,4-Butanediol"
ENSMUSG00000031010,1-Monopalmitin
ENSMUSG00000015839,L-Norvaline
ENSMUSG00000015839,4-Hydroxybenzoic acid
ENSMUSG00000015839,"Gluconolactone (3R,4S,5R,6R)"
ENSMUSG00000038859,"2-Butenoic acid, 2-hydroxy-"
ENSMUSG00000038859,D-Ribose
ENSMUSG00000038859,Pipecolic acid
ENSMUSG00000038859,Pyrrole-2-carboxylic acid
ENSMUSG00000032724,Myristic acid
ENSMUSG00000024235,"D-(+)-Ribono-1,4-lactone "
ENSMUSG00000024235,"Inosose-2, myo"
ENSMUSG00000032301,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy"
ENSMUSG00000032301,D-Ribose
ENSMUSG00000032301,Tripropylene glycol monomethyl ether
ENSMUSG00000030862,"2-Allyl-1,4-dimethoxybenzene "
ENSMUSG00000035505,"2',2,3,6'-Tetramethoxychalcone"
ENSMUSG00000022283,L-Valine
ENSMUSG00000014195,Decyl oleate
ENSMUSG00000028885,"Arabinofuranose, 1,2,3,5-tetrakis"
ENSMUSG00000021693,D-Glucose
ENSMUSG00000021693,L-Valine
ENSMUSG00000062044,2-Piperidinone
ENSMUSG00000062044,beta-Alanine
ENSMUSG00000062044,DL-Phenylalanine
ENSMUSG00000062044,L-Isoleucine
ENSMUSG00000028441,"2,4-Di-tert-butylphenol"
ENSMUSG00000043991,Benzoic Acid
ENSMUSG00000043991,D-Allofuranose
ENSMUSG00000043991,Tetrahydrogeranyl formate
ENSMUSG00000086825,3-O-methyl-beta-D-Glucopyranose
ENSMUSG00000086825,Supraene
ENSMUSG00000041134,"2,5-Di-tert-butyl-4-hydroxyphenol"
ENSMUSG00000041134,5-Methyluridine
ENSMUSG00000041134,DL-Phenylalanine
ENSMUSG00000041134,L-Isoleucine
ENSMUSG00000041134,Uracil
ENSMUSG00000059495,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-"
ENSMUSG00000059495,L-Valine
ENSMUSG00000050822,Monolaurin
ENSMUSG00000014075,2-Ethylacetoacetate
ENSMUSG00000014075,Aconitic acid
ENSMUSG00000014075,D-(-)-Fructofuranose
ENSMUSG00000014075,"D-(+)-Ribono-1,4-lactone "
ENSMUSG00000014075,Ethyl alpha-D-glucopyranoside
ENSMUSG00000014075,"Gluconolactone (3R,4S,5R,6R)"
ENSMUSG00000014075,L-Valyl-L-leucine
ENSMUSG00000014075,Norketamine
ENSMUSG00000014075,Suberic acid
ENSMUSG00000014075,Syringaldehyde
ENSMUSG00000014075,"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate"
ENSMUSG00000035133,L-Valine
ENSMUSG00000041012,1-Tetradecanol
ENSMUSG00000041012,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)"
ENSMUSG00000041012,4-Methyl-5-thiazoleethanol
ENSMUSG00000041012,6-Hydroxyhexanoic acid
ENSMUSG00000041012,Cyclohexanemethanol
ENSMUSG00000041012,"Guanidine, N,N-dimethyl"
ENSMUSG00000041012,Hymexazole
ENSMUSG00000041012,Monomethyl succinate
ENSMUSG00000041012,N-Acetyl glucosamine methoxime
ENSMUSG00000039275,5-Methyluridine
ENSMUSG00000025060,L-Valine
ENSMUSG00000025060,Salsoline
ENSMUSG00000025060,Undecanoic acid
ENSMUSG00000013858,2-Hydroxy-3-methylbutyric acid
ENSMUSG00000057722,L-Isoleucine
ENSMUSG00000057722,L-Leucine
ENSMUSG00000020777,l-Leucyl-l-valine
ENSMUSG00000043467,2-Aminobutanoic acid
ENSMUSG00000043467,3-Hexenedioic acid
ENSMUSG00000043467,Decanoic acid
ENSMUSG00000043467,Undecanoic acid
ENSMUSG00000024921,Deoxycholic Acid
ENSMUSG00000030016,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-"
