ID,Mean Log2 Fold Change Direction (DSS)
ENSMUSG00000027374-P,-1
ENSMUSG00000042626-P,1
ENSMUSG00000055681-P,1
ENSMUSG00000028412-P,-1
ENSMUSG00000054484-P,1
ENSMUSG00000024425-P,1
ENSMUSG00000032216-P,-1
ENSMUSG00000025979-P,1
ENSMUSG00000051343-P,1
ENSMUSG00000035443-P,1
ENSMUSG00000028991-P,1
ENSMUSG00000036948-P,1
ENSMUSG00000033900-P,-1
ENSMUSG00000041936-P,1
ENSMUSG00000034584-P,-1
ENSMUSG00000068921-P,1
ENSMUSG00000049670-P,1
ENSMUSG00000044224-P,-1
ENSMUSG00000030216-P,-1
ENSMUSG00000071072-P,-1
ENSMUSG00000021243-P,1
ENSMUSG00000016495-P,-1
ENSMUSG00000026803-P,-1
ENSMUSG00000036188-P,-1
ENSMUSG00000068284-P,-1
ENSMUSG00000033237-P,-1
ENSMUSG00000063894-P,-1
ENSMUSG00000027536-P,1
ENSMUSG00000069727-P,-1
ENSMUSG00000042118-P,-1
ENSMUSG00000094002-P,1
ENSMUSG00000039253-P,-1
ENSMUSG00000031916-P,1
ENSMUSG00000025477-P,1
ENSMUSG00000036371-P,-1
ENSMUSG00000094595-P,1
ENSMUSG00000041126-P,1
ENSMUSG00000034064-P,1
ENSMUSG00000004591-P,-1
ENSMUSG00000035295-P,1
ENSMUSG00000085558-P,-1
ENSMUSG00000057421-P,1
ENSMUSG00000022781-P,-1
ENSMUSG00000030060-P,1
ENSMUSG00000015112-P,-1
ENSMUSG00000042426-P,1
ENSMUSG00000027642-P,1
ENSMUSG00000105382-P,-1
ENSMUSG00000024081-P,-1
ENSMUSG00000079442-P,1
ENSMUSG00000003184-P,-1
ENSMUSG00000005469-P,1
ENSMUSG00000030094-P,-1
ENSMUSG00000024941-P,1
ENSMUSG00000049295-P,1
ENSMUSG00000049097-P,-1
ENSMUSG00000070348-P,-1
ENSMUSG00000046711-P,1
ENSMUSG00000034647-P,-1
ENSMUSG00000002319-P,1
ENSMUSG00000020108-P,1
ENSMUSG00000026273-P,1
ENSMUSG00000022246-P,-1
ENSMUSG00000020308-P,1
ENSMUSG00000050910-P,1
ENSMUSG00000061533-P,-1
ENSMUSG00000102840-P,-1
ENSMUSG00000058756-P,1
ENSMUSG00000004698-P,1
ENSMUSG00000033948-P,1
ENSMUSG00000028655-P,1
ENSMUSG00000106032-P,-1
ENSMUSG00000086610-P,-1
ENSMUSG00000026309-P,1
ENSMUSG00000021903-P,1
ENSMUSG00000037262-P,-1
ENSMUSG00000026603-P,1
ENSMUSG00000005514-P,-1
ENSMUSG00000033808-P,1
ENSMUSG00000015461-P,1
ENSMUSG00000045128-P,-1
ENSMUSG00000047146-P,-1
ENSMUSG00000070705-P,-1
ENSMUSG00000040795-P,1
ENSMUSG00000031511-P,1
ENSMUSG00000024805-P,-1
ENSMUSG00000029198-P,1
ENSMUSG00000032482-P,1
ENSMUSG00000021288-P,1
ENSMUSG00000024151-P,1
ENSMUSG00000023243-P,-1
ENSMUSG00000030591-P,1
ENSMUSG00000052751-P,1
ENSMUSG00000020389-P,1
ENSMUSG00000028959-P,1
ENSMUSG00000025474-P,-1
ENSMUSG00000064370-P,-1
ENSMUSG00000005580-P,1
ENSMUSG00000030663-P,-1
ENSMUSG00000035941-P,-1
ENSMUSG00000036501-P,-1
ENSMUSG00000033411-P,-1
