Metabolite 1,Metabolite 2,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Consistent?,Can Meta-Analysis Be Calculated?,Meta-Analysis p-value,FDR
10-Heptadecenoic acid,3-Aminobutanoic acid,0.0,1.0,4,-0.0958101009530607,0.8214524032504529,8,,,0,False,False,,
10-Heptadecenoic acid,3-Hydroxypicolinic acid,0.2261498217640855,0.4797060871853366,12,-0.143607926009361,0.6561292074448724,12,0.8999999999999998,0.0373860734684987,5,False,False,,
10-Heptadecenoic acid,4-Pentenoic acid,0.6137936873188863,0.025653937298118,13,0.1506289335760301,0.6988841292948215,9,0.1428571428571428,0.7871720116618075,6,True,True,0.08729798418238349,0.2657948616377316
10-Heptadecenoic acid,Acetohydroxamic acid,0.1739134988237004,0.6090602359957553,11,0.1412304347492436,0.6787239417000244,11,0.6571428571428573,0.1561749271137023,6,True,True,0.31042408411247946,0.491851174544139
10-Heptadecenoic acid,Argininosuccinic acid,-0.0999999999999999,0.8728885715695383,5,,,0,0.3999999999999999,0.6,4,False,False,,
10-Heptadecenoic acid,Butyl caprylate,0.4285714285714286,0.2894032248467901,8,0.7113032974423645,0.0316565570333023,9,0.5,0.6666666666666667,3,True,True,0.047084900426190845,0.1860332640645826
10-Heptadecenoic acid,Deoxyglucose,0.2882999880625789,0.5306506599466652,7,,,0,0.8999999999999998,0.0373860734684987,5,False,True,0.24404922654969952,0.4391765116880256
10-Heptadecenoic acid,Dodecanedioic acid,,,0,-0.8108437164260032,0.0269163288431619,7,,,0,False,False,,
10-Heptadecenoic acid,Erythritol,-0.5690426379538917,0.1098040002091821,9,0.0,1.0,10,0.4999999999999999,0.3910022189557705,5,False,False,,
10-Heptadecenoic acid,Ethanamine,-0.1806898270534249,0.5546953331299467,13,0.1272727272727272,0.7260570147627894,10,-0.8857142857142858,0.0188454810495626,6,False,False,,
10-Heptadecenoic acid,L-Asparagine,-0.1585365853658536,0.6617869484345795,10,0.3,0.4328453267094823,9,0.3,0.6238376647810728,5,False,False,,
10-Heptadecenoic acid,L-Glutamine,-0.2066878848512219,0.5666951380068741,10,0.7999999999999999,0.2,4,0.3999999999999999,0.6,4,False,False,,
10-Heptadecenoic acid,L-Hydroxyproline,-0.2975217901113107,0.3235246405463636,13,0.378284292902707,0.2253267533928671,12,0.6,0.2079999999999998,6,False,False,,
10-Heptadecenoic acid,L-Lysine,0.5647404349335063,0.0443384405243504,13,-0.3807017543859649,0.2221328272779038,12,-1.0,0.0,3,False,False,,
10-Heptadecenoic acid,L-Norvaline,0.1015763379090602,0.7534340837808129,12,-0.170213552230418,0.6382593583672791,10,0.0285714285714285,0.9571545189504372,6,False,False,,
10-Heptadecenoic acid,L-Serine,-0.3471087551298624,0.2452366753608105,13,0.5087719298245614,0.0911831239982274,12,-0.2029198624783569,0.6997979681570189,6,False,False,,
10-Heptadecenoic acid,N-Acetylglucosamine,-0.1680447147850921,0.5831622245603264,13,0.8371291296643237,0.0006820012896813,12,0.3714285714285715,0.4684781341107871,6,False,False,,
10-Heptadecenoic acid,Niacinamide,0.0546698457093846,0.8731599802319701,11,0.7845896445389478,0.0025116023149757,12,-0.5,0.6666666666666667,3,False,False,,
10-Heptadecenoic acid,N-Methyl-alpha-aminoisobutyric acid,0.415529446129273,0.2037362282514998,11,0.7836011218345129,0.0043229900186627,11,-0.5,0.6666666666666667,3,False,False,,
10-Heptadecenoic acid,Phloroglucinol,0.4710761676762419,0.1041901070638822,13,0.4035087719298246,0.1933469860316367,12,0.8857142857142858,0.0188454810495626,6,True,True,0.01835358125554674,0.09963194416764198
10-Heptadecenoic acid,Thr-Leu,0.558876082784082,0.0588995299643211,12,0.5182926829268293,0.1248467393271975,10,-0.3999999999999999,0.6,4,False,False,,
10-Heptadecenoic acid,Xanthine,,,0,0.65,0.0580730580171486,9,-0.0857142857142857,0.8717434402332361,6,False,False,,
10-Heptadecenoic acid,"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",,,0,-0.1999999999999999,0.8,4,,,0,False,False,,
10-Heptadecenoic acid,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",0.3379030660831451,0.309474762729498,11,0.5922566618516668,0.0548808352028956,11,-0.3999999999999999,0.6,4,False,False,,
10-Heptadecenoic acid,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl",,,0,0.5030030300035688,0.203876682008432,8,,,0,False,False,,
10-Heptadecenoic acid,"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",-0.0336146322726407,0.9315852819957168,9,0.6444843508712786,0.0236773475803481,12,-0.6571428571428573,0.1561749271137023,6,False,False,,
10-Heptadecenoic acid,1-(2-Methoxy-1-methylethoxy)-2-propanol,,,0,-0.5225437283634242,0.2288778775760949,7,,,0,False,False,,
10-Heptadecenoic acid,"1,1'-Biphenyl, 2,2',5,5'-tetramethyl",,,0,0.5585812268712466,0.192452531880522,7,,,0,False,False,,
10-Heptadecenoic acid,"1,2,4,5-Cyclohexanetetrol",0.4454545454545454,0.3165125772567169,7,0.4058397249567139,0.4246625075613645,6,,,0,False,True,0.24901580822378644,0.44338636848156743
10-Heptadecenoic acid,"1,2,4-Butanetriol",,,0,-0.0285714285714285,0.9571545189504372,6,,,0,False,False,,
10-Heptadecenoic acid,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",-0.2319084142609793,0.6583735712609271,6,0.2674784392192283,0.4549860079540271,10,,,0,False,False,,
