Metabolite 1,Metabolite 2,Sign
3-Aminobutanoic acid,2-Hydroxy-3-methylbutyric acid,1
3-Aminobutanoic acid,Decanoic acid,1
3-Hydroxypicolinic acid,"3,5-Dimethylphenol",1
3-Hydroxypicolinic acid,trans-Coniferryl alchool,-1
4-Pentenoic acid,"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",-1
4-Pentenoic acid,Glycolic acid,1
Acetohydroxamic acid,5-Hydroxy-2-methylpyridine,1
Argininosuccinic acid,2-Hydroxy-3-methylbutyric acid,1
Argininosuccinic acid,"Hexadecanoic acid, tetradecyl ester",1
Butyl caprylate,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",1
Butyl caprylate,Arabinitol,1
Butyl caprylate,"cis,cis,cis-1-Isobutyl-2,5-dimethylcyclohexane",1
Butyl caprylate,phenoxyethanol,1
Deoxyglucose,L-(-)-Sorbofuranose,-1
Ethanamine,1-Octadecanol,1
Ethanamine,Caffeic acid,-1
Ethanamine,D-Ribofuranose,1
L-Asparagine,3-Amino-2-piperidone,1
L-Asparagine,D-Ribofuranose,1
L-Glutamine,alpha-Tocopheryl acetate,1
L-Glutamine,D-Ribose,-1
L-Glutamine,N-Methyl-L-proline,1
L-Hydroxyproline,Niacinamide,1
L-Hydroxyproline,Arabinose,-1
L-Hydroxyproline,Pyrrole-2-carboxylic acid,1
L-Lysine,"1,4-Butanediol",-1
L-Lysine,"9,12-Octadecadienoic acid",1
L-Lysine,"beta-D-Galactopyranoside, methyl-, acetate",-1
L-Lysine,Hexanedioic acid,-1
L-Lysine,Myristic acid,-1
L-Lysine,Stearic acid,-1
L-Lysine,Xylose,-1
L-Norvaline,4-Hydroxybenzoic acid,1
L-Norvaline,Hexanoic acid,-1
L-Norvaline,"Thymidine, 5'-phosphate",1
L-Serine,Cytosine,1
L-Serine,L-(+)-Rhamnopyranose,-1
L-Serine,L-Valine,1
L-Serine,"Mannonic acid, gamma-lactone",-1
L-Serine,Pantolactone,-1
N-Acetylglucosamine,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",1
N-Acetylglucosamine,2-Ketobutyric acid,-1
N-Acetylglucosamine,"3,5-Dimethylphenol",-1
N-Acetylglucosamine,"D-(+)-Ribono-1,4-lactone ",1
N-Acetylglucosamine,Pantolactone,-1
Niacinamide,Thr-Leu,1
Niacinamide,"2,6-Di-O-methyl-d-galactopyranose",-1
Niacinamide,"2-Pentenedioic acid, 2-hydroxy-",1
Niacinamide,3-(3-Hydroxyphenyl)propanoic acid,-1
Niacinamide,D-Xylose,-1
Niacinamide,L-Fucose,-1
Niacinamide,Methylsuccinic acid,1
Niacinamide,N-Acetyl-L-glutamic acid,1
Niacinamide,Niacin,1
N-Methyl-alpha-aminoisobutyric acid,Thr-Leu,1
N-Methyl-alpha-aminoisobutyric acid,4-Hydroxybenzaldehyde,1
N-Methyl-alpha-aminoisobutyric acid,4-Hydroxybenzoic acid,1
N-Methyl-alpha-aminoisobutyric acid,4-hydroxycyclohexylacetate,1
N-Methyl-alpha-aminoisobutyric acid,9H-Purin-6-ol,1
N-Methyl-alpha-aminoisobutyric acid,D-Arabinose,1
N-Methyl-alpha-aminoisobutyric acid,D-Ribofuranose,1
N-Methyl-alpha-aminoisobutyric acid,"Hydantoin, 5-hydroxy",1
N-Methyl-alpha-aminoisobutyric acid,Levulinic acid,-1
N-Methyl-alpha-aminoisobutyric acid,N-Ethyldiethanolamine,1
N-Methyl-alpha-aminoisobutyric acid,Palmitic Acid,-1
N-Methyl-alpha-aminoisobutyric acid,Phloretic acid,1
Thr-Leu,4-hydroxycyclohexylacetate,1
Thr-Leu,D-Ribofuranose,1
Thr-Leu,L-(+)-Lactic acid,-1
Thr-Leu,Pimelic acid,-1
Xanthine,Citric acid,1
Xanthine,Pentanoic acid,1
Xanthine,Phenol,1
Xanthine,Putrescine,1
Xanthine,Pyrogallol,1
Xanthine,Uracil,-1
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",D-Mannopyranose,-1
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",L-(+)-Rhamnopyranose,-1
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",N-Ethyldiethanolamine,-1
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",alpha-D-(+)-Talopyranose,1
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile","D-(+)-Ribono-1,4-lactone ",1
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile","Gulonic acid, gamma-lactone",1
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",Idoxuridine ,1
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-","1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-",1
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",4-hydroxy-3-penten-2-one,1
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",5-Hydroxymethyl-2-furoic acid,1
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",Dihydrouracil,1
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",L-Valyl-L-leucine,1
"1,2,4,5-Cyclohexanetetrol",D-Mannose,1
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-","2,3-Dihydroxy-2-methylpropanoic acid",-1
"1,5-Anhydroglucitol",17-alpha-Hydroxypregnenolone,-1
"1,5-Anhydroglucitol",5-Hydroxymethyl-2-furoic acid,1
"1,5-Anhydroglucitol",D-(+)-Glucosamine,1
"1,5-Anhydroglucitol",Pantothenic acid ,1
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane","Hydantoin, 5-hydroxy",1
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane","Methyl galactoside (1S,2S,3S,4R,5R)",1
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",Octadecyl octyl ether,1
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,2'-Deoxyribolactone,1
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,4-Hydroxybutanoic acid,1
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,Malic acid,1
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,Pimelic acid,1
11-Methyldodecanol,"3,5-Dimethylphenol",1
11-Methyldodecanol,"Acetamide, N-(2-butyl)-N-methyl-",1
11-Methyldodecanol,D-(+)-Talofuranose,-1
11-Methyldodecanol,"Guanidine, N,N-dimethyl",1
11-Methyldodecanol,"Hexadecanoic acid, 4-hydroxybutyl ester",1
11-Methyldodecanol,Propylamine,1
12-Oxooctadecanoate,5-Methyluridine,-1
13-Docosenamide,5-Methyluridine,-1
13-Docosenamide,Benzoic Acid,1
17-alpha-Hydroxypregnenolone,4-Hydroxybenzeneacetic acid,1
17-alpha-Hydroxypregnenolone,5-Aminovaleric acid,1
17-alpha-Hydroxypregnenolone,Methylsuccinic acid,-1
1-Dodecanol,2'-Deoxyribolactone,1
1-Dodecanol,3-Deoxyhexitol,1
1-Dodecanol,D-Arabinose,-1
1-Dodecanol,"Hexadecanoic acid, 4-hydroxybutyl ester",1
1-Dodecanol,Propylamine,1
1-Dodecanol,Undecanoic acid,1
1-Hexacosene,Ethyl glycolate,1
1-Hexadecanol,Isopropyl myristate,1
1-Hexadecanol,L-(-)-Sorbofuranose,-1
1-Hexadecanol,Phthalimide,1
1-Hexadecanol,Pimelic acid,1
1-Hexadecanol,"Propanoic acid, 2-oxo",1
1-Hexadecanol,Sinapinic acid,1
1-Hexanol,Cyclo(L-prolyl-L-valine),-1
1-Hexanol,D-(+)-Glucosamine,1
1-Hexanol,"D-Erythro-Pentitol, 2-deoxy-",1
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)",Cinnamic acid,-1
1-Methyl-4-hydroxy-1H-imidazol-2-amine,2'-Deoxyribolactone,1
1-Methyl-4-hydroxy-1H-imidazol-2-amine,d-Erythrotetrofuranose,1
1-Methyl-4-hydroxy-1H-imidazol-2-amine,"Dimethyl hexopyranosiduronate, alpha-D",1
1-Methyl-4-hydroxy-1H-imidazol-2-amine,"Inosose-2, myo",1
1-Methyl-4-hydroxy-1H-imidazol-2-amine,Ribitol,-1
1-Monopalmitin,D-Mannopyranose,-1
1-Monopalmitin,Hexanedioic acid,1
1-Monopalmitin,Pentadecanoic acid,1
1-Monopalmitin,Pipecolic acid,-1
1-Octadecanol,"2-Furanacetaldehyde, tetrahydro-alpha",-1
1-Octadecanol,2-Octanol,1
1-Octadecanol,3-Oxo-1-cyclohexene-1-carboxylic acid ,1
1-Octadecanol,"Acetamide, N-(2-butyl)-N-methyl-",1
1-Octadecanol,d-Erythrotetrofuranose,1
1-Octadecanol,Isopropyl myristate,1
1-Octadecanol,Isopropyl palmitate,1
1-Octanol,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",1
1-Octanol,2-Ketobutyric acid,1
1-Octanol,3-Undecene,1
1-Octanol,4-Hydroxybenzaldehyde,-1
1-Octanol,4-Hydroxybenzoic acid,-1
1-Octanol,Hexanedioic acid,1
1-Octanol,Hexanoic acid,1
1-Octanol,Menthol,1
1-Octanol,Monomethyl succinate,1
1-Octanol,Palmitic Acid,1
1-Octanol,Pantolactone,1
1-Octanol,Pipecolic acid,-1
1-Octanol,Pyrrole-2-carboxylic acid,-1
1-Octanol,Sebacic acid,1
1-Octanol,Tetrahydrolinalool,1
1-Octanol,Valylglycine,-1
"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-",2-Hydroxy-3-methylbutyric acid,-1
"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-",4-Aminobenzoic acid,1
"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-",8-Hydroxy-5-(hydroxymethyl)quinoline,-1
"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-",alpha-D-Xylopyranose,-1
"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-",alpha-Ketoisovaleric acid,1
