Gene,Metabolite,Sign
ENSMUSG00000055681,"2,4-Di-tert-butylphenol",-1
ENSMUSG00000055681,4-Coumaric acid,1
ENSMUSG00000055681,L-(+)-Rhamnopyranose,1
ENSMUSG00000032216,L-Valine,1
ENSMUSG00000025979,Deoxyglucose,-1
ENSMUSG00000025979,Vanillin,1
ENSMUSG00000035443,Methyl alpha-Arabinofuranoside,1
ENSMUSG00000028991,L-Hydroxyproline,1
ENSMUSG00000028991,2-Hydroxy-5-methoxybenzaldehyde,1
ENSMUSG00000044224,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
ENSMUSG00000030216,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
ENSMUSG00000030216,L-Aspartic acid,1
ENSMUSG00000030216,L-Valine,1
ENSMUSG00000030216,Methylsuccinic acid,1
ENSMUSG00000016495,2-Pyrrolidinone,1
ENSMUSG00000016495,Decyl oleate,1
ENSMUSG00000016495,DL-Phenylalanine,1
ENSMUSG00000016495,"Gluconolactone (3R,4S,5R,6R)",1
ENSMUSG00000016495,L-Isoleucine,1
ENSMUSG00000036188,5-Oxohexanoic Acid,-1
ENSMUSG00000068284,Deoxycholic Acid,1
ENSMUSG00000068284,D-Fructose,1
ENSMUSG00000068284,L-Valine,1
ENSMUSG00000063894,D-(-)-Fructopyranose,1
ENSMUSG00000027536,"2-Butenoic acid, 2-hydroxy-",-1
ENSMUSG00000069727,1-Hexacosene,1
ENSMUSG00000069727,"2,5-Dimethoxymandelic acid",1
ENSMUSG00000069727,"2,5-Dimethoxyphenol",1
ENSMUSG00000069727,"2-Allyl-1,4-dimethoxybenzene ",1
ENSMUSG00000069727,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",1
ENSMUSG00000069727,3-Hexenedioic acid,1
ENSMUSG00000069727,Methyl stearate,1
ENSMUSG00000069727,Triethanolamine,1
ENSMUSG00000042118,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
ENSMUSG00000094002,L-Asparagine,-1
ENSMUSG00000094002,Vanillin,-1
ENSMUSG00000039253,"2,5-Dimethoxyphenol",1
ENSMUSG00000039253,"2-Allyl-1,4-dimethoxybenzene ",1
ENSMUSG00000039253,2-Ethylhexanoic acid,1
ENSMUSG00000039253,pyrazole,1
ENSMUSG00000039253,4-Methylvaleric acid,1
ENSMUSG00000039253,beta-Alanine,1
ENSMUSG00000039253,Kojic acid,1
ENSMUSG00000039253,L-5-Oxoproline,1
ENSMUSG00000039253,L-Isoleucine,1
ENSMUSG00000039253,L-Valine,1
ENSMUSG00000039253,Niacin,1
ENSMUSG00000039253,Phenol,1
ENSMUSG00000039253,Syringaldehyde,1
ENSMUSG00000039253,Urea,1
ENSMUSG00000036371,11-Methyldodecanol,1
ENSMUSG00000036371,1-Dodecanol,1
ENSMUSG00000036371,Benzoic Acid,1
ENSMUSG00000036371,D-Allofuranose,1
ENSMUSG00000036371,"Hexadecanoic acid, ethyl ester",1
ENSMUSG00000036371,Isopropyl myristate,1
ENSMUSG00000036371,Phenol,1
ENSMUSG00000036371,Phthalazin-1-one ,1
ENSMUSG00000094595,L-Valyl-L-leucine,1
ENSMUSG00000041126,2-Piperidinone,1
ENSMUSG00000041126,Azelaic acid,1
ENSMUSG00000041126,l-Leucyl-l-valine,1
ENSMUSG00000041126,N-Ethyldiethanolamine,1
ENSMUSG00000041126,Palmitelaidic acid,1
ENSMUSG00000041126,Valylvaline,1
ENSMUSG00000034064,"1,4-Butanediol",1
ENSMUSG00000034064,5-Oxohexanoic Acid,1
ENSMUSG00000034064,Monocaprylin,-1
ENSMUSG00000035295,3-Buten-2-one,1
ENSMUSG00000035295,Oxalic acid,1
ENSMUSG00000057421,L-Lysine,1
ENSMUSG00000057421,"2-Butenoic acid, 2-hydroxy-",1
ENSMUSG00000057421,5-Aminovaleric acid,1
ENSMUSG00000057421,D-Mannose,1
ENSMUSG00000057421,Valylvaline,1
ENSMUSG00000022781,DL-Phenylalanine,1
ENSMUSG00000022781,D-Ribose,1
ENSMUSG00000022781,L-Valine,1
ENSMUSG00000030060,L-Hydroxyproline,-1
ENSMUSG00000030060,"2-Allyl-1,4-dimethoxybenzene ",-1
ENSMUSG00000030060,Dodecanamide,-1
ENSMUSG00000015112,Ethanolamine,1
ENSMUSG00000027642,D-(-)-Ribofuranose,1
ENSMUSG00000105382,1-Tetradecanol,1
ENSMUSG00000105382,Pyrogallol,1
ENSMUSG00000105382,Tripropylene glycol monomethyl ether,1
ENSMUSG00000024081,DL-Phenylalanine,1
ENSMUSG00000024081,L-Valine,1
ENSMUSG00000003184,2-Octanol,1
ENSMUSG00000003184,Methyl alpha-Arabinofuranoside,1
ENSMUSG00000003184,Palmitelaidic acid,1
ENSMUSG00000030094,Supraene,-1
ENSMUSG00000049295,6-Hydroxyhexanoic acid,1
ENSMUSG00000046711,Anthranilic acid,-1
ENSMUSG00000046711,Isopropyl palmitate,-1
ENSMUSG00000046711,"N,N-Diethyl-carbamate",-1
ENSMUSG00000046711,Octanoic acid,-1
ENSMUSG00000046711,Palmitelaidic acid,-1
ENSMUSG00000046711,Pentadecanoic acid,-1
ENSMUSG00000046711,Phthalazin-1-one ,-1
ENSMUSG00000034647,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,1
ENSMUSG00000002319,"2,3-Butanediol",1
