node1,node2
2-Hydroxy-3-methylbutyric acid,Argininosuccinic acid
2-Hydroxy-3-methylbutyric acid,"2,5-Dimethoxyphenol"
2-Hydroxy-3-methylbutyric acid,2-tert-Butyl-4-ethylphenol 
2-Hydroxy-3-methylbutyric acid,6-Hydroxyhexanoic acid
2-Hydroxy-3-methylbutyric acid,Decanoic acid
2-Hydroxy-3-methylbutyric acid,Glycerol tricaprylate
2-Hydroxy-3-methylbutyric acid,"Hexadecanoic acid, ethyl ester"
Decanoic acid,D-(+)-Talofuranose
Decanoic acid,Glycerol tricaprylate
3-Hydroxypicolinic acid,trans-Coniferryl alchool
trans-Coniferryl alchool,3-Hydroxyisovaleric acid
trans-Coniferryl alchool,D-(+)-Glucosamine
trans-Coniferryl alchool,"Inosose-2, myo"
4-Pentenoic acid,Glycolic acid
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",1-Tetradecanol
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",Cyclohexanecarboxylic acid
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl","Hexadecanoic acid, methyl ester"
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",Lignoceric acid
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",Phenol
Glycolic acid,"Propanoic acid, 2-oxo"
Acetohydroxamic acid,5-Hydroxy-2-methylpyridine
5-Hydroxy-2-methylpyridine,Ethyl glycolate
Argininosuccinic acid,"Hexadecanoic acid, tetradecyl ester"
"Hexadecanoic acid, tetradecyl ester",Methyl beta-Arabinofuranoside
Butyl caprylate,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane"
Butyl caprylate,Arabinitol
Butyl caprylate,"cis,cis,cis-1-Isobutyl-2,5-dimethylcyclohexane"
Butyl caprylate,phenoxyethanol
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane","Methyl galactoside (1S,2S,3S,4R,5R)"
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",Octadecyl octyl ether
Arabinitol,2-tert-Butyl-4-ethylphenol 
phenoxyethanol,2-Pentenedioic acid
phenoxyethanol,2-tert-Butyl-4-ethylphenol 
phenoxyethanol,5-Hydroxymethyl-2-furoic acid
L-(-)-Sorbofuranose,Hydracrylic acid
L-(-)-Sorbofuranose,L-5-Oxoproline
L-(-)-Sorbofuranose,L-Glutamic acid
L-(-)-Sorbofuranose,Methylsuccinic acid
L-(-)-Sorbofuranose,"N,N-Diethyl-2-aminoethanol"
L-(-)-Sorbofuranose,Niacin
L-(-)-Sorbofuranose,Pantothenic acid 
Ethanamine,1-Octadecanol
1-Octadecanol,"2-Furanacetaldehyde, tetrahydro-alpha"
1-Octadecanol,"Acetamide, N-(2-butyl)-N-methyl-"
1-Octadecanol,d-Erythrotetrofuranose
1-Octadecanol,Isopropyl palmitate
L-Asparagine,3-Amino-2-piperidone
3-Amino-2-piperidone,Glycerol tricaprylate
alpha-Tocopheryl acetate,4-Hydroxy-5-(hydroxymethyl)oxolan-2-one
