node,direction,puc_value
N-Methyl-L-proline,1,0.0
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)",-1,0.0
5-Methyluridine,-1,0.0
Lignoceric acid,-1,0.0
2-Pyrrolidinone,-1,0.0
Methylsuccinic acid,-1,0.0
"Xylonic acid, delta-lactone",1,0.0
"D-(+)-Ribono-1,4-lactone ",-1,0.0
"Propane, 2-methyl",-1,0.0
Tetrahydrogeranyl formate,-1,0.0
L-(-)-Sorbofuranose,-1,0.0
2-Ethylacetoacetate,-1,0.0
"Inosose-2, myo",-1,0.0
Ethyl alpha-D-glucopyranoside,-1,0.0
D-Ribose,-1,0.0
Hydracrylic acid,-1,0.0
Phenylalanine,-1,0.0
Pyridoxic acid,-1,0.0
Menthol,-1,0.0
Azelaic acid,1,0.0
L-Isoleucine,-1,0.0
4-Hydroxybenzoic acid,-1,0.1111111111111111
Phloretic acid,-1,0.0
Sebacic acid,-1,0.0
Thymidine,-1,0.0
Cholesterol,-1,0.0
"2,3-Butanediol",-1,0.18181818181818182
5-Hydroxymethyl-2-furoic acid,-1,0.0
"Arabinofuranose, 1,2,3,5-tetrakis",-1,0.0
L-Norvaline,-1,0.0
"2-Allyl-1,4-dimethoxybenzene ",-1,0.14285714285714285
Idoxuridine ,-1,0.0
"Erythrono-1,4-lactone",-1,0.0
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",-1,0.0
alpha-L-(-)-Fucopyranose,1,0.0
L-Leucine,-1,0.0
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",-1,0.0
Niacin,-1,0.0
"Azetidine, 1-acetyl-2-methyl",-1,0.0
L-Glutamic acid,-1,0.0
8-Hydroxy-5-(hydroxymethyl)quinoline,-1,0.0
"Gluconolactone (3R,4S,5R,6R)",-1,0.1111111111111111
D-Glucose,-1,0.0
L-Aspartic acid,-1,0.0
"Guanidine, N,N-dimethyl",-1,0.14285714285714285
L-Proline,-1,0.0
Pimelic acid,-1,0.16666666666666666
"beta-D-Galactopyranoside, methyl-, acetate",1,0.0
Myristic acid,-1,0.0
1-Hexacosene,-1,0.2
N-Acetyl glucosamine methoxime,-1,0.0
13-Docosenamide,-1,0.0
2-Aminobutanoic acid,-1,0.0
Syringaldehyde,-1,0.13333333333333333
Uridine,-1,0.0
L-Threonine,-1,0.0
Salsoline,-1,0.0
L-Serine,-1,0.0
"cis-4,5-Dihydroxy-o-dithiane",-1,0.11764705882352941
Methylmaleic acid,1,0.0
beta-Alanine,-1,0.0625
"N-Acetyl-D-galactosamine, (R,R,R,R)",-1,0.0
Pyrogallol,-1,0.0
"2,4-Di-tert-butylphenol",-1,0.0
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",-1,0.0
Suberic acid,-1,0.125
Octanoic acid,1,0.2
"Hexadecanoic acid, 4-hydroxybutyl ester",-1,0.0
Deoxyribopyranose,1,0.0
3-Aminobutanoic acid,1,0.0
3-Pyridylcarbinol,-1,0.0
Monolaurin,1,0.0
N-Acetylglucosamine,-1,0.0
Cyclohexanecarboxylic acid,-1,0.0
Norketamine,1,0.0
9H-Purin-6-ol,-1,0.0
Tripropylene glycol monomethyl ether,-1,0.0
Decyl oleate,-1,0.0
Aconitic acid,-1,0.0
"2,5-Di-tert-butyl-4-hydroxyphenol",-1,0.14285714285714285
Benzoic Acid,-1,0.0
Vanillin,-1,0.125
3-Methyl-2-furoic acid,1,0.0
Deoxyglucose,-1,0.0
DL-Phenylalanine,-1,0.0
Arabinitol,-1,0.0
Pentadecanoic acid,-1,0.2
"2',2,3,6'-Tetramethoxychalcone",1,0.16666666666666666
3-(3-Hydroxyphenyl)propanoic acid,-1,0.0
"2-Pentenedioic acid, 2-hydroxy-",-1,0.0
L-(+)-Lactic acid,-1,0.0
"3-Hydroxy-2,3-dihydromaltol",-1,0.0
2'-Desoxyuridine,-1,0.0
alpha-Tocopheryl acetate,1,0.0
Butyl caprylate,-1,0.0
D-Psicofuranose,1,0.0
4-Pyridinol,-1,0.0
Glycolic acid,-1,0.0
1-Octanol,1,0.0
Pyrrole-2-carboxylic acid,-1,0.16666666666666666
4-Hydroxybenzaldehyde,-1,0.0
Pipecolic acid,-1,0.2
Tricine,-1,0.0
2'-Deoxyribolactone,-1,0.0
"2,5-Dimethoxybenzhydrazide",-1,0.0
2-Piperidinone,-1,0.14285714285714285
Pentanoic acid,-1,0.0
Butanedioic acid,-1,0.0
"2,3,4-Trihydroxybutyric acid",-1,0.2
Thr-Leu,1,0.0
Phloroglucinol,1,0.0
2-Ethylhexanoic acid,-1,0.0
N-(2-hydroxyethyl)-succinimide,-1,0.0
Citric acid,-1,0.0
1-Tetracosene,-1,0.0
1-Octadecanol,-1,0.16666666666666666
Dihydroxyacetone,1,0.0
L-Valyl-L-leucine,1,0.0
D-(-)-Ribofuranose,1,0.0
Hydroquinone,-1,0.2
Decanoic acid,-1,0.125
l-Leucyl-l-valine,1,0.16666666666666666
D-Allofuranose,-1,0.0
3-Hexenedioic acid,-1,0.0
3-Deoxyhexitol,-1,0.0
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",-1,0.0
L-Glutamine,-1,0.0
Niacinamide,-1,0.0
Butyl Succinate,-1,0.0
Serine,-1,0.0
alpha-Linolenic acid,-1,0.0
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",-1,0.1
3-Undecene,-1,0.2
Erythritol,1,0.0
Phenol,-1,0.15789473684210525
Pentanedioic acid,-1,0.0
3-Hydroxyisovaleric acid,-1,0.0
Urea,-1,0.0
3-O-methyl-beta-D-Glucopyranose,1,0.0
"1,4-Butanediol",1,0.0
1-Dodecanol,-1,0.0
4-Methyl-5-thiazoleethanol,-1,0.09090909090909091
1-Hexanol,1,0.0
Glyceric acid,1,0.0
Deoxycholic Acid,-1,0.0
Xylose,1,0.0
"2,5-Dimethoxyphenol",-1,0.0
Dihydrouracil,-1,0.0
D-(+)-Glucosamine,-1,0.0
N-Acetyl-L-glutamic acid,-1,0.0
"Hexadecanoic acid, tetradecyl ester",-1,0.0
Uracil,-1,0.0
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",-1,0.0
6-Hydroxyhexanoic acid,-1,0.2
L-5-Oxoproline,-1,0.0
9-Octadecenamide,-1,0.2
Isonicotinic Acid,1,0.0
beta-Arabinopyranose,-1,0.0
Picolinic acid,-1,0.0
Cyclohexanemethanol,-1,0.16666666666666666
2-Hydroxy-3-methylbutyric acid,-1,0.0
Campesterol,1,0.0
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-posphate",-1,0.0
Cyclohexanol,1,0.0
Ketamine,-1,0.0
Cytosine,-1,0.0
"2-Butenoic acid, 2-hydroxy-",-1,0.16666666666666666
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1,0.0
D-Fructose,-1,0.0
Tyrosine,-1,0.0
Itaconic acid,1,0.0
3-Buten-2-one,1,0.2
"D-Erythro-Pentitol, 2-deoxy-",1,0.0
D-(-)-Fructofuranose,-1,0.0
D-(-)-Fructopyranose,-1,0.0
1-Tetradecanol,-1,0.0
Monomethyl succinate,-1,0.125
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,-1,0.14285714285714285
L-Rhamnose,-1,0.2
1-Monopalmitin,1,0.0
"1-Propanamine, N,N-diethyl-",-1,0.0
D-Mannopyranose,1,0.0
Undecanoic acid,-1,0.0
Xanthine,-1,0.0
Xylazine,-1,0.0
Octadecyl octyl ether,-1,0.0
Hymexazole,-1,0.14285714285714285
12-Oxooctadecanoate,1,0.0
beta-D-(-)-Ribopyranose,-1,0.125
Palmitic Acid,-1,0.0
Supraene,1,0.0
"Pentitol, 3-desoxy",1,0.0
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,-1,0.0
N-Methyl-alpha-aminoisobutyric acid,-1,0.0
pyrazole,-1,0.0
D-(+)-Talofuranose,1,0.0
Arabinose,1,0.0
5-Oxohexanoic Acid,1,0.0
L-Valine,-1,0.0
9-Octadecenoic acid,1,0.0
Ribonic acid,-1,0.0
"2-Furanacetaldehyde, tetrahydro-alpha",1,0.0
Oxalic acid,-1,0.0
Stearic acid,-1,0.0
"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate",-1,0.0
Heptadecanoic acid,-1,0.0
N-Ethyldiethanolamine,-1,0.0
Propanedioic acid,1,0.0
Isopropyl palmitate,-1,0.0
2-tert-Butyl-4-ethylphenol ,-1,0.16666666666666666
trans-Coniferryl alchool,-1,0.0
"Thymidine, 5'-phosphate",-1,0.0
"Propanoic acid, 2-hydroxy-3-phosphate-",-1,0.0
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",-1,0.0
"2,3-Dihydroxy-2-methylpropanoic acid",1,0.0
"Hexadecanoic acid, methyl ester",-1,0.0
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",-1,0.0
Nonadecanoic acid,-1,0.0
phenoxyethanol,-1,0.0
Argininosuccinic acid,-1,0.0
Tetrahydrolinalool,1,0.0
Arachidic acid,-1,0.0
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",-1,0.0
"2,5-Dimethoxymandelic acid",1,0.0
"Butanoic acid, 3,4-dihydroxy-",-1,0.0
11-Methyldodecanol,-1,0.0
Methyl stearate,-1,0.2
Methyl beta-Arabinofuranoside,1,0.0
"L-Valinamide, N(2),N(2)-dimethyl",1,0.0
Lactic Acid,-1,0.0
5-Aminovaleric acid,-1,0.0
"Propanoic acid, 2-oxo",-1,0.0
17-alpha-Hydroxypregnenolone,1,0.0
Trisaminol,-1,0.0
Nonanoic acid,-1,0.0
4-Pentenoic acid,-1,0.0
"N,N-Diethyl-2-aminoethanol",1,0.0
"Acetamide, N-(2-butyl)-N-methyl-",-1,0.2
4-Hydroxybenzeneacetic acid,-1,0.0
Palmitelaidic acid,-1,0.0
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",-1,0.0
Valylvaline,1,0.0
Glycerol tricaprylate,-1,0.16666666666666666
