node1,node2
2-Hydroxy-3-methylbutyric acid,"2,5-Dimethoxyphenol"
2-Hydroxy-3-methylbutyric acid,6-Hydroxyhexanoic acid
2-Hydroxy-3-methylbutyric acid,Decanoic acid
2-Hydroxy-3-methylbutyric acid,Glycerol tricaprylate
Decanoic acid,D-(+)-Talofuranose
Decanoic acid,Glycerol tricaprylate
3-Hydroxypicolinic acid,trans-Coniferryl alchool
trans-Coniferryl alchool,3-Hydroxyisovaleric acid
trans-Coniferryl alchool,D-(+)-Glucosamine
trans-Coniferryl alchool,"Inosose-2, myo"
Glycolic acid,"Propanoic acid, 2-oxo"
Butyl caprylate,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane"
Butyl caprylate,Arabinitol
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",Octadecyl octyl ether
L-(-)-Sorbofuranose,Hydracrylic acid
L-(-)-Sorbofuranose,L-5-Oxoproline
L-(-)-Sorbofuranose,L-Glutamic acid
L-(-)-Sorbofuranose,Methylsuccinic acid
L-(-)-Sorbofuranose,Niacin
Ethanamine,1-Octadecanol
1-Octadecanol,"2-Furanacetaldehyde, tetrahydro-alpha"
1-Octadecanol,"Acetamide, N-(2-butyl)-N-methyl-"
1-Octadecanol,d-Erythrotetrofuranose
alpha-Tocopheryl acetate,4-Hydroxy-5-(hydroxymethyl)oxolan-2-one
Niacinamide,"2-Pentenedioic acid, 2-hydroxy-"
Niacinamide,Methylsuccinic acid
Niacinamide,N-Acetyl-L-glutamic acid
Niacinamide,Niacin
Pyrrole-2-carboxylic acid,1-Octanol
"beta-D-Galactopyranoside, methyl-, acetate","2',2,3,6'-Tetramethoxychalcone"
"beta-D-Galactopyranoside, methyl-, acetate",Lignoceric acid
Myristic acid,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester"
Myristic acid,2'-Deoxyribolactone
Myristic acid,"Hexadecanoic acid, 4-hydroxybutyl ester"
Myristic acid,Pentadecanoic acid
Xylose,Monolaurin
L-Norvaline,4-Hydroxybenzoic acid
4-Hydroxybenzoic acid,N-Methyl-alpha-aminoisobutyric acid
4-Hydroxybenzoic acid,1-Octanol
L-Serine,Cytosine
L-Serine,L-Valine
L-Valine,4-Hydroxybenzaldehyde
L-Valine,D-(+)-Glucosamine
N-Acetylglucosamine,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile"
N-Acetylglucosamine,"D-(+)-Ribono-1,4-lactone "
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile","D-(+)-Ribono-1,4-lactone "
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",Idoxuridine 
"D-(+)-Ribono-1,4-lactone ",Syringaldehyde
Thr-Leu,L-(+)-Lactic acid
Thr-Leu,Pimelic acid
"2-Pentenedioic acid, 2-hydroxy-",L-Glutamic acid
3-(3-Hydroxyphenyl)propanoic acid,Cyclohexanemethanol
3-(3-Hydroxyphenyl)propanoic acid,L-Valyl-L-leucine
Methylsuccinic acid,17-alpha-Hydroxypregnenolone
Methylsuccinic acid,9H-Purin-6-ol
Methylsuccinic acid,D-(+)-Glucosamine
Methylsuccinic acid,Hydracrylic acid
Methylsuccinic acid,L-Glutamic acid
N-Acetyl-L-glutamic acid,beta-Alanine
N-Acetyl-L-glutamic acid,L-Glutamic acid
N-Acetyl-L-glutamic acid,Niacin
N-Methyl-alpha-aminoisobutyric acid,4-Hydroxybenzaldehyde
N-Methyl-alpha-aminoisobutyric acid,9H-Purin-6-ol
N-Methyl-alpha-aminoisobutyric acid,Phloretic acid
4-Hydroxybenzaldehyde,1-Octanol
4-Hydroxybenzaldehyde,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)"
4-Hydroxybenzaldehyde,D-(+)-Glucosamine
4-Hydroxybenzaldehyde,DL-Phenylalanine
4-Hydroxybenzaldehyde,Phenylalanine
9H-Purin-6-ol,Dihydrouracil
Palmitic Acid,1-Tetradecanol
Palmitic Acid,"Acetamide, N-(2-butyl)-N-methyl-"
Phloretic acid,3-Deoxyhexitol
Phloretic acid,N-(2-hydroxyethyl)-succinimide
L-(+)-Lactic acid,Butyl Succinate
L-(+)-Lactic acid,Pimelic acid
L-(+)-Lactic acid,"Propanoic acid, 2-oxo"
Pimelic acid,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol
Pimelic acid,"2,3-Butanediol"
Pimelic acid,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)"
Pimelic acid,"2,5-Di-tert-butyl-4-hydroxyphenol"
Xanthine,Citric acid
Xanthine,Pentanoic acid
Xanthine,Phenol
Xanthine,Pyrogallol
Pentanoic acid,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester"
Pentanoic acid,3-Undecene
Pentanoic acid,Benzoic Acid
Pentanoic acid,Tetrahydrogeranyl formate
Phenol,2-Ethylhexanoic acid
Phenol,Cholesterol
Pyrogallol,"Hexadecanoic acid, 4-hydroxybutyl ester"
Uracil,DL-Phenylalanine
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",D-Mannopyranose
D-Mannopyranose,2-Ethylhexanoic acid
Idoxuridine ,"2-Furanacetaldehyde, tetrahydro-alpha"
Idoxuridine ,"Erythrono-1,4-lactone"
Idoxuridine ,Tricine
5-Hydroxymethyl-2-furoic acid,3-Hexenedioic acid
Dihydrouracil,Hydracrylic acid
Dihydrouracil,"Propanoic acid, 2-oxo"
L-Valyl-L-leucine,Cyclohexanemethanol
L-Valyl-L-leucine,"Xylonic acid, delta-lactone"
D-(+)-Glucosamine,Aconitic acid
Octadecyl octyl ether,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone"
Octadecyl octyl ether,D-Allofuranose
Octadecyl octyl ether,d-Erythrotetrofuranose
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,2'-Deoxyribolactone
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,4-Hydroxybutanoic acid
2'-Deoxyribolactone,1-Dodecanol
2'-Deoxyribolactone,1-Methyl-4-hydroxy-1H-imidazol-2-amine
2'-Deoxyribolactone,d-Erythrotetrofuranose
2'-Deoxyribolactone,Glycerol tricaprylate
"Acetamide, N-(2-butyl)-N-methyl-","Guanidine, N,N-dimethyl"
"Acetamide, N-(2-butyl)-N-methyl-","Propane, 2-methyl"
"Guanidine, N,N-dimethyl","2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)"
"Guanidine, N,N-dimethyl",3-Undecene
"Guanidine, N,N-dimethyl","Hexadecanoic acid, 4-hydroxybutyl ester"
"Guanidine, N,N-dimethyl",Menthol
"Guanidine, N,N-dimethyl",Tetrahydrogeranyl formate
"Hexadecanoic acid, 4-hydroxybutyl ester",1-Dodecanol
"Hexadecanoic acid, 4-hydroxybutyl ester",1-Tetradecanol
"Hexadecanoic acid, 4-hydroxybutyl ester","2-Butenoic acid, 2-hydroxy-"
"Hexadecanoic acid, 4-hydroxybutyl ester","2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester"
"Hexadecanoic acid, 4-hydroxybutyl ester",3-Undecene
"Hexadecanoic acid, 4-hydroxybutyl ester",Butyl Succinate
12-Oxooctadecanoate,5-Methyluridine
5-Methyluridine,Hydracrylic acid
13-Docosenamide,Benzoic Acid
Benzoic Acid,"Propane, 2-methyl"
Benzoic Acid,Pyridoxic acid
1-Dodecanol,3-Deoxyhexitol
1-Dodecanol,Undecanoic acid
3-Deoxyhexitol,"2-Butenoic acid, 2-hydroxy-"
3-Deoxyhexitol,2-Palmitoylglycerol
Undecanoic acid,Nonanoic acid
"Propanoic acid, 2-oxo",2-Ethylacetoacetate
"Propanoic acid, 2-oxo",Butyl Succinate
"Propanoic acid, 2-oxo",L-Rhamnose
"Propanoic acid, 2-oxo",Syringaldehyde
1-Hexanol,"D-Erythro-Pentitol, 2-deoxy-"
1-Methyl-4-hydroxy-1H-imidazol-2-amine,d-Erythrotetrofuranose
1-Methyl-4-hydroxy-1H-imidazol-2-amine,"Inosose-2, myo"
d-Erythrotetrofuranose,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone"
d-Erythrotetrofuranose,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)"
d-Erythrotetrofuranose,4-Hydroxyphenyllactic acid
d-Erythrotetrofuranose,Glycerol
d-Erythrotetrofuranose,Tricine
"Inosose-2, myo",Cyclohexanecarboxylic acid
1-Monopalmitin,Pipecolic acid
Pentadecanoic acid,Cyclohexanecarboxylic acid
Pipecolic acid,1-Octanol
"2-Furanacetaldehyde, tetrahydro-alpha",Serine
3-Undecene,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)"
3-Undecene,Menthol
3-Undecene,Tetrahydrogeranyl formate
8-Hydroxy-5-(hydroxymethyl)quinoline,2-Ethylacetoacetate
beta-Alanine,L-Glutamic acid
beta-Alanine,Thymidine
"Butanoic acid, 3,4-dihydroxy-",Ketamine
1-Tetradecanol,"2-Butenoic acid, 2-hydroxy-"
"2-Butenoic acid, 2-hydroxy-","2',2,3,6'-Tetramethoxychalcone"
"2-Butenoic acid, 2-hydroxy-",Butyl Succinate
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)","2,5-Di-tert-butyl-4-hydroxyphenol"
