Name,direction
"1-Phenyl-1,2-ethanediol",-1
Octocrylene,-1
"1-Butanamine, N,N-diethyl-",-1
p-Hydroxydiisopropylbenzene,-1
Ser-Leu,1
 5-Hydroxyhexanoic acid,-1
"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",-1
"Propanoic acid, 2-methyl-",1
"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",-1
"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",-1
"Acetin, bis-1,3-trimethylsilyl ether",-1
N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,-1
L-Threitol,-1
Tartronic acid,-1
"1,1'-Biphenyl, 3,4-diethyl-",-1
"Cholest-7-en-3-ol, (3beta,5alpha)-",1
Isopropyl palmitate,-1
p-Toluic acid,-1
"Benzaldehyde, 2,5-dimethyl-",-1
Decanoic acid,1
2-Heptenoic acid,-1
Methyl aminoacetate,-1
"1,3,5-Benzetriol",-1
Glycine,-1
L-Asparagine,-1
2-Methyl-4-pentenoic acid,-1
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",-1
"2,5-di-tert-Butyl-1,4-benzoquinone",1
Triethanolamine,-1
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",-1
Cyclobutanol,-1
"2,3,4-Trihydroxybutyric acid tetrakis",-1
Arachidonic acid,-1
2-Hydroxy-5-methoxybenzaldehyde,1
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",-1
3'-Hydroxyacetophenone,-1
Pimelic acid,-1
10-Heptadecenoic acid,-1
"Erythrono-1,4-lactone, (Z)-",-1
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",-1
Heptadecanoic acid,-1
Indole-5-carboxylic acid,-1
12-Oxooctadecanoate,-1
Dinoseb ,-1
"L-Tryptophan, N-acetyl-1",-1
DL-Glyceraldehyde,-1
Phenylalanine,-1
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",-1
1-Monoacetin,-1
D-(-)-Citramalic acid,-1
S-Methyl-L-cysteine,-1
"Stigmast-5-ene, 3beta-",-1
Isofucosterol,-1
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",-1
Benzophenone,-1
2-Butenedioic acid,-1
Ethanolamine,-1
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",-1
Propylamine,-1
"Benzimidazole, 5-trifluoromethyl-2-methyl-",-1
cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,-1
Acetoacetic acid,-1
"5-Androsten-17alpha-methyl-3beta,17beta-diol",-1
Desmosterol,-1
Doconexent,1
4-Hydroxybutanoic acid,1
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",-1
Deoxycholic Acid,-1
Metanephrine,-1
L-Alanine,1
"Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate",-1
Malic acid,1
1-Deoxypentitol,-1
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",-1
Niacin,1
"Benzoic acid, pentadecyl ester",-1
alpha-Tocopherol,-1
alpha-Linolenic acid,1
Delorazepam,-1
"Octane, 1-propoxy-",1
13-Docosenamide,1
3-Hexenedinitrile,-1
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",1
3-Nonen-1-ol,1
Neostigmine ,-1
3-Amino-5-morpholinomethyl-2-oxazolidinone,-1
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",-1
2-Ketoisocaproic acid,1
Phosalone,1
Hexanoic acid,-1
"Propanetriol, 2-methyl-",-1
Benzeneacetic acid,-1
"(R*,S*)-2,3-Dihydroxybutanoic acid",-1
7-(Trimethylsilyl)amino-4-methylcoumarin,-1
Salsoline,-1
Aceturic acid,-1
Niacinamide,1
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",-1
"Glycine, N-(N-DL-leucylglycyl)-",-1
Hydroquinone,1
"Inosose-2, 1,3,4,5,6-pentakis-",-1
Butylated Hydroxytoluene,-1
"2-Allyl-1,4-dimethoxybenzene",-1
Isoxaben,-1
1-Octanol,-1
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",-1
"D-Isoleucine, N-acetyl-",-1
"3-Hydroxy-2,3-dihydromaltol",-1
L-Aspartic acid,-1
Indole-3-lactic acid,-1
Nonadecanoic acid,-1
"Furan, 2-pentyl-",-1
L-5-Oxoproline,-1
L-Tyrosine,-1
Pantolactone,-1
Niclosamide,-1
"2,4-Decadienal",-1
1-Cyclopentylethanol,-1
Dihydrouracil,-1
"1,4-Butanediol",-1
l-Histidine ethyl ester,-1
"Benzenemethanamine, 2,3-dimethoxy-",1
"Acetic acid, bis[(trimethylsilyl)oxyl]-",1
3-Indoleacetic acid,-1
"D-(+)-Ribono-1,4-lactone (R,S,R)-",-1
Octan-2-yl palmitate,1
"3-Buten-2-one, 4-(4-methoxyphenyl)-",1
"D-(+)-Talofuranose, pentakis",1
4-Cumylphenol,-1
Methyl-3-methoxy-5-methyl benzoate,-1
Glucose,-1
Dimethyl fumarate,-1
Itaconic acid,-1
"1,2-Benzenedicarboxylic acid",1
Levulinic acid,-1
Methylmalonic monoamide,-1
"5alpha-Pregnane-3,20-dione",-1
4-Hydroxyphenyllactic acid,-1
Glyoxime,-1
Uracil,-1
5-Henicosylresorcinol,-1
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",-1
"N,O-Bis(trimethylsilyl)carbamate",-1
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",-1
"6,7,4'-Trihydroxyisoflavone",-1
9-Hexadecenoic acid,1
Diphenyl ether,-1
Galactopyranose,1
"1-Octanol, 2-butyl-",1
Cinnamic acid,-1
2-Hydroxybutyric acid,1
"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-",-1
1-Aminocyclopropanecarboxylic acid,-1
5-Hydroxyquinoline,-1
N-Isovaleroylglycine,-1
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",-1
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]- ",-1
"4-Fluoroaniline, N-trimethylsilyl-",-1
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza-",-1
"N,N-Diethyl-2-aminoethanol",-1
"1,5-Anhydroglucitol",1
"N,N-Dimethyl-2-cyclohexyloxyethylamine",-1
D-Fructose,-1
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",1
3-Hydroxyisovaleric acid,-1
Phenylpropanolamine,-1
Suberic acid,-1
"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester",-1
N-(Trimethylsilyl)hexanamide,-1
Norketamine,-1
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-1
Phloroglucinol,-1
"3,5-Dimethylpyrazole",-1
L-Isoleucine,-1
Allylescaline ,-1
(pm)-Norketamine,1
"3-Buten-2-one, 3-trimethylsilyloxy-",1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",1
Phenoxyacetic acid,-1
"Tacrine, N-trimethylsilyl-",-1
"3-Methyl-2-butenoic acid, tridec-2-ynyl ester",-1
Myristic acid,-1
3-Methylvaleric acid,-1
Pipecolic acid,-1
"2,5-Di-tert-butyl-4-((trimethylsilyl)oxy)phenol",1
"7-Isoquinolinol, 1,2,3,4-tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-",1
