node1,node2
"1,2-Benzenedicarboxylic acid",Boric acid
"1,2-Benzenedicarboxylic acid",Lactic Acid
"2,5-di-tert-Butyl-1,4-benzoquinone",3-Amino-5-morpholinomethyl-2-oxazolidinone
"2,5-di-tert-Butyl-1,4-benzoquinone",Niacin
"2,5-di-tert-Butyl-1,4-benzoquinone",Palmitic Acid
4-Hydroxyphenyllactic acid,L-Tyrosine
N-Valerylglycine,N-Acetyltyrosine
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Hydroxy-2-methylbutyric acid
1-Cyclopentylethanol,1-Phenylethanol
1-Cyclopentylethanol,1-Tetradecanol
1-Cyclopentylethanol,2-Naphthol
1-Cyclopentylethanol,"2-Propanone, bis(1-methylethyl)hydrazone"
1-Cyclopentylethanol,Cyclohexanol
1-Cyclopentylethanol,Diphenyl ether
1-Cyclopentylethanol,Metanephrine
1-Cyclopentylethanol,Phlorizin
1-Cyclopentylethanol,Phloroglucinol
1-Cyclopentylethanol,"Propanoic acid, 2-oxo-"
1-Cyclopentylethanol,S-Methyl-L-cysteine
1-Cyclopentylethanol,Salsoline
1-Cyclopentylethanol,L-Tyrosine
1-Deoxypentitol,1-Tetradecanol
1-Deoxypentitol,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene
1-Deoxypentitol,"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-"
1-Deoxypentitol,2-Naphthol
1-Deoxypentitol,9-Octadecenoic acid
1-Deoxypentitol,"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-"
1-Deoxypentitol,"Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate"
1-Deoxypentitol,L-Threitol
1-Deoxypentitol,S-Methyl-L-cysteine
10-Heptadecenoic acid,2-Naphthol
10-Heptadecenoic acid,3-Methyladenine
10-Heptadecenoic acid,"3-Methylpiperazine-2,5-dione, (R)-"
10-Heptadecenoic acid,3'-Hydroxyacetophenone
10-Heptadecenoic acid, 5-Hydroxyhexanoic acid
10-Heptadecenoic acid,Cyclohexanol
10-Heptadecenoic acid,"N-(Trifluoroacetyl)-N,O,O'-tris(trimethylsilyl)normetanephrine"
10-Heptadecenoic acid,Nonanal
10-Heptadecenoic acid,Palmitelaidic acid
10-Heptadecenoic acid,"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate"
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate","15-Oxo-11Z,13E-eicosadienoic acid"
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",2-Acetyl-5-chloro-3-methylbenzo(b)thiophene
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",3-Ureidopropionic acid
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",4-Cumylphenol
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",9-Octadecenoic acid
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",Cyclohexanol
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate","Cyclohexene, 3-butyl-3-methyl-1-trimethylsilyloxy-"
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",L-Threitol
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",Metanephrine
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",Mirin
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",S-Methyl-L-cysteine
2-Methyl-4-pentenoic acid,3'-Hydroxyacetophenone
2-Methyl-4-pentenoic acid,4-Cumylphenol
2-Methyl-4-pentenoic acid,alpha-Tocopherol
2-Methyl-4-pentenoic acid,Butylmethylamine
2-Methyl-4-pentenoic acid,Cyclohexanol
2-Methyl-4-pentenoic acid,Diphenyl ether
2-Methyl-4-pentenoic acid,Metanephrine
2-Methyl-4-pentenoic acid,Nonanal
2-Methyl-4-pentenoic acid,Phlorizin
2-Methyl-4-pentenoic acid,Phloroglucinol
2-Methyl-4-pentenoic acid,Salsoline
"2-Propanone, bis(1-methylethyl)hydrazone","5,6-Dimethyl-4-phenyl-3-cyanopyridine-2(1H)-thione"
"2-Propanone, bis(1-methylethyl)hydrazone","Arabinofuranose, 1,2,3,5-tetrakis-O-"
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",1-(4-Hydroxybenzylidene)acetone
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",1-Phenylethanol
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate","3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE"
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",5-(2-Aminopropyl)-2-methylphenol
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",5-Hydroxytryptophan
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",9-Octadecenoic acid
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",alpha-Tocopherol
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Arabinaric acid
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Butylmethylamine
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Cyclohexanol
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Diphenyl ether
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Itaconic acid
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Metanephrine
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Nonanal
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Phloroglucinol
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Salsoline
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate","Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-"
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate","Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate"
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",L-Tyrosine
