Metabolite 1,Metabolite 2,edge_dir
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","1,2-Benzenedicarboxylic acid",-1
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","2,5-di-tert-Butyl-1,4-benzoquinone",1
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",3-Amino-5-morpholinomethyl-2-oxazolidinone,-1
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",3-Methylvaleric acid,-1
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-",1
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",4-Hydroxyphenyllactic acid,1
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",1
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","D-Psicofuranose, pentakis",-1
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",Ethanolamine,1
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","Guanidine, N,N-dimethyl-",-1
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",L-Proline,1
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",N-alpha-Acetyl-L-Lysine,1
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",N-Valerylglycine,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",(pm)-alpha-Tocopherol acetate,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","(R*,S*)-2,3-Dihydroxybutanoic acid",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",1-Cyclopentylethanol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",1-Deoxypentitol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",1-Monoacetin,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","1,4-Butanediol",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",10-Heptadecenoic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-(2,5-Dimethoxy-phenyl)-propionaldehyde",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-(Decanoyloxy)propane-1,3-diyl dioctanoate",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Ethyl-3-hydroxypropionic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Hydroxy-2-methylbutyric acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Hydroxy-5-methoxybenzaldehyde,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Methyl-4-pentenoic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-Propanone, bis(1-methylethyl)hydrazone",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2,4-Diamino-6,7-dimethylpteridine",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",3-Hexenedinitrile,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",3-Nonen-1-ol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",5-Hydroxyquinoline,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Aceturic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",alpha-Tocopherol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Benzimidazole, 5-trifluoromethyl-2-methyl-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Benzoic acid, pentadecyl ester",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Benzophenone,1
